"","grp_mu","grp_N","p_N","SC_sig","PBT_sig","ttest_sig"
"1",0,10,20,0.115,0.016,0.039
"2",0,10,100,0.327,0.199,0.06
"3",0,10,500,0.858,0.854,0.059
"4",0,30,20,0.146,0.053,0.048
"5",0,30,100,0.658,0.577,0.043
"6",0,30,500,0.997,0.999,0.049
"7",0,50,20,0.195,0.132,0.048
"8",0,50,100,0.813,0.841,0.051
"9",0,50,500,1,1,0.055
"10",0.1,10,20,0.136,0.025,0.095
"11",0.1,10,100,0.399,0.29,0.187
"12",0.1,10,500,0.897,0.927,0.269
"13",0.1,30,20,0.175,0.073,0.207
"14",0.1,30,100,0.762,0.703,0.459
"15",0.1,30,500,1,1,0.651
"16",0.1,50,20,0.235,0.161,0.295
"17",0.1,50,100,0.908,0.943,0.699
"18",0.1,50,500,1,1,0.88
