"","rep.seeds..each...2.","variability","QUID","PBT","SC"
"1","1","Same","111397036770037","0.143390296627083","0"
"2","2","Same","6.8441179369568e+24","0.263413925607142","0"
"3","3","Same","83087.6240051727","0.0886213994880769","0"
"4","4","Same","58476774280837.6","0.201788696659405","0"
"5","5","Same","20128904130.4625","0.143390296627083","0"
"6","6","Same","8.39763333686439e+37","0.328089495064427","0"
"7","7","Same","1.3993268595106e+27","0.17216759194338","0.0016"
"8","8","Same","9.92209957165976e+29","0.263413925607142","0"
"9","9","Same","4.09831705715325e+23","0.0628484265076401","0.0019"
"10","10","Same","2366393370543.42","0.143390296627083","0.001"
"11","10","Different","0.00846859871939771","0","0.5281"
"12","6","diff","-1","-1","-1"
"13","7","same","-1","-1","-1"
"14","7","diff","-1","-1","-1"
"15","8","same","-1","-1","-1"
"16","8","diff","-1","-1","-1"
"17","9","same","-1","-1","-1"
"18","9","diff","-1","-1","-1"
"19","10","same","-1","-1","-1"
"20","10","diff","-1","-1","-1"
