"","seed","variability","QUID","PBT","SC"
"1","1","Same","111397036770037","0.143390296627083","0"
"2","1","Different","0.000810350229972551","0","0.57"
"3","2","Same","6.8441179369568e+24","0.263413925607142","0"
"4","2","Different","0.595243992853232","0","0.1301"
"5","3","Same","83087.6240051727","0.0886213994880769","0"
"6","3","Different","0.00849961613602913","0","0.7731"
"7","4","Same","58476774280837.6","0.201788696659405","0"
"8","4","Different","0.0713404218448157","0","0.6293"
"9","5","Same","20128904130.4625","0.143390296627083","0"
"10","5","Different","0.0115104859713482","0","0.9697"
"11","6","Same","8.39763333686439e+37","0.328089495064427","0"
"12","6","Different","0.371522784219239","0","0.0063"
"13","7","Same","1.3993268595106e+27","0.17216759194338","0.0016"
"14","7","Different","0.197599877275405","0","0.4354"
"15","8","Same","9.92209957165976e+29","0.263413925607142","0"
"16","8","Different","0.125148855886787","0","0.1001"
"17","9","Same","4.09831705715325e+23","0.0628484265076401","0.0019"
"18","9","Different","0.0749649256055413","0","0.4279"
"19","10","Same","2366393370543.42","0.143390296627083","0.001"
"20","10","Different","0.00846859871939771","0","0.5281"
