"","grp_mu","grp_N","p_N","Test","Power"
"1","0","10","20","SC",12
"2","0","10","100","SC",33
"3","0","10","500","SC",86
"4","0","30","20","SC",15
"5","0","30","100","SC",66
"6","0","30","500","SC",100
"7","0","50","20","SC",20
"8","0","50","100","SC",81
"9","0","50","500","SC",100
"10","0.1","10","20","SC",14
"11","0.1","10","100","SC",40
"12","0.1","10","500","SC",90
"13","0.1","30","20","SC",18
"14","0.1","30","100","SC",76
"15","0.1","30","500","SC",100
"16","0.1","50","20","SC",24
"17","0.1","50","100","SC",91
"18","0.1","50","500","SC",100
"19","0","10","20","PBT",2
"20","0","10","100","PBT",20
"21","0","10","500","PBT",85
"22","0","30","20","PBT",5
"23","0","30","100","PBT",58
"24","0","30","500","PBT",100
"25","0","50","20","PBT",13
"26","0","50","100","PBT",84
"27","0","50","500","PBT",100
"28","0.1","10","20","PBT",2
"29","0.1","10","100","PBT",29
"30","0.1","10","500","PBT",93
"31","0.1","30","20","PBT",7
"32","0.1","30","100","PBT",70
"33","0.1","30","500","PBT",100
"34","0.1","50","20","PBT",16
"35","0.1","50","100","PBT",94
"36","0.1","50","500","PBT",100
