"","mu","N_p","N_t","sigma_b","sigma_w","seeds","sc_p","sc_stat","pbt_low_hdi95","pbt_high_hdi95","pbt_MAP","Test","Power"
"1",0,10,20,2,10,5000.5,0.3412197,0.55275666,0.00374824795394186,0.337923422936769,0.0681157894736842,"SC",0.1731
"2",0,10,100,2,10,5000.5,0.10923552,0.66508342,0.0492842368737443,0.508140891069745,0.220678947368421,"SC",0.5857
"3",0,10,500,2,10,5000.5,0.00911849,0.81319586,0.254505151169426,0.785144784940647,0.531863157894737,"SC",0.9553
"4",0,30,20,2,10,5000.5,0.24418037,0.551329826666667,0.00457585446157533,0.191878099380636,0.0526701754385965,"SC",0.284
"5",0,30,100,2,10,5000.5,0.01573668,0.666156973333333,0.0852371989767656,0.390138350598042,0.217143859649123,"SC",0.9231
"6",0,30,500,2,10,5000.5,1.733e-05,0.814055313333333,0.353654526540097,0.702367394335392,0.532642105263158,"SC",1
"7",0,50,20,2,10,5000.5,0.17992118,0.552642656,0.00590276610559848,0.152626081453751,0.0503347368421053,"SC",0.39
"8",0,50,100,2,10,5000.5,0.00289591,0.666751512,0.108055562388016,0.352294036080175,0.217675789473684,"SC",0.9876
"9",0,50,500,2,10,5000.5,1e-08,0.813729536,0.389505506402773,0.667296708857659,0.5312,"SC",1
"10",1,10,20,2,10,5000.5,0.31115783,0.56350064,0.00527876849384324,0.349539600316979,0.0775210526315789,"SC",0.2022
"11",1,10,100,2,10,5000.5,0.08043239,0.68778194,0.0661792395112446,0.54536656857399,0.257068421052632,"SC",0.669
"12",1,10,500,2,10,5000.5,0.00514047,0.8336154,0.292092708563688,0.817256084423408,0.575842105263158,"SC",0.9743
"13",1,30,20,2,10,5000.5,0.19974149,0.56299116,0.00657608466512826,0.205278750167085,0.0630157894736842,"SC",0.3648
"14",1,30,100,2,10,5000.5,0.00719806,0.688161026666667,0.114917179256152,0.43446924448197,0.257615789473684,"SC",0.9659
"15",1,30,500,2,10,5000.5,1.856e-05,0.833459066666667,0.397145086957096,0.741332635744051,0.57738947368421,"SC",0.9999
"16",1,50,20,2,10,5000.5,0.1344699,0.5635581,0.00894350279096544,0.166660191836133,0.0612842105263158,"SC",0.4949
"17",1,50,100,2,10,5000.5,0.00080302,0.689527548,0.141380688386932,0.396572075726516,0.258482105263158,"SC",0.9969
"18",1,50,500,2,10,5000.5,0,0.833300852,0.435341400270823,0.709352755479301,0.577395789473684,"SC",1
"19",0,10,20,2,10,5000.5,0.3412197,0.55275666,0.00374824795394186,0.337923422936769,0.0681157894736842,"PBT",0.0639
"20",0,10,100,2,10,5000.5,0.10923552,0.66508342,0.0492842368737443,0.508140891069745,0.220678947368421,"PBT",0.4911
"21",0,10,500,2,10,5000.5,0.00911849,0.81319586,0.254505151169426,0.785144784940647,0.531863157894737,"PBT",0.975
"22",0,30,20,2,10,5000.5,0.24418037,0.551329826666667,0.00457585446157533,0.191878099380636,0.0526701754385965,"PBT",0.156
"23",0,30,100,2,10,5000.5,0.01573668,0.666156973333333,0.0852371989767656,0.390138350598042,0.217143859649123,"PBT",0.9119
"24",0,30,500,2,10,5000.5,1.733e-05,0.814055313333333,0.353654526540097,0.702367394335392,0.532642105263158,"PBT",1
"25",0,50,20,2,10,5000.5,0.17992118,0.552642656,0.00590276610559848,0.152626081453751,0.0503347368421053,"PBT",0.3395
"26",0,50,100,2,10,5000.5,0.00289591,0.666751512,0.108055562388016,0.352294036080175,0.217675789473684,"PBT",0.994
"27",0,50,500,2,10,5000.5,1e-08,0.813729536,0.389505506402773,0.667296708857659,0.5312,"PBT",1
"28",1,10,20,2,10,5000.5,0.31115783,0.56350064,0.00527876849384324,0.349539600316979,0.0775210526315789,"PBT",0.0861
"29",1,10,100,2,10,5000.5,0.08043239,0.68778194,0.0661792395112446,0.54536656857399,0.257068421052632,"PBT",0.5963
"30",1,10,500,2,10,5000.5,0.00514047,0.8336154,0.292092708563688,0.817256084423408,0.575842105263158,"PBT",0.9868
"31",1,30,20,2,10,5000.5,0.19974149,0.56299116,0.00657608466512826,0.205278750167085,0.0630157894736842,"PBT",0.2068
"32",1,30,100,2,10,5000.5,0.00719806,0.688161026666667,0.114917179256152,0.43446924448197,0.257615789473684,"PBT",0.9665
"33",1,30,500,2,10,5000.5,1.856e-05,0.833459066666667,0.397145086957096,0.741332635744051,0.57738947368421,"PBT",1
"34",1,50,20,2,10,5000.5,0.1344699,0.5635581,0.00894350279096544,0.166660191836133,0.0612842105263158,"PBT",0.4457
"35",1,50,100,2,10,5000.5,0.00080302,0.689527548,0.141380688386932,0.396572075726516,0.258482105263158,"PBT",0.9991
"36",1,50,500,2,10,5000.5,0,0.833300852,0.435341400270823,0.709352755479301,0.577395789473684,"PBT",1
