,N_p,N_t,sigma_b,sigma_w,mu,seeds,QUID,OANOVA
1,100,100,0,1,0,1,6.33E-17,0.932162233
2,100,100,0,1,0,2,8.00E-14,0.197853512
3,100,100,0,1,0,3,0.001806444,0.690547156
4,100,100,0,1,0,4,7.98E-19,0.479396589
5,100,100,0,1,0,5,0.00390212,0.779235348
6,100,100,0,1,0,6,0.002468169,0.562232288
7,100,100,0,1,0,7,1.98E-18,0.615127103
8,100,100,0,1,0,8,5.90E-15,0.517625674
9,100,100,0,1,0,9,7.44E-19,0.710748669
10,100,100,0,1,0,10,8.56E-19,0.288123315
11,100,100,0,1,0,11,0.002056051,0.589197494
12,100,100,0,1,0,12,0.000750151,0.996575978
13,100,100,0,1,0,13,3.21E-21,0.32584686
14,100,100,0,1,0,14,0.000653633,0.984663406
15,100,100,0,1,0,15,0.00253528,0.619720447
16,100,100,0,1,0,16,1.80E-18,0.238772487
17,100,100,0,1,0,17,2.74E-17,0.387372465
18,100,100,0,1,0,18,7.35E-18,0.696407697
19,100,100,0,1,0,19,0.004928307,0.493245927
20,100,100,0,1,0,20,0.041595753,0.013857223
21,100,100,0,1,0,21,3.09E-21,0.553436923
22,100,100,0,1,0,22,1.76E-14,0.48137492
23,100,100,0,1,0,23,5.76E-20,0.660564166
24,100,100,0,1,0,24,0.002732846,0.563664376
25,100,100,0,1,0,25,0.004147067,0.63778993
26,100,100,0,1,0,26,0.001822044,0.781084664
27,100,100,0,1,0,27,1.23E-16,0.974796938
28,100,100,0,1,0,28,0.001241248,0.847392243
29,100,100,0,1,0,29,1.65E-19,0.366799839
30,100,100,0,1,0,30,0.001688826,0.762283338
31,100,100,0,1,0,31,1.16E-16,0.165902459
32,100,100,0,1,0,32,8.52E-19,0.268472692
33,100,100,0,1,0,33,0.001328348,0.791281314
34,100,100,0,1,0,34,0.001675522,0.686471612
35,100,100,0,1,0,35,7.22E-20,0.524955894
36,100,100,0,1,0,36,0.003955953,0.356757935
37,100,100,0,1,0,37,0.002317616,0.817277007
38,100,100,0,1,0,38,0.047566089,0.129744831
39,100,100,0,1,0,39,4.37E-14,0.893137907
40,100,100,0,1,0,40,1.11E-12,0.429308677
41,100,100,0,1,0,41,0.001636765,0.825315746
42,100,100,0,1,0,42,1.67E-16,0.032324164
43,100,100,0,1,0,43,1.20E-17,0.208507416
44,100,100,0,1,0,44,0.002162785,0.650024906
45,100,100,0,1,0,45,8.25E-20,0.789037149
46,100,100,0,1,0,46,1.60E-16,0.599839835
47,100,100,0,1,0,47,0.003089361,0.487474957
48,100,100,0,1,0,48,2.01E-17,0.383183037
49,100,100,0,1,0,49,2.49E-10,0.242291649
50,100,100,0,1,0,50,1.49E-21,0.288377606
51,100,100,0,1,0,51,0.009888563,0.529960897
52,100,100,0,1,0,52,2.77E-15,0.199657223
53,100,100,0,1,0,53,3.86E-18,0.169667195
54,100,100,0,1,0,54,5.67E-19,0.388311715
55,100,100,0,1,0,55,0.001567678,0.785487454
56,100,100,0,1,0,56,0.001449592,0.976029458
57,100,100,0,1,0,57,2.30E-18,0.067748979
58,100,100,0,1,0,58,3.76E-15,0.592851862
59,100,100,0,1,0,59,0.05487356,0.072701656
60,100,100,0,1,0,60,0.001095751,0.883408691
61,100,100,0,1,0,61,3.36E-19,0.075642393
62,100,100,0,1,0,62,7.92E-10,0.37215556
63,100,100,0,1,0,63,0.001644154,0.958723306
64,100,100,0,1,0,64,2.29E-16,0.408639058
65,100,100,0,1,0,65,0.004722137,0.962070252
66,100,100,0,1,0,66,8.92E-17,0.011825502
67,100,100,0,1,0,67,9.44E-18,0.513477444
68,100,100,0,1,0,68,1.33E-13,0.259237474
69,100,100,0,1,0,69,0.003064162,0.560837666
70,100,100,0,1,0,70,8.39E-19,0.266073704
71,100,100,0,1,0,71,0.001857169,0.766092704
72,100,100,0,1,0,72,0.018822014,0.042421284
73,100,100,0,1,0,73,0.003312943,0.786080094
74,100,100,0,1,0,74,0.002332536,0.677212748
75,100,100,0,1,0,75,9.87E-17,0.389127638
76,100,100,0,1,0,76,0.003591319,0.476104651
77,100,100,0,1,0,77,0.004730175,0.515924504
78,100,100,0,1,0,78,0.000675764,0.959472301
79,100,100,0,1,0,79,3.48E-18,0.820580801
80,100,100,0,1,0,80,1.90E-16,0.778754103
81,100,100,0,1,0,81,4.06E-23,0.806565745
82,100,100,0,1,0,82,5.47E-18,0.357946199
83,100,100,0,1,0,83,2.73E-16,0.382355352
84,100,100,0,1,0,84,3.15E-20,0.393541908
85,100,100,0,1,0,85,3.09E-17,0.286979408
