"","mu","N_p","N_t","sigma_b","sigma_w","seeds","sc_p","sc_stat","pbt_low_hdi95","pbt_high_hdi95","pbt_MAP","Test","Power"
"1",0,10,20,2,10,5.5,0.513978602139786,0.50056,0,0.319704329837615,0.0526315789473684,"SC",0
"2",0,10,100,2,10,5.5,0.21036896310369,0.60208,0,0.330471743678536,0.068421052631579,"SC",0.2
"3",0,10,500,2,10,5.5,0.0151384861513849,0.7468,0.0904997646527571,0.621391295246546,0.326315789473684,"SC",0.9
"4",0,30,20,2,10,5.5,0.511878812118788,0.501193333333333,0,0.148361561279096,0.0245614035087719,"SC",0.3
"5",0,30,100,2,10,5.5,0.211688831116888,0.568253333333333,0.0364663484496845,0.271137299352264,0.119298245614035,"SC",0.6
"6",0,30,500,2,10,5.5,1.99980001999833e-05,0.755786666666667,0.236989908582867,0.587510828779767,0.407017543859649,"SC",1
"7",0,50,20,2,10,5.5,0.464373562643736,0.50758,0,0.116893957116079,0.0242105263157895,"SC",0.2
"8",0,50,100,2,10,5.5,0.0257574242575743,0.618884,0.0508080880051501,0.250739171836963,0.130526315789474,"SC",0.9
"9",0,50,500,2,10,5.5,0,0.763488,0.238107412275154,0.512985731694355,0.370526315789474,"SC",1
"10",1,10,20,2,10,5.5,0.501179882011799,0.50302,0,0.32978043349702,0.0578947368421053,"SC",0
"11",1,10,100,2,10,5.5,0.16033396660334,0.61672,0,0.340547847337942,0.0736842105263158,"SC",0.5
"12",1,10,500,2,10,5.5,0.0717728227177282,0.6981,0.11506367297076,0.647208187182204,0.357894736842105,"SC",0.7
"13",1,30,20,2,10,5.5,0.471742825717428,0.50766,0.00163227543695706,0.16122034162939,0.0350877192982456,"SC",0.2
"14",1,30,100,2,10,5.5,0.135236476352365,0.60516,0.0366811540659986,0.292668387179639,0.133333333333333,"SC",0.7
"15",1,30,500,2,10,5.5,0.000179982001799817,0.762193333333333,0.264404775901313,0.618290996902782,0.43859649122807,"SC",1
"16",1,50,20,2,10,5.5,0.438056194380562,0.514548,0.00050020455295769,0.117815745105352,0.0252631578947368,"SC",0.2
"17",1,50,100,2,10,5.5,0.00494950504949506,0.636524,0.0736784444442933,0.294423638754686,0.168421052631579,"SC",1
"18",1,50,500,2,10,5.5,0,0.757296,0.29157488120464,0.571673109249755,0.429473684210526,"SC",1
"19",0,10,20,2,10,5.5,0.513978602139786,0.50056,0,0.319704329837615,0.0526315789473684,"PBT",0
"20",0,10,100,2,10,5.5,0.21036896310369,0.60208,0,0.330471743678536,0.068421052631579,"PBT",0
"21",0,10,500,2,10,5.5,0.0151384861513849,0.7468,0.0904997646527571,0.621391295246546,0.326315789473684,"PBT",1
"22",0,30,20,2,10,5.5,0.511878812118788,0.501193333333333,0,0.148361561279096,0.0245614035087719,"PBT",0
"23",0,30,100,2,10,5.5,0.211688831116888,0.568253333333333,0.0364663484496845,0.271137299352264,0.119298245614035,"PBT",0.4
"24",0,30,500,2,10,5.5,1.99980001999833e-05,0.755786666666667,0.236989908582867,0.587510828779767,0.407017543859649,"PBT",1
"25",0,50,20,2,10,5.5,0.464373562643736,0.50758,0,0.116893957116079,0.0242105263157895,"PBT",0
"26",0,50,100,2,10,5.5,0.0257574242575743,0.618884,0.0508080880051501,0.250739171836963,0.130526315789474,"PBT",0.7
"27",0,50,500,2,10,5.5,0,0.763488,0.238107412275154,0.512985731694355,0.370526315789474,"PBT",1
"28",1,10,20,2,10,5.5,0.501179882011799,0.50302,0,0.32978043349702,0.0578947368421053,"PBT",0
"29",1,10,100,2,10,5.5,0.16033396660334,0.61672,0,0.340547847337942,0.0736842105263158,"PBT",0
"30",1,10,500,2,10,5.5,0.0717728227177282,0.6981,0.11506367297076,0.647208187182204,0.357894736842105,"PBT",1
"31",1,30,20,2,10,5.5,0.471742825717428,0.50766,0.00163227543695706,0.16122034162939,0.0350877192982456,"PBT",0.1
"32",1,30,100,2,10,5.5,0.135236476352365,0.60516,0.0366811540659986,0.292668387179639,0.133333333333333,"PBT",0.6
"33",1,30,500,2,10,5.5,0.000179982001799817,0.762193333333333,0.264404775901313,0.618290996902782,0.43859649122807,"PBT",1
"34",1,50,20,2,10,5.5,0.438056194380562,0.514548,0.00050020455295769,0.117815745105352,0.0252631578947368,"PBT",0.2
"35",1,50,100,2,10,5.5,0.00494950504949506,0.636524,0.0736784444442933,0.294423638754686,0.168421052631579,"PBT",0.8
"36",1,50,500,2,10,5.5,0,0.757296,0.29157488120464,0.571673109249755,0.429473684210526,"PBT",1
