"","N_p","N_t","sigma_b","sigma_w","mu","seeds","QUID","OANOVA"
"1",100,100,0,1,0,1,6.32574256002574e-17,0.932162232503133
"2",100,100,0,1,0,2,7.999443884216e-14,0.197853512471275
"3",100,100,0,1,0,3,0.00180644447937086,0.690547156188141
"4",100,100,0,1,0,4,7.98477805459159e-19,0.47939658904702
"5",100,100,0,1,0,5,0.00390211982173451,0.779235347978799
"6",100,100,0,1,0,6,0.00246816897288553,0.562232287613983
"7",100,100,0,1,0,7,1.98495152157118e-18,0.615127102713201
"8",100,100,0,1,0,8,5.89630538908513e-15,0.517625674436173
"9",100,100,0,1,0,9,7.44174395697853e-19,0.710748668744113
"10",100,100,0,1,0,10,8.56446239724258e-19,0.288123314680081
"11",100,100,0,1,0,11,0.00205605085780062,0.589197493754578
"12",100,100,0,1,0,12,0.000750151192615374,0.996575978181264
"13",100,100,0,1,0,13,3.21371577327827e-21,0.32584685987061
"14",100,100,0,1,0,14,0.000653633173966652,0.984663405805037
"15",100,100,0,1,0,15,0.00253527954435079,0.61972044688118
"16",100,100,0,1,0,16,1.79860051486111e-18,0.238772486850916
"17",100,100,0,1,0,17,2.74252623834151e-17,0.387372465290693
"18",100,100,0,1,0,18,7.35144687248629e-18,0.696407696805382
"19",100,100,0,1,0,19,0.0049283072284884,0.493245926965058
"20",100,100,0,1,0,20,0.0415957526118531,0.0138572233608036
"21",100,100,0,1,0,21,3.08588037911898e-21,0.553436922781464
"22",100,100,0,1,0,22,1.76405805731836e-14,0.481374920227439
"23",100,100,0,1,0,23,5.75709036021858e-20,0.660564165589732
"24",100,100,0,1,0,24,0.00273284593013086,0.56366437580834
"25",100,100,0,1,0,25,0.00414706711269982,0.637789929512394
"26",100,100,0,1,0,26,0.0018220441683124,0.781084663924686
"27",100,100,0,1,0,27,1.22769529889306e-16,0.974796937810541
"28",100,100,0,1,0,28,0.00124124840987911,0.847392242930213
"29",100,100,0,1,0,29,1.64654865637299e-19,0.36679983877843
"30",100,100,0,1,0,30,0.00168882603878519,0.76228333844438
"31",100,100,0,1,0,31,1.15600216583228e-16,0.165902458807808
"32",100,100,0,1,0,32,8.515000784634e-19,0.268472691878222
"33",100,100,0,1,0,33,0.00132834817858243,0.791281314293948
"34",100,100,0,1,0,34,0.00167552233820833,0.686471611516357
"35",100,100,0,1,0,35,7.22084532457438e-20,0.524955894271102
"36",100,100,0,1,0,36,0.00395595325433569,0.356757935176406
"37",100,100,0,1,0,37,0.00231761586954523,0.817277007231212
"38",100,100,0,1,0,38,0.0475660891703086,0.129744830869242
"39",100,100,0,1,0,39,4.37295602260772e-14,0.89313790657097
"40",100,100,0,1,0,40,1.10738666749127e-12,0.429308677166486
"41",100,100,0,1,0,41,0.00163676530984522,0.825315745869057
"42",100,100,0,1,0,42,1.66728829633113e-16,0.032324163665574
"43",100,100,0,1,0,43,1.19599319829415e-17,0.208507415942868
"44",100,100,0,1,0,44,0.0021627846569274,0.650024905677224
"45",100,100,0,1,0,45,8.25120282196881e-20,0.789037148539597
"46",100,100,0,1,0,46,1.59836013870874e-16,0.599839835375877
"47",100,100,0,1,0,47,0.00308936054744383,0.487474957087728
"48",100,100,0,1,0,48,2.01087501168894e-17,0.383183036672815
"49",100,100,0,1,0,49,2.48532810612808e-10,0.242291649419834
"50",100,100,0,1,0,50,1.48787422440239e-21,0.288377606433138
"51",100,100,0,1,0,51,0.00988856281401651,0.529960897177967
"52",100,100,0,1,0,52,2.76536401583777e-15,0.199657222731587
"53",100,100,0,1,0,53,3.86282100515421e-18,0.169667195286431
"54",100,100,0,1,0,54,5.67043658133745e-19,0.388311714708814
"55",100,100,0,1,0,55,0.00156767848893138,0.785487453527176
"56",100,100,0,1,0,56,0.00144959207273861,0.976029457889044
"57",100,100,0,1,0,57,2.29858565138869e-18,0.067748979466919
"58",100,100,0,1,0,58,3.76197477642606e-15,0.592851862312908
"59",100,100,0,1,0,59,0.0548735602036249,0.0727016556958023
"60",100,100,0,1,0,60,0.00109575090349089,0.883408690784843
"61",100,100,0,1,0,61,3.35797564100686e-19,0.0756423932747159
"62",100,100,0,1,0,62,7.91819801809217e-10,0.372155559703762
"63",100,100,0,1,0,63,0.00164415405924562,0.958723305975544
"64",100,100,0,1,0,64,2.28659108186432e-16,0.408639058414346
"65",100,100,0,1,0,65,0.00472213665182297,0.962070252304205
"66",100,100,0,1,0,66,8.92010141872241e-17,0.0118255019955998
"67",100,100,0,1,0,67,9.43522161719189e-18,0.513477444148232
"68",100,100,0,1,0,68,1.32737251209484e-13,0.259237473694742
"69",100,100,0,1,0,69,0.00306416221304076,0.560837665505849
"70",100,100,0,1,0,70,8.39331159798796e-19,0.266073703700711
"71",100,100,0,1,0,71,0.00185716908350042,0.766092703943057
"72",100,100,0,1,0,72,0.0188220135847916,0.0424212836903006
"73",100,100,0,1,0,73,0.00331294269104301,0.78608009363848
"74",100,100,0,1,0,74,0.00233253556354417,0.677212748395378
"75",100,100,0,1,0,75,9.86839845516194e-17,0.389127638333603
"76",100,100,0,1,0,76,0.0035913187108502,0.476104651075706
"77",100,100,0,1,0,77,0.00473017494806144,0.515924503721354
"78",100,100,0,1,0,78,0.000675764131077777,0.959472301493832
"79",100,100,0,1,0,79,3.47648922600378e-18,0.820580801000047
"80",100,100,0,1,0,80,1.89831013609829e-16,0.77875410307406
"81",100,100,0,1,0,81,4.05596949040575e-23,0.806565744957513
"82",100,100,0,1,0,82,5.4683128140618e-18,0.357946199472469
"83",100,100,0,1,0,83,2.73214091046415e-16,0.382355351921848
"84",100,100,0,1,0,84,3.15375220696343e-20,0.393541908406119
"85",100,100,0,1,0,85,3.08658728848325e-17,0.286979407603308
"86",100,100,0,1,0,86,8.75364052992671e-20,0.569603528252733
"87",100,100,0,1,0,87,3.99868498907893e-18,0.226317044355057
"88",100,100,0,1,0,88,0.00198766515265485,0.728331657768101
"89",100,100,0,1,0,89,1.08504937923031e-10,0.0810201404448805
"90",100,100,0,1,0,90,0.00187993106571044,0.747262400603167
"91",100,100,0,1,0,91,8.96436638480427e-09,0.0464797016960854
"92",100,100,0,1,0,92,0.00134863804713798,0.804422405423704
"93",100,100,0,1,0,93,3.51772943488179e-15,0.488964543844946
"94",100,100,0,1,0,94,1.89025771564411e-11,0.753793961860431
"95",100,100,0,1,0,95,7.14622586374648e-19,0.02734250698848
"96",100,100,0,1,0,96,3.66082499701232e-18,0.0321953013148313
"97",100,100,0,1,0,97,3.31068272869191e-13,0.502034744384172
"98",100,100,0,1,0,98,0.00183956499088473,0.774437729593868
"99",100,100,0,1,0,99,0.00421491426702881,0.34904219737502
"100",100,100,0,1,0,100,2.09004782836865e-15,0.772259306223596
"101",100,100,0,1000,0,1,0.000296491977096324,0.999998812257902
"102",100,100,0,1000,0,2,0.0101876900232463,0.0587947004789573
"103",100,100,0,1000,0,3,10741.0665462029,7.46536166218448e-12
"104",100,100,0,1000,0,4,8.57699227252879e+56,0
"105",100,100,0,1000,0,5,25.9781856041908,3.66586820899073e-08
"106",100,100,0,1000,0,6,0.00016702033744515,0.999999999990458
"107",100,100,0,1000,0,7,0.000276759023888875,0.999999726518153
"108",100,100,0,1000,0,8,7.51138051314544e-05,1
"109",100,100,0,1000,0,9,4.78138695721954e+23,0
"110",100,100,0,1000,0,10,0.0137872244449977,0.119040103348407
"111",100,100,0,1000,0,11,1994395894.05647,1.94026839039907e-09
"112",100,100,0,1000,0,12,0.028594591415156,0.585812756485808
"113",100,100,0,1000,0,13,0.000134495439234499,1
"114",100,100,0,1000,0,14,0.000128121702214462,1
"115",100,100,0,1000,0,15,8.96098653887346e-05,1
"116",100,100,0,1000,0,16,4.42505216993987e-05,1
"117",100,100,0,1000,0,17,6.34384261235278e-05,1
"118",100,100,0,1000,0,18,5.68010624417873e-05,1
"119",100,100,0,1000,0,19,1.37013015974746,2.0014343707464e-05
"120",100,100,0,1000,0,20,0.00946804805970215,0.753296914773187
"121",100,100,0,1000,0,21,9.28133704485142e-05,1
"122",100,100,0,1000,0,22,0.00425268184797408,0.967603053846612
"123",100,100,0,1000,0,23,0.0131367700699736,0.737784839533847
"124",100,100,0,1000,0,24,0.0023091001196407,0.67778391033564
"125",100,100,0,1000,0,25,0.000865855485747655,0.990954310941627
"126",100,100,0,1000,0,26,0.000110296913911887,1
"127",100,100,0,1000,0,27,0.000140189813885745,0.999999988783097
"128",100,100,0,1000,0,28,0.0306739377591374,0.671812095151818
"129",100,100,0,1000,0,29,8.01594815786333e-05,1
"130",100,100,0,1000,0,30,0.00154835796658713,0.832201775306533
"131",100,100,0,1000,0,31,7.89244090224393e-05,1
"132",100,100,0,1000,0,32,5.16327456975521e-05,1
"133",100,100,0,1000,0,33,0.000125169478032218,1
"134",100,100,0,1000,0,34,0.00010853353927938,1
"135",100,100,0,1000,0,35,0.000180711196171364,1
"136",100,100,0,1000,0,36,8.59920805376685e-05,1
"137",100,100,0,1000,0,37,5.75159143307635e-05,1
"138",100,100,0,1000,0,38,8.92228675773714,0.0142172055385659
"139",100,100,0,1000,0,39,0.000140220446096065,0.999999999999978
"140",100,100,0,1000,0,40,0.000123840359622632,0.999999999999989
"141",100,100,0,1000,0,41,18600957424.7494,6.79036826767287e-11
"142",100,100,0,1000,0,42,43447522219.9994,5.2308823939029e-11
"143",100,100,0,1000,0,43,1585.87237587654,0.000507134032181722
"144",100,100,0,1000,0,44,8.98505656551404e-05,1
"145",100,100,0,1000,0,45,0.000127287347968175,0.999999999999492
"146",100,100,0,1000,0,46,7.64395531536387e-05,1
"147",100,100,0,1000,0,47,0.000371771596988739,0.999999988544289
"148",100,100,0,1000,0,48,0.000501004134589309,0.999999331790344
"149",100,100,0,1000,0,49,0.0018145324924654,0.997646736362743
"150",100,100,0,1000,0,50,14282609228.776,0
"151",100,100,0,1000,0,51,0.00105090769009179,0.852800913875572
"152",100,100,0,1000,0,52,0.00036310039994613,0.999999906810594
"153",100,100,0,1000,0,53,0.00134520756919981,0.9968678143926
"154",100,100,0,1000,0,54,0.00461566293235238,0.932474496999029
"155",100,100,0,1000,0,55,44101277967464,2.96429547574917e-13
"156",100,100,0,1000,0,56,0.309102323028536,0.000373827783182623
"157",100,100,0,1000,0,57,2.55804556503294e+29,0
"158",100,100,0,1000,0,58,26.0163311069267,3.04652740812372e-07
"159",100,100,0,1000,0,59,5.25568572888885e-05,1
"160",100,100,0,1000,0,60,6.14420486422534e+21,0
"161",100,100,0,1000,0,61,7.62144583156142e-05,1
"162",100,100,0,1000,0,62,0.0265830134698536,0.0212100723378539
"163",100,100,0,1000,0,63,7.2886746777849e-05,1
"164",100,100,0,1000,0,64,0.000541445412049152,0.983828872883674
"165",100,100,0,1000,0,65,7.7940659227662e-05,1
"166",100,100,0,1000,0,66,6.82696362003325e-05,1
"167",100,100,0,1000,0,67,4868732.71995084,7.23865412055602e-14
"168",100,100,0,1000,0,68,0.000129579441119801,1
"169",100,100,0,1000,0,69,0.118858684970827,0.00121679721056145
"170",100,100,0,1000,0,70,6.84124380573501e-05,1
"171",100,100,0,1000,0,71,20011987.3304769,5.09813865567921e-08
"172",100,100,0,1000,0,72,0.000281634402134562,0.999999999998222
"173",100,100,0,1000,0,73,0.670941978384223,0.15319025376744
"174",100,100,0,1000,0,74,0.000345350102134983,1
"175",100,100,0,1000,0,75,0.000144386462382933,1
"176",100,100,0,1000,0,76,0.00633482239816916,0.929452709229835
"177",100,100,0,1000,0,77,6.68978709379266e-05,1
"178",100,100,0,1000,0,78,24377274906366780,3.33066907387547e-15
"179",100,100,0,1000,0,79,0.00143605760655079,0.994530161842126
"180",100,100,0,1000,0,80,6.56461580025816e-05,1
"181",100,100,0,1000,0,81,0.0032340253688335,0.991395020699669
"182",100,100,0,1000,0,82,0.330753327605607,8.26785344756331e-05
"183",100,100,0,1000,0,83,0.00167864790989783,0.775007934578483
"184",100,100,0,1000,0,84,9.71201960845218e-05,1
"185",100,100,0,1000,0,85,0.00769460212623769,0.892703459354863
"186",100,100,0,1000,0,86,5.85809757912918e-05,1
"187",100,100,0,1000,0,87,0.000100496365711967,1
"188",100,100,0,1000,0,88,7.69126055190968e-05,1
"189",100,100,0,1000,0,89,9.03456358802136e+40,0
"190",100,100,0,1000,0,90,7.49356927569429,0.0244346011759263
"191",100,100,0,1000,0,91,5.53465408654093e-05,1
"192",100,100,0,1000,0,92,0.000116516379861842,1
"193",100,100,0,1000,0,93,1404704.60203827,5.79647441156794e-13
"194",100,100,0,1000,0,94,2.10744043322353e+43,0
"195",100,100,0,1000,0,95,0.00775120524407505,0.103226546156397
"196",100,100,0,1000,0,96,0.00357013735247968,0.45363111991123
"197",100,100,0,1000,0,97,0.00151834643722334,0.999991345411802
"198",100,100,0,1000,0,98,333039.124328197,4.66642262009209e-06
"199",100,100,0,1000,0,99,0.000107873797746095,1
"200",100,100,0,1000,0,100,0.000229865557803173,0.999999999999778
"201",30,100,15,1,0,1,Inf,0
"202",30,100,15,1,0,2,Inf,0
"203",30,100,15,1,0,3,Inf,0
"204",30,100,15,1,0,4,Inf,0
"205",30,100,15,1,0,5,Inf,0
"206",30,100,15,1,0,6,Inf,0
"207",30,100,15,1,0,7,Inf,0
"208",30,100,15,1,0,8,Inf,0
"209",30,100,15,1,0,9,Inf,0
"210",30,100,15,1,0,10,Inf,0
"211",30,100,15,1,0,11,Inf,0
"212",30,100,15,1,0,12,Inf,0
"213",30,100,15,1,0,13,Inf,0
"214",30,100,15,1,0,14,Inf,0
"215",30,100,15,1,0,15,Inf,0
"216",30,100,15,1,0,16,Inf,0
"217",30,100,15,1,0,17,Inf,0
"218",30,100,15,1,0,18,Inf,0
"219",30,100,15,1,0,19,Inf,0
"220",30,100,15,1,0,20,Inf,0
"221",30,100,15,1,0,21,Inf,0
"222",30,100,15,1,0,22,Inf,0
"223",30,100,15,1,0,23,Inf,0
"224",30,100,15,1,0,24,Inf,0
"225",30,100,15,1,0,25,Inf,0
"226",30,100,15,1,0,26,Inf,0
"227",30,100,15,1,0,27,Inf,0
"228",30,100,15,1,0,28,Inf,0
"229",30,100,15,1,0,29,Inf,0
"230",30,100,15,1,0,30,Inf,0
"231",30,100,15,1,0,31,Inf,0
"232",30,100,15,1,0,32,Inf,0
"233",30,100,15,1,0,33,Inf,0
"234",30,100,15,1,0,34,Inf,0
"235",30,100,15,1,0,35,Inf,0
"236",30,100,15,1,0,36,Inf,0
"237",30,100,15,1,0,37,Inf,0
"238",30,100,15,1,0,38,Inf,0
"239",30,100,15,1,0,39,Inf,0
"240",30,100,15,1,0,40,Inf,0
"241",30,100,15,1,0,41,Inf,0
"242",30,100,15,1,0,42,Inf,0
"243",30,100,15,1,0,43,Inf,0
"244",30,100,15,1,0,44,Inf,0
"245",30,100,15,1,0,45,Inf,0
"246",30,100,15,1,0,46,Inf,0
"247",30,100,15,1,0,47,Inf,0
"248",30,100,15,1,0,48,Inf,0
"249",30,100,15,1,0,49,Inf,0
"250",30,100,15,1,0,50,Inf,0
"251",30,100,15,1,0,51,Inf,0
"252",30,100,15,1,0,52,Inf,0
"253",30,100,15,1,0,53,Inf,0
"254",30,100,15,1,0,54,Inf,0
"255",30,100,15,1,0,55,Inf,0
"256",30,100,15,1,0,56,Inf,0
"257",30,100,15,1,0,57,Inf,0
"258",30,100,15,1,0,58,Inf,0
"259",30,100,15,1,0,59,Inf,0
"260",30,100,15,1,0,60,Inf,0
"261",30,100,15,1,0,61,Inf,0
"262",30,100,15,1,0,62,Inf,0
"263",30,100,15,1,0,63,Inf,0
"264",30,100,15,1,0,64,Inf,0
"265",30,100,15,1,0,65,Inf,0
"266",30,100,15,1,0,66,Inf,0
"267",30,100,15,1,0,67,Inf,0
"268",30,100,15,1,0,68,Inf,0
"269",30,100,15,1,0,69,Inf,0
"270",30,100,15,1,0,70,Inf,0
"271",30,100,15,1,0,71,Inf,0
"272",30,100,15,1,0,72,Inf,0
"273",30,100,15,1,0,73,Inf,0
"274",30,100,15,1,0,74,Inf,0
"275",30,100,15,1,0,75,Inf,0
"276",30,100,15,1,0,76,Inf,0
"277",30,100,15,1,0,77,Inf,0
"278",30,100,15,1,0,78,Inf,0
"279",30,100,15,1,0,79,Inf,0
"280",30,100,15,1,0,80,Inf,0
"281",30,100,15,1,0,81,Inf,0
"282",30,100,15,1,0,82,Inf,0
"283",30,100,15,1,0,83,Inf,0
"284",30,100,15,1,0,84,Inf,0
"285",30,100,15,1,0,85,Inf,0
"286",30,100,15,1,0,86,Inf,0
"287",30,100,15,1,0,87,Inf,0
"288",30,100,15,1,0,88,Inf,0
"289",30,100,15,1,0,89,Inf,0
"290",30,100,15,1,0,90,Inf,0
"291",30,100,15,1,0,91,Inf,0
"292",30,100,15,1,0,92,Inf,0
"293",30,100,15,1,0,93,Inf,0
"294",30,100,15,1,0,94,Inf,0
"295",30,100,15,1,0,95,Inf,0
"296",30,100,15,1,0,96,Inf,0
"297",30,100,15,1,0,97,Inf,0
"298",30,100,15,1,0,98,Inf,0
"299",30,100,15,1,0,99,Inf,0
"300",30,100,15,1,0,100,Inf,0
"301",30,100,15,1000,0,1,15403774740255715328,0
"302",30,100,15,1000,0,2,12530.5969495895,5.30768839990259e-09
"303",30,100,15,1000,0,3,0.00858792081306825,0.997677251096465
"304",30,100,15,1000,0,4,0.734754603228304,0.00103290255768251
"305",30,100,15,1000,0,5,0.00883782423319324,0.999697046228167
"306",30,100,15,1000,0,6,168.909629287824,7.67641069376879e-07
"307",30,100,15,1000,0,7,0.0231855111697594,0.98700469965545
"308",30,100,15,1000,0,8,4.80051250477578,0.000143738348505784
"309",30,100,15,1000,0,9,0.00713725236437246,0.998992920553523
"310",30,100,15,1000,0,10,0.00741901512941088,0.999988591719648
"311",30,100,15,1000,0,11,0.191823738707575,0.158622143016454
"312",30,100,15,1000,0,12,0.00691351185724266,0.998760288494201
"313",30,100,15,1000,0,13,0.555196429332359,0.00382334071038481
"314",30,100,15,1000,0,14,0.0135824106282093,0.999203932482745
"315",30,100,15,1000,0,15,0.0321773195980867,0.880327062061009
"316",30,100,15,1000,0,16,2.23293723493173,0.0341660463226688
"317",30,100,15,1000,0,17,0.0248009482839009,0.437803346117422
"318",30,100,15,1000,0,18,0.00884204567979203,0.981278613172231
"319",30,100,15,1000,0,19,184019510273.469,8.98836560736527e-13
"320",30,100,15,1000,0,20,0.0188620023497808,0.784326383114097
"321",30,100,15,1000,0,21,5.55091437729294e+22,0
"322",30,100,15,1000,0,22,618.824616553749,2.25925448682496e-07
"323",30,100,15,1000,0,23,8.24360335161693,4.9910104253259e-05
"324",30,100,15,1000,0,24,0.0483234836147016,0.548889578440291
"325",30,100,15,1000,0,25,177.334430292557,3.35213658453348e-06
"326",30,100,15,1000,0,26,0.516309609223805,0.0651894244942655
"327",30,100,15,1000,0,27,0.0464604459389836,0.429441017611134
"328",30,100,15,1000,0,28,0.0105936166143755,0.992592249730459
"329",30,100,15,1000,0,29,0.0325211638136242,0.913038027534176
