"","N_p","N_t","sigma_b","sigma_w","mu","seeds","QUID","OANOVA","SC"
"1",100,100,0,1,0,1,1.37416282262835e-22,0.932162232502803,0.905409459054095
"2",100,100,0,1,0,2,6.68411776907625e-12,0.19785351247078,0.42995700429957
"3",100,100,0,1,0,3,0.0017361842499212,0.690547156187835,0.821117888211179
"4",100,100,0,1,0,4,9.55287072818005e-21,0.479396589045496,0.376162383761624
"5",100,100,0,1,0,5,0.00381541768665422,0.779235347978511,0.76032396760324
"6",100,100,0,1,0,6,0.002496125832898,0.562232287613593,0.364563543645635
"7",100,100,0,1,0,7,4.6297894732556e-14,0.615127102711842,0.667633236676332
"8",100,100,0,1,0,8,5.27675610618638e-19,0.517625674436579,0.190680931906809
"9",100,100,0,1,0,9,3.84017777388442e-12,0.71074866874456,0.638036196380362
"10",100,100,0,1,0,10,3.56165532952308e-17,0.288123314679427,0.351864813518648
"11",100,100,0,1,0,11,0.00192613497169693,0.589197493752669,0.394460553944606
"12",100,100,0,1,0,12,0.000747802951969773,0.99657597818122,0.998900109989001
"13",100,100,0,1,0,13,1.97448127432419e-19,0.325846859869184,0.647935206479352
"14",100,100,0,1,0,14,0.000656094724390435,0.984663405805071,0.985701429857014
"15",100,100,0,1,0,15,0.00253649343470825,0.619720446882587,0.714728527147285
"16",100,100,0,1,0,16,3.99921079915678e-15,0.238772486851473,0.0843915608439156
"17",100,100,0,1,0,17,1.66056878354326e-12,0.387372465290576,0.0945905409459054
"18",100,100,0,1,0,18,1.14212144312873e-16,0.696407696806052,0.604939506049395
"19",100,100,0,1,0,19,0.00494698991537605,0.493245926963779,0.461353864613539
"20",100,100,0,1,0,20,0.0408327281229355,0.0138572233608123,0.349265073492651
"21",100,100,0,1,0,21,1.05504885360885e-12,0.553436922783595,0.436456354364564
"22",100,100,0,1,0,22,1.59087222781905e-17,0.481374920225963,0.583341665833417
"23",100,100,0,1,0,23,3.99949995480178e-15,0.660564165590219,0.224577542245775
"24",100,100,0,1,0,24,0.00280000057746485,0.56366437580821,0.358764123587641
"25",100,100,0,1,0,25,0.00460191285227879,0.637789929514703,0.845615438456154
"26",100,100,0,1,0,26,0.00180626530254737,0.781084663924655,0.473452654734527
"27",100,100,0,1,0,27,2.54037341730662e-20,0.974796937810169,0.969203079692031
"28",100,100,0,1,0,28,0.00117442489543713,0.847392242929767,0.507349265073493
"29",100,100,0,1,0,29,1.02430585519643e-17,0.366799838778039,0.347665233476652
"30",100,100,0,1,0,30,0.00134239222336372,0.762283338443429,0.626037396260374
