"","N_p","N_t","sigma_b","sigma_w","mu","seeds","QUID","OANOVA"
"1",100,100,0,1,0,1,4.74240157664069e-15,0.213494204307436
"2",100,100,0,1,0,2,7.68621093637558e-14,0.119127759309919
"3",100,100,0,1,0,3,2.11801074814177e-12,0.0381318152662435
"4",100,100,0,1,0,4,5.83243228205053e-19,0.550355394340495
"5",100,100,0,1,0,5,5.05473085994094e-20,0.155540226476353
"6",100,100,0,1,0,6,2.6423668195025e-18,0.681948808732635
"7",100,100,0,1,0,7,3.36496002978549e-18,0.349461335331286
"8",100,100,0,1,0,8,2.34597094646567e-14,0.15476899862346
"9",100,100,0,1,0,9,3.83933308941559e-18,0.568052149992576
"10",100,100,0,1,0,10,0.000726295971936713,0.987894928578192
"11",100,100,0,1,0,11,7.71985046984871e-17,0.722486720998652
"12",100,100,0,1,0,12,0.00235829988921134,0.57936854624931
"13",100,100,0,1,0,13,0.00308849525502017,0.73718782022305
"14",100,100,0,1,0,14,3.84930037770294e-12,0.212939585148149
"15",100,100,0,1,0,15,0.0042936258016836,0.487555414506487
"16",100,100,0,1,0,16,1.89397779426522e-18,0.226929599366538
"17",100,100,0,1,0,17,0.00226190289122242,0.593642256043963
"18",100,100,0,1,0,18,1.14243576228738e-17,0.871530992631565
"19",100,100,0,1,0,19,1.29992385280111e-12,0.0159356791883323
"20",100,100,0,1,0,20,5.19846096126227e-17,0.311593946122865
"21",100,100,0,1,0,21,0.00438747429086613,0.387250944330553
"22",100,100,0,1,0,22,0.00283538766322205,0.531844910536954
"23",100,100,0,1,0,23,2.14939090551252e-19,0.261491349886824
"24",100,100,0,1,0,24,2.98420647333959e-22,0.731856873446255
"25",100,100,0,1,0,25,1.99994004765702e-12,0.110007777811028
"26",100,100,0,1,0,26,0.000909509087526615,0.947353931073571
"27",100,100,0,1,0,27,2.0716787718018e-15,0.397872252671653
"28",100,100,0,1,0,28,3.18485539640511e-14,0.473545132921663
"29",100,100,0,1,0,29,0.00480021617895223,0.41667183597227
"30",100,100,0,1,0,30,2.62965279109258e-17,0.143231727853997
"31",100,100,0,1,0,31,4.38328958214235e-17,0.462575876034861
"32",100,100,0,1,0,32,0.0014156740953246,0.744915738214821
"33",100,100,0,1,0,33,6.05117226932416e-20,0.572076358208912
"34",100,100,0,1,0,34,0.0117434334623042,0.265972270885215
"35",100,100,0,1,0,35,2.89551624217242e-20,0.91245148575339
"36",100,100,0,1,0,36,9.61639330337985e-13,0.386143207325657
"37",100,100,0,1,0,37,1.56530499611865e-17,0.714105381932989
"38",100,100,0,1,0,38,1.73349254046799e-14,0.0881878586491696
"39",100,100,0,1,0,39,0.00278172428028738,0.542144892747144
"40",100,100,0,1,0,40,1.12503171019813e-12,0.611397330942966
"41",100,100,0,1,0,41,1.8957385812176e-16,0.29713588175334
"42",100,100,0,1,0,42,2.46397521245867e-17,0.505766312211141
"43",100,100,0,1,0,43,1.96545225585632e-17,0.0973931259780092
"44",100,100,0,1,0,44,0.00107067298058756,0.920014817434128
"45",100,100,0,1,0,45,3.94748504079452e-19,0.0187500590230181
"46",100,100,0,1,0,46,0.0349599748245751,0.0952510709378146
"47",100,100,0,1,0,47,0.00138268335742651,0.979809719262996
"48",100,100,0,1,0,48,1.15671050323331e-18,0.580058075548076
"49",100,100,0,1,0,49,0.00113449553449222,0.939153180657603
"50",100,100,0,1,0,50,3.84351770960212e-21,0.341878961800822
"51",100,100,0,1,0,51,0.00501407354461199,0.367184717794543
"52",100,100,0,1,0,52,1.02529439276565e-16,0.644695830223878
"53",100,100,0,1,0,53,8.46078472993416e-17,0.00390057284416201
"54",100,100,0,1,0,54,0.00171325821010795,0.664144699035151
"55",100,100,0,1,0,55,0.00219417268297509,0.842652903938389
"56",100,100,0,1,0,56,0.000766918294767513,0.962864921971483
"57",100,100,0,1,0,57,0.00151696029512384,0.853040725608249
"58",100,100,0,1,0,58,1.20201647880197e-15,0.62507403204517
"59",100,100,0,1,0,59,0.00813093571962797,0.584697987990167
"60",100,100,0,1,0,60,1.41007696834213e-16,0.576013857486809
"61",100,100,0,1,0,61,0.00201982631875725,0.724754114140519
"62",100,100,0,1,0,62,4.11202586617488e-10,0.636332130248684
"63",100,100,0,1,0,63,9.641676751301e-20,0.164030450384281
"64",100,100,0,1,0,64,0.023815744283229,0.162159027613581
"65",100,100,0,1,0,65,6.79343791629953e-19,0.249941301984241
"66",100,100,0,1,0,66,9.92813054570349e-19,0.463463482707961
"67",100,100,0,1,0,67,0.00440750675931399,0.966718753824856
"68",100,100,0,1,0,68,9.45360035924343e-14,0.473931930679553
"69",100,100,0,1,0,69,0.00647621399094726,0.576994882832826
"70",100,100,0,1,0,70,0.00392290014799388,0.454889511272633
"71",100,100,0,1,0,71,0.00710594269293525,0.817203333054528
"72",100,100,0,1,0,72,0.0114827597541283,0.768521671418374
"73",100,100,0,1,0,73,0.00270890197441502,0.664628041619829
"74",100,100,0,1,0,74,9.46990762520117e-17,0.0273036702469922
"75",100,100,0,1,0,75,8.61385111613221e-18,0.925191563239052
"76",100,100,0,1,0,76,0.00541254864439122,0.433595163976142
"77",100,100,0,1,0,77,0.010584488220246,0.676619101166549
"78",100,100,0,1,0,78,1.98429405956214e-18,0.266289342852554
"79",100,100,0,1,0,79,0.00780518817518667,0.597927216533154
"80",100,100,0,1,0,80,1.33222497000427e-15,0.538548572035113
"81",100,100,0,1,0,81,7.36587927789021e-22,0.154132467125042
"82",100,100,0,1,0,82,2.94682123256932e-18,0.507979987554037
"83",100,100,0,1,0,83,0.000901311632002471,0.956915896469499
"84",100,100,0,1,0,84,2.08522139349746e-20,0.560914337023765
"85",100,100,0,1,0,85,0.0173230503286419,0.090421894493499
"86",100,100,0,1,0,86,6.75425314377641e-20,0.68419085593217
