"","mu","N_p","N_t","sds_ratio","sigma_b","sigma_w","seeds","ABSES_p","ABSES_statistic","Test","Power"
"1",0,17,48,0.1,1,10,125.5,0.470963303669633,0.239970693184482,"ABSES",0.088
"2",0,17,48,0.15,1.5,10,125.5,0.385023097690231,0.255158130590479,"ABSES",0.156
"3",0,17,48,0.2,2,10,125.5,0.282065793420658,0.275615599228329,"ABSES",0.276
"4",0,17,144,0.1,1,10,125.5,0.259221277872213,0.158148073631023,"ABSES",0.28
"5",0,17,144,0.15,1.5,10,125.5,0.12376802319768,0.181161391128815,"ABSES",0.544
"6",0,17,144,0.2,2,10,125.5,0.0429489051094891,0.209244971436193,"ABSES",0.812
"7",0,17,208,0.1,1,10,125.5,0.226092590740926,0.136238440614962,"ABSES",0.34
"8",0,17,208,0.15,1.5,10,125.5,0.0814270572942706,0.161988041937817,"ABSES",0.7
"9",0,17,208,0.2,2,10,125.5,0.0204595540445955,0.192238059000438,"ABSES",0.88
"10",0,22,48,0.1,1,10,125.5,0.413881811818818,0.245358974744889,"ABSES",0.088
"11",0,22,48,0.15,1.5,10,125.5,0.3155900409959,0.261059595560241,"ABSES",0.184
"12",0,22,48,0.2,2,10,125.5,0.212715128487151,0.281199581038078,"ABSES",0.336
"13",0,22,144,0.1,1,10,125.5,0.257224277572243,0.154912050788182,"ABSES",0.256
"14",0,22,144,0.15,1.5,10,125.5,0.105679432056794,0.177874524386665,"ABSES",0.608
"15",0,22,144,0.2,2,10,125.5,0.0338634136586341,0.205729826241878,"ABSES",0.872
"16",0,22,208,0.1,1,10,125.5,0.20171302869713,0.13454145644039,"ABSES",0.344
"17",0,22,208,0.15,1.5,10,125.5,0.0562683731626837,0.160531087211122,"ABSES",0.764
"18",0,22,208,0.2,2,10,125.5,0.0126139386061394,0.191260837144288,"ABSES",0.948
"19",0,34,48,0.1,1,10,125.5,0.401437056294371,0.245632573644518,"ABSES",0.096
"20",0,34,48,0.15,1.5,10,125.5,0.275434056594341,0.261754344189394,"ABSES",0.236
"21",0,34,48,0.2,2,10,125.5,0.156769923007699,0.28269370357037,"ABSES",0.436
"22",0,34,144,0.1,1,10,125.5,0.202992900709929,0.15481566063033,"ABSES",0.328
"23",0,34,144,0.15,1.5,10,125.5,0.0479476052394761,0.179144968874865,"ABSES",0.792
"24",0,34,144,0.2,2,10,125.5,0.00976462353764623,0.208312427841828,"ABSES",0.96
"25",0,34,208,0.1,1,10,125.5,0.131776422357764,0.136002127950077,"ABSES",0.516
"26",0,34,208,0.15,1.5,10,125.5,0.0207627237276272,0.162276447985722,"ABSES",0.912
"27",0,34,208,0.2,2,10,125.5,0.00128747125287471,0.193488255751526,"ABSES",1
