S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
22E   	2   	1   	  50 	above 	red 	red 	Good 	0.470 	0.072 	2.794 	
22E   	2   	2   	  50 	below 	red 	red 	Good 	0.436 	0.138 	13.235 	
22E   	2   	3   	  50 	above 	green 	red 	Good 	0.582 	0.121 	11.765 	
22E   	2   	4   	  350 	above 	red 	green 	Good 	0.325 	0.078 	15.000 	
22E   	2   	6   	  50 	above 	green 	green 	Good 	0.301 	0.076 	16.618 	
22E   	2   	7   	  350 	above 	green 	green 	Good 	0.235 	0.079 	16.471 	
22E   	2   	8   	  950 	below 	red 	red 	Good 	0.459 	0.119 	9.853 	
22E   	2   	9   	  950 	below 	red 	green 	Good 	0.385 	0.073 	14.706 	
22E   	2   	10   	  650 	above 	red 	red 	Good 	0.415 	0.110 	9.412 	
22E   	2   	11   	  950 	above 	red 	green 	Good 	0.433 	0.074 	12.353 	
22E   	2   	12   	  650 	above 	green 	green 	Good 	0.337 	0.076 	13.971 	
22E   	2   	13   	  350 	below 	red 	green 	Good 	0.395 	0.071 	15.441 	
22E   	2   	14   	  650 	below 	green 	red 	Good 	0.334 	0.066 	2.353 	
22E   	2   	15   	  950 	above 	green 	red 	Good 	0.376 	0.115 	9.853 	
22E   	2   	16   	  650 	below 	red 	red 	Good 	0.451 	0.102 	10.000 	
22E   	2   	17   	  950 	below 	green 	red 	Good 	0.455 	0.106 	8.676 	
22E   	2   	18   	  650 	below 	green 	green 	Good 	0.340 	0.078 	15.588 	
22E   	2   	19   	  350 	above 	green 	red 	Good 	0.535 	0.104 	8.824 	
22E   	2   	20   	  350 	below 	green 	red 	Good 	0.342 	0.073 	2.941 	
22E   	2   	21   	  650 	above 	red 	green 	Good 	0.425 	0.073 	13.382 	
22E   	2   	24   	  350 	below 	red 	red 	Good 	0.331 	0.142 	10.147 	
22E   	2   	25   	  950 	above 	red 	red 	Good 	0.304 	0.117 	10.588 	
22E   	2   	26   	  350 	above 	red 	red 	Good 	0.329 	0.093 	6.912 	
22E   	2   	27   	  50 	below 	green 	green 	Good 	0.424 	0.069 	12.353 	
22E   	2   	28   	  950 	above 	green 	green 	Good 	0.310 	0.075 	12.941 	
22E   	2   	29   	  950 	below 	green 	green 	Good 	0.279 	0.083 	13.235 	
22E   	2   	30   	  650 	above 	green 	red 	Good 	0.373 	0.122 	10.294 	
22E   	2   	31   	  350 	below 	green 	green 	Good 	0.283 	0.070 	12.941 	
22E   	2   	32   	  650 	below 	red 	green 	Good 	0.347 	0.063 	10.588 	
