S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
24E   	2   	2   	  50 	above 	green 	green 	Good 	0.727 	0.095 	15.588 	
24E   	2   	4   	  650 	below 	red 	red 	Good 	0.499 	0.159 	13.235 	
24E   	2   	5   	  350 	above 	green 	green 	Good 	0.425 	0.075 	13.235 	
24E   	2   	6   	  350 	below 	green 	red 	Good 	0.400 	0.068 	3.088 	
24E   	2   	7   	  350 	below 	red 	green 	Good 	0.494 	0.074 	12.794 	
24E   	2   	9   	  650 	above 	red 	red 	Good 	0.485 	0.124 	13.382 	
24E   	2   	10   	  650 	above 	red 	green 	Good 	0.291 	0.078 	13.676 	
24E   	2   	11   	  950 	below 	red 	red 	Good 	0.555 	0.132 	13.676 	
24E   	2   	12   	  950 	above 	red 	red 	Good 	0.391 	0.123 	12.059 	
24E   	2   	13   	  650 	below 	green 	red 	Good 	0.474 	0.150 	11.765 	
24E   	2   	14   	  50 	above 	red 	green 	Good 	0.660 	0.070 	11.471 	
24E   	2   	15   	  350 	above 	red 	red 	Good 	0.453 	0.101 	9.853 	
24E   	2   	16   	  950 	above 	red 	green 	Good 	0.417 	0.081 	14.412 	
24E   	2   	17   	  50 	below 	red 	green 	Good 	0.578 	0.075 	12.353 	
24E   	2   	18   	  350 	below 	green 	green 	Good 	0.378 	0.067 	13.235 	
24E   	2   	19   	  50 	above 	green 	red 	Good 	0.496 	0.113 	12.059 	
24E   	2   	20   	  950 	above 	green 	green 	Good 	0.363 	0.069 	12.941 	
24E   	2   	21   	  50 	below 	green 	green 	Good 	0.548 	0.067 	12.941 	
24E   	2   	22   	  50 	above 	red 	red 	Good 	0.615 	0.108 	10.147 	
24E   	2   	23   	  50 	below 	red 	red 	Good 	0.438 	0.106 	12.794 	
24E   	2   	24   	  650 	above 	green 	green 	Good 	0.317 	0.076 	13.824 	
24E   	2   	25   	  950 	below 	green 	green 	Good 	0.455 	0.070 	13.382 	
24E   	2   	26   	  950 	below 	red 	green 	Good 	0.496 	0.066 	13.088 	
24E   	2   	27   	  350 	above 	red 	green 	Good 	0.544 	0.057 	11.176 	
24E   	2   	28   	  50 	below 	green 	red 	Good 	0.573 	0.119 	10.000 	
24E   	2   	29   	  650 	above 	green 	red 	Good 	0.512 	0.112 	8.676 	
24E   	2   	30   	  650 	below 	green 	green 	Good 	0.309 	0.081 	15.000 	
24E   	2   	31   	  950 	above 	green 	red 	Good 	0.378 	0.126 	10.735 	
24E   	2   	32   	  950 	below 	green 	red 	Good 	0.339 	0.112 	8.088 	
24E   	3   	1   	  650 	above 	red 	red 	Good 	0.333 	0.133 	18.235 	
24E   	3   	2   	  950 	below 	green 	red 	Good 	0.397 	0.096 	10.147 	
24E   	3   	3   	  50 	above 	green 	green 	Good 	0.541 	0.073 	10.147 	
24E   	3   	4   	  650 	above 	red 	green 	Good 	0.355 	0.083 	10.882 	
24E   	3   	5   	  650 	below 	green 	green 	Good 	0.412 	0.078 	11.912 	
24E   	3   	6   	  950 	above 	green 	green 	Good 	0.448 	0.077 	11.618 	
24E   	3   	7   	  650 	below 	red 	green 	Good 	0.441 	0.076 	10.441 	
24E   	3   	8   	  50 	above 	green 	red 	Good 	0.513 	0.144 	11.176 	
24E   	3   	9   	  350 	below 	green 	green 	Good 	0.384 	0.088 	11.029 	
24E   	3   	10   	  50 	above 	red 	green 	Good 	0.528 	0.082 	9.412 	
24E   	3   	11   	  650 	below 	red 	red 	Good 	0.272 	0.115 	13.676 	
24E   	3   	12   	  650 	above 	green 	red 	Good 	0.410 	0.139 	13.235 	
24E   	3   	13   	  350 	above 	red 	green 	Good 	0.412 	0.076 	10.294 	
24E   	3   	14   	  50 	below 	green 	green 	Good 	0.460 	0.076 	9.853 	
24E   	3   	15   	  950 	below 	green 	green 	Good 	0.362 	0.074 	9.706 	
24E   	3   	16   	  50 	below 	red 	green 	Good 	0.392 	0.085 	11.324 	
24E   	3   	17   	  950 	above 	red 	red 	Good 	0.322 	0.127 	11.912 	
24E   	3   	18   	  50 	above 	red 	red 	Good 	0.414 	0.099 	8.824 	
24E   	3   	19   	  350 	below 	red 	red 	Good 	0.355 	0.112 	12.206 	
24E   	3   	20   	  350 	below 	green 	red 	Good 	0.494 	0.126 	13.529 	
24E   	3   	21   	  950 	below 	red 	red 	Good 	0.320 	0.113 	12.794 	
24E   	3   	22   	  350 	below 	red 	green 	Good 	0.367 	0.083 	11.471 	
24E   	3   	24   	  650 	above 	green 	green 	Good 	0.304 	0.072 	8.971 	
24E   	3   	25   	  950 	below 	red 	green 	Good 	0.270 	0.066 	8.382 	
24E   	3   	26   	  350 	above 	red 	red 	Good 	0.347 	0.101 	11.765 	
24E   	3   	27   	  950 	above 	red 	green 	Good 	0.346 	0.070 	9.118 	
24E   	3   	28   	  650 	below 	green 	red 	Good 	0.382 	0.115 	13.676 	
