S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
26E   	2   	1   	  50 	above 	red 	green 	Good 	0.720 	0.109 	11.324 	
26E   	2   	2   	  650 	above 	red 	red 	Good 	0.331 	0.112 	14.853 	
26E   	2   	3   	  350 	above 	red 	green 	Good 	0.500 	0.081 	8.382 	
26E   	2   	4   	  950 	above 	red 	green 	Good 	0.439 	0.086 	7.794 	
26E   	2   	5   	  950 	above 	red 	red 	Good 	0.346 	0.094 	11.324 	
26E   	2   	6   	  650 	below 	green 	red 	Good 	0.396 	0.084 	9.265 	
26E   	2   	7   	  50 	below 	green 	green 	Good 	0.500 	0.070 	6.324 	
26E   	2   	8   	  50 	below 	red 	green 	Good 	0.582 	0.094 	8.235 	
26E   	2   	9   	  50 	above 	green 	green 	Good 	0.494 	0.079 	7.500 	
26E   	2   	10   	  350 	below 	green 	green 	Good 	0.423 	0.090 	7.941 	
26E   	2   	11   	  50 	above 	red 	red 	Good 	0.652 	0.092 	10.147 	
26E   	2   	12   	  650 	above 	green 	red 	Good 	0.339 	0.089 	9.559 	
26E   	2   	14   	  650 	above 	green 	green 	Good 	0.327 	0.075 	6.618 	
26E   	2   	15   	  50 	below 	green 	red 	Good 	0.702 	0.105 	12.794 	
26E   	2   	16   	  950 	below 	red 	green 	Good 	0.452 	0.092 	4.412 	
26E   	2   	17   	  350 	above 	green 	red 	Good 	0.666 	0.088 	9.265 	
26E   	2   	18   	  350 	above 	red 	red 	Good 	0.458 	0.088 	10.441 	
26E   	2   	19   	  50 	below 	red 	red 	Good 	0.403 	0.086 	8.088 	
26E   	2   	20   	  950 	above 	green 	green 	Good 	0.446 	0.089 	8.676 	
26E   	2   	23   	  950 	below 	green 	green 	Good 	0.424 	0.085 	7.941 	
26E   	2   	24   	  650 	above 	red 	green 	Good 	0.483 	0.097 	8.824 	
26E   	2   	25   	  650 	below 	red 	red 	Good 	0.423 	0.088 	8.971 	
26E   	2   	26   	  950 	below 	red 	red 	Good 	0.438 	0.094 	9.706 	
26E   	2   	27   	  350 	below 	red 	red 	Good 	0.421 	0.091 	10.588 	
26E   	2   	28   	  950 	above 	green 	red 	Good 	0.379 	0.092 	11.176 	
