S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
29E   	2   	1   	  350 	below 	green 	green 	Good 	0.690 	0.104 	14.559 	
29E   	2   	3   	  650 	above 	red 	green 	Good 	0.461 	0.109 	11.765 	
29E   	2   	4   	  950 	above 	red 	red 	Good 	0.438 	0.098 	10.882 	
29E   	2   	5   	  50 	below 	red 	green 	Good 	0.455 	0.102 	12.353 	
29E   	2   	6   	  950 	above 	green 	green 	Good 	0.326 	0.099 	9.118 	
29E   	2   	7   	  650 	below 	green 	green 	Good 	0.373 	0.103 	10.147 	
29E   	2   	8   	  950 	above 	green 	red 	Good 	0.362 	0.174 	13.382 	
29E   	2   	9   	  350 	below 	red 	red 	Good 	0.322 	0.132 	14.412 	
29E   	2   	10   	  650 	below 	red 	green 	Good 	0.373 	0.117 	12.206 	
29E   	2   	11   	  650 	above 	green 	green 	Good 	0.303 	0.097 	11.029 	
29E   	2   	12   	  350 	above 	red 	green 	Good 	0.422 	0.102 	12.206 	
29E   	2   	13   	  950 	below 	red 	red 	Good 	0.327 	0.104 	12.206 	
29E   	2   	14   	  950 	below 	green 	green 	Good 	0.509 	0.108 	11.176 	
29E   	2   	15   	  350 	above 	green 	green 	Good 	0.411 	0.111 	11.912 	
29E   	2   	16   	  50 	above 	red 	red 	Good 	0.364 	0.104 	10.588 	
29E   	2   	17   	  650 	above 	green 	red 	Good 	0.485 	0.134 	13.382 	
29E   	2   	18   	  350 	above 	red 	red 	Good 	0.364 	0.095 	12.647 	
29E   	2   	19   	  50 	below 	green 	green 	Good 	0.509 	0.104 	11.912 	
29E   	2   	20   	  50 	above 	green 	green 	Good 	0.473 	0.106 	11.765 	
29E   	2   	22   	  350 	above 	green 	red 	Good 	0.418 	0.087 	9.853 	
29E   	2   	23   	  650 	below 	red 	red 	Good 	0.320 	0.077 	10.588 	
29E   	2   	24   	  50 	above 	red 	green 	Good 	0.507 	0.106 	11.029 	
29E   	2   	25   	  50 	above 	green 	red 	Good 	0.642 	0.093 	10.294 	
29E   	2   	26   	  650 	above 	red 	red 	Good 	0.316 	0.168 	15.000 	
29E   	2   	27   	  650 	below 	green 	red 	Good 	0.405 	0.080 	8.971 	
29E   	2   	28   	  950 	above 	red 	green 	Good 	0.310 	0.105 	10.147 	
29E   	2   	29   	  350 	below 	green 	red 	Good 	0.464 	0.082 	9.265 	
29E   	2   	30   	  950 	below 	red 	green 	Good 	0.487 	0.095 	10.147 	
29E   	2   	31   	  50 	below 	green 	red 	Good 	0.510 	0.088 	10.294 	
29E   	2   	32   	  50 	below 	red 	red 	Good 	0.598 	0.095 	9.853 	
29E   	3   	2   	  950 	below 	red 	green 	Good 	0.488 	0.101 	11.471 	
29E   	3   	3   	  50 	above 	red 	red 	Good 	0.481 	0.135 	17.206 	
29E   	3   	4   	  50 	above 	green 	green 	Good 	0.470 	0.103 	10.882 	
29E   	3   	5   	  350 	above 	green 	red 	Good 	0.495 	0.109 	10.441 	
29E   	3   	6   	  650 	above 	red 	green 	Good 	0.415 	0.096 	10.294 	
29E   	3   	7   	  650 	above 	red 	red 	Good 	0.465 	0.082 	9.853 	
29E   	3   	8   	  350 	below 	green 	green 	Good 	0.368 	0.095 	9.559 	
29E   	3   	9   	  650 	below 	red 	green 	Good 	0.382 	0.104 	11.324 	
29E   	3   	10   	  350 	above 	green 	green 	Good 	0.382 	0.099 	10.735 	
29E   	3   	11   	  50 	above 	green 	red 	Good 	0.582 	0.105 	12.059 	
29E   	3   	12   	  350 	below 	red 	green 	Good 	0.544 	0.102 	10.588 	
29E   	3   	14   	  650 	below 	red 	red 	Good 	0.361 	0.100 	11.618 	
29E   	3   	15   	  950 	above 	green 	red 	Good 	0.425 	0.093 	8.971 	
29E   	3   	16   	  50 	below 	red 	red 	Good 	0.491 	0.096 	11.765 	
29E   	3   	17   	  50 	below 	green 	red 	Good 	0.672 	0.086 	11.765 	
29E   	3   	18   	  650 	above 	green 	green 	Good 	0.427 	0.114 	11.912 	
29E   	3   	19   	  650 	above 	green 	red 	Good 	0.523 	0.111 	12.353 	
29E   	3   	20   	  950 	below 	red 	red 	Good 	0.406 	0.092 	7.941 	
29E   	3   	21   	  350 	above 	red 	green 	Good 	0.580 	0.109 	12.941 	
29E   	3   	22   	  350 	below 	green 	red 	Good 	0.604 	0.081 	10.441 	
29E   	3   	23   	  350 	above 	red 	red 	Good 	0.344 	0.101 	12.647 	
29E   	3   	24   	  950 	below 	green 	green 	Good 	0.392 	0.098 	10.294 	
29E   	3   	25   	  950 	below 	green 	red 	Good 	0.381 	0.084 	7.941 	
29E   	3   	26   	  50 	below 	red 	green 	Good 	0.802 	0.106 	11.324 	
29E   	3   	28   	  950 	above 	red 	red 	Good 	0.407 	0.112 	10.000 	
29E   	3   	29   	  650 	below 	green 	red 	Good 	0.533 	0.083 	10.147 	
29E   	3   	30   	  950 	above 	red 	green 	Good 	0.433 	0.093 	10.441 	
29E   	3   	31   	  50 	above 	red 	green 	Good 	0.591 	0.095 	9.265 	
29E   	3   	32   	  50 	below 	green 	green 	Good 	0.407 	0.079 	9.412 	
29E   	4   	2   	  350 	below 	red 	green 	Good 	0.404 	0.109 	11.618 	
29E   	4   	3   	  350 	above 	green 	green 	Good 	0.391 	0.105 	10.441 	
29E   	4   	4   	  950 	above 	green 	red 	Good 	0.306 	0.089 	12.206 	
29E   	4   	5   	  650 	above 	green 	green 	Good 	0.399 	0.088 	9.853 	
29E   	4   	6   	  50 	below 	green 	green 	Good 	0.597 	0.103 	9.559 	
29E   	4   	7   	  650 	above 	red 	green 	Good 	0.356 	0.097 	8.824 	
29E   	4   	9   	  350 	above 	red 	red 	Good 	0.343 	0.084 	9.559 	
29E   	4   	11   	  950 	above 	red 	green 	Good 	0.342 	0.091 	8.824 	
29E   	4   	12   	  350 	below 	red 	red 	Good 	0.547 	0.072 	10.000 	
