S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
30E   	2   	1   	  650 	below 	red 	red 	Good 	0.547 	0.080 	8.971 	
30E   	2   	2   	  50 	below 	green 	red 	Good 	0.565 	0.069 	9.265 	
30E   	2   	3   	  50 	below 	red 	red 	Good 	0.359 	0.075 	8.971 	
30E   	2   	4   	  350 	below 	green 	red 	Good 	0.447 	0.069 	6.912 	
30E   	2   	5   	  350 	above 	green 	green 	Good 	0.301 	0.104 	11.912 	
30E   	2   	6   	  650 	below 	green 	red 	Good 	0.392 	0.073 	7.794 	
30E   	2   	7   	  50 	above 	green 	red 	Good 	0.481 	0.072 	7.647 	
30E   	2   	8   	  50 	below 	green 	green 	Good 	0.347 	0.102 	12.059 	
30E   	2   	9   	  950 	below 	red 	red 	Good 	0.355 	0.082 	8.529 	
30E   	2   	10   	  650 	above 	red 	red 	Good 	0.399 	0.078 	7.794 	
30E   	2   	11   	  950 	above 	green 	red 	Good 	0.365 	0.067 	5.588 	
30E   	2   	12   	  950 	above 	green 	green 	Good 	0.487 	0.111 	9.853 	
30E   	2   	13   	  950 	above 	red 	green 	Good 	0.329 	0.109 	10.294 	
30E   	2   	14   	  350 	below 	red 	green 	Good 	0.397 	0.112 	11.176 	
30E   	2   	15   	  950 	below 	green 	green 	Good 	0.302 	0.104 	10.882 	
30E   	2   	16   	  50 	above 	red 	red 	Good 	0.459 	0.075 	11.324 	
30E   	2   	17   	  350 	above 	green 	red 	Good 	0.369 	0.079 	9.118 	
30E   	2   	18   	  650 	below 	green 	green 	Good 	0.297 	0.108 	12.647 	
30E   	2   	19   	  650 	above 	green 	green 	Good 	0.411 	0.110 	11.029 	
30E   	2   	20   	  350 	above 	red 	green 	Good 	0.410 	0.105 	11.176 	
30E   	2   	21   	  650 	below 	red 	green 	Good 	0.280 	0.100 	11.176 	
30E   	2   	22   	  50 	above 	red 	green 	Good 	0.394 	0.107 	10.147 	
30E   	2   	23   	  350 	below 	green 	green 	Good 	0.425 	0.102 	10.588 	
