S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
34e   	2   	1   	  950 	below 	red 	green 	Good 	0.685 	0.116 	10.882 	
34e   	2   	2   	  50 	below 	green 	green 	Good 	0.689 	0.105 	11.029 	
34e   	2   	3   	  950 	below 	red 	red 	Good 	0.365 	0.073 	10.735 	
34e   	2   	4   	  350 	above 	green 	green 	Good 	0.463 	0.130 	11.912 	
34e   	2   	5   	  650 	below 	green 	red 	Good 	0.310 	0.073 	13.382 	
34e   	2   	6   	  950 	above 	red 	green 	Good 	0.394 	0.115 	9.118 	
34e   	2   	7   	  650 	below 	red 	red 	Good 	0.417 	0.069 	10.294 	
34e   	2   	8   	  950 	below 	green 	green 	Good 	0.355 	0.143 	10.441 	
34e   	2   	9   	  350 	above 	red 	red 	Good 	0.373 	0.070 	13.676 	
34e   	2   	10   	  50 	above 	green 	red 	Good 	0.684 	0.079 	12.206 	
34e   	2   	11   	  950 	above 	red 	red 	Good 	0.555 	0.067 	11.618 	
34e   	2   	12   	  350 	below 	green 	green 	Good 	0.515 	0.122 	11.324 	
34e   	2   	13   	  650 	below 	green 	green 	Good 	0.389 	0.125 	11.324 	
34e   	2   	14   	  650 	above 	green 	green 	Good 	0.339 	0.117 	9.853 	
34e   	2   	15   	  950 	below 	green 	red 	Good 	0.356 	0.063 	12.206 	
34e   	2   	16   	  350 	below 	red 	green 	Good 	0.391 	0.139 	10.735 	
34e   	2   	17   	  650 	above 	green 	red 	Good 	0.331 	0.064 	12.647 	
34e   	2   	18   	  650 	above 	red 	green 	Good 	0.393 	0.124 	11.324 	
34e   	2   	19   	  650 	above 	red 	red 	Good 	0.283 	0.065 	14.412 	
34e   	2   	20   	  50 	below 	red 	red 	Good 	0.526 	0.071 	13.529 	
34e   	2   	21   	  50 	below 	green 	red 	Good 	0.666 	0.070 	16.176 	
34e   	2   	22   	  50 	above 	red 	red 	Good 	0.420 	0.078 	10.735 	
34e   	2   	23   	  350 	above 	red 	green 	Good 	0.402 	0.139 	12.353 	
34e   	2   	24   	  950 	above 	green 	green 	Good 	0.344 	0.121 	9.559 	
34e   	2   	25   	  50 	above 	green 	green 	Good 	0.414 	0.115 	10.000 	
34e   	2   	26   	  350 	below 	red 	red 	Good 	0.415 	0.066 	13.676 	
34e   	2   	27   	  50 	below 	red 	green 	Good 	0.558 	0.121 	11.471 	
34e   	2   	28   	  650 	below 	red 	green 	Good 	0.388 	0.123 	10.441 	
34e   	2   	29   	  350 	above 	green 	red 	Good 	0.527 	0.081 	16.176 	
34e   	2   	30   	  50 	above 	red 	green 	Good 	0.624 	0.128 	11.471 	
34e   	2   	31   	  350 	below 	green 	red 	Good 	0.447 	0.076 	12.059 	
34e   	2   	32   	  950 	above 	green 	red 	Good 	0.320 	0.073 	11.912 	
34e   	3   	1   	  50 	above 	red 	green 	Good 	0.959 	0.115 	12.059 	
