S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
6E   	2   	1   	  350 	below 	green 	red 	Good 	0.562 	0.085 	8.382 	
6E   	2   	2   	  950 	below 	red 	green 	Good 	0.321 	0.075 	8.676 	
6E   	2   	4   	  350 	below 	red 	red 	Good 	0.513 	0.113 	9.706 	
6E   	2   	6   	  650 	above 	red 	green 	Good 	0.425 	0.067 	9.118 	
6E   	2   	7   	  50 	below 	red 	green 	Good 	0.518 	0.068 	7.500 	
6E   	2   	8   	  650 	below 	red 	green 	Good 	0.296 	0.063 	8.088 	
6E   	2   	9   	  950 	above 	green 	green 	Good 	0.296 	0.069 	6.176 	
6E   	2   	15   	  650 	below 	green 	red 	Good 	0.366 	0.123 	8.676 	
6E   	2   	16   	  350 	above 	green 	red 	Good 	0.524 	0.148 	8.529 	
6E   	2   	17   	  50 	below 	green 	red 	Good 	0.408 	0.152 	9.118 	
6E   	2   	19   	  50 	below 	red 	red 	Good 	0.469 	0.094 	5.441 	
6E   	2   	20   	  650 	below 	green 	green 	Good 	0.511 	0.067 	5.294 	
6E   	2   	22   	  650 	above 	green 	red 	Good 	0.426 	0.061 	5.294 	
6E   	2   	23   	  50 	above 	green 	red 	Good 	0.422 	0.118 	11.471 	
6E   	2   	24   	  950 	below 	red 	red 	Good 	0.297 	0.095 	9.265 	
6E   	2   	25   	  650 	above 	red 	red 	Good 	0.385 	0.102 	10.588 	
6E   	2   	26   	  950 	below 	green 	green 	Good 	0.348 	0.043 	2.647 	
6E   	2   	27   	  950 	below 	green 	red 	Good 	0.284 	0.134 	12.353 	
6E   	2   	28   	  350 	above 	green 	green 	Good 	0.384 	0.070 	6.029 	
6E   	2   	29   	  50 	below 	green 	green 	Good 	0.326 	0.097 	9.706 	
6E   	2   	30   	  950 	above 	red 	red 	Good 	0.388 	0.084 	5.882 	
6E   	2   	31   	  650 	above 	green 	green 	Good 	0.279 	0.061 	7.206 	
6E   	2   	32   	  50 	above 	red 	green 	Good 	0.436 	0.061 	5.882 	
6E   	3   	2   	  650 	below 	red 	red 	Good 	0.379 	0.063 	15.735 	
6E   	3   	3   	  350 	above 	green 	red 	Good 	0.451 	0.055 	17.206 	
6E   	3   	4   	  350 	above 	red 	red 	Good 	0.405 	0.098 	18.088 	
6E   	3   	5   	  350 	above 	green 	green 	Good 	0.384 	0.039 	16.912 	
6E   	3   	6   	  650 	above 	red 	green 	Good 	0.379 	0.048 	19.265 	
6E   	3   	7   	  650 	below 	green 	green 	Good 	0.261 	0.066 	18.529 	
6E   	3   	8   	  50 	below 	green 	green 	Good 	0.413 	0.075 	10.441 	
6E   	3   	9   	  950 	below 	red 	red 	Good 	0.371 	0.116 	15.000 	
6E   	3   	10   	  650 	above 	green 	red 	Good 	0.383 	0.081 	8.529 	
6E   	3   	11   	  350 	below 	red 	red 	Good 	0.370 	0.085 	7.794 	
6E   	3   	12   	  650 	below 	green 	red 	Good 	0.379 	0.088 	8.676 	
6E   	3   	13   	  350 	below 	green 	green 	Good 	0.403 	0.075 	10.441 	
6E   	3   	14   	  350 	below 	red 	green 	Good 	0.448 	0.066 	4.559 	
6E   	3   	15   	  950 	above 	red 	red 	Good 	0.306 	0.097 	10.882 	
6E   	3   	16   	  650 	above 	green 	green 	Good 	0.278 	0.077 	11.324 	
6E   	3   	17   	  950 	above 	green 	green 	Good 	0.294 	0.073 	11.471 	
6E   	3   	18   	  950 	below 	green 	green 	Good 	0.297 	0.062 	7.206 	
6E   	3   	19   	  350 	above 	red 	green 	Good 	0.393 	0.077 	9.412 	
6E   	3   	20   	  950 	below 	red 	green 	Good 	0.461 	0.064 	7.059 	
6E   	3   	21   	  50 	above 	green 	red 	Good 	0.536 	0.106 	10.588 	
6E   	3   	22   	  950 	below 	green 	red 	Good 	0.343 	0.096 	9.118 	
