S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
8E   	2   	2   	  950 	below 	red 	green 	Good 	0.420 	0.076 	9.853 	
8E   	2   	3   	  350 	below 	red 	green 	Good 	0.727 	0.084 	11.029 	
8E   	2   	4   	  350 	below 	red 	red 	Good 	0.477 	0.089 	8.971 	
8E   	2   	7   	  50 	below 	red 	green 	Good 	0.692 	0.080 	10.882 	
8E   	2   	8   	  650 	below 	red 	green 	Good 	0.359 	0.074 	8.676 	
8E   	2   	9   	  950 	above 	green 	green 	Good 	0.313 	0.102 	6.471 	
8E   	2   	10   	  50 	above 	red 	red 	Good 	0.355 	0.092 	8.382 	
8E   	2   	12   	  350 	above 	red 	green 	Good 	0.743 	0.081 	10.147 	
8E   	2   	13   	  950 	above 	red 	green 	Good 	0.395 	0.105 	10.735 	
8E   	2   	14   	  350 	below 	green 	green 	Good 	0.517 	0.084 	11.765 	
8E   	2   	18   	  50 	above 	green 	green 	Good 	1.033 	0.085 	9.853 	
8E   	2   	19   	  50 	below 	red 	red 	Good 	0.562 	0.101 	11.324 	
8E   	2   	23   	  50 	above 	green 	red 	Good 	1.114 	0.091 	7.353 	
8E   	2   	24   	  950 	below 	red 	red 	Good 	0.404 	0.096 	8.971 	
8E   	2   	25   	  650 	above 	red 	red 	Good 	0.573 	0.096 	9.853 	
8E   	2   	26   	  950 	below 	green 	green 	Good 	0.429 	0.055 	3.382 	
8E   	2   	27   	  950 	below 	green 	red 	Good 	0.438 	0.085 	9.265 	
8E   	2   	30   	  950 	above 	red 	red 	Good 	0.419 	0.090 	8.088 	
8E   	2   	31   	  650 	above 	green 	green 	Good 	0.572 	0.082 	9.853 	
8E   	2   	32   	  50 	above 	red 	green 	Good 	0.740 	0.073 	9.265 	
8E   	3   	1   	  950 	above 	green 	red 	Good 	0.528 	0.085 	8.235 	
8E   	3   	2   	  650 	below 	red 	red 	Good 	0.605 	0.111 	9.853 	
8E   	3   	3   	  350 	above 	green 	red 	Good 	0.525 	0.098 	10.588 	
8E   	3   	4   	  350 	above 	red 	red 	Good 	0.545 	0.082 	10.000 	
8E   	3   	5   	  350 	above 	green 	green 	Good 	0.469 	0.080 	12.794 	
8E   	3   	6   	  650 	above 	red 	green 	Good 	0.663 	0.078 	11.176 	
8E   	3   	7   	  650 	below 	green 	green 	Good 	0.466 	0.086 	12.647 	
8E   	3   	8   	  50 	below 	green 	green 	Good 	0.463 	0.072 	11.324 	
8E   	3   	9   	  950 	below 	red 	red 	Good 	0.325 	0.090 	10.000 	
8E   	3   	11   	  350 	below 	red 	red 	Good 	0.569 	0.101 	10.882 	
8E   	3   	12   	  650 	below 	green 	red 	Good 	0.495 	0.085 	7.794 	
8E   	3   	14   	  350 	below 	red 	green 	Good 	0.473 	0.087 	12.059 	
8E   	3   	15   	  950 	above 	red 	red 	Good 	0.360 	0.044 	3.971 	
8E   	3   	16   	  650 	above 	green 	green 	Good 	0.635 	0.092 	11.324 	
8E   	3   	17   	  950 	above 	green 	green 	Good 	0.482 	0.086 	8.824 	
8E   	3   	18   	  950 	below 	green 	green 	Good 	0.384 	0.071 	6.324 	
8E   	3   	20   	  950 	below 	red 	green 	Good 	0.342 	0.078 	6.618 	
8E   	3   	22   	  950 	below 	green 	red 	Good 	0.493 	0.088 	7.206 	
8E   	3   	24   	  50 	below 	red 	red 	Good 	0.650 	0.089 	8.088 	
8E   	3   	25   	  950 	above 	red 	green 	Good 	0.426 	0.079 	8.235 	
8E   	3   	27   	  50 	above 	red 	red 	Good 	0.838 	0.080 	8.235 	
8E   	3   	28   	  50 	above 	red 	green 	Good 	0.692 	0.078 	9.265 	
8E   	3   	29   	  650 	below 	red 	green 	Good 	0.524 	0.065 	6.912 	
8E   	4   	1   	  350 	above 	red 	green 	Good 	0.538 	0.080 	7.353 	
8E   	4   	2   	  350 	below 	green 	green 	Good 	0.512 	0.084 	7.500 	
8E   	4   	3   	  50 	above 	red 	green 	Good 	0.688 	0.079 	6.471 	
