"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,2,2
"2",1,0,2,4
"3",1,1,2,4
"4",1,1,1,4
"5",1,1,1,3
"6",1,1,1,3
"7",1,1,1,3
"8",1,1,1,3
"9",1,0,1,4
"10",1,0,2,3
"11",1,1,2,3
"12",1,1,1,4
"13",1,1,2,4
"14",1,1,1,2
"15",1,1,1,3
"16",1,1,2,4
"17",1,1,2,4
"18",1,1,1,4
"19",1,1,2,4
"20",1,0,1,1
"21",1,1,2,2
"22",1,1,2,4
"23",1,1,2,4
"24",1,0,2,2
"25",1,1,1,3
"26",1,0,2,1
"27",1,1,2,4
"28",1,1,2,4
"29",1,1,2,4
"30",1,1,2,4
"31",1,1,1,3
"32",1,0,1,1
"33",1,1,2,2
"34",1,1,1,2
"35",1,1,1,3
"36",1,1,1,3
"37",1,0,1,2
"38",1,1,1,4
"39",1,1,2,4
"40",1,1,2,4
"41",1,1,2,4
"42",1,1,1,4
"43",1,1,2,4
"44",1,1,2,4
"45",1,1,1,4
"46",1,1,2,4
"47",1,1,2,4
"48",1,1,1,3
"49",1,1,1,2
"50",1,1,1,2
"51",1,0,1,2
"52",1,1,2,1
"53",1,1,1,1
"54",1,0,1,1
"55",1,1,1,3
"56",1,1,1,4
"57",1,1,1,2
"58",1,1,2,3
"59",1,0,1,1
"60",1,0,1,2
"61",1,1,1,2
"62",1,0,1,1
"63",1,1,1,3
"64",1,0,1,4
"65",1,0,1,1
"66",1,1,2,3
"67",1,0,1,2
"68",1,1,1,3
"69",1,0,1,1
"70",1,1,1,3
"71",1,1,2,4
"72",1,0,2,1
"73",1,1,2,4
"74",1,1,1,4
"75",1,1,2,2
"76",1,1,2,2
"77",1,1,1,1
"78",1,1,1,1
"79",1,1,2,2
"80",1,1,2,2
"81",1,0,1,1
"82",1,1,1,3
"83",1,1,2,3
"84",1,1,2,4
"85",1,0,1,1
"86",1,1,1,4
"87",1,0,2,4
"88",1,1,1,4
"89",1,1,1,4
"90",1,1,2,4
"91",1,1,2,4
"92",1,1,2,4
"93",1,1,2,4
"94",1,1,1,4
"95",1,1,1,4
"96",1,1,1,4
"97",1,1,1,4
"98",1,1,2,4
"99",1,0,1,3
"100",1,1,2,3
"101",1,1,1,2
"102",1,1,2,3
"103",1,1,2,3
"104",1,0,2,3
"105",1,1,1,3
"106",1,1,1,2
"107",1,1,1,2
"108",1,1,1,1
"109",1,1,1,2
"110",1,1,2,2
"111",1,0,1,1
"112",1,0,1,1
"113",1,1,1,1
"114",1,1,1,1
"115",1,0,1,1
"116",1,0,1,1
"117",1,1,1,1
"118",1,0,1,1
"119",1,1,2,1
"120",1,1,2,2
"121",1,0,2,2
"122",1,1,1,4
"123",1,1,2,4
"124",1,1,2,4
"125",1,1,2,4
"126",1,1,2,4
"127",1,1,1,4
"128",1,1,2,4
"129",1,1,1,4
"130",1,1,2,4
"131",1,1,1,4
"132",1,1,1,2
"133",1,1,1,3
"134",1,1,2,3
"135",1,1,2,3
"136",1,0,2,3
"137",1,1,2,2
"138",1,0,2,1
"139",1,1,2,3
"140",1,0,2,2
"141",1,1,1,1
"142",1,1,1,2
"143",1,0,2,3
"144",1,1,2,3
"145",1,1,2,3
"146",1,1,1,3
"147",1,1,1,2
"148",1,1,2,4
"149",1,0,1,2
"150",1,1,2,2
"151",1,1,1,1
"152",1,0,1,1
"153",1,0,1,3
"154",1,0,1,1
"155",1,1,1,2
"156",1,1,2,3
"157",1,1,2,3
"158",1,1,2,3
"159",1,1,2,1
"160",1,0,1,1
"161",1,1,2,2
"162",1,1,2,2
"163",1,1,1,3
"164",1,1,1,3
"165",1,1,1,4
"166",1,1,1,4
"167",1,1,1,4
"168",1,1,1,4
"169",1,1,1,4
"170",1,1,2,4
"171",1,1,2,4
"172",1,1,1,4
"173",1,1,1,4
"174",1,1,2,3
"175",1,1,2,2
"176",1,1,1,2
"177",1,1,1,3
"178",1,1,1,1
"179",1,0,1,1
"180",1,0,1,1
"181",1,0,1,1
"182",1,1,2,1
"183",1,1,2,1
"184",1,1,2,1
"185",1,0,1,1
"186",1,1,1,3
"187",1,1,1,3
"188",1,0,1,1
"189",1,0,2,1
"190",1,1,2,2
"191",1,1,1,2
"192",1,1,1,2
"193",1,0,1,1
"194",1,1,2,1
"195",1,1,2,2
"196",1,1,1,1
"197",1,1,1,1
"198",1,1,1,1
"199",1,1,1,2
"200",1,1,1,2
"201",1,1,1,1
"202",1,1,1,1
"203",1,0,1,1
"204",1,0,2,1
"205",1,0,2,1
"206",1,0,2,1
"207",1,1,1,1
"208",1,1,1,2
"209",1,1,2,2
"210",1,0,1,4
"211",1,1,2,4
"212",1,1,2,4
"213",1,1,2,4
"214",1,1,2,4
"215",1,1,2,4
"216",1,1,1,4
"217",1,1,2,4
"218",1,1,1,4
"219",1,1,2,4
"220",1,1,2,4
"221",1,1,2,4
"222",1,1,2,4
"223",1,1,1,4
"224",1,0,2,4
"225",1,1,1,4
"226",1,1,1,4
"227",1,0,2,1
"228",1,1,1,3
"229",1,1,1,2
"230",1,1,2,3
"231",1,1,1,3
"232",1,1,1,2
"233",1,1,1,2
"234",1,0,2,2
"235",1,1,1,2
"236",1,1,1,2
"237",1,0,2,2
"238",1,0,2,1
"239",1,1,1,2
"240",1,1,1,1
"241",1,1,1,1
"242",1,1,2,1
"243",1,1,1,1
"244",1,0,2,2
"245",1,1,2,2
"246",1,1,1,4
"247",1,0,1,4
"248",1,1,2,4
"249",1,1,1,4
"250",1,1,2,4
"251",1,1,1,4
"252",1,1,1,4
"253",1,0,2,3
"254",1,1,1,4
"255",1,1,2,4
"256",1,1,1,4
"257",1,1,1,4
"258",1,1,1,4
"259",1,1,1,4
"260",1,1,2,4
"261",1,1,1,4
"262",1,1,1,4
"263",1,1,1,4
"264",1,0,2,3
"265",1,1,1,1
"266",1,0,2,2
"267",1,1,1,3
"268",1,1,1,3
"269",1,1,1,2
"270",1,1,2,2
"271",1,1,1,1
"272",1,0,1,1
"273",1,0,1,1
"274",1,0,2,1
"275",1,0,1,2
"276",1,1,1,3
"277",1,1,1,2
"278",1,1,1,1
"279",1,1,1,3
"280",1,0,1,2
"281",1,1,1,3
"282",1,1,1,1
"283",1,1,1,1
"284",1,1,2,2
"285",1,1,1,3
"286",1,0,2,3
"287",1,1,1,3
"288",1,1,2,3
"289",1,1,1,4
"290",1,1,1,4
"291",1,1,1,4
"292",1,1,2,3
"293",1,1,2,4
"294",1,1,1,4
"295",1,1,1,4
"296",1,1,1,4
"297",1,1,1,4
"298",1,1,1,4
"299",1,1,2,3
"300",1,1,2,3
"301",1,1,2,2
"302",1,1,1,3
"303",1,0,1,1
"304",1,1,2,2
"305",1,1,2,2
"306",1,0,1,1
"307",1,1,1,2
"308",1,1,2,2
"309",1,0,2,2
"310",1,0,2,2
"311",1,0,1,1
"312",1,0,1,1
"313",1,1,2,2
"314",1,1,1,2
"315",1,0,2,3
"316",1,1,2,2
"317",1,1,2,3
"318",1,1,2,4
"319",1,1,2,4
"320",1,1,2,4
"321",1,1,2,4
"322",1,1,1,4
"323",1,1,1,3
