"","Subj_idx","Accuracy","Response","Confidence"
"1",1,"Correct","Human",93
"2",1,"Error","Object",3
"3",1,"Error","Object",7
"4",1,"Correct","Object",25
"5",1,"Correct","Animal",59
"6",1,"Correct","Human",96
"7",1,"Correct","Object",4
"8",1,"Correct","Object",6
"9",1,"Correct","Human",8
"10",1,"Correct","Object",8
"11",1,"Correct","Animal",24
"12",1,"Error","Animal",55
"13",1,"Correct","Object",25
"14",1,"Correct","Animal",94
"15",1,"Error","Object",10
"16",1,"Error","Object",16
"17",1,"Error","Object",17
"18",1,"Error","Object",16
"19",1,"Correct","Object",21
"20",1,"Error","Object",52
"21",1,"Correct","Human",95
"22",1,"Correct","Animal",63
"23",1,"Error","Object",60
"24",1,"Correct","Animal",94
"25",1,"Correct","Object",74
"26",2,"Correct","Object",100
"27",2,"Correct","Object",90
"28",2,"Correct","Animal",90
"29",2,"Correct","Human",100
"30",2,"Correct","Animal",100
"31",2,"Correct","Human",90
"32",2,"Correct","Object",100
"33",2,"Correct","Object",80
"34",2,"Correct","Human",90
"35",2,"Correct","Human",100
"36",2,"Correct","Animal",100
"37",2,"Correct","Animal",100
"38",2,"Error","Animal",80
"39",2,"Correct","Animal",70
"40",2,"Correct","Object",70
"41",2,"Correct","Object",100
"42",2,"Correct","Object",60
"43",2,"Correct","Object",100
"44",2,"Correct","Human",100
"45",2,"Correct","Animal",100
"46",2,"Correct","Human",80
"47",2,"Correct","Human",100
"48",2,"Correct","Animal",80
"49",2,"Correct","Animal",70
"50",2,"Correct","Human",90
"51",3,"Correct","Human",100
"52",3,"Correct","Object",79
"53",3,"Correct","Object",100
"54",3,"Correct","Animal",100
"55",3,"Correct","Animal",100
"56",3,"Error","Object",100
"57",3,"Correct","Animal",100
"58",3,"Correct","Object",94
"59",3,"Correct","Human",96
"60",3,"Correct","Human",100
"61",3,"Correct","Animal",100
"62",3,"Correct","Object",86
"63",3,"Correct","Object",100
"64",3,"Correct","Human",100
"65",3,"Correct","Object",100
"66",3,"Error","Animal",94
"67",3,"Correct","Object",91
"68",3,"Error","Animal",94
"69",3,"Correct","Animal",100
"70",3,"Correct","Human",100
"71",3,"Correct","Animal",94
"72",3,"Correct","Animal",96
"73",3,"Correct","Object",97
"74",3,"Correct","Animal",100
"75",3,"Correct","Human",100
"76",4,"Correct","Human",100
"77",4,"Correct","Object",50
"78",4,"Error","Object",10
"79",4,"Error","Animal",20
"80",4,"Correct","Object",20
"81",4,"Error","Human",21
"82",4,"Correct","Animal",30
"83",4,"Error","Human",30
"84",4,"Correct","Human",30
"85",4,"Correct","Human",100
"86",4,"Correct","Animal",100
"87",4,"Correct","Object",40
"88",4,"Correct","Animal",20
"89",4,"Error","Animal",0
"90",4,"Correct","Human",30
"91",4,"Error","Animal",0
"92",4,"Correct","Animal",100
"93",4,"Error","Animal",30
"94",4,"Correct","Object",20
"95",4,"Correct","Object",50
"96",4,"Correct","Object",20
"97",4,"Error","Object",90
"98",4,"Error","Human",50
"99",4,"Error","Human",1
"100",4,"Correct","Animal",100
"101",5,"Error","Object",100
"102",5,"Correct","Animal",81
"103",5,"Error","Animal",30
"104",5,"Correct","Human",30
"105",5,"Error","Human",30
"106",5,"Correct","Object",90
"107",5,"Correct","Animal",60
"108",5,"Correct","Animal",40
"109",5,"Correct","Object",71
"110",5,"Correct","Object",40
"111",5,"Error","Animal",31
"112",5,"Correct","Object",79
"113",5,"Correct","Human",86
"114",5,"Correct","Human",98
"115",5,"Correct","Human",100
"116",5,"Correct","Human",100
"117",5,"Correct","Animal",100
"118",5,"Correct","Animal",100
"119",5,"Correct","Animal",100
"120",5,"Correct","Object",44
"121",5,"Error","Animal",16
"122",5,"Correct","Object",30
"123",5,"Correct","Animal",43
"124",5,"Error","Animal",51
"125",5,"Correct","Object",33
