"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,-1,2
"2",1,1,-1,2
"3",1,1,-1,2
"4",1,1,1,2
"5",1,1,-1,2
"6",1,1,1,2
"7",1,1,1,2
"8",1,1,1,2
"9",1,1,-1,2
"10",1,1,-1,2
"11",1,1,-1,2
"12",1,1,1,1
"13",1,1,1,2
"14",1,1,1,2
"15",1,1,1,2
"16",1,1,-1,1
"17",1,1,-1,1
"18",1,1,-1,2
"19",1,1,-1,2
"20",1,1,-1,2
"21",1,1,1,1
"22",1,0,1,1
"23",1,1,-1,1
"24",1,1,1,2
"25",1,1,1,2
"26",1,1,-1,1
"27",1,0,1,1
"28",1,1,1,2
"29",1,1,1,2
"30",1,1,-1,1
"31",1,1,-1,1
"32",1,1,-1,2
"33",1,1,1,2
"34",1,0,1,1
"35",1,1,-1,2
"36",1,1,1,2
"37",1,1,-1,2
"38",1,1,1,2
"39",1,1,-1,2
"40",1,1,1,2
"41",1,1,1,2
"42",1,1,-1,2
"43",1,1,1,1
"44",1,1,-1,1
"45",1,1,1,2
"46",1,1,1,2
"47",1,1,-1,1
"48",1,1,1,1
"49",1,1,-1,2
"50",1,1,1,2
"51",1,1,1,2
"52",1,1,1,1
"53",1,0,1,1
"54",1,1,1,2
"55",1,1,1,2
"56",1,1,1,2
"57",1,1,1,2
"58",1,1,1,2
"59",1,1,1,2
"60",1,1,-1,1
"61",1,1,1,2
"62",1,1,1,1
"63",1,0,1,1
"64",1,1,1,2
"65",1,1,-1,2
"66",1,1,-1,1
"67",1,1,1,1
"68",1,1,-1,1
"69",1,1,-1,2
"70",1,1,-1,1
"71",1,1,-1,1
"72",1,0,1,1
"73",1,1,1,2
"74",1,1,1,2
"75",1,1,1,2
"76",1,1,-1,2
"77",1,1,1,2
"78",1,1,1,2
"79",1,1,-1,2
"80",1,1,-1,2
"81",1,1,1,2
"82",1,1,1,2
"83",1,1,1,2
"84",1,1,1,2
"85",1,1,-1,2
"86",1,1,-1,2
"87",1,1,1,1
"88",1,1,1,1
"89",1,1,1,2
"90",1,1,-1,1
"91",1,1,1,2
"92",1,1,1,1
"93",1,0,1,1
"94",1,1,1,2
"95",1,1,1,2
"96",1,1,1,2
"97",1,1,-1,1
"98",1,1,-1,2
"99",1,1,-1,2
"100",1,1,-1,2
"101",1,1,-1,2
"102",1,1,-1,2
"103",1,1,1,1
"104",1,1,1,2
"105",1,1,-1,1
"106",1,1,1,2
"107",1,1,1,1
"108",1,1,1,1
"109",1,1,-1,1
"110",1,1,1,1
"111",1,1,1,1
"112",1,0,1,1
"113",1,1,-1,1
"114",1,1,1,2
"115",1,1,-1,2
"116",1,1,1,2
"117",1,1,-1,1
"118",1,1,1,1
"119",1,1,1,1
"120",1,1,1,1
"121",1,1,1,2
"122",1,1,-1,1
"123",1,1,1,2
"124",1,0,1,1
"125",1,1,-1,1
"126",1,1,1,2
"127",1,1,-1,1
"128",1,1,-1,2
"129",1,1,-1,2
"130",1,0,-1,1
"131",1,1,-1,2
"132",1,1,-1,2
"133",1,1,-1,2
"134",1,1,1,1
"135",1,1,1,2
"136",1,1,-1,2
"137",1,1,1,2
"138",1,1,-1,2
"139",1,1,1,1
"140",1,1,1,1
"141",1,0,1,1
"142",1,1,1,2
"143",1,1,-1,1
"144",1,1,-1,2
"145",1,1,1,2
"146",1,1,-1,1
"147",1,1,1,2
"148",1,1,1,2
"149",1,1,1,2
"150",1,1,-1,1
"151",1,1,1,2
"152",1,1,1,2
"153",1,1,-1,2
"154",1,1,-1,2
"155",1,1,1,2
"156",1,1,1,2
"157",1,1,-1,2
"158",1,1,1,2
"159",1,1,1,2
"160",1,1,-1,1
"161",1,1,1,2
"162",1,1,1,2
"163",1,1,-1,2
"164",1,1,-1,2
"165",1,1,1,1
"166",1,1,1,2
"167",1,1,-1,1
"168",1,1,1,1
"169",1,1,1,1
"170",1,1,1,2
"171",1,1,-1,2
"172",1,1,-1,2
"173",1,1,1,1
"174",1,1,1,2
"175",1,1,-1,1
"176",1,1,-1,2
"177",1,1,-1,2
"178",1,1,-1,2
"179",1,0,-1,1
"180",1,1,-1,2
"181",1,1,-1,2
"182",1,1,-1,2
"183",1,0,-1,2
"184",1,0,-1,1
"185",1,1,-1,2
"186",1,1,1,2
"187",1,1,-1,2
"188",1,1,1,2
"189",1,1,1,2
"190",1,1,-1,2
"191",1,1,-1,2
"192",1,1,1,2
"193",1,1,-1,2
"194",1,1,1,2
"195",1,1,1,2
"196",1,1,-1,2
