"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,-1,50
"2",1,1,1,100
"3",1,0,-1,70
"4",1,0,1,60
"5",1,1,1,55
"6",1,0,-1,55
"7",1,1,-1,80
"8",1,1,1,90
"9",1,0,-1,60
"10",1,1,1,55
"11",1,1,-1,55
"12",1,1,-1,85
"13",1,1,1,55
"14",1,1,1,90
"15",1,1,-1,80
"16",1,1,1,85
"17",1,1,1,100
"18",1,0,-1,50
"19",1,1,1,90
"20",1,0,1,55
"21",1,1,-1,60
"22",1,1,-1,70
"23",1,1,-1,55
"24",1,0,1,55
"25",1,1,1,50
"26",1,1,1,80
"27",1,1,1,100
"28",1,1,1,80
"29",1,1,-1,100
"30",1,0,1,65
"31",1,1,1,70
"32",1,1,1,70
"33",1,1,1,50
"34",1,1,-1,55
"35",1,1,1,50
"36",1,1,-1,60
"37",1,1,1,90
"38",1,1,-1,100
"39",1,1,1,70
"40",1,1,1,80
"41",1,1,1,70
"42",1,1,-1,80
"43",1,1,-1,80
"44",1,1,-1,55
"45",1,0,1,50
"46",1,1,-1,75
"47",1,1,-1,50
"48",1,1,1,90
"49",1,1,1,60
"50",1,1,-1,90
"51",1,1,-1,90
"52",1,1,1,90
"53",1,1,1,70
"54",1,1,-1,70
"55",1,0,1,55
"56",1,1,1,55
"57",1,1,-1,85
"58",1,1,1,100
"59",1,1,1,100
"60",1,1,1,90
"61",1,1,-1,70
"62",1,1,-1,100
"63",1,1,1,100
"64",1,1,1,70
"65",1,1,-1,90
"66",1,1,-1,95
"67",1,1,-1,60
"68",1,1,-1,55
"69",1,1,1,70
"70",1,1,1,80
"71",1,1,-1,60
"72",1,0,-1,55
"73",1,1,1,55
"74",1,1,-1,60
"75",1,1,1,55
"76",1,0,-1,55
"77",1,0,-1,55
"78",1,1,-1,80
"79",1,1,-1,90
"80",1,0,1,60
"81",1,1,1,60
"82",1,1,-1,55
"83",1,1,1,70
"84",1,0,1,50
"85",1,1,-1,55
"86",1,0,-1,60
"87",1,1,-1,60
"88",1,1,1,85
"89",1,1,1,65
"90",1,1,1,100
"91",1,1,-1,100
"92",1,1,-1,90
"93",1,0,-1,55
"94",1,1,1,60
"95",1,1,1,80
"96",1,1,1,100
"97",1,1,-1,60
"98",1,1,-1,100
"99",1,1,1,55
"100",1,1,1,50
"101",1,1,1,60
"102",1,1,-1,90
"103",1,1,-1,60
"104",1,0,-1,75
"105",1,0,1,50
"106",1,1,-1,60
"107",1,1,1,90
