"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,"R",1
"2",1,1,"L",1
"3",1,1,"L",1
"4",1,1,"R",1
"5",1,1,"R",4
"6",1,1,"L",4
"7",1,1,"R",4
"8",1,1,"R",4
"9",1,1,"R",1
"10",1,1,"L",4
"11",1,1,"R",1
"12",1,1,"L",1
"13",1,1,"L",4
"14",1,1,"L",4
"15",1,1,"L",4
"16",1,1,"R",4
"17",1,1,"L",4
"18",1,1,"L",4
"19",1,1,"L",4
"20",1,1,"L",4
"21",1,1,"L",4
"22",1,1,"R",1
"23",1,1,"R",1
"24",1,1,"L",1
"25",1,1,"L",4
"26",1,1,"R",4
"27",1,1,"L",1
"28",1,1,"R",1
"29",1,1,"R",4
"30",1,1,"R",1
"31",1,1,"L",4
"32",1,1,"R",4
"33",1,1,"L",1
"34",1,1,"L",1
"35",1,1,"L",4
"36",1,1,"R",4
"37",1,1,"R",1
"38",1,1,"R",4
"39",1,1,"R",4
"40",1,1,"R",4
"41",1,1,"L",1
"42",1,1,"R",4
"43",1,1,"R",4
"44",1,1,"R",4
"45",1,1,"R",1
"46",1,1,"L",4
"47",1,1,"R",4
"48",1,1,"L",4
"49",1,1,"L",4
"50",1,1,"R",1
"51",1,1,"L",4
"52",1,1,"L",4
"53",1,1,"L",4
"54",1,1,"L",4
"55",1,1,"L",1
"56",1,1,"L",4
"57",1,1,"R",1
"58",1,1,"R",4
"59",1,1,"R",4
"60",1,1,"R",4
"61",1,1,"L",4
"62",1,1,"R",4
"63",1,1,"R",4
"64",1,1,"L",4
"65",1,0,"R",1
"66",1,1,"L",1
"67",1,1,"R",1
"68",1,0,"R",1
"69",1,1,"R",4
"70",1,1,"L",1
"71",1,1,"R",4
"72",1,1,"R",4
"73",1,1,"R",4
"74",1,1,"L",4
"75",1,1,"L",4
"76",1,1,"R",4
"77",1,1,"L",1
"78",1,1,"R",4
"79",1,1,"R",4
"80",1,1,"L",1
"81",1,1,"L",4
"82",1,1,"R",4
"83",1,1,"L",4
"84",1,1,"L",4
"85",1,0,"R",1
"86",1,1,"L",4
"87",1,1,"R",4
"88",1,1,"R",1
"89",1,0,"L",1
"90",1,1,"R",4
"91",1,1,"R",4
"92",1,1,"L",4
"93",1,1,"L",4
"94",1,1,"R",4
"95",1,1,"L",4
"96",1,1,"L",4
"97",1,1,"L",4
"98",1,1,"R",1
"99",1,0,"L",2
"100",1,1,"L",4
"101",1,1,"L",4
"102",1,1,"R",4
"103",1,1,"L",1
"104",1,1,"R",4
"105",1,1,"L",4
"106",1,1,"R",1
"107",1,1,"R",1
"108",1,1,"R",4
"109",1,1,"R",4
"110",1,1,"R",4
"111",1,1,"L",4
"112",1,1,"R",4
"113",1,1,"L",4
"114",1,1,"R",4
"115",1,1,"R",4
"116",1,1,"R",4
"117",1,1,"R",4
"118",1,1,"R",4
"119",1,0,"R",1
"120",1,1,"L",4
"121",1,1,"L",1
"122",1,1,"L",4
"123",1,1,"R",1
"124",1,1,"L",4
"125",1,1,"R",1
"126",1,1,"R",1
"127",1,0,"R",1
"128",1,1,"R",4
"129",1,1,"L",4
"130",1,1,"R",4
"131",1,1,"R",4
"132",1,1,"L",1
"133",1,1,"L",4
"134",1,1,"R",1
"135",1,1,"R",4
"136",1,1,"L",1
"137",1,1,"L",4
"138",1,1,"L",4
"139",1,1,"R",1
"140",1,1,"R",4
"141",1,1,"L",4
"142",1,1,"R",4
"143",1,1,"R",4
"144",1,1,"L",4
"145",1,1,"L",4
"146",1,1,"R",4
"147",1,1,"R",4
"148",1,1,"L",4
"149",1,1,"L",4
"150",1,1,"R",4
"151",1,1,"L",1
"152",1,1,"L",1
"153",1,1,"L",1
"154",1,1,"L",1
"155",1,1,"R",1
"156",1,1,"L",1
"157",1,1,"L",4
