"","Subj_idx","Accuracy","Response","Confidence"
"1",1,NA,NA,NA
"2",1,1,2,6
"3",1,1,1,1
"4",1,1,2,6
"5",1,1,2,6
"6",1,1,1,6
"7",1,1,2,6
"8",1,1,2,6
"9",1,1,1,6
"10",1,1,1,1
"11",1,0,1,4
"12",1,1,2,6
"13",1,1,2,5
"14",1,1,2,6
"15",1,0,2,6
"16",1,1,2,6
"17",1,1,2,6
"18",1,1,1,6
"19",1,1,1,6
"20",1,1,2,5
"21",1,1,1,2
"22",1,1,2,2
"23",1,1,2,4
"24",1,1,1,5
"25",1,1,2,6
"26",1,1,2,6
"27",1,1,1,4
"28",1,1,1,5
"29",1,0,2,1
"30",1,1,1,6
"31",1,1,1,1
"32",1,1,2,4
"33",1,1,2,4
"34",1,0,2,4
"35",1,1,1,1
"36",1,1,2,3
"37",1,0,2,1
"38",1,0,1,1
"39",1,1,2,6
"40",1,1,1,6
"41",1,1,1,6
"42",1,0,1,1
"43",1,1,1,6
"44",1,1,1,1
"45",1,1,2,5
"46",1,1,2,6
"47",1,1,2,6
"48",1,1,2,6
"49",1,1,2,4
"50",1,1,1,2
"51",1,1,2,6
"52",1,1,2,3
"53",1,0,2,1
"54",1,1,2,6
"55",1,0,2,2
"56",1,1,2,6
"57",1,1,1,6
"58",1,0,2,1
"59",1,1,2,5
"60",1,0,2,2
"61",1,1,2,5
"62",1,1,2,2
"63",1,0,1,1
"64",1,1,1,4
"65",1,1,1,5
"66",1,0,2,1
"67",1,0,1,1
"68",1,1,2,6
"69",1,1,1,5
"70",1,1,2,2
"71",1,0,1,1
"72",1,1,2,4
"73",1,0,1,1
"74",1,1,2,5
"75",1,1,1,4
"76",1,1,1,4
"77",1,1,1,3
"78",1,0,1,4
"79",1,1,1,2
"80",1,1,1,2
"81",1,0,1,1
"82",1,1,1,1
"83",1,0,1,2
"84",1,1,1,4
"85",1,1,1,4
"86",1,1,1,2
"87",1,1,1,1
"88",1,1,1,3
"89",1,1,1,2
"90",1,1,2,4
"91",1,0,1,3
"92",1,1,2,3
"93",1,1,1,3
"94",1,1,2,3
"95",1,0,1,2
"96",1,1,1,4
"97",1,1,1,5
"98",1,0,1,1
"99",1,1,1,2
"100",1,1,1,2
"101",1,1,1,5
"102",1,1,1,5
"103",1,1,1,6
"104",1,1,1,6
"105",1,1,2,6
"106",1,1,1,4
"107",1,1,2,6
"108",1,1,1,5
"109",1,1,2,6
"110",1,1,2,6
"111",1,1,2,6
"112",1,1,2,6
"113",1,1,1,6
"114",1,1,1,6
"115",1,1,2,6
"116",1,1,1,6
"117",1,1,1,5
"118",1,1,2,6
"119",1,1,1,6
"120",1,1,2,6
"121",1,1,1,6
"122",1,0,2,5
"123",1,1,2,2
"124",1,1,2,6
"125",1,1,2,6
"126",1,1,1,6
"127",1,1,2,6
"128",1,1,1,6
"129",1,1,1,3
"130",1,1,1,6
"131",1,1,2,6
"132",1,1,1,3
"133",1,1,1,3
"134",1,1,1,3
"135",1,1,1,4
"136",1,1,1,4
"137",1,1,2,5
"138",1,1,1,5
"139",1,1,2,1
"140",1,0,1,1
"141",1,0,2,3
"142",1,0,2,1
"143",1,1,1,3
"144",1,1,1,4
"145",1,1,2,3
"146",1,1,2,5
"147",1,0,1,1
"148",1,1,1,5
"149",1,1,1,6
"150",1,1,1,1
"151",1,1,1,1
"152",1,1,1,1
"153",1,1,2,2
"154",1,0,1,1
"155",1,0,1,1
"156",1,0,1,1
"157",1,0,1,1
"158",1,1,1,1
"159",1,1,2,1
"160",1,1,1,3
"161",1,1,2,1
"162",1,1,1,2
"163",1,1,2,2
"164",1,1,2,2
"165",1,0,1,2
"166",1,0,1,1
"167",1,0,1,1
"168",1,1,1,3
"169",1,1,1,2
"170",1,0,1,1
"171",1,1,1,2
"172",1,1,2,1
"173",1,0,1,1
"174",1,1,1,3
"175",1,0,1,2
"176",1,1,1,1
"177",1,1,2,1
"178",1,0,1,1
"179",1,0,1,1
"180",1,1,2,1
"181",1,1,1,4
"182",1,1,2,3
"183",1,1,2,2
"184",1,1,1,1
"185",1,0,1,1
"186",1,1,2,4
"187",1,0,2,1
"188",1,1,2,1
"189",1,1,1,3
"190",1,1,2,3
"191",1,0,1,1
"192",1,1,1,1
"193",1,0,1,1
"194",1,0,2,2
"195",1,1,1,2
"196",1,0,1,1
"197",1,1,1,1
"198",1,0,1,1
"199",1,1,1,1
"200",1,1,2,2
"201",1,1,2,2
"202",1,1,2,5
