"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,1,2
"2",1,1,1,5
"3",1,0,2,1
"4",1,1,1,6
"5",1,0,1,2
"6",1,1,2,6
"7",1,1,1,5
"8",1,1,2,6
"9",1,1,1,6
"10",1,1,2,5
"11",1,1,2,3
"12",1,1,1,6
"13",1,1,2,5
"14",1,1,2,5
"15",1,1,1,4
"16",1,0,1,1
"17",1,0,1,1
"18",1,1,1,6
"19",1,1,2,5
"20",1,1,1,2
"21",1,1,1,2
"22",1,1,1,6
"23",1,1,2,6
"24",1,1,1,4
"25",1,1,2,6
"26",1,1,1,4
"27",1,1,1,5
"28",1,1,2,1
"29",1,1,1,5
"30",1,1,2,4
"31",1,1,1,5
"32",1,1,2,4
"33",1,1,1,6
"34",1,1,1,3
"35",1,1,1,5
"36",1,1,1,5
"37",1,1,2,4
"38",1,1,2,6
"39",1,1,1,6
"40",1,1,2,6
"41",1,1,1,4
"42",1,1,1,6
"43",1,0,2,3
"44",1,1,2,4
"45",1,1,2,6
"46",1,1,2,6
"47",1,1,1,5
"48",1,1,2,5
"49",1,1,2,2
"50",1,1,1,5
"51",1,1,1,6
"52",1,1,2,1
"53",1,1,2,3
"54",1,0,2,1
"55",1,1,1,6
"56",1,0,1,3
"57",1,0,2,2
"58",1,1,2,4
"59",1,1,2,3
"60",1,1,1,5
"61",1,1,2,2
"62",1,1,2,6
"63",1,1,1,2
"64",1,1,1,5
"65",1,1,2,5
"66",1,1,1,6
"67",1,1,2,1
"68",1,1,1,6
"69",1,1,2,6
"70",1,1,2,6
"71",1,1,2,6
"72",1,1,1,6
"73",1,1,1,6
"74",1,1,2,2
"75",1,1,1,5
"76",1,1,1,5
"77",1,1,2,5
"78",1,1,2,6
"79",1,1,1,5
"80",1,0,1,3
"81",1,1,1,4
"82",1,1,1,6
"83",1,1,2,5
"84",1,1,2,3
"85",1,1,2,6
"86",1,1,1,6
"87",1,1,2,6
"88",1,1,2,6
"89",1,1,2,5
"90",1,1,2,4
"91",1,1,2,6
"92",1,1,1,3
"93",1,1,1,3
"94",1,0,2,1
"95",1,1,2,6
"96",1,1,1,5
"97",1,1,1,5
"98",1,1,1,4
"99",1,1,2,5
"100",1,1,2,3
"101",1,1,1,2
"102",1,1,1,2
"103",1,1,2,2
"104",1,1,2,4
"105",1,0,1,1
"106",1,1,2,5
"107",1,1,1,1
"108",1,1,1,2
"109",1,1,2,6
"110",1,1,1,5
"111",1,0,1,5
"112",1,1,1,3
"113",1,1,1,5
"114",1,0,2,5
"115",1,0,1,4
"116",1,1,2,3
"117",1,1,2,5
"118",1,1,1,5
"119",1,1,1,5
"120",1,1,2,4
"121",1,1,2,5
"122",1,1,2,6
"123",1,0,1,3
"124",1,1,1,6
"125",1,0,1,1
"126",1,1,1,4
"127",1,1,1,6
"128",1,1,1,6
"129",1,1,1,6
"130",1,1,2,6
"131",1,0,1,3
"132",1,1,1,5
"133",1,1,1,4
"134",1,1,2,5
"135",1,1,1,5
"136",1,1,1,5
"137",1,1,1,6
"138",1,1,2,4
"139",1,1,2,6
"140",1,1,1,6
"141",1,1,2,5
"142",1,0,1,2
"143",1,1,1,5
"144",1,1,2,2
"145",1,1,2,6
"146",1,1,2,6
"147",1,1,1,6
"148",1,1,2,6
"149",1,1,1,4
"150",1,1,1,1
"151",2,1,1,4
"152",2,1,1,6
"153",2,1,1,6
"154",2,1,2,6
"155",2,1,1,5
"156",2,1,2,6
"157",2,1,2,6
"158",2,1,1,5
"159",2,1,2,6
"160",2,1,2,5
"161",2,1,1,5
"162",2,1,2,6
"163",2,0,2,4
"164",2,1,2,6
"165",2,1,2,6
"166",2,1,1,6
"167",2,1,2,6
"168",2,1,1,6
"169",2,1,2,5
"170",2,1,2,6
"171",2,1,1,3
"172",2,1,1,3
"173",2,1,2,5
"174",2,1,2,6
"175",2,1,2,5
"176",2,1,2,6
"177",2,1,1,6
"178",2,1,1,6
"179",2,0,2,6
"180",2,1,2,6
"181",2,1,2,6
"182",2,1,1,6
"183",2,0,2,4
"184",2,1,2,6
"185",2,1,1,6
"186",2,1,1,4
"187",2,0,2,6
"188",2,1,1,5
"189",2,1,1,5
"190",2,1,2,6
"191",2,0,2,5
"192",2,1,2,4
"193",2,1,1,4
"194",2,1,1,4
"195",2,1,1,4
"196",2,1,1,5
"197",2,0,1,4
"198",2,1,2,3
"199",2,1,2,5
"200",2,0,1,3
"201",2,1,2,6
"202",2,1,2,6
"203",2,1,2,6
"204",2,1,1,6
"205",2,1,2,5
"206",2,1,2,5
"207",2,1,1,4
"208",2,1,2,5
"209",2,1,2,6
"210",2,1,1,6
"211",2,1,2,4
"212",2,0,1,4
"213",2,1,2,6
"214",2,1,1,6
"215",2,1,1,6
"216",2,1,1,5
"217",2,1,1,6
"218",2,1,1,6
"219",2,0,1,3
"220",2,1,2,6
"221",2,1,2,4
"222",2,1,1,4
"223",2,1,1,4
"224",2,1,1,5
"225",2,1,1,4
"226",2,1,1,5
"227",2,1,1,6
"228",2,1,1,3
"229",2,1,1,5
"230",2,1,1,5
"231",2,1,2,3
"232",2,1,1,4
"233",2,1,2,6
"234",2,1,2,6
"235",2,0,1,3
"236",2,1,1,5
"237",2,1,1,4
"238",2,1,1,6
"239",2,1,2,6
"240",2,1,2,6
"241",2,1,1,6
"242",2,1,2,5
"243",2,1,1,6
"244",2,1,1,5
"245",2,1,2,6
"246",2,1,2,6
"247",2,1,1,6
"248",2,1,2,6
"249",2,0,2,4
"250",2,1,2,6
"251",2,1,1,3
"252",2,1,2,6
"253",2,1,2,6
"254",2,1,2,6
"255",2,1,2,3
"256",2,1,2,3
"257",2,1,1,6
"258",2,1,1,4
"259",2,1,2,5
"260",2,0,2,5
"261",2,1,1,6
"262",2,1,1,6
"263",2,1,1,5
"264",2,1,1,4
"265",2,1,1,6
"266",2,1,2,5
"267",2,1,1,3
"268",2,1,2,5
"269",2,1,1,5
"270",2,1,2,5
"271",2,1,2,6
"272",2,1,1,5
"273",2,1,2,6
"274",2,1,2,6
"275",2,1,1,3
"276",2,1,2,4
"277",2,1,2,5
"278",2,0,1,3
"279",2,1,2,6
"280",2,1,2,5
"281",2,1,2,6
"282",2,1,2,6
"283",2,1,1,4
"284",2,0,2,4
"285",2,0,1,3
"286",2,1,2,6
"287",2,1,1,4
"288",2,1,1,6
"289",2,0,1,4
"290",2,0,1,4
"291",2,1,2,6
"292",2,0,1,3
"293",2,1,1,3
"294",2,1,1,6
"295",2,1,2,5
"296",2,1,1,4
"297",2,1,1,5
"298",2,1,1,6
"299",2,1,2,6
"300",2,1,1,6
"301",3,1,2,2
"302",3,1,1,1
"303",3,1,1,2
"304",3,1,1,3
"305",3,1,2,3
"306",3,1,2,3
"307",3,1,1,3
"308",3,1,1,2
"309",3,1,1,4
"310",3,0,2,5
"311",3,1,1,5
"312",3,0,1,5
"313",3,1,1,1
"314",3,1,2,2
"315",3,0,2,1
"316",3,1,1,4
"317",3,1,2,3
"318",3,1,2,5
"319",3,1,1,4
"320",3,1,2,5
"321",3,0,2,3
"322",3,0,1,5
"323",3,1,1,4
"324",3,0,2,5
"325",3,1,1,4
"326",3,1,2,5
"327",3,0,1,4
"328",3,1,2,5
"329",3,1,1,5
"330",3,1,2,3
"331",3,0,1,3
"332",3,1,2,5
"333",3,1,1,4
"334",3,1,1,2
"335",3,0,2,5
"336",3,1,2,2
"337",3,1,1,6
"338",3,1,2,4
"339",3,1,2,5
"340",3,1,2,6
"341",3,1,2,6
"342",3,1,2,6
"343",3,0,2,5
"344",3,0,1,4
"345",3,0,1,5
"346",3,1,2,5
"347",3,0,2,6
"348",3,0,2,5
"349",3,1,1,4
"350",3,1,1,5
"351",3,0,1,2
"352",3,1,2,3
"353",3,1,1,3
"354",3,1,1,5
"355",3,1,2,6
"356",3,0,1,4
"357",3,0,1,5
"358",3,0,2,5
"359",3,1,2,6
"360",3,0,1,5
"361",3,0,1,4
"362",3,1,1,5
"363",3,0,2,5
"364",3,0,2,4
"365",3,0,1,4
"366",3,0,2,5
"367",3,1,1,3
"368",3,1,2,4
"369",3,0,1,4
"370",3,0,2,4
"371",3,0,2,5
"372",3,0,1,3
"373",3,1,1,5
"374",3,1,2,5
"375",3,1,1,4
"376",3,0,2,1
"377",3,1,1,3
"378",3,1,2,5
"379",3,1,2,4
"380",3,0,1,5
"381",3,1,1,4
"382",3,1,2,6
"383",3,0,2,5
"384",3,0,1,5
"385",3,0,2,4
"386",3,0,1,4
"387",3,1,2,5
"388",3,1,1,6
"389",3,0,2,5
"390",3,1,2,6
"391",3,0,2,6
"392",3,0,2,4
"393",3,1,2,4
"394",3,1,2,4
"395",3,1,2,5
"396",3,0,2,6
"397",3,1,2,2
"398",3,1,1,1
"399",3,1,1,1
"400",3,1,2,2
"401",3,1,2,2
"402",3,1,1,1
"403",3,1,1,1
"404",3,0,1,1
"405",3,0,1,1
"406",3,1,1,2
"407",3,1,1,4
"408",3,0,1,4
"409",3,1,1,4
"410",3,0,2,5
"411",3,1,2,5
"412",3,1,1,3
"413",3,1,2,5
"414",3,1,2,4
"415",3,1,1,4
"416",3,0,1,2
"417",3,1,2,2
"418",3,1,1,1
"419",3,0,2,2
"420",3,0,1,1
"421",3,1,2,5
"422",3,0,1,4
"423",3,1,2,5
"424",3,1,1,4
"425",3,0,2,5
"426",3,0,2,2
"427",3,1,1,1
"428",3,1,2,3
"429",3,0,1,6
"430",3,0,2,2
"431",3,1,1,3
"432",3,1,2,1
"433",3,1,2,2
"434",3,0,1,4
"435",3,1,2,5
"436",3,1,1,5
"437",3,0,2,5
"438",3,1,1,4
"439",3,0,2,5
"440",3,0,1,4
"441",3,0,2,3
"442",3,1,2,5
"443",3,1,2,5
"444",3,1,1,4
"445",3,0,2,5
"446",3,0,2,5
"447",3,1,2,1
