"","Subj_idx","Accuracy","Response","Confidence"
"1","ab",0,1,1
"2","ab",1,1,1
"3","ab",1,1,1
"4","ab",0,2,1
"5","ab",0,1,1
"6","ab",1,2,1
"7","ab",1,1,1
"8","ab",1,2,2
"9","ab",1,1,1
"10","ab",0,1,1
"11","ab",1,1,1
"12","ab",0,1,1
"13","ab",1,2,1
"14","ab",1,1,2
"15","ab",0,1,1
"16","ab",1,1,2
"17","ab",1,1,2
"18","ab",1,2,1
"19","ab",1,2,1
"20","ab",1,1,1
"21","ab",1,1,1
"22","ab",0,1,2
"23","ab",1,1,2
"24","ab",1,1,1
"25","ab",0,1,2
"26","ab",1,1,1
"27","ab",1,2,2
"28","ab",1,2,2
"29","ab",1,2,2
"30","ab",1,1,1
"31","ab",1,1,2
"32","ab",1,1,2
"33","ab",1,2,1
"34","ab",1,2,1
"35","ab",1,2,2
"36","ab",1,1,2
"37","ab",0,1,1
"38","ab",1,1,2
"39","ab",0,1,2
"40","ab",1,1,1
"41","ab",1,2,1
"42","ab",0,1,1
"43","ab",0,2,1
"44","ab",1,1,1
"45","ab",1,1,1
"46","ab",0,1,2
"47","ab",1,1,2
"48","ab",0,1,2
"49","ab",1,1,2
"50","ab",0,1,1
"51","ab",0,1,1
"52","ab",0,1,1
"53","ab",1,2,1
"54","ab",1,1,1
"55","ab",1,1,2
"56","ab",1,1,2
"57","ab",0,1,1
"58","ab",1,1,1
"59","ab",1,1,2
"60","ab",1,2,1
"61","ab",1,2,1
"62","ab",1,2,1
"63","ab",1,1,2
"64","ab",1,1,2
"65","ab",1,2,1
"66","ab",1,2,1
"67","ab",1,1,1
"68","ab",1,1,2
"69","ab",1,1,1
"70","ab",1,2,1
"71","ab",1,2,1
"72","ab",0,1,1
"73","ab",0,2,1
"74","ab",0,2,1
"75","ab",1,2,1
"76","ab",1,1,1
"77","ab",0,2,1
"78","ab",0,1,1
"79","ab",1,1,2
"80","ab",1,2,1
"81","ab",1,1,2
"82","ab",1,2,2
"83","ab",1,2,1
"84","ab",1,1,2
"85","ab",1,2,1
"86","ab",1,2,2
"87","ab",1,2,2
"88","ab",0,2,1
"89","ab",1,1,1
"90","ab",1,1,1
"91","ab",1,1,2
"92","ab",1,2,2
"93","ab",1,1,1
"94","ab",1,2,2
"95","ab",1,1,1
"96","ab",1,2,2
"97","ab",1,2,1
"98","ab",1,1,1
"99","ab",1,1,2
"100","ab",1,2,1
"101","ab",1,1,2
"102","ab",1,2,2
"103","ab",1,2,1
"104","ab",1,1,1
"105","ab",1,1,1
"106","ab",1,2,1
"107","ab",1,1,1
"108","ab",1,1,1
"109","ab",1,2,1
"110","ab",1,2,2
"111","ab",1,2,1
"112","ab",1,1,2
"113","ab",1,1,2
"114","ab",0,1,1
"115","ab",0,1,1
"116","ab",1,1,1
"117","ab",0,2,2
"118","ab",0,2,1
"119","ab",1,2,2
"120","ab",1,2,2
"121","ab",0,2,1
"122","ab",1,1,2
"123","ab",0,1,1
"124","ab",1,2,2
"125","ab",1,1,1
"126","ab",1,1,1
"127","ab",0,1,2
"128","ab",1,2,1
"129","ab",1,1,1
"130","ab",1,2,1
"131","ab",0,1,2
"132","ab",1,1,1
"133","ab",1,1,1
"134","ab",1,1,2
"135","ab",1,2,1
"136","ab",1,1,2
"137","ab",1,1,2
"138","ab",1,2,2
"139","ab",0,1,2
"140","ab",0,1,1
"141","ab",1,1,1
"142","ab",1,1,1
"143","ab",1,1,1
"144","ab",0,1,2
"145","ab",1,2,1
"146","ab",1,2,1
"147","ab",1,1,1
"148","ab",1,1,2
"149","ab",1,2,2
"150","ab",0,1,2
"151","ab",1,1,1
"152","ab",1,2,1
"153","ab",1,1,2
"154","ab",1,1,2
"155","ab",1,1,1
"156","ab",1,1,1
"157","ab",1,2,1
"158","ab",1,2,2
"159","ab",1,2,1
"160","ab",1,2,1
"161","ab",1,1,1
"162","ab",1,2,2
"163","ab",1,1,2
"164","ab",1,2,1
"165","ab",1,1,1
"166","ab",1,1,1
"167","ab",1,2,2
"168","ab",1,2,1
"169","ab",1,1,1
"170","ab",1,2,2
"171","ab",1,1,2
