"","Subj_idx","Accuracy","Response","Confidence"
"1",1,0,1,14
"2",1,1,1,50
"3",1,1,0,20
"4",1,1,1,47
"5",1,1,1,48
"6",1,1,0,24
"7",1,1,1,22
"8",1,1,1,28
"9",1,1,0,24
"10",1,1,1,27
"11",1,0,1,29
"12",1,0,1,2
"13",1,1,1,27
"14",1,1,0,27
"15",1,1,1,27
"16",1,1,1,30
"17",1,1,1,30
"18",1,0,1,24
"19",1,0,0,15
"20",1,1,1,26
"21",1,1,1,25
"22",1,0,0,26
"23",1,0,0,32
"24",1,1,1,26
"25",1,1,0,26
"26",1,0,1,3
"27",1,0,1,27
"28",1,1,1,27
"29",1,1,0,25
"30",1,1,1,26
"31",1,1,1,38
"32",1,1,1,31
"33",1,1,1,9
"34",1,0,1,28
"35",1,1,1,30
"36",1,1,0,7
"37",1,0,1,23
"38",1,1,1,24
"39",1,1,0,19
"40",1,0,0,32
"41",1,1,1,22
"42",1,1,1,26
"43",1,0,1,30
"44",1,1,1,24
"45",1,0,1,24
"46",1,0,1,24
"47",1,1,0,21
"48",1,0,1,5
"49",1,1,1,24
"50",1,1,1,24
"51",1,1,1,33
"52",1,1,1,26
"53",1,0,1,25
"54",1,1,1,28
"55",1,1,1,23
"56",1,1,1,4
"57",1,1,1,25
"58",1,1,1,27
"59",1,0,0,20
"60",1,0,1,22
"61",1,1,1,22
"62",1,0,1,21
"63",1,1,0,20
"64",1,1,1,28
"65",1,1,0,27
"66",1,1,1,49
"67",1,0,1,28
"68",1,0,1,24
"69",1,1,1,27
"70",1,0,1,25
"71",1,1,0,28
"72",1,1,1,28
"73",1,0,1,24
"74",1,0,1,26
"75",1,1,0,29
"76",1,1,1,24
"77",1,1,1,21
"78",1,1,0,28
"79",1,1,1,28
"80",1,1,0,33
"81",1,1,1,23
"82",1,1,0,23
"83",1,1,1,21
"84",1,0,1,28
"85",1,1,1,25
"86",1,1,0,31
"87",1,0,1,10
"88",1,0,1,22
"89",1,1,1,23
"90",1,1,0,23
"91",1,1,1,23
"92",1,1,1,24
"93",1,0,1,31
"94",1,1,1,25
"95",1,1,1,21
"96",1,0,0,24
"97",1,1,0,11
"98",1,1,1,24
"99",1,0,1,22
"100",1,0,0,24
"101",1,1,0,27
"102",1,0,0,29
"103",1,1,0,26
"104",1,0,1,24
"105",1,1,1,36
"106",1,1,0,39
"107",1,1,0,26
"108",1,1,0,23
"109",1,1,0,26
"110",1,1,0,15
"111",1,1,1,18
"112",1,1,0,20
"113",1,1,1,9
