"","Subj_idx","Accuracy","Response","Confidence"
"1",1,0,1,1
"2",1,1,0,2
"3",1,1,0,1
"4",1,0,1,1
"5",1,1,0,3
"6",1,0,0,3
"7",1,0,0,2
"8",1,1,1,2
"9",1,1,0,2
"10",1,1,0,2
"11",1,0,1,1
"12",1,1,0,2
"13",1,0,0,1
"14",1,0,0,1
"15",1,1,0,1
"16",1,0,0,3
"17",1,1,0,3
"18",1,1,0,2
"19",1,1,1,2
"20",1,0,0,2
"21",1,0,0,1
"22",1,1,0,2
"23",1,0,0,1
"24",1,1,1,2
"25",1,1,0,2
"26",1,1,1,3
"27",1,1,0,2
"28",1,0,0,2
"29",1,1,0,2
"30",1,1,0,3
"31",1,1,1,1
"32",1,1,0,3
"33",1,0,0,3
"34",1,1,0,3
"35",1,1,0,3
"36",1,1,0,1
"37",1,0,0,1
"38",1,0,1,1
"39",1,1,1,2
"40",1,1,0,2
"41",1,1,0,2
"42",1,0,0,2
"43",1,1,0,3
"44",1,1,0,1
"45",1,0,0,3
"46",1,1,0,2
"47",1,0,0,2
"48",1,1,0,1
"49",1,0,0,2
"50",1,0,0,1
"51",1,1,1,1
"52",1,0,1,1
"53",1,0,1,1
"54",1,0,0,2
"55",1,0,0,2
"56",1,0,0,3
"57",1,1,1,2
"58",1,1,0,3
"59",1,1,0,3
"60",1,1,0,2
"61",1,1,0,2
"62",1,1,1,1
"63",1,1,1,3
"64",1,0,0,2
"65",1,1,1,3
"66",1,1,1,2
"67",1,0,0,2
"68",1,0,0,2
"69",1,0,0,2
"70",1,1,0,1
"71",1,0,1,1
"72",1,1,0,3
"73",1,1,0,1
"74",1,0,0,2
"75",1,0,0,3
"76",1,1,0,2
"77",1,1,0,2
"78",1,1,1,3
"79",1,0,0,2
"80",1,0,0,3
"81",1,0,0,1
"82",1,1,0,2
"83",1,1,0,2
"84",1,0,0,2
"85",1,1,0,2
"86",1,0,0,2
"87",1,0,0,1
"88",1,0,0,2
"89",1,1,0,2
"90",1,1,0,3
"91",1,1,0,2
"92",1,1,1,1
"93",1,1,0,3
"94",1,0,1,1
"95",1,1,1,2
"96",1,0,0,1
"97",10,1,0,3
"98",10,0,0,3
"99",10,1,1,2
"100",10,1,1,2
"101",10,1,1,3
"102",10,0,0,2
"103",10,1,1,2
"104",10,1,0,2
"105",10,0,0,2
"106",10,0,0,2
"107",10,1,0,2
"108",10,1,0,2
"109",10,1,1,1
"110",10,0,1,1
"111",10,0,0,2
"112",10,1,1,2
"113",10,1,1,2
"114",10,0,0,2
"115",10,1,0,3
"116",10,0,0,2
"117",10,1,0,2
"118",10,1,0,2
"119",10,1,0,2
"120",10,1,0,2
"121",10,1,1,2
"122",10,0,0,2
"123",10,0,0,2
"124",10,1,0,2
"125",10,1,0,2
"126",10,0,1,2
"127",10,1,0,3
"128",10,1,0,3
"129",10,0,0,3
"130",10,1,0,3
"131",10,1,0,3
"132",10,1,0,3
"133",10,1,0,3
"134",10,1,0,3
"135",10,0,0,3
"136",10,1,0,3
"137",10,0,0,3
"138",10,0,0,3
"139",10,1,0,3
"140",10,1,0,3
"141",10,0,0,3
"142",10,1,0,3
"143",10,1,0,2
"144",10,1,1,1
"145",10,1,0,2
"146",10,1,0,2
"147",10,1,0,2
"148",10,0,0,3
"149",10,1,1,3
"150",10,1,0,2
"151",10,0,0,2
"152",10,1,1,3
"153",10,0,0,2
"154",10,0,0,2
"155",10,1,0,2
"156",10,1,1,2
"157",10,1,1,2
"158",10,0,0,2
"159",10,0,1,2
"160",10,1,1,2
"161",10,0,0,2
"162",10,1,0,2
"163",10,0,0,2
"164",10,0,0,2
"165",10,0,0,2
"166",10,0,0,2
