"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,1,2
"2",1,1,1,2
"3",1,1,0,2
"4",1,0,1,1
"5",1,1,0,1
"6",1,1,1,2
"7",1,1,1,2
"8",1,0,1,1
"9",1,1,0,2
"10",1,0,1,1
"11",1,0,0,2
"12",1,0,1,1
"13",1,1,1,3
"14",1,0,0,2
"15",1,1,0,1
"16",1,1,1,1
"17",1,1,0,3
"18",1,1,0,3
"19",1,1,1,2
"20",1,0,0,2
"21",1,1,1,1
"22",1,1,1,1
"23",1,1,0,2
"24",1,1,0,1
"25",1,1,1,3
"26",1,1,1,2
"27",1,0,1,1
"28",1,0,0,2
"29",1,0,0,1
"30",1,1,0,1
"31",1,1,0,3
"32",1,0,0,2
"33",1,0,1,1
"34",1,1,1,3
"35",1,0,1,1
"36",1,1,1,1
"37",1,1,0,2
"38",1,1,0,2
"39",1,1,0,1
"40",1,0,0,2
"41",1,0,0,1
"42",1,1,0,3
"43",1,0,0,2
"44",1,0,0,2
"45",1,0,1,1
"46",1,1,0,1
"47",1,1,1,1
"48",1,1,1,2
"49",1,0,1,2
"50",1,0,1,1
"51",1,1,0,1
"52",1,1,0,1
"53",1,1,0,2
"54",1,1,0,2
"55",1,1,1,3
"56",1,1,0,2
"57",1,1,0,1
"58",1,1,0,2
"59",1,1,1,3
"60",1,1,0,3
"61",1,1,1,1
"62",1,0,0,1
"63",1,1,0,2
"64",1,1,0,2
"65",1,0,0,3
"66",1,0,0,3
"67",1,1,1,1
"68",1,1,0,2
"69",1,0,0,1
"70",1,1,0,1
"71",1,1,0,1
"72",1,1,0,1
"73",1,1,1,1
"74",1,1,1,2
"75",1,0,1,1
"76",1,1,1,1
"77",1,0,0,3
"78",1,0,0,2
"79",1,0,0,1
"80",1,0,1,1
"81",1,1,0,1
"82",1,1,1,1
"83",1,1,1,2
"84",1,0,1,2
"85",1,0,1,2
"86",1,0,0,1
"87",1,1,1,1
"88",1,1,1,3
"89",1,1,0,1
"90",1,0,1,2
"91",1,0,0,2
"92",1,1,0,2
"93",1,0,0,1
"94",1,1,1,1
"95",1,1,1,3
"96",1,1,0,1
"97",10,1,1,3
"98",10,1,0,2
"99",10,1,0,3
"100",10,1,0,3
"101",10,1,0,3
"102",10,1,0,3
"103",10,1,1,3
"104",10,1,0,3
"105",10,1,1,2
"106",10,1,0,3
"107",10,1,1,2
"108",10,0,0,1
"109",10,1,0,3
"110",10,1,1,3
"111",10,1,0,3
"112",10,1,0,3
"113",10,1,0,1
"114",10,0,0,2
"115",10,1,1,3
"116",10,1,0,3
"117",10,1,1,3
"118",10,1,1,3
"119",10,1,0,2
"120",10,0,0,3
"121",10,1,0,3
"122",10,0,1,2
"123",10,0,0,2
"124",10,0,0,1
"125",10,1,1,2
"126",10,1,1,3
"127",10,1,0,3
"128",10,1,1,1
"129",10,1,0,3
"130",10,1,0,3
"131",10,1,0,3
"132",10,1,0,2
"133",10,1,0,2
"134",10,1,1,3
"135",10,1,0,1
"136",10,1,0,2
"137",10,1,1,1
"138",10,1,1,1
"139",10,1,0,1
"140",10,1,1,3
"141",10,1,0,1
"142",10,1,0,3
"143",10,1,0,3
"144",10,1,0,3
"145",10,1,1,3
"146",10,1,1,3
"147",10,1,1,3
"148",10,1,1,3
"149",10,1,1,3
"150",10,1,1,3
"151",10,1,0,3
"152",10,1,1,3
"153",10,1,1,3
"154",10,1,0,2
"155",10,0,0,2
"156",10,0,0,2
"157",10,1,0,2
"158",10,1,1,3
"159",10,1,0,2
"160",10,1,0,3
"161",10,1,1,3
"162",10,1,0,2
"163",10,1,0,2
"164",10,1,0,3
"165",10,1,1,3
"166",10,1,0,1
"167",10,1,0,3
"168",10,1,1,2
"169",10,1,0,1
"170",10,1,0,3
"171",10,1,0,3
"172",10,1,1,1
"173",10,1,1,3
"174",10,1,0,2
"175",10,0,0,2
"176",10,1,1,3
"177",10,0,1,1
"178",10,1,1,3
"179",10,0,0,1
"180",10,1,0,1
"181",10,1,1,3
"182",10,0,0,2
"183",10,1,0,3
"184",10,1,1,3
"185",10,0,0,3
"186",10,1,1,3
"187",10,0,1,1
"188",10,1,1,3
"189",10,1,0,2
"190",10,0,0,2
"191",10,1,1,1
"192",10,1,0,2
"193",11,0,0,1
"194",11,1,0,3
"195",11,1,1,3
"196",11,1,0,3
"197",11,1,0,3
"198",11,1,0,3
"199",11,1,1,3
"200",11,1,1,3
"201",11,1,1,3
"202",11,1,0,3
"203",11,1,1,3
"204",11,1,1,3
