"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,1,3.306280052
"2",1,0,1,2.255243695
"3",1,1,1,4.11745351
"4",1,1,2,4.333418956
"5",1,1,2,3.760883436
"6",1,0,1,1.570955792
"7",1,1,2,4.680387505
"8",1,1,1,5.010120016
"9",1,1,1,4.190595371
"10",1,1,2,5.429365649
"11",1,1,2,4.594611572
"12",1,1,1,1.829784358
"13",1,1,2,1.950330135
"14",1,1,1,3.025398375
"15",1,1,1,4.967649449
"16",1,1,2,2.859788825
"17",1,1,1,2.935631839
"18",1,1,1,4.471701852
"19",1,1,1,3.754944744
"20",1,1,2,4.201887907
"21",1,0,1,1.779677031
"22",1,1,1,2.197226058
"23",1,0,2,4.117426143
"24",1,1,1,4.210986806
"25",1,1,1,2.84498534
"26",1,0,1,3.667410809
"27",1,1,2,2.849173412
"28",1,0,1,5.09478059
"29",1,1,2,4.535297598
"30",1,1,2,4.441860485
"31",1,1,2,1.595266832
"32",1,1,1,3.234731654
"33",1,1,1,3.897479903
"34",1,1,1,3.132259834
"35",1,0,2,1.063217086
"36",1,1,1,1.915734385
"37",1,1,2,2.843956035
"38",1,1,2,4.204059389
"39",1,1,2,2.652543468
"40",1,0,1,4.69940279
"41",1,1,2,1.625032588
"42",1,0,1,1.564133109
"43",1,0,1,1.941619966
"44",1,1,1,5.228945912
"45",1,1,2,5.352384293
"46",1,1,1,5.511120392
"47",1,0,1,4.390349862
"48",1,1,1,3.969658096
"49",1,1,2,1.89663273
"50",1,1,2,3.172105836
"51",1,1,1,1.947552861
"52",1,1,1,4.355988062
"53",1,0,2,4.108465842
"54",1,1,2,2.998627784
"55",1,1,2,5.186271025
"56",1,0,1,5.186728453
"57",1,1,2,5.219522898
"58",1,1,1,5.526030335
"59",1,1,1,4.916531354
"60",1,1,1,4.621543582
"61",1,0,1,1.667376455
"62",1,1,1,2.944869726
"63",1,1,1,4.334360905
"64",1,1,2,2.90909539
"65",1,0,1,4.461822453
"66",1,0,2,3.958020473
"67",1,1,2,4.989099207
"68",1,1,1,1.085948022
"69",1,0,1,4.724752919
"70",1,1,1,5.382670294
"71",1,0,2,5.129670385
"72",1,1,2,5.096727048
"73",1,1,1,5.595334976
"74",1,1,1,4.991123129
"75",1,1,2,4.107237593
"76",1,1,1,5.463255983
"77",1,0,1,4.601344405
"78",1,1,1,4.108960884
"79",1,1,2,5.338225222
"80",1,1,2,2.048824136
"81",1,0,2,5.740656017
"82",1,1,2,5.427977679
"83",1,1,1,4.607254814
"84",1,1,1,2.635072972
"85",1,1,2,4.79163954
"86",1,0,1,2.940130685
"87",1,1,2,4.734719877
"88",1,1,1,5.194132603
"89",1,0,1,5.624299453
"90",1,1,1,4.597444934
"91",1,0,2,5.658735225
"92",1,1,2,5.86572318
"93",1,1,1,2.648220273
"94",1,1,1,4.060349089
"95",1,1,2,2.988006673
"96",1,0,1,3.089707061
"97",1,0,1,5.053943188
"98",1,1,1,5.711594877
"99",1,1,1,4.55811508
"100",1,0,2,3.050415041
"101",1,1,2,5.577992966
"102",1,1,2,2.921115262
"103",1,1,2,1
"104",1,0,1,1.65150203
"105",1,1,2,2.70760834
"106",1,1,1,4.906856128
"107",1,0,1,4.982605993
"108",1,1,1,3.103950714
"109",1,0,1,5.078520556
"110",1,1,1,2.800173256
"111",1,0,1,3.110643189
"112",1,1,2,5.29876435
"113",1,1,2,6
"114",1,1,2,4.639442733
"115",1,1,1,5.211088597
