"","Subj_idx","Accuracy","Response","Confidence"
"1","N01",0,"LEFT",0
"2","N01",1,"RIGHT",0
"3","N01",0,"RIGHT",0
"4","N01",1,"RIGHT",1
"5","N01",0,"RIGHT",1
"6","N01",0,"LEFT",1
"7","N01",1,"LEFT",1
"8","N01",0,"RIGHT",1
"9","N01",0,"RIGHT",1
"10","N01",0,"LEFT",1
"11","N01",0,"RIGHT",1
"12","N01",1,"RIGHT",1
"13","N01",1,"RIGHT",1
"14","N01",0,"RIGHT",1
"15","N01",1,"RIGHT",1
"16","N01",1,"RIGHT",1
"17","N01",1,"RIGHT",1
"18","N01",0,"RIGHT",1
"19","N01",1,"RIGHT",1
"20","N01",1,"RIGHT",1
"21","N01",1,"RIGHT",1
"22","N01",1,"RIGHT",1
"23","N01",0,"RIGHT",1
"24","N01",1,"RIGHT",1
"25","N01",1,"RIGHT",1
"26","N01",0,"LEFT",1
"27","N01",1,"RIGHT",1
"28","N01",0,"RIGHT",1
"29","N01",0,"RIGHT",1
"30","N01",1,"RIGHT",1
"31","N01",1,"LEFT",1
"32","N01",1,"RIGHT",1
"33","N01",1,"LEFT",1
"34","N01",0,"RIGHT",1
"35","N01",1,"LEFT",1
"36","N01",1,"RIGHT",1
"37","N01",1,"LEFT",1
"38","N01",1,"LEFT",1
"39","N01",1,"RIGHT",1
"40","N01",1,"RIGHT",1
"41","N01",1,"RIGHT",1
"42","N01",1,"RIGHT",1
"43","N01",1,"LEFT",1
"44","N01",1,"RIGHT",1
"45","N01",1,"LEFT",1
"46","N01",1,"RIGHT",1
"47","N01",1,"RIGHT",1
"48","N01",1,"LEFT",1
"49","N01",1,"LEFT",1
"50","N01",1,"LEFT",0
"51","N01",1,"LEFT",0
"52","N01",1,"RIGHT",0
"53","N01",1,"LEFT",0
"54","N01",1,"LEFT",0
"55","N01",1,"LEFT",0
"56","N01",1,"RIGHT",0
"57","N01",1,"LEFT",0
"58","N01",1,"RIGHT",0
"59","N01",1,"LEFT",0
"60","N01",1,"LEFT",0
"61","N01",1,"LEFT",0
"62","N01",1,"RIGHT",0
"63","N01",1,"RIGHT",0
"64","N01",0,"LEFT",0
"65","N01",1,"RIGHT",0
"66","N01",1,"LEFT",0
"67","N01",1,"LEFT",0
"68","N01",1,"LEFT",0
"69","N01",1,"RIGHT",0
"70","N01",1,"LEFT",0
"71","N01",1,"RIGHT",0
"72","N01",1,"LEFT",0
"73","N01",0,"LEFT",0
"74","N01",1,"LEFT",0
"75","N01",0,"LEFT",0
"76","N01",1,"RIGHT",0
"77","N01",1,"LEFT",0
"78","N01",1,"LEFT",0
"79","N01",1,"RIGHT",0
"80","N01",0,"LEFT",0
"81","N01",1,"LEFT",0
"82","N01",1,"LEFT",0
"83","N01",0,"LEFT",0
"84","N01",1,"LEFT",0
"85","N01",1,"LEFT",0
"86","N01",1,"LEFT",0
"87","N01",0,"LEFT",0
"88","N01",1,"LEFT",0
"89","N01",0,"LEFT",0
"90","N01",1,"RIGHT",0
"91","N01",1,"LEFT",0
"92","N01",1,"RIGHT",0
"93","N01",1,"RIGHT",0
"94","N01",0,"RIGHT",1
"95","N01",1,"RIGHT",0
"96","N01",1,"RIGHT",0
"97","N01",0,"LEFT",1
"98","N01",1,"RIGHT",0
"99","N01",1,"RIGHT",0
"100","N01",0,"RIGHT",0
"101","N01",1,"LEFT",0
"102","N01",1,"LEFT",1
"103","N01",0,"LEFT",1
"104","N01",0,"LEFT",0
"105","N01",1,"RIGHT",0
"106","N01",0,"LEFT",0
"107","N01",1,"RIGHT",0
"108","N01",1,"LEFT",0
"109","N01",1,"LEFT",0
"110","N01",0,"RIGHT",0
"111","N01",1,"LEFT",0
"112","N01",1,"RIGHT",0
"113","N01",1,"LEFT",0
"114","N01",1,"RIGHT",0
"115","N01",0,"RIGHT",0
"116","N01",1,"LEFT",0
"117","N01",1,"RIGHT",0
"118","N01",1,"LEFT",0
"119","N01",0,"RIGHT",0
"120","N01",0,"LEFT",0
"121","N01",0,"RIGHT",0
"122","N01",0,"RIGHT",0
"123","N01",0,"LEFT",0
"124","N01",1,"RIGHT",0
"125","N01",0,"RIGHT",0
"126","N01",1,"RIGHT",0
"127","N01",0,"RIGHT",1
"128","N01",1,"RIGHT",1
"129","N01",1,"RIGHT",1
"130","N01",1,"RIGHT",1
"131","N01",1,"RIGHT",1
"132","N01",1,"RIGHT",1
"133","N01",1,"RIGHT",1
"134","N01",1,"RIGHT",1
"135","N01",1,"RIGHT",1
"136","N01",1,"LEFT",1
"137","N01",0,"LEFT",1
"138","N01",1,"LEFT",1
"139","N01",1,"RIGHT",1
"140","N01",1,"LEFT",1
"141","N01",0,"RIGHT",1
"142","N01",1,"LEFT",1
"143","N01",1,"LEFT",1
"144","N01",1,"RIGHT",1
"145","N01",1,"RIGHT",1
"146","N01",1,"RIGHT",1
"147","N01",1,"LEFT",1
"148","N01",1,"RIGHT",1
"149","N01",1,"RIGHT",1
"150","N01",1,"LEFT",1
"151","N01",1,"RIGHT",0
"152","N01",1,"RIGHT",1
"153","N01",0,"RIGHT",1
"154","N01",0,"RIGHT",1
"155","N01",0,"LEFT",1
"156","N01",0,"RIGHT",1
"157","N01",0,"RIGHT",1
"158","N01",1,"RIGHT",1
"159","N01",1,"RIGHT",1
"160","N01",1,"RIGHT",1
"161","N01",1,"RIGHT",1
"162","N01",1,"RIGHT",0
"163","N01",0,"RIGHT",0
"164","N01",0,"RIGHT",0
"165","N01",1,"RIGHT",0
"166","N01",0,"RIGHT",0
"167","N01",1,"RIGHT",0
"168","N01",1,"RIGHT",0
"169","N01",1,"RIGHT",0
"170","N01",0,"RIGHT",1
"171","N01",1,"RIGHT",1
"172","N01",1,"LEFT",1
"173","N01",1,"RIGHT",1
