"","Subj_idx","Accuracy","Response","Confidence"
"1",1,0,1,0.6
"2",1,1,1,0.85
"3",1,1,2,0.95
"4",1,0,1,0.9
"5",1,0,1,0.65
"6",1,1,2,0.55
"7",1,1,1,0.9
"8",1,1,2,1
"9",1,0,1,0.65
"10",1,0,2,0.6
"11",1,1,1,1
"12",1,1,1,0.75
"13",1,0,1,0.65
"14",1,1,2,0.65
"15",1,1,2,0.7
"16",1,1,1,0.65
"17",1,1,2,1
"18",1,0,1,0.6
"19",1,1,1,0.75
"20",1,1,1,0.95
"21",1,0,1,0.6
"22",1,1,1,0.95
"23",1,1,1,0.55
"24",1,1,2,0.95
"25",1,1,1,1
"26",1,1,2,1
"27",1,1,2,0.8
"28",1,1,2,0.9
"29",1,1,1,0.8
"30",1,0,2,0.6
"31",1,0,2,0.55
"32",1,0,1,0.55
"33",1,1,1,0.65
"34",1,1,1,0.55
"35",1,1,2,0.95
"36",1,1,2,0.85
"37",1,1,2,1
"38",1,1,2,0.75
"39",1,1,2,0.95
"40",1,1,2,0.9
"41",1,1,2,0.85
"42",1,0,2,1
"43",1,1,1,0.9
"44",1,0,1,0.65
"45",1,0,2,0.8
"46",1,0,1,0.65
"47",1,1,1,0.8
"48",1,1,2,0.6
"49",1,1,1,0.8
"50",1,1,1,0.9
"51",2,1,2,0.65
"52",2,1,1,0.65
"53",2,1,2,0.6
"54",2,0,1,0.7
"55",2,1,2,0.7
"56",2,0,1,0.8
"57",2,1,1,0.8
"58",2,1,2,0.75
"59",2,1,2,0.65
"60",2,1,1,0.6
"61",2,0,2,0.7
"62",2,1,1,0.75
"63",2,1,2,0.75
"64",2,0,1,0.6
"65",2,1,2,0.65
"66",2,1,1,0.7
"67",2,1,2,0.6
"68",2,0,1,0.65
"69",2,0,2,0.85
"70",2,1,1,0.75
"71",2,0,1,0.7
"72",2,1,1,0.65
"73",2,1,1,0.75
"74",2,1,2,0.65
"75",2,1,1,0.8
"76",2,1,2,0.8
"77",2,1,2,0.9
"78",2,0,1,0.65
"79",2,0,2,0.65
"80",2,1,1,0.7
"81",2,1,1,0.85
"82",2,1,2,0.9
"83",2,0,2,0.8
"84",2,1,1,0.7
"85",2,1,2,0.8
"86",2,0,1,0.6
"87",2,1,2,0.95
"88",2,0,1,0.65
