"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,0,6
"2",1,1,1,3
"3",1,0,0,2
"4",1,0,0,5
"5",1,1,1,6
"6",1,1,1,6
"7",1,0,0,1
"8",1,1,1,4
"9",1,1,1,3
"10",1,1,0,3
"11",1,1,1,1
"12",1,0,0,2
"13",1,1,0,2
"14",1,0,0,2
"15",1,1,0,6
"16",1,1,0,6
"17",1,1,1,4
"18",1,0,0,6
"19",1,0,1,3
"20",1,1,1,3
"21",1,1,1,5
"22",1,1,0,1
"23",1,1,0,6
"24",1,0,0,5
"25",1,0,0,2
"26",1,1,0,6
"27",1,1,1,3
"28",1,1,0,2
"29",1,1,0,5
"30",1,0,1,3
"31",1,1,0,6
"32",1,0,0,4
"33",1,0,1,2
"34",1,1,0,5
"35",1,1,0,6
"36",1,1,0,6
"37",1,0,0,4
"38",1,0,1,1
"39",1,1,0,6
"40",1,0,1,1
"41",1,1,1,6
"42",1,1,0,5
"43",1,1,1,5
"44",1,1,1,3
"45",1,1,1,6
"46",1,1,1,6
"47",1,0,1,4
"48",1,0,0,2
"49",1,1,1,2
"50",1,0,1,2
"51",1,1,1,6
"52",1,1,1,5
"53",1,0,1,3
"54",1,0,0,2
"55",1,1,0,4
"56",1,1,0,4
"57",1,1,1,6
"58",1,1,0,6
"59",1,1,1,6
"60",1,1,0,4
"61",1,1,1,4
"62",1,1,1,1
"63",1,0,1,1
"64",1,1,0,2
"65",1,1,0,2
"66",1,1,0,3
"67",1,1,1,3
"68",1,1,0,2
"69",1,1,0,3
"70",1,0,1,3
"71",1,1,1,4
"72",1,0,1,1
"73",1,1,1,6
"74",1,0,1,2
"75",1,1,1,1
"76",1,1,1,5
"77",1,1,0,6
"78",1,1,1,2
"79",1,0,1,2
"80",1,1,1,3
"81",1,1,0,2
"82",1,1,1,6
"83",1,1,0,3
"84",1,0,0,1
"85",1,0,1,2
"86",1,0,0,2
"87",1,0,1,2
"88",1,0,1,3
"89",1,1,0,2
"90",1,0,0,3
"91",1,1,1,2
"92",1,0,0,2
"93",1,1,0,4
"94",1,1,1,3
"95",1,1,0,2
"96",1,1,1,6
"97",1,1,1,4
"98",1,1,1,6
"99",1,1,1,4
"100",1,0,0,2
"101",1,0,1,2
"102",1,0,1,2
"103",1,0,0,3
"104",1,1,1,3
"105",1,1,0,3
"106",1,1,1,3
"107",1,1,1,6
"108",1,1,0,1
"109",1,1,0,2
"110",1,1,0,4
"111",1,1,0,4
"112",1,0,1,2
"113",1,1,0,6
"114",1,1,1,2
"115",1,1,1,2
"116",1,1,0,6
"117",1,0,1,2
"118",1,0,1,6
"119",1,1,1,6
"120",1,1,1,6
"121",1,0,1,3
"122",1,0,1,2
"123",1,0,1,2
"124",1,1,1,5
"125",1,1,1,6
"126",1,0,1,6
"127",1,0,1,6
"128",1,0,1,5
"129",1,1,1,2
"130",1,1,1,3
"131",1,0,1,2
"132",1,1,1,2
"133",1,0,1,2
"134",1,1,0,3
"135",1,1,1,5
"136",1,1,1,5
"137",1,0,1,4
"138",1,1,1,3
"139",1,1,1,5
"140",1,0,1,2
"141",1,1,1,4
"142",1,0,0,1
"143",1,1,1,3
"144",1,0,1,2
"145",1,1,0,5
"146",1,0,0,3
"147",1,1,1,3
"148",1,1,0,2
"149",1,1,0,4
"150",1,1,0,4
"151",1,1,1,4
"152",1,1,0,4
"153",1,1,1,4
