"","Subj_idx","Accuracy","Response","Confidence"
"1","AC",0,2,1
"2","AC",1,1,1
"3","AC",1,2,1
"4","AC",1,1,1
"5","AC",1,2,1
"6","AC",1,2,1
"7","AC",1,2,1
"8","AC",1,1,1
"9","AC",1,2,1
"10","AC",1,1,2
"11","AC",1,1,2
"12","AC",1,2,2
"13","AC",1,1,1
"14","AC",0,2,1
"15","AC",1,2,2
"16","AC",1,1,2
"17","AC",1,1,1
"18","AC",1,2,1
"19","AC",0,1,1
"20","AC",0,1,1
"21","AC",0,2,1
"22","AC",1,1,1
"23","AC",1,1,2
"24","AC",0,1,1
"25","AC",1,2,1
"26","AC",1,1,2
"27","AC",1,2,2
"28","AC",1,2,2
"29","AC",1,1,1
"30","AC",0,1,1
"31","AC",1,2,1
"32","AC",0,2,1
"33","AC",0,2,1
"34","AC",0,1,1
"35","AC",1,1,1
"36","AC",0,2,1
"37","AC",0,1,1
"38","AC",1,2,2
"39","AC",0,2,1
"40","AC",1,2,1
"41","AC",1,2,1
"42","AC",1,1,1
"43","AC",1,1,1
"44","AC",1,1,1
"45","AC",0,1,1
"46","AC",0,1,1
"47","AC",0,1,1
"48","AC",1,1,2
"49","AC",1,1,1
"50","AC",1,2,1
"51","AC",1,1,2
"52","AC",0,1,1
"53","AC",1,1,2
"54","AC",1,2,2
"55","AC",1,1,1
"56","AC",1,1,1
"57","AC",1,2,1
"58","AC",1,1,2
"59","AC",1,2,2
"60","AC",1,2,2
"61","AC",1,1,1
"62","AC",0,2,1
"63","AC",1,2,1
"64","AC",1,2,2
"65","AC",1,1,2
"66","AC",1,2,2
"67","AC",0,1,1
"68","AC",1,1,1
"69","AC",0,2,1
"70","AC",1,2,1
"71","AC",1,2,2
"72","AC",1,1,2
"73","AC",1,1,1
"74","AC",1,1,2
"75","AC",0,1,2
"76","AC",0,1,2
"77","AC",1,2,1
"78","AC",1,2,2
"79","AC",1,1,1
"80","AC",1,1,2
"81","AC",0,1,1
"82","AC",1,2,1
"83","AC",1,1,1
"84","AC",1,2,2
"85","AC",1,1,1
"86","AC",1,2,2
"87","AC",0,2,1
"88","AC",1,2,2
"89","AC",1,1,2
"90","AC",1,1,2
"91","AC",1,1,1
"92","AC",0,2,1
"93","AC",1,2,1
"94","AC",1,1,2
"95","AC",0,1,1
"96","AC",1,2,2
"97","AC",1,1,1
"98","AC",1,2,2
"99","AC",0,1,2
"100","AC",1,1,2
"101","AC",1,2,1
"102","AC",1,1,1
"103","AC",1,2,2
"104","AC",1,1,1
"105","AC",0,1,1
"106","AC",1,1,2
"107","AC",1,1,2
"108","AC",1,1,2
"109","AC",1,2,2
"110","AC",0,1,1
"111","AC",0,2,2
"112","AC",1,1,1
"113","AC",1,1,1
"114","AC",0,2,2
"115","AC",1,2,2
"116","AC",1,2,1
"117","AC",0,2,1
"118","AC",1,2,1
"119","AC",0,1,2
"120","AC",1,2,2
"121","AC",0,1,2
"122","AC",1,2,1
"123","AC",1,1,2
"124","AC",0,1,2
"125","AC",1,1,1
"126","AC",1,1,1
"127","AC",1,1,2
"128","AC",1,2,1
"129","AC",1,1,1
"130","AC",1,2,1
"131","AC",1,2,2
"132","AC",1,1,1
"133","AC",0,2,2
"134","AC",0,1,1
"135","AC",1,1,1
"136","AC",1,1,1
"137","AC",1,1,1
"138","AC",1,2,1
"139","AC",1,2,2
"140","AC",0,1,2
"141","AC",1,1,1
"142","AC",1,2,2
"143","AC",1,2,1
"144","AC",0,1,1
"145","AC",1,1,1
"146","AC",1,1,2
"147","AC",1,1,2
"148","AC",1,2,1
"149","AC",1,2,2
"150","AC",0,2,1
"151","AC",1,2,2
"152","AC",1,1,1
"153","AC",0,2,1
"154","AC",0,2,2
"155","AC",0,1,1
"156","AC",1,2,2
"157","AC",1,1,1
"158","AC",0,2,2
"159","AC",0,1,2
"160","AC",0,1,2
"161","AC",0,1,2
"162","AC",1,2,1
"163","AC",1,1,2
"164","AC",0,2,1
"165","AC",1,2,1
"166","AC",1,1,2
"167","AC",0,2,1
"168","AC",1,2,1
"169","AC",0,1,2
"170","AC",1,1,2
"171","AC",0,2,1
"172","AC",1,2,1
"173","AC",1,1,2
"174","AC",1,1,1
"175","AC",1,1,2
"176","AC",1,2,1
"177","AC",0,1,1
"178","AC",1,2,1
"179","AC",0,1,1
"180","AC",1,1,1
"181","AC",0,1,1
"182","AC",1,2,1
"183","AC",0,1,2
"184","AC",1,1,2
"185","AC",1,1,2
"186","AC",1,2,1
"187","AC",1,1,2
"188","AC",1,2,1
"189","AC",1,1,2
"190","AC",1,1,2
"191","AC",1,1,1
"192","AC",0,2,1
"193","AC",1,1,2
"194","AC",1,2,2
"195","AC",1,1,1
"196","AC",0,1,1
"197","AC",0,1,1
"198","AC",1,2,1
"199","AC",1,2,2
"200","AC",1,1,2
"201","AC",0,2,1
"202","AC",0,1,1
"203","AC",1,2,2
"204","AC",1,2,2
"205","AC",1,2,1
"206","AC",1,1,1
"207","AC",0,2,1
"208","AC",1,1,2
"209","AC",0,2,2
"210","AC",1,2,1
"211","AC",1,1,2
"212","AC",1,2,2
"213","AC",1,2,1
"214","AC",1,1,1
"215","AC",0,2,1
"216","AC",1,2,1
"217","AC",1,2,1
"218","AC",1,2,1
"219","AC",1,1,2
"220","AC",0,2,1
"221","AC",0,2,2
"222","AC",0,1,1
"223","AC",1,2,2
"224","AC",0,2,2
