"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,1,-8.1224
"2",1,0,2,-1.8805
"3",1,1,2,-2.6371
"4",1,1,1,-1.1239
"5",1,1,1,-2.7317
"6",1,1,1,-4.9069
"7",1,0,1,-4.7177
"8",1,0,1,-4.6232
"9",1,1,2,8.3343
"10",1,1,2,7.5777
"11",1,1,2,5.3079
"12",1,1,1,12.0231
"13",1,0,2,2.0924
"14",1,0,2,-3.3937
"15",1,0,2,-8.6899
"16",1,0,1,-10.1085
"17",1,1,2,-6.9875
"18",1,1,1,9.4692
"19",1,0,2,-7.9333
"20",1,1,1,4.4567
"21",1,1,1,0.0117
"22",1,1,1,9.7529
"23",1,1,1,12.0231
"24",1,1,1,3.0381
"25",1,1,1,-1.9751
"26",1,1,1,0.0117
"27",1,1,1,12.0231
"28",1,1,1,12.0231
"29",1,1,1,1.4304
"30",1,0,1,-1.1239
"31",1,0,1,-8.879
"32",1,1,2,12.0231
"33",1,0,2,-8.6899
"34",1,0,2,-10.4868
"35",1,1,2,12.0231
"36",1,1,2,12.0231
"37",1,1,2,-10.2031
"38",1,0,2,-10.4868
"39",1,1,1,12.0231
"40",1,0,2,-9.6356
"41",1,1,1,12.0231
"42",1,1,2,0.39
"43",1,1,2,4.0784
"44",1,0,2,-3.6774
"45",1,1,1,4.3622
"46",1,1,2,-4.6232
"47",1,1,2,-0.3673
"48",1,0,2,-1.9751
"49",1,1,2,12.0231
"50",1,1,2,1.5249
"51",1,1,1,12.0231
"52",1,1,1,0.6738
"53",1,1,1,0.6738
"54",1,1,1,12.0231
"55",1,1,2,12.0231
"56",1,1,2,12.0231
"57",1,1,2,12.0231
"58",1,1,2,5.4971
"59",1,1,2,-0.9348
"60",1,1,2,12.0231
"61",1,0,2,-2.3534
"62",1,0,2,-3.9611
"63",1,0,2,-8.5953
"64",1,0,1,-5.1906
"65",1,1,2,12.0231
"66",1,1,1,12.0231
"67",1,1,2,3.4164
"68",1,1,2,12.0231
"69",1,1,2,12.0231
"70",1,0,2,-1.5968
"71",1,1,2,-1.1239
"72",1,1,1,12.0231
"73",1,0,2,-2.7317
"74",1,0,2,7.6723
"75",1,1,1,12.0231
"76",1,1,1,4.0784
"77",1,1,1,12.0231
"78",1,1,2,12.0231
"79",1,1,1,7.3886
"80",1,1,1,12.0231
"81",1,1,1,-2.9208
"82",1,1,1,1.1466
"83",1,1,1,12.0231
"84",1,1,1,-1.6913
"85",1,0,1,0.0117
"86",1,1,2,12.0231
"87",1,1,1,-0.9348
"88",1,1,2,12.0231
"89",1,1,2,-2.4479
"90",1,1,1,12.0231
"91",1,0,2,0.5792
"92",1,1,2,-0.8402
"93",1,1,1,12.0231
"94",1,1,2,0.39
"95",1,0,2,0.9575
"96",1,1,2,12.0231
"97",1,1,1,12.0231
"98",1,1,2,3.4164
"99",1,1,1,12.0231
"100",1,1,1,7.294
"101",1,0,2,-1.5968
"102",1,1,1,12.0231
"103",1,1,1,12.0231
"104",1,1,2,12.0231
"105",1,1,2,12.0231
"106",1,1,2,12.0231
"107",1,1,1,5.4025
"108",1,1,2,12.0231
"109",1,1,1,12.0231
"110",1,0,2,-1.9751
"111",1,1,1,1.4304
"112",1,1,2,12.0231
"113",1,1,2,4.9296
"114",1,1,2,12.0231
"115",1,1,2,12.0231
"116",1,0,2,4.3622
"117",1,1,1,6.8211
"118",1,1,2,12.0231
"119",1,1,2,4.9296
"120",1,1,1,12.0231
"121",1,0,2,-2.1642
"122",1,1,1,12.0231
"123",1,1,1,1.7141
"124",1,0,2,-5.8526
"125",1,1,2,12.0231
"126",1,1,2,12.0231
"127",1,1,1,-1.9751
"128",1,1,1,12.0231
"129",1,0,1,6.5374
"130",1,1,2,12.0231
"131",1,1,2,-2.1642
"132",1,0,1,0.0117
"133",1,1,2,5.4025
"134",1,1,1,-7.6496
"135",1,1,2,-1.6913
"136",1,1,2,12.0231
"137",1,1,1,12.0231
"138",1,0,2,-2.6371
"139",1,1,2,12.0231
"140",1,1,2,12.0231
"141",1,1,2,12.0231
"142",1,1,1,12.0231
"143",1,1,2,12.0231
"144",1,1,2,6.8211
"145",1,1,1,3.4164
"146",1,1,2,0.0117
"147",1,1,2,12.0231
"148",1,1,2,0.9575
"149",1,1,1,3.7947
"150",1,1,2,0.0117
"151",1,1,2,12.0231
"152",1,1,1,0.0117
"153",1,1,2,12.0231
"154",1,1,1,4.5513
"155",1,1,2,2.9435
"156",1,1,1,2.6598
"157",1,1,2,6.5374
"158",1,1,1,12.0231
"159",1,1,2,12.0231
"160",1,1,1,12.0231
"161",1,0,2,3.2273
"162",1,0,2,0.0117
"163",1,1,1,12.0231
"164",1,1,2,1.7141
"165",1,1,2,12.0231
"166",1,0,2,-2.1642
"167",1,0,2,-2.4479
"168",1,1,2,12.0231
"169",1,1,1,0.0117
"170",1,1,2,12.0231
"171",1,1,1,12.0231
"172",1,0,1,0.0117
"173",1,1,2,12.0231
"174",1,1,2,12.0231
"175",1,1,1,12.0231
"176",1,1,1,12.0231
"177",1,1,1,12.0231
