"","Subj_idx","Accuracy","Response","Confidence"
"1",1,0,1,-1
"2",1,1,2,-1
"3",1,1,1,-1
"4",1,1,1,-1
"5",1,0,2,-1
"6",1,1,2,0.254
"7",1,0,1,-1
"8",1,1,2,-1
"9",1,0,1,-1
"10",1,1,1,-1
"11",1,1,2,0.3016
"12",1,0,1,-1
"13",1,1,1,-1
"14",1,0,2,-1
"15",1,1,1,-1
"16",1,1,2,0.3016
"17",1,0,1,-0.2969
"18",1,0,2,0
"19",1,1,1,-0.5235
"20",1,0,1,-1
"21",1,1,2,0.2063
"22",1,0,2,0.2063
"23",1,0,1,-0.6953
"24",1,1,2,0.6667
"25",1,0,1,-0.961
"26",1,1,2,0.7302
"27",1,1,1,0.3333
"28",1,0,2,0.3492
"29",1,0,1,-0.7266
"30",1,1,2,-0.6953
"31",1,1,2,0.8968
"32",1,1,2,0.9127
"33",1,1,1,-1
"34",1,1,1,-1
"35",1,0,1,-1
"36",1,1,1,1
"37",1,1,1,-1
"38",1,1,1,0.4603
"39",1,1,2,-0.5781
"40",1,0,1,0.5079
"41",1,1,2,0.8016
"42",1,1,2,0.6825
"43",1,1,1,-0.7266
"44",1,0,1,0.7619
"45",1,1,1,-0.0781
"46",1,1,1,1
"47",1,1,1,1
"48",1,1,1,-1
"49",1,1,2,0.3651
"50",1,1,1,0.7063
"51",1,1,2,1
"52",1,1,1,0.5714
"53",1,1,1,-0.7266
"54",1,1,2,0.9286
"55",1,1,1,0.4683
"56",1,1,2,1
"57",1,0,1,-0.4375
"58",1,0,1,-0.9375
"59",1,1,1,-0.625
"60",1,1,1,-0.4453
"61",1,1,1,-0.6875
"62",1,0,1,-0.5625
"63",1,1,1,1
"64",1,1,1,-0.6875
"65",1,1,2,-0.6407
"66",1,0,1,0.6032
"67",1,1,1,-0.8672
"68",1,0,1,1
"69",1,1,1,1
"70",1,1,2,1
"71",1,0,1,-0.875
"72",1,1,1,0.754
"73",1,0,2,-0.1172
"74",1,1,1,0.9603
"75",1,0,1,-0.8594
"76",1,0,1,1
"77",1,1,1,0.7698
"78",1,0,2,-0.8985
"79",1,1,1,-0.961
"80",1,1,1,-0.8203
"81",1,0,1,-1
"82",1,1,1,0.7063
"83",1,0,1,-0.961
"84",1,0,1,-0.6953
"85",1,1,2,0.8254
"86",1,1,2,0.8492
"87",1,1,1,0.4365
"88",1,1,1,-1
"89",1,0,1,0.4444
"90",1,1,2,-0.7735
"91",1,0,1,-0.8672
"92",1,1,2,1
"93",1,1,1,0.6905
"94",1,1,1,0.6984
"95",1,1,1,-1
"96",1,0,1,0.2619
"97",1,1,1,0.4444
"98",1,0,1,-1
"99",1,0,1,-1
"100",1,1,2,0.8809
"101",1,1,2,-0.9141
"102",1,1,2,-1
"103",1,1,2,-1
"104",1,1,2,-0.6485
"105",1,0,1,-0.8438
"106",1,0,2,0.6667
"107",1,0,2,-0.8438
"108",1,1,1,-0.711
"109",1,1,1,0.3571
"110",1,0,1,-0.7188
"111",1,1,1,-0.9453
"112",1,1,1,-0.8125
"113",1,1,1,0.7222
"114",1,0,1,-0.6875
"115",1,1,1,-0.711
"116",1,1,1,0.6428
"117",1,1,2,1
"118",1,1,1,-0.6016
"119",1,0,1,-0.9375
"120",1,0,1,-0.6953
"121",1,0,1,-0.8594
"122",1,0,1,-0.7969
"123",1,1,1,-0.9844
"124",1,1,2,0.3175
"125",1,0,1,-1
"126",1,1,1,-0.6953
"127",1,1,1,-1
"128",1,1,1,-0.8203
"129",1,0,1,-0.8907
"130",1,1,1,0.6032
"131",1,1,1,-0.9219
"132",1,1,1,-0.9141
"133",1,1,1,0.3809
"134",1,0,1,0.3175
"135",1,0,1,-0.8438
"136",1,1,1,1
"137",1,0,1,-0.5781
"138",1,1,1,0.5317
"139",1,1,1,0.5
"140",1,1,1,-0.5703
"141",1,1,1,-0.4453
"142",1,1,2,0.6032
"143",1,1,1,-0.8985
"144",1,1,1,-0.6953
"145",1,1,1,-0.8672
"146",1,1,1,-0.9141
"147",1,1,2,0.8016
"148",1,0,1,-0.8594
"149",1,0,1,-0.8438
"150",1,1,1,0.5238
"151",1,1,2,-0.7735
"152",1,0,1,-1
"153",1,1,1,0.8174
"154",1,1,2,0.9048
"155",1,0,1,-1
"156",1,0,2,0.5317
"157",1,0,1,-0.875
"158",1,0,2,-1
"159",1,1,1,0.8016
"160",1,1,1,-1
"161",1,1,1,-1
"162",1,1,1,-0.7969
"163",1,1,1,0.7222
"164",1,1,2,0.6111
"165",1,1,1,0.3492
"166",1,1,1,0.8809
"167",1,1,1,-0.9141
"168",1,0,1,-1
"169",1,0,1,-0.9375
"170",1,0,1,-0.8672
"171",1,0,1,-0.9141
"172",1,1,1,-0.836
"173",1,0,1,-1
"174",1,1,1,-0.9922
"175",1,0,1,-0.8594
"176",1,0,1,-0.961
"177",1,0,2,-0.8125
"178",1,1,2,0.3492
"179",1,1,1,-0.8125
"180",1,1,1,0.5635
"181",1,0,1,-1
"182",1,0,1,0.3175
"183",1,1,1,-1
"184",1,1,1,-0.9141
"185",1,1,1,0.6349
"186",1,1,1,-0.9453
"187",1,1,2,0.4206
"188",1,1,1,-1
"189",1,0,1,-0.9453
"190",1,1,1,-0.961
"191",1,1,2,0.9048
"192",1,0,1,-0.9688
"193",1,1,1,0.6984
"194",1,1,1,-0.8907
"195",1,0,1,0.6428
"196",1,0,1,-1
"197",1,0,1,0.3254
"198",1,0,1,-0.75
"199",1,1,1,-0.8203
"200",1,0,1,-0.75
"201",1,1,1,0.5397
"202",1,0,1,-1
"203",1,0,1,0.4047
"204",1,1,1,-0.8438
"205",1,1,2,0.7778
"206",1,1,1,0.3651
"207",1,0,1,-0.8594
"208",1,0,1,-0.7969
"209",1,1,1,0.5873
"210",1,0,1,-0.3985
"211",1,1,1,-0.6016
"212",1,1,1,0.5635
"213",1,1,1,0.7381
"214",1,1,2,0.8968
"215",1,1,1,-0.8907
"216",1,1,1,0.7698
"217",1,1,1,-0.6875
"218",1,0,1,-0.7735
"219",1,0,1,-0.8672
"220",1,1,2,1
"221",1,1,1,-0.8438
"222",1,0,1,-0.7188
"223",1,0,1,-0.9141
"224",1,0,1,0.5397
"225",1,0,1,0.5635
"226",1,0,1,0.6428
"227",1,1,1,0.7381
"228",1,1,1,0.7778
"229",1,0,1,-0.9219
"230",1,0,1,0.0794
"231",1,1,1,0.0635
"232",1,0,2,-1
"233",1,1,1,-1
"234",1,0,1,-0.8907
"235",1,0,1,-0.961
"236",1,0,1,-0.961
"237",1,1,1,-1
"238",1,0,1,0.3651
"239",1,1,1,-0.8907
"240",1,0,1,-1
"241",1,0,1,-0.8438
"242",1,1,1,-0.7891
"243",1,0,1,-1
"244",1,0,1,-0.6719
"245",1,1,1,0.5635
"246",1,0,1,-0.7188
"247",1,1,2,0.4762
"248",1,0,1,-0.8985
"249",1,1,1,0.7222
"250",1,0,1,-0.711
"251",1,0,2,0.746
"252",1,0,1,-0.9453
"253",1,0,1,-0.8672
"254",1,1,1,-0.875
