"","Subj_idx","Accuracy","Response","Confidence"
"1",5,1,2,NA
"2",5,1,1,NA
"3",5,0,2,NA
"4",5,1,2,NA
"5",5,0,2,NA
"6",5,1,2,NA
"7",5,0,1,NA
"8",5,0,1,NA
"9",5,1,1,NA
"10",5,0,1,NA
"11",5,1,1,NA
"12",5,1,2,NA
"13",5,1,2,NA
"14",5,1,2,NA
"15",5,1,2,NA
"16",5,1,2,NA
"17",5,0,2,NA
"18",5,0,1,NA
"19",5,1,2,NA
"20",5,1,2,NA
"21",5,0,1,NA
"22",5,0,2,NA
"23",5,0,2,NA
"24",5,1,1,NA
"25",5,0,1,NA
"26",5,1,2,NA
"27",5,1,1,NA
"28",5,1,2,NA
"29",5,1,2,NA
"30",5,0,1,NA
"31",5,1,1,NA
"32",5,1,1,NA
"33",5,0,1,NA
"34",5,1,1,NA
"35",5,0,1,NA
"36",5,1,2,NA
"37",5,1,1,NA
"38",5,1,1,NA
"39",5,1,2,NA
"40",5,1,1,NA
"41",5,1,2,NA
"42",5,1,2,NA
"43",5,1,2,NA
"44",5,0,1,NA
"45",5,1,2,NA
"46",5,1,1,NA
"47",5,1,2,NA
"48",5,1,1,NA
"49",5,1,2,NA
"50",5,1,1,NA
"51",5,1,2,NA
"52",5,1,2,NA
"53",5,1,2,NA
"54",5,0,1,NA
"55",5,1,1,NA
"56",5,1,1,NA
"57",5,0,1,NA
"58",5,1,2,NA
"59",5,1,2,NA
"60",5,1,1,NA
"61",5,1,1,NA
"62",5,1,1,NA
"63",5,1,1,NA
"64",5,1,2,NA
"65",5,1,1,NA
"66",5,1,1,NA
"67",5,1,1,NA
"68",5,0,1,NA
"69",5,0,1,NA
"70",5,1,1,NA
"71",5,1,1,NA
"72",5,1,1,NA
"73",5,0,1,NA
"74",5,1,1,NA
"75",5,1,1,NA
"76",5,1,2,NA
"77",5,1,1,NA
"78",5,0,1,NA
"79",5,0,2,NA
"80",5,0,1,NA
"81",5,1,2,4.65625
"82",5,1,1,2.1375
"83",5,1,1,6
"84",5,1,1,6
"85",5,1,2,4.9
"86",5,0,1,3.08125
"87",5,1,1,5.96875
"88",5,1,1,6
"89",5,1,2,4.5125
"90",5,1,1,6
"91",5,1,2,3.775
"92",5,1,1,3.2
"93",5,1,1,1
"94",5,1,2,5.61875
"95",5,1,2,2.19375
"96",5,1,1,4.5375
"97",5,1,1,3.86875
"98",5,0,1,1.83125
"99",5,1,2,6
"100",5,1,1,6
"101",5,0,1,3.48125
"102",5,1,1,6
"103",5,1,1,5.15
"104",5,0,1,3.5
"105",5,1,1,5.075
"106",5,1,2,4.9625
"107",5,1,1,5.55
"108",5,1,2,6
"109",5,1,1,4.5
"110",5,1,2,5.8125
"111",5,1,1,5.9875
"112",5,0,1,4.9625
"113",5,1,1,6
"114",5,1,2,5.98125
"115",5,1,1,4.5375
"116",5,1,1,3.5
"117",5,1,1,6
"118",5,1,2,5.2875
"119",5,1,2,6
"120",5,1,2,4.8
"121",5,1,1,6
"122",5,1,2,4.7625
"123",5,0,1,6
"124",5,0,1,2.55
"125",5,0,1,2.64375
"126",5,1,1,6
"127",5,0,1,6
"128",5,1,2,5.98125
"129",5,1,1,5.01875
"130",5,0,2,2.6875
"131",5,1,1,4.925
"132",5,0,1,4.80625
"133",5,1,1,4.46875
"134",5,1,1,4.6625
"135",5,1,1,5.45
"136",5,1,1,5.3875
"137",5,1,1,6
"138",5,1,1,5.96875
"139",5,1,1,5.01875
"140",5,0,1,2.35625
"141",5,1,2,5.03125
"142",5,0,1,3.6625
"143",5,1,1,6
"144",5,1,1,3.81875
"145",5,1,2,2.4875
"146",5,1,1,3.9
"147",5,1,1,5.9875
"148",5,1,1,5.96875
"149",5,0,1,3.76875
"150",5,0,2,4.75
"151",5,1,1,4.95
"152",5,1,1,6
"153",5,1,1,2.53125
"154",5,1,1,6
"155",5,0,1,6
"156",5,1,1,5.075
"157",5,1,1,4.75625
"158",5,1,2,5.5875
"159",5,1,1,5.50625
"160",5,0,1,3.7
"161",5,1,1,5.14375
"162",5,1,1,3.74375
"163",5,1,1,5.46875
"164",5,1,2,5.45
"165",5,1,1,5.25625
"166",5,1,1,5.9875
"167",5,1,2,5.39375
"168",5,1,1,6
"169",5,1,1,6
"170",5,1,1,6
"171",5,1,2,6
"172",5,1,2,3.7875
"173",5,0,1,2.14375
"174",5,1,1,2.16875
"175",5,1,1,3.9125
"176",5,1,1,4.6375
"177",5,0,1,4.225
"178",5,1,1,4.01875
"179",5,1,1,6
"180",5,1,1,4.91875
"181",5,0,1,3.74375
"182",5,1,1,5.05
"183",5,0,1,3.75
"184",5,0,1,1
"185",5,1,1,4.75
"186",5,1,2,5.2
"187",5,1,2,6
"188",5,1,2,4.89375
"189",5,1,1,4.975
"190",5,1,1,6
"191",5,0,2,2.4625
"192",5,1,1,2.11875
"193",5,0,1,2.2125
"194",5,1,1,6
"195",5,1,1,6
"196",5,1,2,6
"197",5,1,1,6
"198",5,1,1,4.93125
"199",5,1,1,5.01875
"200",5,1,1,3.7125
"201",5,1,1,3.99375
"202",5,1,1,4.875
"203",5,0,1,3.925
"204",5,1,2,4.6875
"205",5,1,2,4.71875
"206",5,1,1,4.9375
"207",5,1,2,3.79375
"208",5,1,2,4.0375
"209",5,1,2,4.1375
"210",5,1,1,2.30625
"211",5,1,2,4.275
"212",5,1,2,4.7
"213",5,1,2,5.04375
"214",5,1,1,4.75
"215",5,1,2,6
"216",5,1,2,5.24375
"217",5,1,2,6
"218",5,1,2,4.93125
"219",5,0,1,3.99375
"220",5,1,2,6
"221",5,1,2,6
"222",5,0,1,4.14375
