"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,2,4
"2",1,1,2,6
"3",1,1,2,3.01
"4",1,1,2,6
"5",1,1,2,6
"6",1,1,2,6
"7",1,1,2,6
"8",1,1,2,4.79
"9",1,1,2,5.11
"10",1,1,1,4.08
"11",1,1,2,1
"12",1,1,1,2.26
"13",1,1,2,5.3
"14",1,1,1,4.63
"15",1,1,2,5.98
"16",1,1,2,2.6
"17",1,1,2,4.34
"18",1,1,2,1
"19",1,1,2,4.88
"20",1,1,1,1.06
"21",1,0,1,2.32
"22",1,0,1,2.09
"23",1,1,1,3.13
"24",1,1,2,5.03
"25",1,1,2,1.54
"26",1,1,2,4.49
"27",1,0,2,2.46
"28",1,1,1,3.54
"29",1,1,1,3.59
"30",1,1,2,5.01
"31",1,1,2,3.03
"32",1,1,2,3.99
"33",1,1,1,1
"34",1,0,1,1.98
"35",1,1,1,2.54
"36",1,1,2,2.54
"37",1,1,2,5.05
"38",1,0,2,2.39
"39",1,1,2,1.04
"40",1,1,1,2.58
"41",1,1,1,4.11
"42",1,0,2,2.59
"43",1,1,1,2.39
"44",1,1,2,4.86
"45",1,1,2,4.66
"46",1,1,1,6
"47",1,1,2,1.02
"48",1,1,2,4.11
"49",1,1,1,2.01
"50",1,1,1,2.82
"51",1,1,2,2.53
"52",1,1,1,4.49
"53",1,0,2,4.04
"54",1,0,2,1.02
"55",1,1,1,5.04
"56",1,1,2,3.04
"57",1,1,2,3.57
"58",1,1,1,2.54
"59",1,1,1,4.99
"60",1,0,1,4.03
"61",1,1,1,1
"62",1,1,1,4.34
"63",1,1,2,2.28
"64",1,0,2,2.55
"65",1,0,1,4.21
"66",1,1,2,2.04
"67",1,1,1,3.2
"68",1,1,2,5.14
"69",1,0,1,4.07
"70",1,1,1,4.04
"71",1,1,2,2.99
"72",1,1,1,4.02
"73",1,1,2,2.4
"74",1,0,1,1
"75",1,1,2,5.93
"76",1,1,2,4.6
"77",1,1,1,1
"78",1,1,2,4.91
"79",1,1,1,4.61
"80",1,0,2,1
"81",1,1,1,1.78
"82",1,1,1,2.38
"83",1,0,1,4.54
"84",1,0,1,2.11
"85",1,1,1,2.37
"86",1,1,1,2.23
"87",1,0,2,4.01
"88",1,0,2,2.75
"89",1,1,2,4.54
"90",1,1,2,4.11
"91",1,1,1,3.55
"92",1,1,1,6
"93",1,1,1,1.93
"94",1,1,2,4.06
"95",1,0,2,1
"96",1,0,1,3.03
"97",1,1,1,1.51
"98",1,0,1,1
"99",1,0,1,2.52
"100",1,0,1,1.56
"101",1,0,1,2.08
"102",1,0,2,2.09
"103",1,1,2,1
"104",1,0,1,3.66
"105",1,1,2,4.49
"106",1,0,1,4.09
"107",1,0,2,1.01
"108",1,1,2,1.13
"109",1,1,1,6
"110",1,1,1,5.93
"111",1,1,1,4.79
"112",1,1,2,4.4
"113",1,0,1,2.28
"114",1,1,2,5.08
"115",1,1,1,4.54
"116",1,1,1,5.95
"117",1,1,1,2.11
"118",1,1,2,5.04
"119",1,1,2,3.59
"120",1,0,1,2.23
"121",1,0,2,1
"122",1,1,2,4.54
"123",1,0,2,2
"124",1,1,1,5.04
"125",1,1,1,4.59
"126",1,1,1,3.57
"127",1,0,2,2.51
"128",1,1,2,5.03
"129",1,0,2,1.94
"130",1,0,1,2.14
"131",1,1,1,5.99
"132",1,1,2,4.61
"133",1,1,2,4.08
"134",1,1,1,2.82
"135",1,1,1,4.09
"136",1,0,2,4.01
"137",1,1,2,4.07
"138",1,1,2,4.24
"139",1,1,2,2.53
"140",1,1,1,1
"141",1,0,2,1.16
"142",1,1,1,4.56
"143",1,1,1,4.51
"144",1,1,2,3.46
"145",1,1,2,4.88
"146",1,1,1,3.58
"147",1,0,2,2.21
"148",1,1,1,6
"149",1,0,1,2.06
"150",1,1,1,5.06
"151",1,1,2,2.96
"152",1,0,1,1.01
"153",1,1,2,4.07
"154",1,1,2,3.55
"155",1,1,2,6
"156",1,1,1,4.03
"157",1,1,2,2.14
"158",1,1,2,2.56
"159",1,0,1,1.04
"160",1,1,2,3
"161",1,1,1,4.02
"162",1,1,2,5.14
"163",1,0,2,1.04
"164",1,1,2,4.53
"165",1,1,1,4.06
"166",1,0,2,2.11
"167",1,1,2,4.59
"168",1,0,1,1
"169",1,1,1,5.54
"170",1,1,1,4.37
"171",1,1,1,6
"172",1,0,2,2.54
"173",1,0,1,1
"174",1,1,2,2.16
"175",1,1,2,2.54
"176",1,1,2,5.01
"177",1,1,1,3.57
"178",1,1,2,4.03
"179",1,1,1,4.98
"180",1,1,1,2.22
"181",1,0,2,4.04
"182",1,1,1,3.57
"183",1,0,1,2.57
"184",1,1,2,5.09
"185",1,0,1,1.01
"186",1,1,1,6
"187",1,1,2,6
"188",1,1,2,4.99
"189",1,1,2,1.89
"190",1,1,2,4.06
"191",1,0,1,2.09
"192",1,1,1,4.53
"193",1,1,2,1.89
"194",1,1,2,5.1
"195",1,1,2,4.05
"196",1,1,1,2.03
"197",1,1,2,4.81
"198",1,0,1,4.06
"199",1,0,2,1
"200",1,0,1,2.03
