"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,1,4
"2",1,1,0,4
"3",1,1,0,5
"4",1,1,1,4
"5",1,0,1,2
"6",1,1,0,3
"7",1,1,1,5
"8",1,1,1,4
"9",1,1,0,3
"10",1,1,0,4
"11",1,1,1,3
"12",1,1,1,5
"13",1,1,0,5
"14",1,1,0,4
"15",1,1,1,4
"16",1,1,1,5
"17",1,1,1,5
"18",1,1,1,5
"19",1,0,0,4
"20",1,1,0,5
"21",1,1,0,5
"22",1,1,1,4
"23",1,1,1,4
"24",1,1,0,5
"25",1,1,1,4
"26",1,0,1,3
"27",1,0,0,4
"28",1,1,1,5
"29",1,1,1,5
"30",1,1,1,4
"31",1,1,1,4
"32",1,1,1,4
"33",1,0,0,3
"34",1,1,0,5
"35",1,0,0,4
"36",1,1,0,4
"37",1,0,1,2
"38",1,1,1,4
"39",1,1,1,5
"40",1,1,1,4
"41",1,1,1,6
"42",1,1,1,5
"43",1,1,1,5
"44",1,1,0,4
"45",1,1,0,4
"46",1,0,0,3
"47",1,1,0,5
"48",1,1,0,5
"49",1,1,1,4
"50",1,1,1,4
"51",1,1,0,5
"52",1,1,0,4
"53",1,0,0,2
"54",1,1,1,4
"55",1,1,0,4
"56",1,1,0,4
"57",1,0,0,4
"58",1,1,1,4
"59",1,1,1,3
"60",1,1,1,4
"61",1,1,1,4
"62",1,0,1,4
"63",1,1,0,3
"64",1,1,1,4
"65",1,1,1,5
"66",1,0,1,4
"67",1,1,1,5
"68",1,1,0,5
"69",1,1,1,3
"70",1,1,1,4
"71",1,0,0,4
"72",1,1,1,5
"73",1,1,1,4
"74",1,1,1,3
"75",1,1,1,4
"76",1,0,1,3
"77",1,1,1,4
"78",1,0,1,3
"79",1,1,0,3
"80",1,1,1,4
"81",1,0,0,4
"82",1,0,0,4
"83",1,0,0,4
"84",1,0,0,4
"85",1,1,1,4
"86",1,0,1,4
"87",1,1,0,4
"88",1,1,1,5
"89",1,1,0,5
"90",1,1,0,5
"91",1,1,1,5
"92",1,0,0,5
"93",1,1,0,4
"94",1,1,0,4
"95",1,0,0,3
"96",1,1,1,3
"97",1,1,0,4
"98",1,1,0,3
"99",1,1,1,4
"100",1,1,1,4
"101",1,0,0,4
"102",1,1,1,5
"103",1,1,1,4
"104",1,0,1,3
"105",1,1,0,4
"106",1,0,0,4
"107",1,1,1,4
"108",1,0,1,4
"109",1,1,1,4
"110",1,1,0,4
"111",1,1,1,5
"112",1,1,1,5
"113",1,0,0,4
"114",1,0,0,4
"115",1,1,1,4
"116",1,1,1,5
"117",1,1,1,3
"118",1,0,1,4
"119",1,1,1,4
"120",1,1,0,4
"121",1,1,0,4
"122",1,1,1,4
"123",1,0,0,4
"124",1,1,1,4
"125",1,1,1,4
"126",1,1,1,4
"127",1,1,1,4
"128",1,1,0,4
"129",1,1,0,4
"130",1,0,0,4
"131",1,1,0,4
"132",1,0,1,3
"133",1,0,0,4
"134",1,1,1,5
"135",1,0,1,4
"136",1,1,0,5
"137",1,0,0,4
"138",1,1,1,4
"139",1,1,0,4
"140",1,1,0,4
"141",1,1,1,5
"142",1,1,1,5
"143",1,1,1,4
"144",1,1,1,5
"145",1,1,1,4
"146",1,0,1,4
"147",1,0,1,4
"148",1,1,1,6
"149",1,1,1,4
"150",1,0,1,5
"151",1,1,1,5
"152",1,1,0,4
"153",1,1,1,4
"154",1,1,1,4
"155",1,1,1,3
"156",1,1,1,4
"157",1,1,1,5
"158",1,1,1,5
"159",1,1,1,4
"160",1,1,0,5
"161",1,1,1,5
"162",1,0,1,4
"163",1,0,1,5
"164",1,0,0,5
"165",1,0,0,5
"166",1,1,1,5
"167",1,1,1,5
"168",1,1,1,5
"169",1,1,1,4
"170",1,0,1,4
"171",1,1,0,5
"172",1,1,1,3
"173",1,0,1,4
"174",1,1,0,4
"175",1,1,1,4
"176",1,1,1,4
"177",1,1,0,4
"178",1,0,1,3
"179",1,1,1,4
"180",1,1,1,5
"181",1,1,0,5
"182",1,1,0,4
"183",1,1,1,4
"184",1,1,1,4
"185",1,1,1,4
"186",1,1,1,4
"187",1,0,0,3
"188",1,1,0,5
"189",1,0,1,4
"190",1,1,1,4
"191",1,1,1,4
"192",1,1,0,4
"193",1,1,1,4
"194",1,1,0,4
"195",1,1,1,4
"196",1,0,0,4
"197",1,1,1,4
