"","Subj_idx","Accuracy","Response","Confidence"
"1",1,0,0,0.5
"2",1,0,0,0.5
"3",1,1,0,0.79
"4",1,1,0,0.8
"5",1,0,0,0.63
"6",1,0,0,NA
"7",1,1,0,0.62
"8",1,1,0,NA
"9",1,1,0,0.6
"10",1,1,0,NA
"11",1,0,0,NA
"12",1,0,0,NA
"13",1,1,1,0.66
"14",1,0,0,NA
"15",1,0,1,NA
"16",1,1,0,NA
"17",1,1,0,NA
"18",1,1,1,NA
"19",1,0,0,NA
"20",1,1,0,NA
"21",1,1,1,NA
"22",1,1,0,NA
"23",1,1,0,NA
"24",1,1,0,NA
"25",1,1,1,NA
"26",1,0,0,NA
"27",1,0,1,NA
"28",1,0,0,NA
"29",1,1,0,NA
"30",1,1,1,0.61
"31",1,1,0,NA
"32",1,1,1,0.59
"33",1,1,0,0.79
"34",1,1,1,NA
"35",1,0,0,NA
"36",1,1,0,0.7
"37",1,1,0,0.71
"38",1,1,0,NA
"39",1,1,1,NA
"40",1,1,1,0.51
"41",1,1,1,0.51
"42",1,0,0,NA
"43",1,1,0,NA
"44",1,0,0,NA
"45",1,1,1,0.57
"46",1,0,0,0.66
"47",1,1,1,0.52
"48",1,1,1,NA
"49",1,0,0,NA
"50",1,1,0,0.75
"51",1,1,0,0.62
"52",1,0,1,0.52
"53",1,0,1,NA
"54",1,1,0,0.69
"55",1,1,0,NA
"56",1,0,0,NA
"57",1,0,1,NA
"58",1,1,1,0.51
"59",1,1,0,0.59
"60",1,1,0,NA
"61",1,1,0,NA
"62",1,1,1,NA
"63",1,1,1,NA
"64",1,1,0,0.53
"65",1,1,0,NA
"66",1,1,0,NA
"67",1,1,1,0.75
"68",1,1,0,NA
"69",1,1,1,NA
"70",1,1,0,0.81
"71",1,1,0,0.8
"72",1,0,0,0.58
"73",1,1,1,0.69
"74",1,1,0,NA
"75",1,0,0,NA
"76",1,1,1,0.59
"77",1,1,0,0.91
"78",1,1,0,0.91
"79",1,0,0,0.85
"80",1,1,1,NA
"81",1,1,0,NA
"82",1,0,0,NA
"83",1,1,0,NA
"84",1,1,1,NA
"85",1,1,1,0.68
"86",1,1,1,0.58
"87",1,1,0,0.75
"88",1,0,0,NA
"89",1,1,0,NA
"90",1,1,0,NA
"91",1,1,1,NA
"92",1,1,0,0.81
"93",1,0,0,0.54
"94",1,1,1,0.62
"95",1,1,0,0.75
"96",1,1,0,0.85
"97",1,1,1,0.58
"98",1,1,1,0.89
"99",1,0,0,0.81
"100",1,0,0,0.8
"101",1,1,0,0.81
"102",1,0,1,0.8
"103",1,1,0,0.75
"104",1,1,0,0.89
"105",1,0,0,NA
"106",1,1,1,0.63
"107",1,1,0,NA
"108",1,1,0,0.75
"109",1,0,0,0.75
"110",1,0,0,NA
"111",1,1,0,NA
"112",1,1,0,0.69
"113",1,1,0,0.58
"114",1,0,0,0.68
"115",1,1,0,NA
"116",1,0,1,NA
"117",1,0,0,0.75
"118",1,1,1,NA
"119",1,1,0,0.64
"120",1,1,0,NA
"121",1,1,0,0.59
"122",1,0,0,NA
"123",1,1,1,0.75
"124",1,0,1,0.52
"125",1,1,1,NA
"126",1,1,0,NA
"127",1,1,1,NA
"128",1,1,1,0.51
"129",1,0,1,0.52
"130",1,1,0,0.52
"131",1,1,0,0.58
"132",1,1,0,0.8
"133",1,1,0,0.75
"134",1,0,0,0.59
"135",1,1,0,0.79
"136",1,1,1,0.61
"137",1,0,0,0.6
"138",1,1,1,0.52
"139",1,1,0,0.54
"140",1,1,1,0.8
"141",1,0,0,0.79
"142",1,1,1,0.79
"143",1,0,0,0.51
"144",1,0,1,0.81
"145",1,1,1,NA
"146",1,0,1,NA
"147",1,1,0,0.64
"148",1,0,1,NA
"149",1,1,0,NA
"150",1,1,1,NA
"151",1,1,1,0.75
"152",1,1,0,0.7
"153",1,1,0,0.75
"154",1,1,1,0.84
"155",1,1,1,0.57
"156",1,1,1,NA
"157",1,0,0,NA
"158",1,1,0,0.75
"159",1,1,1,0.51
"160",1,1,0,NA
"161",1,0,0,0.53
"162",1,1,0,NA
"163",1,1,0,0.75
"164",1,1,0,0.75
"165",1,1,1,0.63
"166",1,0,0,NA
"167",1,1,0,NA
"168",1,1,1,0.75
"169",1,1,0,0.64
"170",1,1,1,NA
"171",1,1,1,NA
"172",1,1,1,NA
"173",1,0,1,0.52
"174",1,1,1,0.59
"175",1,1,0,NA
"176",1,1,0,NA
"177",1,1,0,NA
"178",1,1,0,0.75
"179",1,1,1,NA
"180",1,1,0,0.75
"181",1,0,0,NA
"182",1,1,1,NA
"183",1,1,1,0.56
"184",1,1,1,0.6
"185",1,1,0,NA
"186",1,1,0,NA
"187",1,1,1,0.59
"188",1,1,0,0.56
"189",1,1,0,NA
"190",1,1,0,0.7
"191",1,0,0,0.85
"192",1,1,1,0.5
"193",1,1,1,NA
"194",1,1,0,0.61
"195",1,1,1,NA
"196",1,1,0,NA
"197",1,1,0,0.52
"198",1,1,0,NA
"199",1,0,1,0.51
"200",1,1,1,NA
