"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,-45,1
"2",1,1,-45,1
"3",1,1,45,1
"4",1,0,-45,1
"5",1,1,-45,1
"6",1,0,45,1
"7",1,1,45,1
"8",1,1,-45,1
"9",1,1,-45,1
"10",1,1,45,2
"11",1,0,45,2
"12",1,1,-45,2
"13",1,0,45,1
"14",1,1,45,1
"15",1,1,45,3
"16",1,1,45,1
"17",1,1,-45,3
"18",1,0,-45,2
"19",1,0,-45,2
"20",1,1,45,3
"21",1,0,-45,1
"22",1,0,45,1
"23",1,1,45,3
"24",1,1,-45,1
"25",1,1,45,1
"26",1,1,45,1
"27",1,0,45,1
"28",1,0,-45,1
"29",1,1,-45,2
"30",1,1,-45,2
"31",1,1,45,1
"32",1,1,45,1
"33",1,1,45,3
"34",1,1,45,2
"35",1,1,45,2
"36",1,0,45,1
"37",1,1,-45,3
"38",1,1,45,1
"39",1,1,-45,1
"40",1,1,-45,2
"41",1,1,45,3
"42",1,1,45,1
"43",1,0,45,2
"44",1,1,45,1
"45",1,1,-45,2
"46",1,1,45,2
"47",1,1,45,2
"48",1,1,45,2
"49",1,1,-45,1
"50",1,0,45,1
"51",1,0,-45,1
"52",1,1,45,1
"53",1,1,-45,1
"54",1,1,45,1
"55",1,1,45,1
"56",1,1,45,1
"57",1,0,45,1
"58",1,1,-45,1
"59",1,1,45,2
"60",1,1,-45,3
"61",1,1,45,2
"62",1,1,45,3
"63",1,1,45,2
"64",1,1,45,3
"65",1,1,45,2
"66",1,1,-45,1
"67",1,1,45,3
"68",1,0,45,1
"69",1,1,45,3
"70",1,0,-45,1
"71",1,1,-45,1
"72",1,1,-45,1
"73",1,1,-45,3
"74",1,1,-45,2
"75",1,1,-45,3
"76",1,1,-45,2
"77",1,1,45,1
"78",1,1,45,1
"79",1,1,-45,1
"80",1,0,-45,1
"81",1,0,45,1
"82",1,1,45,3
"83",1,1,-45,2
"84",1,1,45,1
"85",1,1,-45,2
"86",1,0,45,1
"87",1,1,45,2
"88",1,0,45,2
"89",1,1,45,1
"90",1,0,-45,1
"91",1,1,45,1
"92",1,0,45,1
"93",1,1,45,1
"94",1,1,-45,1
"95",1,0,-45,1
"96",1,1,-45,2
"97",1,1,-45,1
"98",1,0,45,1
"99",1,1,-45,1
"100",1,1,-45,2
"101",1,0,3,1
"102",1,0,45,1
"103",1,0,-45,1
"104",1,1,45,2
"105",1,1,45,1
"106",1,1,45,1
"107",1,0,45,1
"108",1,0,-45,1
"109",1,0,-45,1
"110",1,1,45,1
"111",1,0,45,1
"112",1,1,45,1
"113",1,1,-45,1
"114",1,1,45,3
"115",1,0,-45,1
"116",1,1,-45,1
"117",1,0,45,1
"118",1,1,45,1
"119",1,0,-45,1
"120",1,1,45,2
"121",1,1,45,3
"122",1,1,-45,1
"123",1,1,-45,2
"124",1,0,-45,1
"125",1,1,-45,1
"126",1,1,45,2
"127",1,1,-45,3
"128",1,0,-45,1
"129",1,1,-45,1
"130",1,0,-45,2
"131",1,1,-45,3
"132",1,0,-45,3
"133",1,1,-45,3
"134",1,0,45,1
"135",1,1,-45,1
"136",1,1,-45,2
"137",1,1,45,1
"138",1,0,-45,1
"139",1,1,-45,1
"140",1,1,-45,2
"141",1,1,45,2
"142",1,0,-45,1
"143",1,0,45,1
"144",1,0,-45,1
"145",1,0,45,1
"146",1,0,-45,1
"147",1,1,-45,2
"148",1,0,-45,2
"149",1,1,45,1
"150",1,1,45,1
"151",1,1,-45,1
"152",1,0,-45,1
"153",1,0,-45,1
"154",1,0,45,1
"155",1,1,-45,1
"156",1,1,-45,1
"157",1,1,-45,1
"158",1,0,-45,1
"159",1,1,-45,1
"160",1,1,-45,1
"161",1,1,1,1
"162",1,1,1,4
"163",1,1,1,3
"164",1,1,1,3
"165",1,0,1,4
"166",1,1,0,4
"167",1,1,1,2
"168",1,0,0,2
"169",1,1,0,2
"170",1,1,0,4
"171",1,0,0,1
"172",1,0,0,2
"173",1,1,1,3
"174",1,1,0,2
"175",1,0,1,2
"176",1,0,0,2
"177",1,1,1,3
"178",1,1,0,1
"179",1,0,0,2
"180",1,1,0,1
"181",1,1,0,2
"182",1,1,1,4
"183",1,0,0,2
"184",1,1,1,2
"185",1,0,1,1
"186",1,0,0,4
"187",1,1,0,1
"188",1,1,0,2
"189",1,1,1,3
"190",1,1,1,3
"191",1,1,1,4
"192",1,1,1,4
"193",1,0,1,4
"194",1,0,1,2
"195",1,1,0,1
"196",1,1,0,3
"197",1,1,0,3
"198",1,1,1,1
"199",1,1,1,4
"200",1,1,0,1
"201",1,1,0,2
"202",1,1,1,2
"203",1,0,0,3
"204",1,1,0,3
"205",1,0,1,4
"206",1,0,0,2
"207",1,1,0,2
"208",1,1,0,2
"209",1,1,1,4
"210",1,1,0,1
"211",1,1,1,1
"212",1,1,1,2
"213",1,1,0,2
"214",1,0,0,1
"215",1,1,0,1
"216",1,0,1,1
"217",1,1,1,4
"218",1,0,0,1
"219",1,0,0,1
"220",1,1,1,4
"221",1,1,1,1
"222",1,1,0,1
"223",1,1,1,4
"224",1,1,1,4
"225",1,0,1,4
"226",1,1,0,2
"227",1,1,1,3
"228",1,1,0,2
"229",1,1,0,2
"230",1,0,1,1
"231",1,1,0,3
"232",1,1,1,3
"233",1,1,1,3
"234",1,1,0,2
"235",1,1,0,2
"236",1,1,1,3
"237",1,0,0,2
"238",1,1,1,3
"239",1,1,1,2
"240",1,1,0,1
"241",1,1,1,4
"242",1,0,1,2
"243",1,1,0,2
"244",1,0,0,2
"245",1,1,0,2
"246",1,0,0,1
"247",1,1,1,2
"248",1,0,1,2
"249",1,1,0,2
"250",1,1,0,2
"251",1,1,0,2
"252",1,1,0,2
"253",1,0,1,1
"254",1,1,0,1
"255",1,1,1,3
"256",1,1,1,2
"257",1,1,0,2
"258",1,0,0,2
"259",1,1,1,2
"260",1,1,0,2
"261",1,1,1,1
"262",1,1,1,1
"263",1,1,1,2
"264",1,1,0,1
"265",1,0,0,2
"266",1,1,0,1
"267",1,1,1,1
"268",1,1,1,2
"269",1,1,0,1
"270",1,1,0,2
"271",1,1,1,3
"272",1,1,1,3
"273",1,1,0,3
"274",1,0,1,1
"275",1,0,0,2
"276",1,1,1,2
"277",1,1,1,3
"278",1,1,0,2
"279",1,0,1,2
"280",1,1,1,3
"281",1,0,1,2
"282",1,1,1,2
"283",1,1,0,2
"284",1,1,1,2
"285",1,1,1,3
"286",1,1,1,2
"287",1,1,0,2
"288",1,1,0,2
"289",1,0,1,2
"290",1,0,1,2
"291",1,1,1,3
"292",1,0,0,2
"293",1,1,0,2
"294",1,1,0,2
"295",1,1,1,2
"296",1,0,0,2
"297",1,1,0,2
"298",1,0,1,1
"299",1,0,1,3
"300",1,0,1,3
"301",1,1,0,2
"302",1,1,1,2
"303",1,1,0,2
"304",1,1,0,1
"305",1,1,1,2
"306",1,1,1,3
"307",1,0,1,3
"308",1,0,0,2
"309",1,1,0,2
"310",1,1,0,1
"311",1,1,1,3
"312",1,0,1,2
"313",1,1,1,3
"314",1,1,1,2
"315",1,1,0,3
"316",1,1,0,2
"317",1,1,1,3
"318",1,0,0,2
"319",1,1,0,3
"320",1,0,0,2
"321",1,1,0,3
"322",1,1,1,3
"323",1,1,0,1
"324",1,0,0,2
"325",1,1,1,3
"326",1,1,1,3
"327",1,1,0,2
"328",1,1,1,2
"329",1,1,1,2
"330",1,1,1,2
"331",1,0,1,3
"332",1,0,0,2
"333",1,1,0,2
"334",1,0,1,2
"335",1,1,0,2
"336",1,1,1,3
"337",1,0,1,3
"338",1,1,0,2
"339",1,1,1,3
"340",1,0,1,3
"341",1,0,1,1
"342",1,0,0,3
"343",1,1,1,4
"344",1,1,1,4
"345",1,1,1,2
"346",1,1,0,1
"347",1,1,0,2
"348",1,1,0,2
"349",1,1,0,2
"350",1,1,0,3
"351",1,1,0,1
"352",1,1,0,3
"353",1,0,0,2
"354",1,0,1,3
"355",1,1,1,2
"356",1,1,0,2
"357",1,1,1,3
"358",1,1,0,2
"359",1,1,1,4
"360",1,1,1,3
"361",1,0,0,3
"362",1,0,0,2
"363",1,1,1,4
"364",1,0,1,2
"365",1,1,1,3
"366",1,0,1,2
"367",1,1,1,3
"368",1,1,1,2
"369",1,1,0,2
"370",1,0,0,2
"371",1,0,0,2
"372",1,1,0,2
"373",1,0,1,3
"374",1,1,0,1
"375",1,1,0,2
"376",1,1,1,2
"377",1,1,0,3
"378",1,1,1,2
"379",1,1,1,1
"380",1,1,1,2
"381",1,1,1,2
"382",1,1,1,2
"383",1,1,0,3
"384",1,1,1,3
"385",1,0,1,2
"386",1,1,0,3
"387",1,1,1,2
"388",1,1,1,2
"389",1,1,0,2
"390",1,1,1,2
"391",1,1,0,1
"392",1,0,0,1
"393",1,1,0,2
"394",1,1,1,3
"395",1,1,1,3
"396",1,1,1,2
"397",1,1,0,2
"398",1,1,0,2
"399",1,1,1,4
"400",1,0,0,3
"401",1,1,45,1
"402",1,0,45,1
"403",1,1,-45,1
"404",1,1,45,1
"405",1,1,45,2
"406",1,1,-45,2
"407",1,1,-45,1
"408",1,1,45,1
"409",1,1,-45,2
"410",1,1,-45,2
"411",1,0,-45,2
"412",1,1,-45,2
"413",1,0,45,2
"414",1,1,-45,1
"415",1,1,-45,2
"416",1,1,45,3
"417",1,0,45,3
"418",1,1,45,2
"419",1,1,-45,1
"420",1,0,45,2
"421",1,1,-45,2
"422",1,1,-45,2
"423",1,1,-45,2
"424",1,0,45,2
"425",1,1,-45,2
"426",1,1,45,2
"427",1,0,-45,1
"428",1,1,-45,1
"429",1,0,-45,1
"430",1,1,-45,1
"431",1,1,-45,1
"432",1,1,45,1
"433",1,0,-45,1
