"","Subj_idx","Accuracy","Response","Confidence"
"1",1,0,1,4.5
"2",1,1,2,6
"3",1,1,2,6
"4",1,0,1,1.55
"5",1,1,2,5.4
"6",1,1,2,4.55
"7",1,1,1,5.05
"8",1,1,2,3.85
"9",1,1,1,5.8
"10",1,1,1,1.55
"11",1,1,2,1.8
"12",1,1,2,5.55
"13",1,1,1,2.2
"14",1,0,1,5.2
"15",1,1,2,1.95
"16",1,1,1,3.3
"17",1,1,2,5.8
"18",1,1,1,4.3
"19",1,0,2,4.9
"20",1,1,2,4.8
"21",1,0,1,1.55
"22",1,1,2,2.8
"23",1,0,1,2.1
"24",1,1,1,3.05
"25",1,1,1,5.95
"26",1,0,1,3.5
"27",1,1,2,4.5
"28",1,1,2,4.9
"29",1,0,1,2.25
"30",1,0,1,4.6
"31",1,1,1,6
"32",1,1,2,3.65
"33",1,1,1,4.55
"34",1,1,1,6
"35",1,1,1,4.7
"36",1,0,1,5.15
"37",1,0,2,1.05
"38",1,0,1,2.95
"39",1,0,1,3.35
"40",1,0,2,2.45
"41",1,0,2,2
"42",1,0,2,2.4
"43",1,0,2,6
"44",1,0,1,1
"45",1,1,1,3.8
"46",1,1,1,6
"47",1,1,1,6
"48",1,1,2,6
"49",1,1,1,2.85
"50",1,1,1,5.9
"51",1,1,2,3.85
"52",1,1,2,6
"53",1,1,2,6
"54",1,1,1,6
"55",1,1,1,6
"56",1,1,1,5.95
"57",1,1,1,6
"58",1,1,1,4.7
"59",1,1,2,6
"60",1,1,2,1
"61",1,1,2,4.5
"62",1,1,1,6
"63",1,1,2,6
"64",1,1,2,2.55
"65",1,1,2,6
"66",1,1,2,3.9
"67",1,1,1,4.8
"68",1,1,2,2.3
"69",1,1,2,6
"70",1,1,1,6
"71",1,0,2,3.2
"72",1,1,1,6
"73",1,0,2,2.05
"74",1,1,1,2.15
"75",1,1,1,5.95
"76",1,1,2,6
"77",1,1,1,6
"78",1,1,2,3.1
"79",1,1,1,2.3
"80",1,1,1,2.2
"81",1,1,1,5.2
"82",1,1,2,6
"83",1,1,1,1.55
"84",1,1,2,6
"85",1,1,2,6
"86",1,1,1,3.4
"87",1,1,1,6
"88",1,0,1,1
"89",1,1,2,6
"90",1,1,1,3.4
"91",1,0,2,1.2
"92",1,0,1,3.95
"93",1,1,1,6
"94",1,0,2,2
"95",1,0,1,2
"96",1,1,1,2.35
"97",1,1,2,6
"98",1,1,1,6
"99",1,1,1,3.5
"100",1,1,1,3.95
"101",1,1,2,6
"102",1,1,2,5.95
"103",1,1,1,5.05
"104",1,1,2,6
"105",1,1,1,3.15
"106",1,1,2,5.95
"107",1,1,1,5.5
"108",1,1,2,1.7
"109",1,1,1,5.9
"110",1,1,1,6
"111",1,1,1,2
"112",1,1,1,6
"113",1,1,2,6
"114",1,1,1,6
"115",1,1,1,3.25
"116",1,1,1,4.85
"117",1,1,1,4.45
"118",1,1,1,6
"119",1,0,1,4.7
"120",1,1,1,6
"121",1,1,2,6
"122",1,1,2,5.3
"123",1,1,2,1.9
"124",1,1,1,6
"125",1,1,1,6
"126",1,1,2,5.95
"127",1,0,1,2.75
"128",1,1,2,6
"129",1,1,2,6
"130",1,1,2,2.15
"131",1,0,2,4
"132",1,1,2,6
"133",1,1,1,6
"134",1,1,1,6
"135",1,1,1,6
"136",1,0,1,2.65
"137",1,0,2,2.2
"138",1,1,2,6
"139",1,1,1,2.95
"140",1,0,2,5.8
"141",1,1,1,2.15
"142",1,1,1,6
"143",1,1,1,5.95
"144",1,1,2,2.6
"145",1,1,1,6
"146",1,1,1,6
"147",1,1,2,2.55
"148",1,0,2,2.25
"149",1,0,2,6
"150",1,1,1,2.25
"151",1,1,1,6
"152",1,1,1,5.9
"153",1,1,2,6
"154",1,1,1,6
"155",1,1,1,6
"156",1,1,1,3.4
"157",1,1,1,5.95
"158",1,1,2,3.25
"159",1,1,1,6
"160",1,1,1,5.2
"161",1,1,2,3.5
"162",1,1,1,6
"163",1,1,2,6
"164",1,0,1,1
"165",1,1,1,6
"166",1,1,2,6
"167",1,1,1,6
"168",1,1,1,6
"169",1,1,2,6
"170",1,1,2,5.9
"171",1,1,2,6
"172",1,1,2,6
"173",1,1,2,3.75
"174",1,1,1,5.55
"175",1,1,2,5.9
"176",1,1,1,2.25
"177",1,1,2,6
"178",1,1,1,4.75
"179",1,1,1,5.55
"180",1,1,2,2.25
"181",1,1,2,6
"182",1,1,1,6
"183",1,1,1,1.6
"184",1,1,2,1.85
"185",1,1,1,6
"186",1,1,2,4.7
"187",1,1,1,6
"188",1,1,2,6
"189",1,1,2,6
"190",1,1,2,2
"191",1,0,1,6
"192",1,1,2,1.65
"193",1,1,2,2.35
"194",1,1,2,2.2
"195",1,1,2,2.2
"196",1,1,1,6
"197",1,0,2,2.35
"198",1,0,2,2.85
"199",1,0,2,2.1
"200",1,0,2,2.45
"201",1,1,2,3.45
"202",1,1,1,6
"203",1,0,2,2.6
"204",1,1,1,6
"205",1,1,1,5.95
"206",1,1,2,3
"207",1,1,1,6
"208",1,1,2,6
"209",1,1,2,6
"210",1,0,1,2.3
"211",1,1,1,6
"212",1,1,1,6
"213",1,0,2,6
"214",1,0,2,5.1
"215",1,1,1,2.4
"216",1,0,1,2.4
"217",1,0,2,5.55
"218",1,0,1,5
"219",1,1,2,6
"220",1,1,1,5.7
"221",1,1,1,4.2
"222",1,0,1,5.55
"223",1,1,1,6
"224",1,1,1,6
"225",1,1,2,6
"226",1,1,1,4.6
"227",1,1,1,5.45
"228",1,1,1,1.05
"229",1,1,1,4.55
"230",1,0,2,2.3
"231",1,0,1,2.3
"232",1,1,2,6
"233",1,1,1,5.15
"234",1,1,1,5.2
"235",1,0,2,1
"236",1,1,1,6
"237",1,1,1,1
"238",1,1,2,5.35
"239",1,0,2,4.65
"240",1,1,1,1.8
"241",1,0,1,2.15
"242",1,1,1,3.9
"243",1,1,2,6
"244",1,1,1,5.95
"245",1,1,1,3.5
"246",1,1,2,5.3
"247",1,1,2,3.4
"248",1,1,1,5.8
"249",1,0,2,3.55
"250",1,1,2,5.3
"251",1,1,2,6
"252",1,1,1,6
"253",1,1,1,6
"254",1,1,2,4.3
"255",1,1,1,6
"256",1,1,1,6
"257",1,1,2,5.3
"258",1,1,2,6
"259",1,1,2,6
"260",1,1,1,6
"261",1,1,2,6
"262",1,1,1,6
"263",1,1,1,5.3
"264",1,1,1,1.2
"265",1,1,2,6
"266",1,1,2,5.95
"267",1,1,2,6
"268",1,1,1,4.1
"269",1,1,1,6
"270",1,1,1,6
"271",1,1,1,4.85
"272",1,0,1,2.7
"273",1,1,2,6
"274",1,1,2,6
"275",1,1,2,6
"276",1,1,2,6
"277",1,1,2,6
"278",1,0,2,2.6
"279",1,1,1,6
"280",1,1,1,6
"281",1,1,1,2.7
"282",1,1,1,5.95
"283",1,1,2,3.6
"284",1,1,1,6
"285",1,1,1,6
"286",1,1,1,6
"287",1,1,1,5
"288",1,1,1,6
"289",1,1,2,6
"290",1,0,1,5.15
"291",1,1,2,6
"292",1,0,2,4.25
"293",1,1,1,6
"294",1,1,1,6
"295",1,1,1,6
"296",1,1,1,6
"297",1,1,2,6
"298",1,1,2,6
"299",1,1,1,6
"300",1,1,1,6
"301",1,0,2,4.65
"302",1,1,1,6
"303",1,1,2,6
"304",1,1,2,5.15
"305",1,1,2,6
"306",1,1,2,6
"307",1,1,1,6
"308",1,1,1,6
"309",1,1,1,6
"310",1,1,1,6
"311",1,1,2,6
"312",1,1,1,6
"313",1,1,1,6
"314",1,1,1,6
"315",1,1,1,5.2
"316",1,0,2,4.4
"317",1,1,1,6
"318",1,1,1,6
"319",1,1,2,6
"320",1,1,1,5
"321",1,1,2,6
"322",1,1,1,5
"323",1,1,2,2.45
"324",1,1,2,6
"325",1,1,2,6
"326",1,1,1,6
"327",1,1,1,6
"328",1,1,1,6
"329",1,1,1,6
"330",1,1,2,2.85
"331",1,1,1,5.15
"332",1,1,2,5.25
"333",1,1,2,6
"334",1,1,1,6
"335",1,1,1,6
"336",1,1,1,6
"337",1,1,1,6
"338",1,1,2,6
"339",1,1,2,6
"340",1,1,1,6
"341",1,1,1,6
"342",1,1,1,6
"343",1,1,2,6
"344",1,1,2,6
"345",1,1,1,6
"346",1,1,1,6
"347",1,1,1,6
"348",1,1,1,6
"349",1,1,2,4.8
"350",1,1,2,3.3
"351",1,1,1,2.8
"352",1,1,1,6
"353",1,1,2,6
"354",1,1,1,6
"355",1,1,1,6
"356",1,1,2,6
"357",1,1,1,5.35
"358",1,1,1,6
"359",1,1,1,6
"360",1,1,2,6
"361",1,1,2,6
"362",1,1,2,3.5
"363",1,1,1,5.2
"364",1,1,1,6
"365",1,1,2,2.6
"366",1,1,2,6
"367",1,1,2,6
"368",1,1,1,6
"369",1,1,2,6
"370",1,1,2,3.45
"371",1,1,2,6
"372",1,0,1,1.6
"373",1,1,2,6
"374",1,1,1,4.2
"375",1,1,1,6
"376",1,1,1,6
"377",1,1,2,6
"378",1,1,1,6
"379",1,1,1,1.95
"380",1,0,1,1.25
"381",1,1,2,6
"382",1,1,1,6
"383",1,1,2,6
"384",1,1,2,6
"385",1,1,2,6
"386",1,1,1,6
"387",1,0,1,3.55
"388",1,1,1,6
"389",1,1,2,6
"390",1,1,1,6
"391",1,1,1,6
"392",1,1,2,6
"393",1,1,1,6
"394",1,1,1,6
"395",1,1,1,6
"396",1,0,2,1
"397",1,1,1,6
"398",1,1,1,4.9
"399",1,1,1,5.95
"400",1,1,2,6
"401",2,1,2,5.95
"402",2,1,2,5.95
"403",2,1,1,6
"404",2,1,2,6
"405",2,1,1,6
"406",2,1,2,3.5
"407",2,1,2,6
"408",2,1,1,6
"409",2,1,1,6
"410",2,1,1,6
"411",2,1,1,5.5
"412",2,1,2,6
"413",2,1,1,6
"414",2,1,2,6
"415",2,0,1,6
"416",2,1,1,6
"417",2,0,2,6
"418",2,0,2,3.7
"419",2,1,2,5.95
"420",2,0,2,3.6
"421",2,1,1,3.6
"422",2,0,2,6
"423",2,1,1,6
"424",2,1,2,6
"425",2,1,2,4.75
"426",2,1,2,6
"427",2,1,2,6
"428",2,1,2,6
"429",2,0,2,1
"430",2,1,2,1
"431",2,1,1,6
"432",2,0,2,1
"433",2,0,2,1
"434",2,1,1,6
"435",2,0,1,5.15
"436",2,1,1,5.95
"437",2,1,2,1
"438",2,1,1,1.05
"439",2,0,1,1
"440",2,1,1,6
"441",2,1,1,3.4
"442",2,1,2,6
"443",2,1,1,6
"444",2,0,2,1
"445",2,1,1,6
"446",2,1,1,6
"447",2,0,2,1
"448",2,0,1,1.05
"449",2,0,2,1.05
"450",2,1,2,1
"451",2,1,2,6
"452",2,1,1,6
"453",2,1,1,6
"454",2,1,1,6
"455",2,1,1,6
"456",2,1,1,6
"457",2,1,2,6
"458",2,0,2,6
"459",2,1,2,6
"460",2,0,2,1
"461",2,0,2,1
"462",2,1,1,6
"463",2,1,2,6
"464",2,1,2,1
"465",2,1,2,6
"466",2,1,1,6
"467",2,0,1,6
"468",2,0,1,6
"469",2,1,1,6
"470",2,1,2,6
"471",2,1,2,6
"472",2,1,2,6
"473",2,1,1,6
"474",2,1,2,6
"475",2,0,2,6
"476",2,0,2,6
"477",2,1,1,6
"478",2,1,1,1
"479",2,1,2,6
"480",2,1,2,6
"481",2,1,2,6
"482",2,0,1,6
"483",2,1,1,5.95
"484",2,1,2,1
"485",2,1,2,1
"486",2,1,2,6
"487",2,1,2,1
"488",2,0,2,1
"489",2,0,2,1
"490",2,1,2,1
"491",2,1,2,6
"492",2,0,2,1.05
"493",2,0,1,1
"494",2,1,1,6
"495",2,1,1,6
"496",2,1,2,6
"497",2,1,1,6
"498",2,1,1,1.15
"499",2,0,2,1
"500",2,0,2,1
"501",2,0,2,1
"502",2,1,2,1
"503",2,0,2,1
"504",2,1,2,6
"505",2,1,2,6
"506",2,1,2,1
"507",2,1,2,1
"508",2,1,2,6
"509",2,1,2,6
"510",2,1,1,6
"511",2,1,1,6
"512",2,1,2,6
"513",2,1,2,6
"514",2,1,2,6
"515",2,1,1,6
"516",2,1,2,6
"517",2,1,1,6
"518",2,1,1,6
"519",2,1,1,6
"520",2,1,2,6
"521",2,1,1,6
"522",2,1,2,6
"523",2,1,1,6
"524",2,1,2,5.95
"525",2,1,2,6
"526",2,0,2,6
"527",2,1,1,6
"528",2,1,1,1
"529",2,1,2,5.95
"530",2,1,2,5.95
"531",2,1,2,6
"532",2,1,1,6
"533",2,1,2,6
"534",2,1,1,6
"535",2,1,2,6
"536",2,1,2,6
"537",2,1,2,1.1
"538",2,1,2,6
"539",2,1,2,6
"540",2,1,2,6
"541",2,1,1,5.95
"542",2,1,1,6
"543",2,1,2,6
"544",2,1,2,6
"545",2,1,2,6
"546",2,1,1,6
"547",2,1,2,5.95
"548",2,1,1,6
"549",2,1,2,6
"550",2,1,2,6
"551",2,1,1,6
"552",2,0,1,1
"553",2,1,1,6
"554",2,1,2,1
"555",2,1,2,1.1
"556",2,1,2,1
"557",2,1,1,6
"558",2,1,1,6
"559",2,1,1,1
"560",2,1,2,6
"561",2,0,1,1
"562",2,0,2,1
"563",2,1,2,6
"564",2,1,2,1
"565",2,0,2,1.05
"566",2,1,1,6
"567",2,1,1,1
"568",2,1,1,5.95
"569",2,1,1,1
"570",2,0,2,1
"571",2,1,1,1
"572",2,0,1,1
"573",2,0,1,3.4
"574",2,0,1,1
"575",2,1,1,1.05
"576",2,1,2,5.95
"577",2,0,2,1.05
"578",2,0,2,1
"579",2,1,2,1
"580",2,1,1,6
"581",2,1,2,3.4
"582",2,1,2,6
"583",2,1,1,6
"584",2,0,1,6
"585",2,1,1,5.95
"586",2,0,2,1
