"","Subj_idx","Accuracy","Response","Confidence"
"1",1,0,2,2
"2",1,1,2,6
"3",1,1,1,6
"4",1,1,2,2
"5",1,1,2,5
"6",1,1,1,2
"7",1,1,2,6
"8",1,0,1,3
"9",1,1,1,4
"10",1,1,2,6
"11",1,1,1,6
"12",1,1,1,6
"13",1,1,2,6
"14",1,1,1,6
"15",1,1,1,6
"16",1,1,1,6
"17",1,1,2,6
"18",1,1,1,6
"19",1,1,2,6
"20",1,1,1,2
"21",1,1,1,6
"22",1,1,2,6
"23",1,0,2,2
"24",1,1,2,6
"25",1,1,2,4
"26",1,1,2,2
"27",1,1,2,6
"28",1,1,1,4
"29",1,1,1,6
"30",1,1,1,6
"31",1,1,1,5
"32",1,1,1,6
"33",1,1,1,6
"34",1,1,2,6
"35",1,1,2,6
"36",1,1,2,6
"37",1,0,2,1
"38",1,1,1,6
"39",1,0,1,3
"40",1,1,2,6
"41",1,1,2,6
"42",1,1,1,5
"43",1,1,2,6
"44",1,1,2,6
"45",1,0,2,3
"46",1,1,1,6
"47",1,1,2,6
"48",1,1,2,3
"49",1,1,1,1
"50",1,1,2,6
"51",1,1,1,6
"52",1,1,1,6
"53",1,1,1,6
"54",1,1,2,6
"55",1,1,2,2
"56",1,1,2,6
"57",1,1,2,3
"58",1,1,1,4
"59",1,1,1,6
"60",1,1,2,6
"61",1,1,1,6
"62",1,0,2,2
"63",1,1,2,6
"64",1,0,2,6
"65",1,1,2,6
"66",1,1,1,6
"67",1,1,1,6
"68",1,1,2,2
"69",1,1,1,6
"70",1,1,1,6
"71",1,1,2,6
"72",1,1,1,6
"73",1,1,1,6
"74",1,1,2,6
"75",1,1,2,6
"76",1,1,2,6
"77",1,1,2,4
"78",1,1,1,6
"79",1,1,1,6
"80",1,1,2,6
"81",1,1,2,6
"82",1,1,2,6
"83",1,1,1,3
"84",1,1,1,3
"85",1,1,1,5
"86",1,1,1,6
"87",1,1,2,6
"88",1,0,1,4
"89",1,1,2,6
"90",1,1,2,6
"91",1,1,2,3
"92",1,1,2,6
"93",1,1,1,6
"94",1,1,1,6
"95",1,1,2,6
"96",1,1,1,6
"97",1,1,2,6
"98",1,1,1,6
"99",1,1,2,6
"100",1,1,1,6
"101",1,1,1,6
"102",1,1,1,3
"103",1,0,2,6
"104",1,1,1,2
"105",1,1,2,6
"106",1,1,1,1
"107",1,1,2,6
"108",1,0,1,1
"109",1,1,1,4
"110",1,1,1,6
"111",1,1,1,6
"112",1,1,2,6
"113",1,1,2,6
"114",1,1,2,6
"115",1,0,1,5
"116",1,0,2,5
"117",1,1,2,6
"118",1,1,1,6
"119",1,1,2,6
"120",1,1,2,6
"121",1,1,1,6
"122",1,1,2,6
"123",1,0,1,6
"124",1,1,2,6
"125",1,1,1,6
"126",1,1,2,6
"127",1,1,1,6
"128",1,1,2,6
"129",1,1,1,6
"130",1,1,2,6
"131",1,1,1,4
"132",1,1,1,6
"133",1,1,2,6
"134",1,1,2,6
"135",1,1,2,6
"136",1,1,1,2
"137",1,1,2,1
"138",1,1,1,2
"139",1,0,2,2
"140",1,1,1,1
"141",1,1,2,3
"142",1,0,2,2
"143",1,1,2,6
"144",1,0,2,6
"145",1,0,2,6
"146",1,1,2,6
"147",1,1,1,6
"148",1,1,1,5
"149",1,1,1,6
"150",1,1,1,4
"151",1,1,2,5
"152",1,1,2,6
"153",1,0,2,3
"154",1,0,2,6
"155",1,1,1,6
"156",1,1,2,6
"157",1,1,2,6
"158",1,1,2,6
"159",1,1,2,2
"160",1,1,1,6
"161",1,1,2,6
"162",1,1,1,2
"163",1,1,1,6
"164",1,1,2,3
"165",1,1,1,5
"166",1,1,2,6
"167",1,0,2,6
"168",1,0,1,5
"169",1,1,1,6
"170",1,1,1,6
"171",1,1,2,6
"172",1,1,1,6
"173",1,1,2,6
"174",1,1,2,6
"175",1,1,1,6
"176",1,1,2,6
"177",1,1,2,6
"178",1,0,1,3
"179",1,1,1,4
"180",1,1,2,6
"181",1,1,2,6
"182",1,1,1,6
"183",1,0,2,2
"184",1,1,1,5
"185",1,1,2,6
"186",1,1,2,6
"187",1,0,1,6
"188",1,1,2,6
"189",1,1,2,6
"190",1,1,1,5
"191",1,1,2,6
"192",1,1,1,4
"193",1,1,2,1
"194",1,1,2,6
"195",1,1,1,3
"196",1,1,1,6
"197",1,1,2,6
"198",1,1,1,6
"199",1,1,2,6
"200",1,1,2,6
"201",1,1,2,6
"202",1,1,1,6
"203",1,1,1,3
"204",1,1,2,6
"205",1,1,2,5
"206",1,1,2,6
"207",1,1,2,6
"208",1,1,2,6
"209",1,1,2,6
"210",1,1,1,6
"211",1,1,1,6
"212",1,1,2,6
"213",1,1,1,5
"214",1,1,1,6
"215",1,1,2,6
"216",1,1,1,6
"217",1,1,1,3
"218",1,0,2,1
"219",1,1,1,6
"220",1,1,1,2
"221",1,1,2,6
"222",1,1,2,6
"223",1,1,2,6
"224",1,1,1,6
"225",1,1,1,6
"226",1,1,1,6
"227",1,1,1,3
"228",1,0,2,3
"229",1,1,2,6
"230",1,1,1,2
"231",1,1,1,6
"232",1,1,2,6
"233",1,1,2,6
"234",1,1,2,6
"235",1,1,2,6
"236",1,1,2,6
"237",1,1,1,6
"238",1,0,2,6
"239",1,1,1,6
"240",1,1,1,6
"241",1,1,2,6
"242",1,1,2,6
"243",1,0,2,1
"244",1,1,2,6
"245",1,1,2,6
"246",1,1,1,4
"247",1,1,1,6
"248",1,1,1,6
"249",1,1,2,1
"250",1,1,2,6
"251",1,0,2,4
"252",1,1,2,6
"253",1,1,1,6
"254",1,1,1,3
"255",1,1,1,3
"256",1,0,2,6
"257",1,1,1,6
"258",1,1,2,6
"259",1,1,2,6
"260",1,1,1,5
"261",1,1,2,6
"262",1,1,1,3
"263",1,1,1,1
"264",1,1,1,3
"265",1,1,1,4
"266",1,1,2,6
"267",1,1,2,6
"268",1,1,2,2
"269",1,1,1,2
"270",1,1,2,6
"271",1,1,1,5
"272",1,0,1,6
"273",1,1,2,6
"274",1,1,2,1
"275",1,1,1,4
"276",1,1,2,6
"277",1,1,1,4
"278",1,1,1,6
"279",1,1,2,6
"280",1,1,1,6
"281",1,1,2,6
"282",1,1,2,6
"283",1,0,1,3
"284",1,1,1,6
"285",1,1,1,6
"286",1,1,2,6
"287",1,1,1,5
"288",1,1,2,6
"289",1,0,1,2
"290",1,1,1,1
"291",1,1,1,3
"292",1,1,2,4
"293",1,1,1,6
"294",1,1,2,6
"295",1,0,2,4
"296",1,1,1,6
"297",1,0,1,2
"298",1,1,1,6
"299",1,1,2,6
"300",1,1,2,6
"301",2,1,1,6
"302",2,1,1,6
"303",2,0,2,4
"304",2,1,1,6
"305",2,1,1,6
"306",2,1,2,3
"307",2,1,2,4
"308",2,1,2,6
"309",2,1,1,6
"310",2,1,2,6
"311",2,1,1,4
"312",2,1,1,6
"313",2,1,1,6
"314",2,1,2,6
"315",2,1,1,6
"316",2,1,1,6
"317",2,1,1,6
"318",2,1,1,5
"319",2,1,1,6
"320",2,1,2,5
"321",2,1,1,6
"322",2,1,2,6
"323",2,1,2,6
"324",2,0,1,1
"325",2,1,2,6
"326",2,1,2,6
"327",2,1,1,6
"328",2,1,2,6
"329",2,1,2,6
"330",2,1,1,6
"331",2,1,1,6
"332",2,1,2,6
"333",2,1,1,6
"334",2,1,1,6
"335",2,1,2,6
"336",2,1,1,6
"337",2,1,2,6
"338",2,1,2,6
"339",2,1,1,6
"340",2,1,2,6
"341",2,1,1,6
"342",2,1,2,6
"343",2,1,2,6
"344",2,1,2,6
"345",2,1,1,6
"346",2,1,1,6
"347",2,1,1,6
"348",2,1,2,6
"349",2,1,1,6
"350",2,1,2,6
"351",2,1,2,6
"352",2,1,2,6
"353",2,1,2,6
"354",2,1,2,6
"355",2,1,2,6
"356",2,1,1,6
"357",2,1,2,6
"358",2,1,1,6
"359",2,1,1,3
"360",2,1,2,6
"361",2,1,2,6
"362",2,1,2,6
"363",2,1,1,6
"364",2,1,2,6
"365",2,1,1,6
"366",2,1,1,5
"367",2,1,2,6
"368",2,1,2,6
"369",2,1,2,4
"370",2,1,1,5
"371",2,1,2,6
"372",2,1,2,6
"373",2,1,2,6
"374",2,1,2,6
"375",2,0,2,4
"376",2,1,2,6
"377",2,1,2,6
"378",2,1,2,6
"379",2,1,1,6
"380",2,1,1,5
"381",2,1,1,6
"382",2,1,2,6
"383",2,0,1,4
"384",2,1,1,6
"385",2,1,1,6
"386",2,1,2,6
"387",2,1,2,6
"388",2,1,1,6
"389",2,1,2,4
"390",2,1,1,6
"391",2,1,1,6
"392",2,1,1,6
"393",2,1,2,5
"394",2,1,1,4
"395",2,1,1,6
"396",2,0,1,2
"397",2,1,1,5
"398",2,1,1,6
"399",2,1,2,6
"400",2,1,1,6
"401",2,1,1,6
"402",2,1,1,4
"403",2,1,2,3
"404",2,1,2,6
"405",2,1,1,3
"406",2,1,1,5
"407",2,1,2,6
"408",2,1,2,6
"409",2,1,1,6
"410",2,1,1,5
"411",2,1,1,6
"412",2,1,1,6
"413",2,1,1,6
"414",2,1,2,6
"415",2,0,1,2
"416",2,1,1,2
"417",2,1,2,6
"418",2,1,1,6
"419",2,1,2,6
"420",2,1,2,6
"421",2,1,2,6
"422",2,1,1,6
"423",2,1,2,6
"424",2,1,1,4
"425",2,1,1,5
"426",2,1,2,6
"427",2,1,2,6
"428",2,1,2,6
"429",2,1,1,6
"430",2,1,2,6
"431",2,1,1,6
"432",2,1,1,4
"433",2,1,2,6
"434",2,1,1,6
"435",2,1,2,6
"436",2,1,2,6
"437",2,1,2,6
"438",2,1,1,6
"439",2,1,1,6
"440",2,1,2,2
"441",2,1,1,5
