"","Subj_idx","Accuracy","Response","Confidence"
"1",1,0,1,53
"2",1,1,0,61
"3",1,0,0,61
"4",1,0,1,51
"5",1,1,1,54
"6",1,0,1,75
"7",1,1,1,59
"8",1,0,1,51
"9",1,1,1,58
"10",1,0,0,59
"11",1,0,0,59
"12",1,0,1,63
"13",1,1,1,55
"14",1,1,1,59
"15",1,0,1,59
"16",1,1,1,55
"17",1,1,1,61
"18",1,0,1,68
"19",1,1,1,63
"20",1,0,1,64
"21",1,1,1,59
"22",1,0,1,71
"23",1,1,1,79
"24",1,0,1,75
"25",1,1,1,73
"26",1,0,1,78
"27",1,0,1,72
"28",1,1,1,76
"29",1,1,1,76
"30",1,1,1,70
"31",1,1,1,70
"32",1,1,0,52
"33",1,0,1,58
"34",1,0,1,55
"35",1,1,0,59
"36",1,1,1,70
"37",1,0,1,64
"38",1,1,0,56
"39",1,1,0,62
"40",1,1,1,64
"41",1,1,1,63
"42",1,0,1,58
"43",1,1,1,61
"44",1,0,1,62
"45",1,1,1,60
"46",1,0,1,65
"47",1,1,1,60
"48",1,1,1,63
"49",1,1,1,61
"50",1,1,0,78
"51",1,0,1,80
"52",1,1,0,80
"53",1,1,1,76
"54",1,0,1,69
"55",1,0,1,58
"56",1,1,1,65
"57",1,1,0,62
"58",1,1,0,66
"59",1,1,1,69
"60",1,1,0,73
"61",1,0,1,71
"62",1,0,0,76
"63",1,1,1,70
"64",1,1,0,67
"65",1,0,1,56
"66",1,1,0,70
"67",1,0,1,76
"68",1,1,0,72
"69",1,0,1,52
"70",1,1,1,89
"71",1,1,1,81
"72",1,1,0,55
"73",1,0,1,56
"74",1,0,0,55
"75",1,1,1,56
"76",1,1,0,68
"77",1,1,0,72
"78",1,0,0,66
"79",1,1,1,87
"80",1,1,0,65
"81",1,1,1,84
"82",1,0,0,50
"83",1,0,1,86
"84",1,0,0,51
"85",1,1,0,55
"86",1,0,1,71
"87",1,0,0,50
"88",1,0,0,55
"89",1,1,1,59
"90",1,0,1,74
"91",1,0,1,70
"92",1,1,0,56
"93",1,1,1,52
"94",1,0,1,71
"95",1,0,0,69
"96",1,1,0,69
"97",1,0,0,62
"98",1,1,1,63
"99",1,1,1,78
"100",1,0,0,74
"101",1,1,1,76
"102",1,1,0,78
"103",1,1,1,59
"104",1,1,0,73
"105",1,1,0,67
"106",1,1,1,68
"107",1,1,1,80
"108",1,1,1,86
"109",1,1,1,84
"110",1,0,0,59
"111",1,0,1,67
"112",1,1,0,75
"113",1,1,0,73
"114",1,1,1,62
"115",1,0,0,74
"116",1,1,0,65
"117",1,1,0,71
"118",1,1,0,71
"119",1,1,1,76
"120",1,1,1,73
"121",1,0,1,74
"122",1,1,1,80
"123",1,1,0,68
"124",1,1,0,75
"125",1,0,1,79
"126",1,1,1,73
"127",1,0,0,77
