"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,1,3
"2",1,1,1,4
"3",1,1,1,4
"4",1,0,1,3
"5",1,1,1,3
"6",1,0,1,1
"7",1,0,1,2
"8",1,1,1,4
"9",1,1,1,3
"10",1,1,0,4
"11",1,1,0,4
"12",1,1,0,4
"13",1,1,1,3
"14",1,0,1,3
"15",1,1,1,4
"16",1,1,0,4
"17",1,1,0,4
"18",1,1,1,4
"19",1,1,1,2
"20",1,1,1,3
"21",1,1,0,4
"22",1,1,1,4
"23",1,1,0,4
"24",1,1,0,4
"25",1,1,0,4
"26",1,1,0,4
"27",1,1,0,4
"28",1,1,1,4
"29",1,1,1,2
"30",1,1,0,3
"31",1,1,0,4
"32",1,1,1,4
"33",1,1,1,3
"34",1,1,1,4
"35",2,1,1,4
"36",2,1,1,3
"37",2,1,1,2
"38",2,0,1,3
"39",2,1,0,3
"40",2,1,1,2
"41",2,1,1,2
"42",2,1,0,3
"43",2,1,1,2
"44",2,0,1,3
"45",2,1,1,4
"46",2,1,1,2
"47",2,1,0,2
"48",2,1,0,2
"49",2,0,1,2
"50",2,1,0,2
"51",2,0,0,2
"52",2,1,0,1
"53",2,0,1,3
"54",2,1,0,2
"55",2,1,1,3
"56",2,1,0,4
"57",2,1,0,2
"58",2,1,1,3
"59",2,1,1,3
"60",2,1,1,4
"61",2,1,1,3
"62",2,0,1,3
"63",2,1,0,3
"64",2,1,0,3
"65",2,1,0,2
"66",2,0,1,3
"67",2,1,1,4
"68",2,1,1,2
"69",3,1,1,4
"70",3,1,1,4
"71",3,1,0,4
"72",3,0,1,4
"73",3,1,1,4
"74",3,1,0,4
"75",3,1,1,2
"76",3,1,1,2
"77",3,0,1,2
"78",3,1,1,4
"79",3,1,0,4
"80",3,1,0,2
"81",3,1,1,2
"82",3,1,1,2
"83",3,0,1,2
"84",3,1,1,4
"85",3,1,1,2
"86",3,1,0,4
"87",3,1,0,3
"88",3,1,1,4
"89",3,0,1,1
"90",3,1,1,2
"91",3,0,0,2
"92",3,1,1,2
"93",3,1,1,2
"94",3,1,0,4
"95",3,1,1,2
"96",3,1,0,4
"97",3,1,1,3
"98",3,1,0,3
"99",3,1,0,2
"100",3,1,0,4
"101",3,1,1,2
"102",3,1,1,4
"103",3,0,1,2
"104",3,1,0,4
"105",3,1,0,4
"106",3,1,1,2
"107",4,0,1,3
"108",4,1,0,3
"109",4,0,1,3
"110",4,1,1,2
"111",4,0,0,2
"112",4,1,0,2
"113",4,1,1,3
"114",4,1,1,4
"115",4,1,1,4
"116",4,1,1,4
"117",4,1,0,2
"118",4,1,0,2
"119",4,1,1,3
"120",4,0,1,1
"121",4,1,0,4
"122",4,1,1,2
"123",4,1,1,3
"124",4,0,0,2
"125",4,0,0,1
"126",4,1,0,2
"127",4,0,1,3
"128",4,1,1,4
"129",4,1,1,4
"130",4,0,0,2
"131",4,1,0,2
"132",4,1,0,4
"133",4,1,0,3
"134",4,1,0,2
"135",4,1,1,4
"136",4,1,0,2
"137",4,1,0,1
"138",4,1,1,4
"139",4,1,1,4
"140",4,1,0,4
"141",4,1,1,2
"142",4,1,0,3
"143",5,0,1,4
"144",5,1,0,3
"145",5,0,1,3
"146",5,0,1,3
"147",5,1,1,4
"148",5,1,0,2
"149",5,1,0,4
"150",5,1,1,2
"151",5,0,0,4
"152",5,0,0,4
"153",5,1,1,3
"154",5,0,1,3
"155",5,0,0,1
"156",5,1,0,4
"157",5,1,1,4
"158",5,1,1,4
"159",5,0,0,2
"160",5,1,0,4
"161",5,1,1,3
"162",5,1,1,4
"163",5,1,0,2
"164",5,1,1,4
"165",5,1,1,4
"166",5,1,1,2
"167",5,1,0,1
"168",5,0,1,2
"169",5,1,0,4
"170",5,1,1,2
"171",5,1,1,3
"172",5,1,0,4
"173",5,0,0,3
"174",5,0,0,1
"175",5,0,1,2
"176",5,1,0,4
"177",5,1,0,4
"178",5,1,0,2
"179",5,1,1,4
"180",5,1,1,2
"181",6,0,1,2
"182",6,0,0,1
"183",6,1,1,4
"184",6,1,1,3
"185",6,1,0,1
"186",6,1,1,4
"187",6,1,0,4
"188",6,1,1,3
"189",6,1,0,1
"190",6,1,0,4
"191",6,1,1,2
"192",6,1,0,4
"193",6,1,0,2
"194",6,0,0,3
"195",6,1,1,3
"196",6,1,0,4
"197",6,0,0,3
"198",6,0,0,2
"199",6,1,0,2
"200",6,0,0,2
"201",6,1,1,2
"202",6,1,1,2
"203",6,1,0,3
"204",6,0,0,2
"205",6,1,0,4
"206",6,1,0,4
"207",6,0,1,1
"208",6,1,0,2
"209",6,1,0,2
"210",6,1,0,4
"211",7,1,1,3
"212",7,1,0,1
"213",7,1,1,2
"214",7,0,0,1
"215",7,1,1,1
"216",7,1,0,3
"217",7,1,0,4
"218",7,0,1,2
"219",7,1,0,4
"220",7,1,1,2
"221",7,0,0,1
"222",7,1,1,2
"223",7,1,0,3
"224",7,1,1,4
"225",7,1,0,4
"226",7,1,0,4
"227",7,1,1,2
"228",7,0,1,2
"229",7,1,0,4
"230",7,0,0,2
"231",7,1,1,2
"232",7,1,1,4
"233",7,0,1,2
"234",7,1,1,1
"235",7,0,0,3
"236",7,1,1,2
"237",7,0,1,2
"238",7,0,1,2
"239",7,1,0,2
"240",7,1,0,2
"241",7,0,1,2
"242",8,1,0,3
"243",8,1,0,4
"244",8,1,1,4
"245",8,1,1,4
"246",8,1,1,4
"247",8,1,1,3
"248",8,1,0,4
"249",8,1,1,2
"250",8,1,1,4
"251",8,1,0,4
"252",8,1,0,4
"253",8,1,1,3
"254",8,1,0,4
"255",8,1,0,4
"256",8,1,1,3
"257",8,1,1,4
"258",8,1,1,4
"259",8,1,0,4
"260",8,1,0,4
"261",8,1,1,2
"262",8,1,0,4
"263",8,1,1,4
"264",8,0,0,2
"265",8,1,0,4
"266",8,1,1,3
"267",8,1,1,3
"268",8,1,1,3
"269",8,1,0,4
"270",8,1,0,4
"271",8,1,0,4
"272",8,1,0,4
"273",8,1,1,4
"274",8,0,1,2
"275",8,1,0,2
"276",8,1,1,3
"277",8,1,0,4
"278",9,1,1,3
