"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,1,4
"2",1,1,1,4
"3",1,1,1,4
"4",1,1,2,2
"5",1,1,2,3
"6",1,1,1,1
"7",1,1,1,4
"8",1,1,1,4
"9",1,1,2,4
"10",1,1,1,4
"11",1,1,2,1
"12",1,1,2,1
"13",1,1,1,4
"14",1,1,1,2
"15",1,1,2,2
"16",1,1,1,4
"17",1,1,1,4
"18",1,0,1,1
"19",1,1,2,2
"20",1,1,2,4
"21",1,1,1,4
"22",1,1,2,4
"23",1,1,2,2
"24",1,1,2,3
"25",1,0,2,2
"26",1,1,1,3
"27",1,1,2,4
"28",1,1,2,3
"29",1,0,2,2
"30",1,0,2,2
"31",1,1,1,2
"32",1,1,2,4
"33",1,1,2,4
"34",1,1,2,2
"35",1,1,1,3
"36",1,0,2,1
"37",1,1,1,2
"38",1,1,1,3
"39",1,1,2,3
"40",1,0,2,2
"41",1,1,2,3
"42",1,1,2,4
"43",1,0,2,2
"44",1,0,1,1
"45",1,1,2,2
"46",1,1,2,2
"47",1,1,1,3
"48",1,1,2,3
"49",1,1,1,4
"50",1,1,2,3
"51",1,1,1,4
"52",1,1,1,1
"53",1,1,2,3
"54",1,1,2,4
"55",1,1,2,4
"56",1,1,1,3
"57",1,1,1,3
"58",1,1,1,3
"59",1,1,1,2
"60",1,1,1,4
"61",1,1,2,4
"62",1,1,2,3
"63",1,1,2,4
"64",1,1,2,4
"65",1,1,1,2
"66",1,1,1,1
"67",1,1,2,3
"68",1,1,2,3
"69",1,1,2,2
"70",1,1,2,4
"71",1,0,2,2
"72",1,1,2,4
"73",1,1,1,2
"74",1,1,1,4
"75",1,1,2,3
"76",1,1,2,1
"77",1,1,2,4
"78",1,1,1,2
"79",1,1,1,2
"80",1,0,2,1
"81",1,1,1,4
"82",1,1,2,4
"83",1,1,1,4
"84",1,1,2,4
"85",1,1,1,4
"86",1,0,1,1
"87",1,1,2,2
"88",1,1,1,4
"89",1,1,2,2
"90",1,1,1,1
"91",1,1,2,3
"92",1,1,1,4
"93",1,0,2,2
"94",1,1,2,4
"95",1,1,1,4
"96",1,1,2,3
"97",1,1,1,4
"98",1,0,2,3
"99",1,1,2,3
"100",1,1,2,3
"101",1,1,1,3
"102",1,1,1,2
"103",1,1,2,1
"104",1,1,2,3
"105",1,1,1,3
"106",1,0,1,1
"107",1,1,1,4
"108",1,1,2,2
"109",1,1,2,4
"110",1,1,2,1
"111",1,0,2,2
"112",1,0,1,2
"113",1,1,1,3
"114",1,1,1,3
"115",1,1,2,1
"116",1,1,1,4
"117",1,1,1,1
"118",1,1,1,4
"119",1,1,2,2
"120",1,1,1,2
"121",1,1,1,2
"122",1,1,1,4
"123",1,1,2,4
"124",1,1,2,3
"125",1,1,2,2
"126",2,1,2,4
"127",2,1,1,4
"128",2,1,1,4
"129",2,1,1,4
"130",2,1,2,4
"131",2,1,2,3
"132",2,1,1,4
"133",2,1,1,4
"134",2,1,2,4
"135",2,1,2,4
"136",2,1,1,4
"137",2,1,1,2
"138",2,0,2,1
"139",2,0,1,1
"140",2,1,2,3
"141",2,1,1,2
"142",2,1,1,3
"143",2,1,1,2
"144",2,0,2,3
"145",2,1,2,4
"146",2,1,2,4
"147",2,1,2,3
"148",2,1,2,1
"149",2,0,2,2
"150",2,0,1,2
"151",2,0,2,2
"152",2,1,1,3
"153",2,1,1,4
"154",2,1,1,4
"155",2,0,1,2
"156",2,1,2,2
"157",2,0,2,2
"158",2,1,2,3
"159",2,1,2,2
"160",2,1,1,4
"161",2,1,2,3
"162",2,1,2,3
"163",2,1,1,4
"164",2,1,2,4
"165",2,1,2,4
"166",2,0,1,3
"167",2,1,1,4
"168",2,1,1,4
"169",2,1,1,4
"170",2,1,2,4
"171",2,0,2,2
"172",2,1,2,4
"173",2,0,1,2
"174",2,1,1,4
"175",2,1,1,4
"176",2,1,1,3
"177",2,1,2,4
"178",2,1,2,4
"179",2,1,2,4
"180",2,1,1,2
"181",2,1,1,4
"182",2,1,1,2
"183",2,1,1,4
"184",2,1,2,4
"185",2,1,2,4
"186",2,1,2,4
"187",2,1,2,2
"188",2,1,1,2
"189",2,1,1,4
"190",2,1,2,4
"191",2,1,2,4
"192",2,1,1,4
"193",2,1,1,4
"194",2,0,2,3
"195",2,1,2,3
"196",2,1,2,4
"197",2,0,2,2
"198",2,1,2,4
"199",2,1,1,4
"200",2,1,1,4
"201",2,1,1,4
"202",2,1,2,4
"203",2,1,1,4
"204",2,1,2,2
"205",2,0,1,1
"206",2,1,1,2
"207",2,1,2,4
"208",2,1,1,4
"209",2,1,2,3
"210",2,1,1,2
"211",2,1,2,4
"212",2,1,1,4
"213",2,1,1,4
"214",2,1,2,4
"215",2,1,2,4
"216",2,1,1,4
"217",2,1,2,3
"218",2,1,2,4
"219",2,1,1,4
"220",2,1,2,4
"221",2,1,1,4
"222",2,1,2,4
"223",2,1,1,2
"224",2,1,1,1
"225",2,1,1,3
"226",2,1,2,4
"227",2,1,1,1
"228",2,0,1,2
"229",2,1,2,4
"230",2,1,2,4
"231",2,1,1,4
"232",2,1,1,4
"233",2,1,1,4
"234",2,1,2,2
"235",2,1,2,4
"236",2,1,1,4
"237",2,1,2,4
"238",2,1,2,2
"239",2,0,2,2
"240",2,1,2,4
"241",2,1,1,3
"242",2,1,1,4
"243",2,1,2,1
"244",2,1,2,4
"245",2,1,2,4
"246",2,1,1,2
"247",2,1,1,2
"248",2,1,2,3
"249",2,1,1,4
"250",3,1,1,4
"251",3,1,2,4
"252",3,1,1,4
"253",3,1,2,4
"254",3,1,1,4
"255",3,1,2,4
"256",3,0,2,3
"257",3,1,1,3
"258",3,1,2,4
"259",3,1,1,3
"260",3,1,2,3
"261",3,1,1,4
"262",3,1,1,3
"263",3,0,2,2
"264",3,1,2,3
"265",3,1,1,4
"266",3,1,1,4
"267",3,1,2,3
"268",3,1,2,3
"269",3,1,2,3
"270",3,1,1,2
"271",3,1,2,2
"272",3,1,2,3
"273",3,0,1,2
"274",3,1,2,4
"275",3,1,1,3
"276",3,1,1,4
"277",3,0,1,2
"278",3,1,2,4
"279",3,1,1,2
"280",3,1,2,4
"281",3,1,2,4
"282",3,1,1,2
"283",3,0,1,1
"284",3,1,1,3
"285",3,1,2,3
"286",3,1,1,4
"287",3,1,2,2
"288",3,1,1,2
"289",3,1,1,1
"290",3,1,1,2
"291",3,1,2,2
"292",3,1,2,3
"293",3,1,1,3
"294",3,1,1,4
"295",3,1,2,3
"296",3,1,2,2
"297",3,1,2,4
"298",3,1,2,4
"299",3,1,1,4
"300",3,0,2,3
"301",3,1,1,4
"302",3,1,2,2
"303",3,1,2,3
"304",3,1,2,4
"305",3,1,2,4
"306",3,0,2,3
"307",3,1,2,2
"308",3,1,1,4
"309",3,1,1,4
"310",3,1,2,4
"311",3,1,1,1
"312",3,0,1,3
"313",3,1,1,3
"314",3,1,1,3
"315",3,1,2,1
"316",3,1,2,4
"317",3,1,1,4
"318",3,1,1,4
"319",3,0,1,2
"320",3,0,1,1
"321",3,1,1,4
"322",3,0,2,2
"323",3,1,2,3
"324",3,1,2,4
"325",3,0,2,4
"326",3,1,2,3
"327",3,1,1,3
"328",3,1,1,3
"329",3,1,2,4
"330",3,1,1,4
"331",3,1,2,3
"332",3,1,2,3
"333",3,1,1,2
"334",3,1,1,3
"335",3,1,1,4
"336",3,1,1,3
"337",3,1,1,4
"338",3,1,2,4
"339",3,1,2,4
"340",3,1,1,4
"341",3,0,1,3
"342",3,1,1,3
"343",3,1,2,3
"344",3,1,2,2
"345",3,1,2,1
"346",3,1,2,4
"347",3,1,1,2
"348",3,1,2,3
"349",3,1,1,4
"350",3,1,1,3
"351",3,1,2,4
"352",3,0,2,3
"353",3,0,2,3
"354",3,1,1,2
"355",3,1,1,2
"356",3,1,1,4
"357",3,0,2,2
"358",3,1,2,2
"359",3,1,2,4
"360",3,1,1,4
"361",3,1,2,4
"362",3,1,2,4
"363",3,0,2,2
"364",3,1,1,2
"365",3,0,1,3
"366",3,1,2,2
"367",3,1,2,3
"368",3,1,2,1
"369",3,1,1,3
"370",3,1,2,1
"371",4,1,2,4
"372",4,1,1,4
"373",4,1,2,3
"374",4,1,1,4
"375",4,1,2,4
"376",4,1,1,4
"377",4,1,1,2
"378",4,1,2,4
"379",4,1,1,4
"380",4,1,2,3
"381",4,1,2,4
"382",4,1,1,4
"383",4,1,2,4
"384",4,1,2,4
"385",4,1,2,3
"386",4,1,2,4
"387",4,1,1,2
"388",4,0,1,2
"389",4,1,1,3
"390",4,1,2,3
"391",4,0,1,4
"392",4,0,2,3
"393",4,1,1,4
"394",4,0,2,2
"395",4,1,1,2
"396",4,1,2,3
"397",4,1,2,4
"398",4,1,1,4
"399",4,1,2,2
"400",4,1,2,3
"401",4,1,2,4
"402",4,1,1,4
"403",4,0,2,2
"404",4,1,2,4
"405",4,1,2,2
"406",4,1,1,4
"407",4,1,2,4
"408",4,1,1,4
"409",4,1,2,4
"410",4,1,2,4
"411",4,1,1,4
"412",4,1,1,3
"413",4,1,1,4
"414",4,0,2,3
"415",4,1,2,4
"416",4,1,1,4
"417",4,1,1,4
"418",4,1,2,4
