"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,1,4
"2",1,1,0,3
"3",1,1,1,2
"4",1,1,1,4
"5",1,1,1,2
"6",1,1,1,3
"7",1,0,1,2
"8",1,1,1,3
"9",1,1,0,3
"10",1,0,1,2
"11",1,0,0,3
"12",1,0,1,2
"13",1,1,1,2
"14",1,1,1,2
"15",1,1,0,3
"16",1,1,0,3
"17",1,0,1,2
"18",1,1,0,2
"19",1,1,0,3
"20",1,1,0,3
"21",1,1,0,2
"22",1,1,1,3
"23",1,1,1,3
"24",1,0,0,2
"25",1,1,0,4
"26",1,1,1,2
"27",1,0,0,2
"28",1,0,0,2
"29",1,1,1,3
"30",1,1,1,2
"31",1,0,1,3
"32",1,1,1,4
"33",1,1,0,3
"34",1,0,0,2
"35",1,1,1,2
"36",1,1,1,2
"37",1,0,0,3
"38",1,1,0,3
"39",1,0,0,3
"40",1,1,1,3
"41",1,0,0,2
"42",1,1,1,2
"43",1,1,1,3
"44",1,1,0,3
"45",1,0,1,3
"46",1,1,1,4
"47",1,1,0,3
"48",1,1,0,4
"49",1,1,0,2
"50",1,1,0,3
"51",1,1,0,2
"52",1,0,1,2
"53",1,1,1,2
"54",1,1,0,3
"55",1,1,0,3
"56",1,0,0,3
"57",1,1,0,3
"58",1,1,1,3
"59",1,0,0,3
"60",1,1,1,3
"61",1,1,0,4
"62",1,0,0,2
"63",1,1,1,4
"64",1,1,0,3
"65",1,1,1,3
"66",1,1,0,4
"67",1,1,0,3
"68",1,0,0,2
"69",1,1,0,3
"70",1,1,0,3
"71",1,1,1,3
"72",1,1,1,3
"73",1,1,1,3
"74",1,0,1,2
"75",1,1,1,4
"76",1,1,0,2
"77",1,1,0,2
"78",1,1,0,2
"79",1,1,0,2
"80",1,0,1,2
"81",1,1,1,2
"82",1,1,0,2
"83",1,0,0,1
"84",1,1,0,3
"85",1,1,1,3
"86",1,1,1,3
"87",1,1,0,3
"88",1,1,1,3
"89",1,0,1,2
"90",1,1,1,4
"91",1,1,0,3
"92",1,1,1,4
"93",1,1,1,4
"94",1,1,0,3
"95",1,1,1,2
"96",1,1,1,1
"97",1,1,0,4
"98",1,1,0,4
"99",1,1,1,4
"100",1,1,0,4
"101",1,0,0,2
"102",1,1,0,3
"103",1,1,0,2
"104",1,1,0,3
"105",1,1,0,2
"106",1,1,0,4
"107",1,1,1,4
"108",1,1,0,2
"109",1,1,1,4
"110",1,1,1,4
"111",1,0,1,2
"112",1,1,0,4
"113",1,1,1,4
"114",1,1,0,3
"115",1,0,1,2
"116",1,1,1,4
"117",1,1,1,2
"118",1,1,0,3
"119",1,1,0,4
"120",1,1,1,4
"121",2,1,1,4
"122",2,1,0,4
"123",2,1,1,3
"124",2,1,1,4
"125",2,1,0,3
"126",2,0,1,4
"127",2,1,1,4
"128",2,1,1,4
"129",2,0,1,4
"130",2,1,1,4
"131",2,0,1,4
"132",2,1,1,4
"133",2,0,1,2
"134",2,1,0,2
"135",2,1,1,4
"136",2,1,0,4
"137",2,1,0,4
"138",2,1,1,4
"139",2,1,1,4
"140",2,1,1,3
"141",2,1,0,3
"142",2,0,0,3
"143",2,1,1,3
"144",2,0,1,4
"145",2,1,1,4
"146",2,1,0,2
"147",2,0,1,2
"148",2,1,0,4
"149",2,0,1,3
"150",2,1,0,1
"151",2,1,0,4
"152",2,0,0,4
"153",2,0,0,4
"154",2,1,1,4
"155",2,1,0,4
"156",2,0,1,3
"157",2,1,0,4
"158",2,1,1,4
"159",2,0,1,3
"160",2,1,0,3
"161",2,1,1,4
"162",2,1,0,3
"163",2,1,1,4
"164",2,1,1,4
"165",2,1,0,4
"166",2,1,0,2
"167",2,0,1,4
"168",2,1,1,4
"169",2,1,1,4
"170",2,1,1,4
"171",2,1,1,2
"172",2,1,1,3
"173",2,1,1,4
"174",2,0,1,2
"175",2,0,1,2
"176",2,0,1,4
"177",2,1,1,4
"178",2,1,0,3
"179",2,1,1,4
"180",2,0,1,3
"181",2,1,1,4
"182",2,1,1,4
"183",2,1,1,4
"184",2,1,1,4
"185",2,0,1,4
"186",2,0,1,4
"187",2,1,1,4
"188",2,1,0,2
"189",2,0,1,4
"190",2,0,0,2
"191",2,0,1,3
"192",2,1,1,4
"193",2,1,0,4
"194",2,1,1,4
"195",2,0,1,4
"196",2,0,0,2
"197",2,0,0,4
"198",2,1,0,2
"199",2,1,0,4
"200",2,1,1,4
"201",2,1,1,4
"202",2,1,1,3
"203",2,1,0,2
"204",2,0,1,4
"205",2,1,0,2
"206",2,1,0,4
"207",2,0,1,3
"208",2,1,0,1
"209",2,1,1,4
"210",2,1,1,4
"211",2,0,0,1
"212",2,0,1,2
"213",2,1,0,3
"214",2,1,1,3
"215",2,1,0,3
"216",2,0,0,2
"217",2,1,0,3
"218",2,1,0,3
"219",2,1,1,3
"220",2,0,1,3
"221",2,1,1,4
"222",2,0,0,2
"223",2,1,0,4
"224",2,1,1,4
"225",2,1,1,2
"226",2,1,1,3
"227",2,0,1,3
"228",2,0,1,3
"229",2,0,1,2
"230",2,1,1,4
"231",2,0,1,4
"232",2,0,0,3
"233",2,1,1,4
"234",2,1,0,1
"235",2,0,1,4
"236",2,1,1,4
"237",2,1,0,3
"238",2,1,1,4
"239",2,1,1,4
"240",2,1,1,4
"241",3,1,0,4
"242",3,1,1,4
"243",3,1,0,4
"244",3,1,0,4
"245",3,1,1,3
"246",3,1,1,4
"247",3,0,1,3
"248",3,1,0,2
"249",3,1,1,3
"250",3,1,1,4
"251",3,0,1,3
"252",3,0,1,2
"253",3,0,0,3
"254",3,1,1,4
"255",3,0,1,3
"256",3,1,0,2
"257",3,1,0,4
"258",3,1,0,4
"259",3,0,1,2
"260",3,1,1,3
"261",3,0,NA,1
"262",3,1,1,3
"263",3,1,1,3
"264",3,1,0,3
"265",3,1,1,4
"266",3,0,1,3
"267",3,0,1,2
"268",3,1,0,3
"269",3,0,1,4
"270",3,1,0,3
"271",3,1,1,4
"272",3,0,1,3
"273",3,1,1,4
"274",3,0,1,3
"275",3,0,0,3
"276",3,1,1,2
"277",3,1,1,4
"278",3,1,0,4
"279",3,1,0,4
"280",3,1,0,4
"281",3,1,0,3
"282",3,0,1,2
"283",3,1,0,2
"284",3,0,1,3
"285",3,1,0,3
"286",3,1,0,4
"287",3,1,0,4
"288",3,1,0,3
"289",3,1,0,2
"290",3,1,1,4
"291",3,1,1,4
"292",3,1,1,4
"293",3,1,0,1
"294",3,1,1,2
"295",3,0,1,2
"296",3,1,1,2
"297",3,1,0,3
"298",3,0,0,2
"299",3,1,1,2
"300",3,1,0,4
"301",3,1,0,4
"302",3,1,0,3
"303",3,0,0,2
"304",3,1,0,3
"305",3,0,1,3
"306",3,1,1,4
"307",3,1,1,3
"308",3,1,1,4
"309",3,1,1,4
"310",3,0,0,3
"311",3,1,0,3
"312",3,0,0,1
"313",3,1,0,2
"314",3,1,1,4
"315",3,0,1,3
"316",3,0,1,3
"317",3,0,0,2
"318",3,1,0,2
"319",3,1,1,4
"320",3,1,0,3
"321",3,1,1,4
"322",3,1,0,2
"323",3,1,1,3
"324",3,0,1,3
"325",3,1,1,3
"326",3,1,1,3
"327",3,0,0,2
"328",3,1,0,3
"329",3,0,1,4
"330",3,1,0,3
"331",3,1,1,3
"332",3,1,1,4
"333",3,0,0,2
"334",3,1,1,4
"335",3,1,1,3
"336",3,1,1,2
"337",3,0,1,3
"338",3,1,0,4
"339",3,0,1,4
"340",3,0,1,1
"341",3,1,1,4
"342",3,1,1,3
"343",3,1,0,2
"344",3,1,1,4
"345",3,0,0,2
"346",3,1,0,2
"347",3,0,0,2
"348",3,1,1,4
"349",3,0,0,2
"350",3,1,1,4
"351",3,1,1,4
"352",3,1,1,4
"353",3,1,1,4
"354",3,0,0,2
"355",3,0,1,2
"356",3,1,1,3
"357",3,1,1,4
"358",3,0,0,2
"359",3,1,1,4
"360",3,0,1,3
"361",4,0,0,3
"362",4,1,0,3
"363",4,1,1,2
"364",4,1,0,2
"365",4,1,0,3
"366",4,1,0,2
"367",4,1,0,3
"368",4,1,0,1
"369",4,1,1,2
"370",4,1,1,2
"371",4,1,1,1
"372",4,1,0,4
"373",4,1,1,2
"374",4,1,1,1
"375",4,1,0,3
"376",4,1,0,1
"377",4,1,0,2
"378",4,1,0,2
"379",4,0,NA,1
"380",4,0,1,1
"381",4,1,0,2
"382",4,1,1,2
"383",4,1,1,3
"384",4,1,0,4
"385",4,0,NA,2
"386",4,1,1,4
"387",4,1,1,1
"388",4,1,0,3
"389",4,1,0,1
"390",4,1,0,2
"391",4,1,0,3
"392",4,1,1,3
"393",4,1,1,2
"394",4,1,0,2
"395",4,1,1,2
"396",4,1,1,1
"397",4,0,1,1
"398",4,0,1,1
"399",4,0,0,2
"400",4,1,1,2
"401",4,1,0,2
"402",4,1,0,4
"403",4,0,1,2
"404",4,0,0,1
"405",4,1,1,NA
"406",4,1,1,4
"407",4,1,1,2
"408",4,1,1,2
"409",4,0,0,1
"410",4,1,1,2
"411",4,1,0,4
"412",4,1,0,3
"413",4,1,0,1
"414",4,1,0,4
"415",4,1,1,2
"416",4,1,1,1
"417",4,0,1,2
"418",4,0,0,1
"419",4,1,1,2
"420",4,1,1,2
"421",4,1,0,2
"422",4,1,0,3
"423",4,1,0,4
"424",4,0,NA,1
"425",4,0,1,2
"426",4,1,0,3
"427",4,0,1,1
"428",4,1,0,2
"429",4,1,1,4
"430",4,1,0,2
"431",4,1,1,3
"432",4,0,NA,1
"433",4,1,0,3
"434",4,0,0,2
"435",4,1,0,4
"436",4,1,1,3
"437",4,1,0,4
"438",4,0,0,2
"439",4,1,1,2
"440",4,1,0,2
"441",4,0,0,3
"442",4,1,1,2
"443",4,1,1,2
"444",4,1,1,1
"445",4,0,1,1
"446",4,1,1,3
"447",4,1,0,1
"448",4,1,0,2
"449",4,1,1,2
"450",4,1,0,2
"451",4,0,0,2
"452",4,1,1,2
"453",4,1,1,3
"454",4,1,1,2
"455",4,1,0,3
"456",4,0,0,1
"457",4,0,1,2
"458",4,1,0,4
"459",4,1,0,4
"460",4,1,1,3
"461",4,1,1,3
"462",4,1,1,2
"463",4,1,1,3
"464",4,1,1,4
"465",4,0,1,2
"466",4,0,NA,1
"467",4,1,0,2
"468",4,1,0,2
"469",4,1,1,2
"470",4,1,1,2
"471",4,0,0,1
"472",4,1,1,4
"473",4,1,0,2
"474",4,1,1,4
"475",4,1,1,2
"476",4,1,0,3
"477",4,1,0,2
"478",4,1,0,2
"479",4,1,1,4
"480",4,1,0,3
"481",5,1,0,1
"482",5,0,1,3
"483",5,1,1,4
"484",5,1,1,4
"485",5,1,0,1
"486",5,1,0,1
"487",5,0,1,3
"488",5,1,0,1
"489",5,1,1,4
"490",5,1,1,4
"491",5,1,0,1
"492",5,1,0,1
"493",5,0,1,3
"494",5,1,0,1
"495",5,1,1,3
"496",5,1,1,4
"497",5,1,0,1
"498",5,0,0,1
"499",5,0,0,1
"500",5,1,1,4
"501",5,1,1,4
"502",5,1,1,2
"503",5,1,0,1
"504",5,1,0,1
"505",5,1,0,1
"506",5,0,1,2
"507",5,1,0,1
"508",5,1,1,3
"509",5,1,0,1
"510",5,1,1,4
"511",5,0,0,1
"512",5,1,1,2
"513",5,1,0,1
"514",5,0,1,2
"515",5,1,0,1
"516",5,1,1,4
"517",5,1,1,4
"518",5,1,0,1
"519",5,1,1,4
"520",5,1,0,1
"521",5,0,0,1
"522",5,1,1,2
"523",5,1,1,4
"524",5,1,1,4
"525",5,1,0,1
"526",5,1,0,1
"527",5,0,NA,1
"528",5,1,0,1
"529",5,1,0,1
"530",5,1,0,1
"531",5,1,0,1
"532",5,1,1,4
"533",5,1,0,1
"534",5,0,1,2
"535",5,0,1,4
"536",5,1,1,4
"537",5,1,0,1
"538",5,1,1,3
"539",5,1,1,4
"540",5,1,1,3
"541",5,0,1,2
"542",5,1,0,1
"543",5,1,1,4
"544",5,0,0,1
"545",5,1,0,1
"546",5,1,0,1
"547",5,1,1,4
"548",5,1,0,1
"549",5,1,1,4
"550",5,1,1,4
"551",5,1,1,4
"552",5,1,0,1
"553",5,0,0,1
"554",5,1,1,4
"555",5,1,1,4
"556",5,1,1,4
"557",5,1,1,4
"558",5,1,0,1
"559",5,1,1,4
"560",5,1,0,1
"561",5,1,1,4
"562",5,1,0,1
"563",5,1,0,1
"564",5,1,0,1
"565",5,1,1,3
"566",5,1,1,4
"567",5,1,0,1
"568",5,1,0,1
"569",5,1,0,1
"570",5,1,1,3
"571",5,1,0,1
"572",5,1,0,1
"573",5,1,0,1
"574",5,1,1,4
"575",5,1,0,1
"576",5,1,1,4
"577",5,1,1,4
"578",5,0,1,2
"579",5,1,0,1
"580",5,1,1,3
"581",5,0,0,1
"582",5,1,1,3
"583",5,1,1,3
"584",5,1,1,3
"585",5,1,1,4
"586",5,1,1,3
"587",5,1,1,2
"588",5,1,1,4
"589",5,1,1,4
"590",5,0,0,1
"591",5,1,0,1
"592",5,0,1,2
"593",5,1,1,4
"594",5,1,1,4
"595",5,0,1,2
"596",5,1,0,1
"597",5,1,0,1
"598",5,1,0,1
"599",5,1,1,3
"600",5,1,0,1
"601",6,1,0,2
"602",6,1,0,2
"603",6,1,0,3
"604",6,0,1,2
"605",6,1,0,1
"606",6,1,0,1
"607",6,1,1,2
"608",6,1,0,2
"609",6,1,1,2
"610",6,0,0,2
"611",6,0,1,2
"612",6,0,NA,1
"613",6,0,1,1
"614",6,1,1,2
"615",6,1,1,2
"616",6,1,0,3
"617",6,0,1,2
"618",6,1,1,2
"619",6,0,NA,2
"620",6,1,0,2
"621",6,0,1,2
"622",6,1,1,2
"623",6,1,1,3
"624",6,1,1,3
"625",6,1,0,3
"626",6,1,1,2
"627",6,0,NA,2
"628",6,1,0,2
"629",6,0,1,2
"630",6,0,1,2
"631",6,1,1,2
"632",6,1,0,1
"633",6,0,1,1
"634",6,1,0,1
"635",6,0,1,2
"636",6,1,0,2
"637",6,0,0,1
"638",6,1,1,3
"639",6,1,1,2
"640",6,1,1,2
"641",6,1,1,3
"642",6,1,1,3
"643",6,0,1,2
"644",6,1,1,2
"645",6,0,1,3
"646",6,1,0,4
"647",6,1,1,2
"648",6,1,0,2
"649",6,1,0,3
"650",6,1,0,2
"651",6,1,1,2
"652",6,1,1,3
"653",6,1,1,3
"654",6,1,1,3
"655",6,1,0,3
"656",6,0,1,2
"657",6,0,NA,3
"658",6,0,1,2
"659",6,0,0,2
"660",6,1,1,2
"661",6,1,0,2
"662",6,0,0,2
"663",6,1,1,2
"664",6,1,1,3
"665",6,1,1,3
"666",6,1,1,3
"667",6,0,0,1
"668",6,1,0,3
"669",6,1,1,3
"670",6,1,0,3
"671",6,1,1,2
"672",6,1,1,3
"673",6,1,0,3
"674",6,1,1,2
"675",6,1,1,3
"676",6,1,1,2
"677",6,1,0,3
"678",6,1,0,2
"679",6,0,1,2
"680",6,1,1,2
"681",6,0,1,2
"682",6,1,1,2
"683",6,0,1,2
"684",6,1,1,3
"685",6,0,1,2
"686",6,1,1,2
"687",6,1,1,2
"688",6,0,1,2
"689",6,1,1,3
"690",6,1,0,3
"691",6,0,0,2
"692",6,0,1,3
"693",6,1,0,3
"694",6,1,0,3
"695",6,0,1,3
"696",6,0,1,3
"697",6,1,0,3
"698",6,1,1,3
"699",6,1,0,3
"700",6,1,1,3
"701",6,1,1,2
"702",6,1,0,3
"703",6,1,1,3
"704",6,1,0,2
"705",6,1,0,2
"706",6,1,1,3
"707",6,1,1,3
"708",6,1,0,3
"709",6,1,1,2
"710",6,1,1,3
"711",6,1,1,2
"712",6,1,0,3
"713",6,1,1,3
"714",6,1,1,3
"715",6,1,1,3
"716",6,0,1,2
"717",6,1,1,2
"718",6,1,1,3
"719",6,0,1,2
"720",6,1,1,2
"721",7,1,0,3
"722",7,1,1,3
"723",7,1,1,2
"724",7,0,0,1
"725",7,1,1,2
"726",7,1,1,4
"727",7,1,0,4
"728",7,1,0,1
"729",7,1,0,3
"730",7,1,1,2
"731",7,1,1,3
"732",7,1,1,3
"733",7,1,0,3
"734",7,1,0,3
"735",7,1,1,3
"736",7,1,0,4
"737",7,1,1,4
"738",7,1,1,2
"739",7,0,1,2
"740",7,1,0,2
"741",7,0,1,3
"742",7,1,1,3
"743",7,1,1,4
"744",7,1,1,3
"745",7,1,1,3
"746",7,0,0,2
"747",7,0,1,3
"748",7,1,1,3
"749",7,0,0,3
"750",7,0,1,3
"751",7,1,1,2
"752",7,1,0,3
"753",7,1,0,3
"754",7,1,0,2
"755",7,1,1,4
"756",7,1,0,2
"757",7,1,1,4
"758",7,1,1,3
"759",7,1,0,2
"760",7,1,0,2
"761",7,1,1,4
"762",7,0,1,2
"763",7,1,0,2
"764",7,0,1,2
"765",7,1,1,2
"766",7,0,1,2
"767",7,1,1,2
"768",7,1,1,2
"769",7,1,1,3
"770",7,1,1,2
"771",7,0,0,1
"772",7,1,0,2
"773",7,1,1,2
"774",7,1,1,2
"775",7,1,0,4
"776",7,1,0,2
"777",7,1,1,4
"778",7,0,0,1
"779",7,0,1,2
"780",7,1,1,2
"781",7,1,0,4
"782",7,1,0,2
"783",7,1,0,4
"784",7,1,0,2
"785",7,1,0,3
"786",7,1,1,2
"787",7,1,1,2
"788",7,1,0,4
"789",7,1,0,4
"790",7,1,0,1
"791",7,1,1,2
"792",7,1,0,3
"793",7,1,1,4
"794",7,0,0,1
"795",7,1,1,2
"796",7,1,0,3
"797",7,1,0,2
"798",7,1,0,3
"799",7,1,0,4
"800",7,1,1,4
"801",7,0,1,2
"802",7,1,0,2
"803",7,1,1,4
"804",7,1,1,2
"805",7,0,NA,1
"806",7,1,1,2
"807",7,1,0,4
"808",7,1,0,3
"809",7,0,1,2
"810",7,1,0,3
"811",7,1,1,3
"812",7,0,0,1
"813",7,1,1,3
"814",7,0,0,1
"815",7,1,0,3
"816",7,1,1,4
"817",7,0,NA,2
"818",7,1,1,3
"819",7,1,1,3
"820",7,1,0,3
"821",7,1,0,3
"822",7,1,0,3
"823",7,1,0,3
"824",7,0,1,2
"825",7,1,0,3
"826",7,1,0,4
"827",7,1,1,4
"828",7,1,0,3
"829",7,1,0,4
"830",7,0,1,3
"831",7,1,1,2
"832",7,1,0,3
"833",7,1,0,2
"834",7,1,1,4
"835",7,1,1,3
"836",7,0,0,1
"837",7,1,0,2
"838",7,1,1,3
"839",7,1,1,3
"840",7,1,1,2
"841",8,0,1,4
"842",8,0,0,3
