"","Subj_idx","Accuracy","Response","Confidence"
"1",1,1,"R",315.52
"2",1,1,"L",304.46
"3",1,1,"L",308.8
"4",1,1,"L",312.81
"5",1,1,"R",174.72
"6",1,1,"R",288.2
"7",1,1,"R",303.43
"8",1,1,"R",320.31
"9",1,0,"R",58.68
"10",1,0,"L",16.69
"11",1,1,"L",316.08
"12",1,1,"L",124.38
"13",1,1,"R",326.02
"14",1,1,"R",283.81
"15",1,1,"L",340.95
"16",1,1,"L",323.39
"17",1,1,"L",338.85
"18",1,1,"R",311.81
"19",1,1,"L",316.38
"20",1,1,"R",302.02
"21",1,1,"L",334.66
"22",1,1,"L",322.69
"23",1,1,"R",186.13
"24",1,1,"R",280.83
"25",1,1,"L",287.76
"26",1,1,"R",298.37
"27",1,1,"R",301.79
"28",1,1,"L",311.66
"29",1,1,"L",310.52
"30",1,1,"R",294.82
"31",1,1,"R",294.19
"32",1,1,"L",317.98
"33",1,0,"R",29.53
"34",1,1,"R",294.24
"35",1,1,"L",304.68
"36",1,1,"R",292.22
"37",1,1,"R",280.13
"38",1,1,"L",287.83
"39",1,1,"R",273.38
"40",1,1,"L",283.5
"41",1,1,"L",307.43
"42",1,1,"L",288.03
"43",1,1,"L",279.23
"44",1,0,"L",158.14
"45",1,1,"L",228.11
"46",1,1,"L",337.84
"47",1,1,"R",70.41
"48",1,1,"R",295.16
"49",1,1,"L",287.63
"50",1,1,"R",302.76
"51",1,1,"R",307.77
"52",1,1,"L",300.72
"53",1,1,"R",200.95
"54",1,1,"R",266.44
"55",1,1,"L",272.56
"56",1,1,"R",287.78
"57",1,1,"R",283.79
"58",1,1,"R",273.51
"59",1,1,"R",274.88
"60",1,1,"L",262.96
"61",1,1,"L",294.39
"62",1,1,"L",284.58
"63",1,1,"R",121.51
"64",1,1,"L",243.22
"65",1,1,"R",234.04
"66",1,1,"R",297.42
"67",1,1,"R",317.27
"68",1,1,"L",199.22
"69",1,1,"L",311.19
"70",1,1,"L",312.57
"71",1,0,"L",17.94
"72",1,1,"L",307.99
"73",1,1,"R",310.08
"74",1,1,"R",285.35
"75",1,1,"L",267.49
"76",1,1,"L",289.87
"77",1,1,"L",303.13
"78",1,0,"L",36.41
"79",1,1,"L",247.92
"80",1,1,"R",256.59
"81",1,1,"R",203.5
"82",1,1,"R",262.2
"83",1,1,"R",284.3
"84",1,1,"R",293.73
"85",1,1,"R",293.11
"86",1,1,"R",297.57
"87",1,1,"L",284.87
"88",1,1,"R",274.12
"89",1,1,"R",305.29
"90",1,1,"L",303.24
"91",1,1,"L",302.78
"92",1,1,"L",259.27
"93",1,1,"L",299.86
"94",1,0,"L",26.51
"95",1,1,"L",269.19
"96",1,1,"R",269.76
"97",1,1,"L",255.63
"98",1,1,"L",290.47
"99",1,1,"R",254.67
"100",1,1,"R",275.15
"101",1,0,"L",18.13
"102",1,1,"R",271.46
"103",1,1,"L",279.23
"104",1,1,"L",268.76
"105",1,1,"R",292.46
"106",1,1,"R",333.48
"107",1,1,"R",294.66
"108",1,1,"R",290.28
"109",1,1,"L",284.73
"110",1,1,"L",304.19
"111",1,1,"R",164.27
"112",1,1,"L",310.43
"113",1,1,"L",308.23
"114",1,1,"L",291.56
"115",1,0,"L",94.54
"116",1,1,"R",296.55
"117",1,1,"L",278.84
"118",1,1,"L",267.55
