"","Subj_idx","Accuracy","Response","Confidence"
"1",1,0,1,3
"2",1,1,2,3
"3",1,1,1,4
"4",1,1,2,4
"5",1,0,1,4
"6",1,0,1,3
"7",1,1,2,3
"8",1,1,2,3
"9",1,1,2,3
"10",1,1,1,3
"11",1,0,1,2
"12",1,0,1,3
"13",1,0,2,3
"14",1,1,1,3
"15",1,1,2,3
"16",1,1,1,4
"17",1,1,1,3
"18",1,1,1,2
"19",1,0,1,2
"20",1,0,1,4
"21",1,1,2,3
"22",1,1,1,3
"23",1,0,2,1
"24",1,1,1,3
"25",1,1,2,3
"26",1,1,1,3
"27",1,0,1,3
"28",1,1,1,3
"29",1,1,1,3
"30",1,1,1,3
"31",1,1,1,3
"32",1,0,1,3
"33",1,0,2,3
"34",1,1,2,2
"35",1,1,1,3
"36",1,1,2,3
"37",1,1,2,1
"38",1,1,2,1
"39",1,1,1,3
"40",1,1,1,2
"41",1,1,2,3
"42",1,0,1,3
"43",1,1,2,3
"44",1,0,1,3
"45",1,1,1,1
"46",1,1,1,1
"47",1,1,1,3
"48",1,0,2,3
"49",1,1,2,3
"50",1,0,2,2
"51",1,1,2,2
"52",1,1,1,2
"53",1,1,1,4
"54",1,1,1,4
"55",1,0,2,3
"56",1,0,2,3
"57",1,1,2,2
"58",1,1,2,3
"59",1,1,2,3
"60",1,1,1,3
"61",1,1,1,1
"62",1,1,1,1
"63",1,0,1,1
"64",1,1,2,3
"65",1,1,2,1
"66",1,0,2,2
"67",1,1,2,2
"68",1,0,2,3
"69",1,1,2,2
"70",1,1,2,2
"71",1,0,1,2
"72",1,1,1,2
"73",1,1,2,3
"74",1,0,2,2
"75",1,1,2,3
"76",1,1,2,3
"77",1,0,1,3
"78",1,1,1,2
"79",1,1,1,3
"80",1,0,2,3
"81",1,1,2,2
"82",1,0,1,3
"83",1,1,1,3
"84",1,1,1,2
"85",1,1,1,3
"86",1,1,2,3
"87",1,0,2,3
"88",1,1,1,3
"89",1,0,1,1
"90",1,0,2,3
"91",1,0,2,3
"92",1,1,1,3
"93",1,0,1,2
"94",1,1,1,4
"95",1,1,1,3
"96",1,1,1,3
"97",1,1,1,3
"98",1,0,1,3
"99",1,1,1,2
"100",1,1,1,1
"101",1,1,2,2
"102",1,1,2,2
"103",1,1,1,2
"104",1,1,2,2
"105",1,1,1,2
"106",1,1,2,2
"107",1,1,2,3
"108",1,1,1,3
"109",1,0,1,3
"110",1,1,2,3
"111",1,1,1,3
"112",1,1,1,2
"113",1,0,1,1
"114",1,1,1,2
"115",1,0,1,1
"116",1,1,1,2
"117",1,1,1,1
"118",1,1,1,3
"119",1,1,2,4
"120",1,1,1,1
"121",1,1,2,4
"122",1,0,1,2
"123",1,0,1,2
"124",1,1,1,2
"125",1,0,1,1
"126",1,1,1,2
"127",1,1,1,2
"128",1,0,2,2
"129",1,1,2,3
"130",1,1,1,3
"131",1,1,2,3
"132",1,1,1,3
"133",1,1,1,3
"134",1,1,1,3
"135",1,1,1,1
"136",1,1,2,2
"137",1,1,1,2
"138",1,1,1,3
"139",1,1,1,3
"140",1,1,1,4
"141",1,1,2,4
"142",1,1,1,3
"143",1,1,2,3
"144",1,1,2,3
"145",1,0,2,3
"146",1,1,2,3
"147",1,0,2,3
"148",1,1,2,3
"149",1,1,2,2
"150",1,0,1,3
"151",1,0,1,2
"152",1,0,1,3
"153",1,1,1,3
"154",1,1,1,4
"155",1,0,1,3
"156",1,1,1,3
"157",1,1,1,3
"158",1,0,1,3
"159",1,1,1,3
"160",1,0,1,3
"161",1,1,1,3
"162",1,1,1,3
"163",1,1,1,3
"164",1,0,1,3
"165",1,1,2,3
"166",1,1,1,4
"167",1,1,1,2
"168",1,0,2,2
"169",1,1,2,3
"170",1,1,2,3
"171",1,0,2,1
"172",1,1,1,3
"173",1,1,2,3
"174",1,0,2,3
"175",1,1,2,4
"176",1,1,2,3
"177",1,0,2,3
"178",1,0,2,4
"179",1,1,2,3
"180",1,1,2,4
"181",1,1,1,3
"182",1,1,1,2
"183",1,0,1,1
"184",1,1,2,1
"185",1,1,1,3
"186",1,0,1,2
"187",1,1,2,1
"188",1,1,2,1
"189",1,1,2,1
"190",1,1,2,1
"191",1,0,2,2
"192",1,0,1,2
"193",1,1,2,1
"194",1,0,1,2
"195",1,0,1,2
"196",1,1,1,3
"197",1,0,1,1
"198",1,0,1,1
"199",1,1,1,1
"200",1,0,1,4
"201",1,0,1,2
"202",1,1,1,3
"203",1,0,1,3
"204",1,0,1,3
"205",1,1,1,3
"206",1,0,1,3
"207",1,1,1,3
"208",1,0,1,3
"209",1,0,1,3
"210",1,0,1,3
"211",1,0,1,3
"212",1,0,1,3
"213",1,0,1,3
"214",1,0,1,2
"215",1,0,1,2
"216",1,1,1,3
"217",1,0,1,3
"218",1,0,1,3
"219",1,0,1,3
"220",1,1,1,2
"221",1,0,1,3
"222",1,0,1,2
"223",1,1,1,3
"224",1,0,1,3
"225",1,1,1,3
"226",1,1,2,2
"227",1,1,2,2
"228",1,1,1,3
"229",1,0,1,3
"230",1,0,1,3
"231",1,0,1,3
"232",1,1,1,3
"233",1,0,1,3
"234",1,1,1,3
"235",1,1,1,3
"236",1,1,1,3
"237",1,1,2,2
"238",1,1,2,1
"239",1,0,1,2
"240",1,1,1,2
"241",1,0,1,2
"242",1,1,1,2
"243",1,0,1,2
"244",1,1,1,4
"245",1,1,1,3
"246",1,0,1,2
"247",1,1,2,3
"248",1,0,1,3
"249",1,0,1,3
"250",1,0,1,3
"251",1,0,1,3
"252",1,1,1,3
"253",1,1,1,3
"254",1,1,1,3
"255",1,1,1,2
"256",1,1,1,3
"257",1,1,1,3
"258",1,1,2,2
"259",1,1,2,3
"260",1,1,2,3
"261",1,0,2,2
"262",1,1,2,3
"263",1,0,1,3
"264",1,0,1,3
"265",1,1,1,3
"266",1,1,1,2
"267",1,0,1,2
"268",1,1,1,2
"269",1,0,1,1
"270",1,1,1,2
"271",1,1,1,2
"272",1,1,2,2
"273",1,1,2,2
"274",1,1,1,3
"275",1,1,2,3
"276",1,1,2,1
"277",1,1,1,1
"278",1,0,1,3
"279",1,0,1,3
"280",1,1,1,2
"281",1,1,2,2
"282",1,1,2,3
"283",1,1,1,2
"284",1,1,1,3
"285",1,1,1,1
"286",1,1,2,3
"287",1,1,1,3
"288",1,1,2,3
"289",1,1,1,3
"290",1,1,2,2
"291",1,0,1,2
"292",1,1,1,2
"293",1,1,1,2
"294",1,1,2,2
"295",1,0,1,2
"296",1,1,1,3
"297",1,0,1,1
"298",1,1,2,2
"299",1,1,2,2
"300",1,1,2,2
"301",1,1,1,3
"302",1,1,2,3
"303",1,1,2,2
"304",1,1,1,2
"305",1,1,2,1
"306",1,1,1,4
"307",1,1,1,4
"308",1,0,2,2
"309",1,1,2,2
"310",1,0,1,2
"311",1,1,2,3
"312",1,0,1,3
"313",1,0,1,3
"314",1,1,1,3
"315",1,1,1,3
"316",1,1,1,3
"317",1,0,1,3
"318",1,1,1,3
"319",1,1,1,3
"320",1,0,1,3
"321",1,1,1,3
"322",1,1,1,3
"323",1,1,1,3
"324",1,1,1,3
"325",1,1,1,4
"326",1,1,1,3
"327",1,0,1,4
"328",1,0,1,3
"329",1,0,1,3
"330",1,1,1,3
"331",1,1,1,3
"332",1,0,1,1
"333",1,1,2,3
"334",1,0,1,2
"335",1,1,1,3
"336",1,0,1,2
"337",1,1,2,1
"338",1,1,1,2
"339",1,1,2,2
"340",1,1,1,2
"341",1,0,1,3
"342",1,0,1,1
"343",1,1,2,2
"344",1,0,2,1
