"","Subj_idx","Response","Confidence"
"1",1,1.3304,2
"2",1,1.8649,2
"3",1,1.8337,1
"4",1,1.8571,1
"5",1,1.6712,1
"6",1,1.985,3
"7",1,1.9392,3
"8",1,1.9134,2
"9",1,1.9078,2
"10",1,1.6881,2
"11",1,1.9967,3
"12",1,1.8495,3
"13",1,1.9243,2
"14",1,1.6789,1
"15",1,1.9629,3
"16",1,2.03,3
"17",1,1.9824,3
"18",1,1.8406,1
"19",1,1.7286,1
"20",1,2.1283,1
"21",1,1.48,3
"22",1,1.6801,2
"23",1,1.4791,2
"24",1,2.0584,3
"25",1,1.7356,3
"26",1,1.8995,1
"27",1,1.2708,1
"28",1,2.1262,3
"29",1,1.5731,2
"30",1,2.1067,3
"31",1,2.5101,2
"32",1,1.7626,2
"33",1,1.6323,1
"34",1,1.6904,1
"35",1,2.0746,3
"36",1,2.0487,3
"37",1,1.8132,2
"38",1,1.5773,2
"39",1,1.8191,3
"40",1,2.0146,2
"41",1,2.0768,2
"42",1,1.7936,2
"43",1,1.8158,2
"44",1,2.0868,3
"45",1,1.9233,2
"46",1,2.3203,2
"47",1,1.8345,3
"48",1,2.1621,1
"49",1,2.1443,1
"50",1,1.9186,1
"51",1,2.3862,2
"52",1,1.9135,1
"53",1,2.4367,2
"54",1,1.8443,3
"55",1,2.0217,3
"56",1,1.8969,2
"57",1,2.2669,2
"58",1,2.677,2
"59",1,2.7741,1
"60",1,1.8263,1
"61",1,4.0456,1
"62",1,4.3469,3
"63",1,4.5008,1
"64",1,3.7831,2
"65",1,4.2819,2
"66",1,3.4131,2
"67",1,4.4835,1
"68",1,2.3056,2
"69",1,3.5819,1
"70",1,3.3483,2
"71",1,3.9015,2
"72",1,3.2369,2
"73",1,3.8358,1
"74",1,4.7223,2
"75",1,2.8887,1
"76",1,4.7938,2
"77",1,4.2696,2
"78",1,3.9215,2
"79",1,3.3926,2
"80",1,4.2034,1
"81",1,3.6127,3
"82",1,3.7517,1
"83",1,3.7613,2
"84",1,3.5391,1
"85",1,3.3492,1
"86",1,3.8735,2
"87",1,3.4287,2
"88",1,3.1814,2
"89",1,3.5183,1
"90",1,4.8413,2
"91",1,4.0181,1
"92",1,3.3889,2
"93",1,2.9403,3
"94",1,3.7102,2
"95",1,4.1389,1
"96",1,3.7269,2
"97",1,3.8978,2
"98",1,4.2183,3
"99",1,3.5054,2
"100",1,2.6469,2
"101",1,3.5163,2
"102",1,4.2806,1
"103",1,3.8291,2
"104",1,4.5056,1
"105",1,4.4142,2
"106",1,3.8638,2
"107",1,3.4106,2
"108",1,4.2819,2
"109",1,4.0518,2
"110",1,3.5251,2
"111",1,3.9683,2
"112",1,4.7721,3
"113",1,5.0759,1
"114",1,4.3325,2
"115",1,4.0893,1
"116",1,3.6494,2
"117",1,4.4688,1
"118",1,4.2798,3
"119",1,4.1478,1
"120",1,3.8858,2
"121",1,4.6322,2
"122",1,1.8641,2
"123",1,2.8594,3
"124",1,2.2901,1
"125",1,3.666,2
"126",1,2.7943,3
"127",1,4.5086,3
"128",1,3.6839,2
"129",1,4.3849,1
"130",1,2.611,2
"131",1,3.3667,3
"132",1,4.4449,2
"133",1,4.2272,1
"134",1,2.7346,3
"135",1,2.0416,3
"136",1,3.4366,2
"137",1,3.5732,2
"138",1,4.4705,2
"139",1,2.456,3
"140",1,3.572,2
"141",1,2.6351,2
"142",1,3.9341,1
"143",1,2.6789,2
"144",1,2.6375,3
"145",1,3.2705,2
"146",1,1.9879,3
"147",1,2.448,2
"148",1,2.2342,2
"149",1,4.2717,2
"150",1,2.3176,3
"151",1,2.4872,2
"152",1,2.0733,2
"153",1,2.1004,3
"154",1,2.267,2
"155",1,3.4026,3
"156",1,2.3684,2
"157",1,1.9642,1
"158",1,3.9613,2
"159",1,2.6599,2
"160",1,4.3077,2
"161",1,4.3359,2
"162",1,2.1765,2
"163",1,4.1297,2
"164",1,3.4552,1
"165",1,3.5342,2
"166",1,3.9503,2
"167",1,3.1196,2
"168",1,1.8725,2
"169",1,2.8855,2
"170",1,2.4623,2
"171",1,3.0173,2
"172",1,2.5802,2
"173",1,3.5046,2
"174",1,4.4557,2
"175",1,3.4446,2
"176",1,4.0432,2
"177",1,2.6292,2
"178",1,3.2557,1
"179",1,3.301,2
"180",1,4.7758,2
"181",1,3.5668,2
"182",1,2.4255,2
"183",1,4.343,1
"184",1,3.7899,2
"185",1,2.4068,2
"186",1,1.9796,2
"187",1,2.2712,2
"188",1,3.4945,2
"189",1,2.4204,2
"190",1,2.2958,2
"191",1,2.6037,2
"192",1,1.7947,2
"193",1,2.1659,2
"194",1,3.4507,2
"195",1,2.1826,2
"196",1,4.3098,1
"197",1,3.8194,2
"198",1,4.1661,2
"199",1,3.4364,2
"200",1,2.4835,3
"201",1,2.5391,2
"202",1,3.4434,2
"203",1,2.6608,1
