"","Subj_idx","Response","Confidence"
"1",1,2,3
"2",1,2,4
"3",1,1,4
"4",1,1,5
"5",1,1,6
"6",1,1,6
"7",1,2,6
"8",1,1,5
"9",1,2,6
"10",1,1,4
"11",1,1,6
"12",1,2,5
"13",1,1,4
"14",1,1,5
"15",1,1,6
"16",1,1,6
"17",1,1,4
"18",1,2,4
"19",1,1,5
"20",1,2,4
"21",1,1,5
"22",1,1,6
"23",1,2,3
"24",1,1,5
"25",1,2,5
"26",1,1,3
"27",1,1,5
"28",1,2,2
"29",1,1,4
"30",1,1,5
"31",1,2,4
"32",1,1,4
"33",1,2,4
"34",1,1,5
"35",1,2,4
"36",1,2,5
"37",1,2,5
"38",1,2,6
"39",1,1,3
"40",1,2,5
"41",1,2,2
"42",1,2,3
"43",1,1,5
"44",1,2,4
"45",1,2,4
"46",1,2,3
"47",1,2,5
"48",1,1,6
"49",1,1,5
"50",1,2,6
"51",1,1,3
"52",1,2,6
"53",1,2,4
"54",1,2,4
"55",1,1,4
"56",1,1,4
"57",1,1,2
"58",1,1,3
"59",1,2,2
"60",1,2,1
"61",1,2,3
"62",1,2,2
"63",1,1,5
"64",1,2,3
"65",1,2,4
"66",1,1,5
"67",1,1,3
"68",1,1,5
"69",1,1,6
"70",1,2,5
"71",1,2,6
"72",1,1,5
"73",1,1,6
"74",1,1,5
"75",1,1,4
"76",1,1,3
"77",1,1,6
"78",1,1,4
"79",1,1,6
"80",1,2,4
"81",1,1,4
"82",1,2,4
"83",1,2,5
"84",1,1,5
"85",1,1,6
"86",1,2,6
"87",1,2,5
"88",1,1,4
"89",1,2,5
"90",1,2,5
"91",1,2,4
"92",1,2,5
"93",1,2,4
"94",1,1,5
"95",1,2,6
"96",1,1,5
"97",1,1,5
"98",1,2,5
"99",1,1,3
"100",1,1,4
"101",1,2,5
"102",1,1,5
"103",1,1,5
"104",1,2,5
"105",1,1,5
"106",1,1,3
"107",1,2,4
"108",1,1,4
"109",1,1,6
"110",1,1,4
"111",1,1,5
"112",1,2,5
"113",1,1,6
"114",1,2,3
"115",1,1,5
"116",1,2,5
"117",1,2,4
"118",1,1,5
"119",1,1,2
"120",1,2,2
"121",1,1,5
"122",1,2,6
"123",1,1,5
"124",1,1,3
"125",1,2,5
"126",1,1,5
"127",1,1,5
"128",1,1,4
"129",1,2,3
"130",1,1,5
"131",1,1,5
"132",1,1,6
"133",1,2,3
"134",1,1,4
"135",1,2,3
"136",1,2,5
"137",1,1,5
"138",1,1,6
"139",1,1,5
"140",1,2,6
"141",1,1,3
"142",1,2,2
"143",1,2,1
"144",1,2,1
"145",1,2,1
"146",1,2,1
"147",1,2,4
"148",1,2,5
"149",1,1,4
"150",1,1,5
"151",1,2,5
"152",1,1,6
"153",1,2,6
"154",1,2,1
"155",1,2,4
"156",1,1,1
"157",1,1,2
