"","Subj_idx","Response","Confidence"
"1",1,0,1
"2",1,1,3
"3",1,0,3
"4",1,0,2
"5",1,1,1
"6",1,1,2
"7",1,1,1
"8",1,1,1
"9",1,0,2
"10",1,0,2
"11",1,0,3
"12",1,0,1
"13",1,1,1
"14",1,1,1
"15",1,1,1
"16",1,0,2
"17",1,0,3
"18",1,1,1
"19",1,1,1
"20",1,0,2
"21",1,0,3
"22",1,0,3
"23",1,0,2
"24",1,0,2
"25",1,0,2
"26",1,0,1
"27",1,1,2
"28",1,1,2
"29",1,0,2
"30",1,0,3
"31",1,1,2
"32",1,1,3
"33",1,1,3
"34",1,1,3
"35",1,1,2
"36",1,1,2
"37",1,1,2
"38",1,1,2
"39",1,1,3
"40",1,0,4
"41",1,0,3
"42",1,0,2
"43",1,0,2
"44",1,1,3
"45",1,0,3
"46",1,1,1
"47",1,0,2
"48",1,0,2
"49",1,1,3
"50",1,1,3
"51",1,1,3
"52",1,1,3
"53",1,0,3
"54",1,0,2
"55",1,0,3
"56",1,0,2
"57",1,0,1
"58",1,0,2
"59",1,0,1
"60",1,0,3
"61",1,0,2
"62",1,0,3
"63",1,0,3
"64",1,1,3
"65",1,1,1
"66",1,1,1
"67",1,0,3
"68",1,0,2
"69",1,0,1
"70",1,1,2
"71",1,1,2
"72",1,0,2
"73",1,0,2
"74",1,0,2
"75",1,1,2
"76",1,1,2
"77",1,1,2
"78",1,0,3
"79",1,0,3
"80",1,1,4
"81",1,0,1
"82",1,1,2
"83",1,1,2
"84",1,1,3
"85",1,0,2
"86",1,0,2
"87",1,0,3
"88",1,0,3
"89",1,0,2
"90",1,0,1
"91",1,0,1
"92",1,0,1
"93",1,1,2
"94",1,1,1
"95",1,1,1
"96",1,1,3
"97",1,1,1
"98",1,1,2
"99",1,1,1
"100",1,0,4
"101",1,0,1
"102",1,0,1
"103",1,0,1
"104",1,0,1
"105",1,0,1
"106",1,0,1
"107",1,0,1
"108",1,0,1
"109",1,0,1
"110",1,0,1
"111",1,0,1
"112",1,0,1
"113",1,0,1
"114",1,0,1
"115",1,0,1
"116",1,0,1
"117",1,0,1
"118",1,0,1
"119",1,0,1
"120",1,0,1
"121",1,0,1
"122",1,0,1
"123",1,0,1
"124",1,0,1
"125",1,0,1
"126",1,0,1
"127",1,0,1
"128",1,0,1
"129",1,0,1
"130",1,0,1
"131",1,0,1
"132",1,0,1
"133",1,0,1
"134",1,0,1
"135",1,0,1
"136",1,0,1
"137",1,0,1
"138",1,0,1
"139",1,0,1
"140",1,0,4
"141",1,0,1
"142",1,0,1
"143",1,0,1
"144",1,0,1
"145",1,0,1
"146",1,0,1
"147",1,0,1
"148",1,0,1
"149",1,0,1
"150",1,0,1
"151",1,0,1
"152",1,0,1
"153",1,0,1
"154",1,0,1
"155",1,0,1
"156",1,0,1
"157",1,0,1
"158",1,0,1
"159",1,0,1
"160",1,0,1
"161",1,0,1
"162",1,0,1
"163",1,0,1
"164",1,0,1
"165",1,0,1
"166",1,0,1
"167",1,0,1
"168",1,0,1
"169",1,0,1
"170",1,0,1
"171",1,0,1
"172",1,1,3
"173",1,0,1
"174",1,0,1
"175",1,0,1
"176",1,0,1
"177",1,0,1
"178",1,0,1
"179",1,0,1
"180",1,0,4
"181",1,0,2
"182",1,0,3
"183",1,1,3
"184",1,0,1
"185",1,0,2
"186",1,0,2
"187",1,0,1
"188",1,0,2
"189",1,0,1
"190",1,0,1
"191",1,0,1
"192",1,0,1
"193",1,0,2
"194",1,0,1
"195",1,0,1
"196",1,0,1
"197",1,0,1
"198",1,0,1
"199",1,0,2
"200",1,1,4
"201",2,0,3
"202",2,0,1
"203",2,0,3
"204",2,0,4
"205",2,0,3
"206",2,0,3
"207",2,0,4
"208",2,0,2
"209",2,0,3
"210",2,0,3
"211",2,0,3
"212",2,0,2
"213",2,1,3
"214",2,0,2
"215",2,1,3
"216",2,0,2
"217",2,1,3
"218",2,1,4
"219",2,1,4
"220",2,1,3
"221",2,1,3
"222",2,1,3
"223",2,0,2
"224",2,1,3
"225",2,0,2
"226",2,1,3
"227",2,0,3
"228",2,1,4
"229",2,1,3
"230",2,0,3
"231",2,1,3
"232",2,0,2
"233",2,1,2
"234",2,1,3
"235",2,0,3
"236",2,0,3
"237",2,0,2
"238",2,0,1
"239",2,1,3
"240",2,0,4
"241",2,0,1
"242",2,0,2
"243",2,0,2
"244",2,1,3
"245",2,0,2
"246",2,1,1
"247",2,1,2
"248",2,1,2
"249",2,0,1
"250",2,1,2
"251",2,0,2
"252",2,1,3
"253",2,0,1
"254",2,1,2
"255",2,1,2
"256",2,1,3
"257",2,1,3
"258",2,1,2
"259",2,1,2
"260",2,0,2
"261",2,1,3
"262",2,1,3
"263",2,1,3
"264",2,0,2
"265",2,1,2
"266",2,1,2
"267",2,1,2
"268",2,1,3
"269",2,0,2
"270",2,0,1
"271",2,0,2
"272",2,1,1
"273",2,1,2
"274",2,1,2
"275",2,1,1
"276",2,0,1
"277",2,1,1
"278",2,1,1
"279",2,1,1
"280",2,0,4
"281",2,0,3
"282",2,1,2
"283",2,0,3
"284",2,0,1
