"","Subj_idx","Response","Confidence"
"1",1,0,3
"2",1,1,3
"3",1,0,3
"4",1,0,3
"5",1,1,3
"6",1,1,3
"7",1,0,3
"8",1,1,2
"9",1,0,2
"10",1,0,3
"11",1,1,3
"12",1,0,2
"13",1,0,3
"14",1,0,3
"15",1,0,2
"16",1,0,3
"17",1,0,2
"18",1,0,3
"19",1,1,3
"20",1,1,3
"21",1,1,3
"22",1,1,2
"23",1,1,2
"24",1,0,3
"25",1,0,2
"26",1,0,2
"27",1,1,2
"28",1,1,3
"29",1,0,3
"30",1,1,2
"31",1,0,3
"32",1,1,3
"33",1,0,3
"34",1,0,3
"35",1,1,2
"36",1,1,3
"37",1,0,1
"38",1,1,1
"39",1,1,3
"40",1,1,2
"41",1,1,3
"42",1,0,3
"43",1,0,2
"44",1,1,3
"45",1,0,2
"46",1,0,3
"47",1,0,3
"48",1,1,3
"49",1,1,3
"50",1,1,3
"51",1,1,3
"52",1,0,3
"53",1,1,2
"54",1,1,2
"55",1,1,3
"56",1,0,2
"57",1,0,3
"58",1,1,3
"59",1,0,2
"60",1,1,1
"61",1,1,3
"62",1,1,3
"63",1,1,1
"64",1,0,3
"65",1,0,3
"66",1,1,1
"67",1,0,2
"68",1,1,3
"69",1,0,3
"70",1,0,2
"71",1,0,3
"72",1,0,3
"73",1,1,3
"74",1,1,3
"75",1,1,2
"76",1,0,3
"77",1,0,3
"78",1,0,2
"79",1,0,3
"80",1,1,2
"81",1,1,1
"82",1,0,2
"83",1,0,3
"84",1,1,3
"85",1,1,1
"86",1,0,3
"87",1,1,3
"88",1,1,3
"89",1,1,2
"90",1,0,3
"91",1,1,3
"92",1,1,2
"93",1,1,2
"94",1,0,3
"95",1,0,2
"96",1,0,3
"97",1,0,3
"98",1,0,2
"99",1,0,2
"100",1,0,3
"101",2,1,3
"102",2,0,3
"103",2,0,3
"104",2,1,1
"105",2,1,3
"106",2,1,2
"107",2,0,3
"108",2,1,3
"109",2,0,2
"110",2,1,3
"111",2,0,1
"112",2,1,2
"113",2,1,3
"114",2,0,3
"115",2,1,2
"116",2,0,3
"117",2,0,3
"118",2,1,3
"119",2,1,3
"120",2,0,3
"121",2,1,1
"122",2,1,2
"123",2,1,3
"124",2,0,2
"125",2,1,3
"126",2,1,3
"127",2,0,3
"128",2,1,2
"129",2,1,3
"130",2,0,3
"131",2,1,3
"132",2,1,1
"133",2,0,2
"134",2,0,3
"135",2,0,3
"136",2,1,2
"137",2,0,1
"138",2,1,3
"139",2,1,2
"140",2,1,3
"141",2,0,3
"142",2,0,2
"143",2,1,3
"144",2,0,3
"145",2,0,3
"146",2,0,3
"147",2,1,2
"148",2,0,3
"149",2,1,3
"150",2,1,2
"151",2,1,3
"152",2,0,3
"153",2,1,2
"154",2,1,3
"155",2,0,3
"156",2,0,3
"157",2,0,3
"158",2,1,2
"159",2,1,3
"160",2,0,3
"161",2,0,1
"162",2,1,2
"163",2,0,3
"164",2,0,2
"165",2,1,1
"166",2,1,3
"167",2,0,3
"168",2,0,3
"169",2,0,3
"170",2,0,2
"171",2,0,1
"172",2,1,3
"173",2,1,3
"174",2,1,3
"175",2,1,2
"176",2,0,1
"177",2,0,3
"178",2,0,3
"179",2,0,2
"180",2,0,3
"181",2,1,2
"182",2,1,1
"183",2,1,3
"184",2,0,3
"185",2,0,3
"186",2,0,1
"187",2,0,3
"188",2,0,3
"189",2,1,3
"190",2,1,3
"191",2,1,2
"192",2,1,3
"193",2,0,2
"194",2,1,3
"195",2,1,2
"196",2,1,1
"197",2,1,3
"198",2,1,1
"199",2,0,2
"200",2,0,1
"201",3,0,3
"202",3,0,3
"203",3,0,3
"204",3,0,2
"205",3,1,2
"206",3,1,3
"207",3,0,3
"208",3,1,3
"209",3,0,3
"210",3,1,3
"211",3,1,1
"212",3,1,2
"213",3,1,3
"214",3,0,2
"215",3,0,3
"216",3,0,3
"217",3,1,3
"218",3,1,2
"219",3,1,3
"220",3,1,3
"221",3,1,3
"222",3,0,3
"223",3,0,1
"224",3,0,3
"225",3,0,3
"226",3,0,2
"227",3,1,2
"228",3,0,1
"229",3,1,3
"230",3,0,1
"231",3,1,3
"232",3,1,3
"233",3,0,3
"234",3,0,2
"235",3,1,3
"236",3,0,2
"237",3,0,3
"238",3,0,1
"239",3,1,2
"240",3,0,2
"241",3,0,3
"242",3,1,3
"243",3,1,2
"244",3,1,3
"245",3,1,3
"246",3,0,3
"247",3,0,3
"248",3,1,3
"249",3,1,3
"250",3,0,3
"251",3,1,3
"252",3,1,3
"253",3,1,3
"254",3,1,3
"255",3,1,3
"256",3,1,3
"257",3,0,3
"258",3,1,3
"259",3,1,3
"260",3,0,1
"261",3,1,1
"262",3,1,3
"263",3,1,1
"264",3,0,3
"265",3,0,3
"266",3,1,3
"267",3,1,2
"268",3,1,3
"269",3,1,3
"270",3,1,3
"271",3,0,3
"272",3,0,3
"273",3,0,3
"274",3,0,2
"275",3,1,3
"276",3,0,3
"277",3,1,3
"278",3,1,3
"279",3,0,2
"280",3,0,3
"281",3,0,3
"282",3,0,2
"283",3,1,2
"284",3,0,2
"285",3,1,1
"286",3,1,2
"287",3,1,3
"288",3,1,3
"289",3,1,2
"290",3,1,3
"291",3,1,3
"292",3,0,3
"293",3,0,3
"294",3,1,2
"295",3,1,3
"296",3,1,3
"297",3,0,3
"298",3,1,3
"299",3,1,2
"300",3,0,2
"301",4,0,2
"302",4,1,1
"303",4,0,3
"304",4,0,1
"305",4,1,3
"306",4,0,2
"307",4,1,2
"308",4,1,1
"309",4,1,3
"310",4,0,2
"311",4,1,3
"312",4,0,1
"313",4,0,1
"314",4,1,1
"315",4,1,2
"316",4,1,2
"317",4,1,3
"318",4,0,2
"319",4,1,3
"320",4,1,3
"321",4,1,1
"322",4,0,1
"323",4,1,1
"324",4,0,2
"325",4,1,1
"326",4,0,2
"327",4,0,2
"328",4,1,1
"329",4,1,3
"330",4,0,2
"331",4,0,1
"332",4,1,3
"333",4,0,3
"334",4,0,3
"335",4,1,1
"336",4,1,3
"337",4,0,1
"338",4,1,1
"339",4,1,2
"340",4,0,2
"341",4,0,1
"342",4,0,1
"343",4,0,2
"344",4,1,3
"345",4,1,1
"346",4,0,2
"347",4,1,1
"348",4,1,3
"349",4,0,2
"350",4,0,2
"351",4,0,2
"352",4,1,2
"353",4,1,3
"354",4,0,3
"355",4,0,1
"356",4,1,3
"357",4,0,3
"358",4,1,2
"359",4,1,2
"360",4,0,2
"361",4,0,1
"362",4,1,1
"363",4,1,2
"364",4,0,2
"365",4,0,3
"366",4,0,2
"367",4,1,1
"368",4,1,3
"369",4,1,2
"370",4,1,2
"371",4,0,3
"372",4,0,1
"373",4,0,2
"374",4,1,2
"375",4,0,2
"376",4,0,3
"377",4,0,2
"378",4,1,1
"379",4,0,2
"380",4,0,1
"381",4,1,2
"382",4,0,1
"383",4,1,1
"384",4,0,2
"385",4,0,2
"386",4,0,2
"387",4,1,2
"388",4,0,2
"389",4,1,1
"390",4,0,2
"391",4,1,2
"392",4,1,2
"393",4,0,3
"394",4,0,3
"395",4,0,2
"396",4,0,1
"397",4,1,3
"398",4,0,1
"399",4,1,2
"400",4,0,1
"401",5,1,1
"402",5,0,1
"403",5,1,2
"404",5,1,2
"405",5,1,3
"406",5,1,1
"407",5,0,1
"408",5,1,2
"409",5,1,2
"410",5,1,1
"411",5,0,1
"412",5,0,1
"413",5,1,2
"414",5,0,2
"415",5,0,2
"416",5,0,2
"417",5,1,2
"418",5,1,2
"419",5,1,2
"420",5,1,2
"421",5,1,1
"422",5,1,2
"423",5,1,2
"424",5,1,2
"425",5,1,1
"426",5,1,1
"427",5,0,1
"428",5,1,2
"429",5,0,1
"430",5,0,2
"431",5,1,3
"432",5,1,2
"433",5,0,2
"434",5,1,2
"435",5,1,3
"436",5,1,2
"437",5,1,1
"438",5,1,2
"439",5,1,2
"440",5,1,2
"441",5,1,3
"442",5,0,1
"443",5,1,1
"444",5,0,2
"445",5,0,3
"446",5,1,3
"447",5,1,3
"448",5,0,2
"449",5,1,2
"450",5,1,2
"451",5,0,2
"452",5,0,3
"453",5,0,3
"454",5,1,1
"455",5,0,3
"456",5,0,3
"457",5,0,3
"458",5,1,3
"459",5,1,2
"460",5,0,3
"461",5,0,3
"462",5,0,3
"463",5,0,3
"464",5,1,2
"465",5,0,2
"466",5,1,2
"467",5,0,2
"468",5,0,2
"469",5,0,2
"470",5,0,2
"471",5,0,3
"472",5,1,3
"473",5,1,2
"474",5,0,3
"475",5,1,3
"476",5,1,3
"477",5,1,2
"478",5,0,2
"479",5,0,3
"480",5,0,3
"481",5,1,2
"482",5,0,2
"483",5,0,2
"484",5,0,3
"485",5,0,3
"486",5,0,3
"487",5,0,3
"488",5,0,2
"489",5,0,1
"490",5,0,1
"491",5,0,2
"492",5,1,2
"493",5,0,2
"494",5,1,2
"495",5,0,2
"496",5,0,2
"497",5,0,3
"498",5,0,2
"499",5,0,2
"500",5,0,2
"501",6,0,3
"502",6,0,2
"503",6,0,3
"504",6,0,3
"505",6,1,2
"506",6,1,3
"507",6,1,3
"508",6,0,1
"509",6,1,2
"510",6,1,2
"511",6,1,1
"512",6,0,2
"513",6,0,1
"514",6,0,2
"515",6,0,2
"516",6,0,3
"517",6,0,3
"518",6,0,3
"519",6,1,2
"520",6,1,3
"521",6,1,1
"522",6,0,2
"523",6,0,2
"524",6,0,3
"525",6,0,2
"526",6,0,2
"527",6,0,3
"528",6,0,2
"529",6,1,3
"530",6,0,2
"531",6,0,2
"532",6,0,2
"533",6,0,2
"534",6,0,2
"535",6,0,2
"536",6,1,3
"537",6,0,2
"538",6,1,3
"539",6,1,2
"540",6,0,2
"541",6,0,2
"542",6,0,2
"543",6,0,2
"544",6,1,3
"545",6,0,2
"546",6,0,2
"547",6,0,2
"548",6,1,3
"549",6,0,2
"550",6,0,3
"551",6,1,3
"552",6,0,3
"553",6,0,2
"554",6,0,2
"555",6,0,2
"556",6,1,2
"557",6,0,2
"558",6,1,2
"559",6,0,2
"560",6,0,2
"561",6,0,2
"562",6,0,2
"563",6,0,2
"564",6,0,3
"565",6,0,3
"566",6,0,2
"567",6,0,2
"568",6,1,3
"569",6,1,3
