"","Subj_idx","Response","Confidence"
"1",1,"Human",93
"2",1,"Object",3
"3",1,"Object",7
"4",1,"Object",25
"5",1,"Animal",59
"6",1,"Human",96
"7",1,"Object",4
"8",1,"Object",6
"9",1,"Human",8
"10",1,"Object",8
"11",1,"Animal",24
"12",1,"Animal",55
"13",1,"Object",25
"14",1,"Animal",94
"15",1,"Object",10
"16",1,"Object",16
"17",1,"Object",17
"18",1,"Object",16
"19",1,"Object",21
"20",1,"Object",52
"21",1,"Human",95
"22",1,"Animal",63
"23",1,"Object",60
"24",1,"Animal",94
"25",1,"Object",74
"26",2,"Object",100
"27",2,"Object",90
"28",2,"Animal",90
"29",2,"Human",100
"30",2,"Animal",100
"31",2,"Human",90
"32",2,"Object",100
"33",2,"Object",80
"34",2,"Human",90
"35",2,"Human",100
"36",2,"Animal",100
"37",2,"Animal",100
"38",2,"Animal",80
"39",2,"Animal",70
"40",2,"Object",70
"41",2,"Object",100
"42",2,"Object",60
"43",2,"Object",100
"44",2,"Human",100
"45",2,"Animal",100
"46",2,"Human",80
"47",2,"Human",100
"48",2,"Animal",80
"49",2,"Animal",70
"50",2,"Human",90
"51",3,"Human",100
"52",3,"Object",79
"53",3,"Object",100
"54",3,"Animal",100
"55",3,"Animal",100
"56",3,"Object",100
"57",3,"Animal",100
"58",3,"Object",94
"59",3,"Human",96
"60",3,"Human",100
"61",3,"Animal",100
"62",3,"Object",86
"63",3,"Object",100
"64",3,"Human",100
"65",3,"Object",100
"66",3,"Animal",94
"67",3,"Object",91
"68",3,"Animal",94
"69",3,"Animal",100
"70",3,"Human",100
"71",3,"Animal",94
"72",3,"Animal",96
"73",3,"Object",97
"74",3,"Animal",100
"75",3,"Human",100
"76",4,"Human",100
"77",4,"Object",50
"78",4,"Object",10
"79",4,"Animal",20
"80",4,"Object",20
"81",4,"Human",21
"82",4,"Animal",30
"83",4,"Human",30
"84",4,"Human",30
"85",4,"Human",100
"86",4,"Animal",100
"87",4,"Object",40
"88",4,"Animal",20
"89",4,"Animal",0
"90",4,"Human",30
"91",4,"Animal",0
"92",4,"Animal",100
"93",4,"Animal",30
"94",4,"Object",20
"95",4,"Object",50
"96",4,"Object",20
"97",4,"Object",90
"98",4,"Human",50
"99",4,"Human",1
"100",4,"Animal",100
"101",5,"Object",100
"102",5,"Animal",81
"103",5,"Animal",30
"104",5,"Human",30
"105",5,"Human",30
"106",5,"Object",90
"107",5,"Animal",60
"108",5,"Animal",40
"109",5,"Object",71
"110",5,"Object",40
"111",5,"Animal",31
"112",5,"Object",79
"113",5,"Human",86
"114",5,"Human",98
"115",5,"Human",100
"116",5,"Human",100
"117",5,"Animal",100
"118",5,"Animal",100
"119",5,"Animal",100
"120",5,"Object",44
"121",5,"Animal",16
"122",5,"Object",30
"123",5,"Animal",43
"124",5,"Animal",51
"125",5,"Object",33
"126",6,"Animal",31
"127",6,"Object",30
"128",6,"Human",12
"129",6,"Human",90
"130",6,"Human",10
"131",6,"Human",9
"132",6,"Human",70
"133",6,"Human",40
"134",6,"Animal",90
"135",6,"Human",19
"136",6,"Animal",75
"137",6,"Object",20
"138",6,"Human",99
"139",6,"Animal",55
"140",6,"Object",16
"141",6,"Object",21
"142",6,"Object",50
"143",6,"Animal",99
"144",6,"Animal",79
"145",6,"Animal",80
"146",6,"Animal",100
"147",6,"Object",50
"148",6,"Human",59
"149",6,"Human",21
"150",6,"Human",10
"151",7,"Human",20
"152",7,"Animal",29
"153",7,"Animal",0
"154",7,"Object",0
"155",7,"Animal",90
"156",7,"Object",0
"157",7,"Human",4
"158",7,"Animal",2
"159",7,"Human",75
"160",7,"Human",97
"161",7,"Object",100
"162",7,"Animal",100
"163",7,"Animal",79
"164",7,"Object",12
"165",7,"Animal",50
"166",7,"Animal",100
"167",7,"Animal",20
"168",7,"Human",23
"169",7,"Object",37
"170",7,"Animal",17
"171",7,"Animal",7
"172",7,"Object",12
"173",7,"Object",50
"174",7,"Animal",72
"175",7,"Animal",23
"176",8,"Object",90
"177",8,"Object",90
"178",8,"Object",91
"179",8,"Object",100
"180",8,"Animal",100
"181",8,"Object",92
"182",8,"Object",99
"183",8,"Object",79
"184",8,"Human",100
"185",8,"Animal",80
"186",8,"Animal",100
"187",8,"Human",70
"188",8,"Object",70
"189",8,"Human",100
"190",8,"Animal",99
"191",8,"Object",90
"192",8,"Object",90
"193",8,"Object",100
"194",8,"Human",99
"195",8,"Object",90
"196",8,"Object",81
"197",8,"Object",100
"198",8,"Human",70
"199",8,"Object",99
"200",8,"Human",100
"201",9,"Object",50
"202",9,"Human",97
"203",9,"Animal",49
"204",9,"Animal",89
"205",9,"Animal",59
"206",9,"Object",95
"207",9,"Human",94
"208",9,"Object",50
"209",9,"Object",86
"210",9,"Object",49
"211",9,"Animal",94
"212",9,"Animal",79
"213",9,"Object",92
"214",9,"Animal",83
"215",9,"Object",54
"216",9,"Animal",78
"217",9,"Human",52
"218",9,"Human",96
"219",9,"Object",65
"220",9,"Human",92
"221",9,"Animal",87
"222",9,"Human",96
"223",9,"Animal",93
"224",9,"Human",98
"225",9,"Object",95
"226",10,"Human",69
