"","Subj_idx","Response","Confidence"
"1",1,1,1
"2",1,1,2
"3",1,2,2
"4",1,2,3
"5",1,1,2
"6",1,1,1
"7",1,1,3
"8",1,1,2
"9",1,1,2
"10",1,2,3
"11",1,1,3
"12",1,1,3
"13",1,1,2
"14",1,2,2
"15",1,2,2
"16",1,1,3
"17",1,2,2
"18",1,1,3
"19",1,1,3
"20",1,1,3
"21",1,1,2
"22",1,2,3
"23",1,1,2
"24",1,2,2
"25",1,1,2
"26",1,2,2
"27",1,1,2
"28",1,2,2
"29",1,1,2
"30",1,1,2
"31",1,2,2
"32",1,1,2
"33",1,1,2
"34",1,2,3
"35",1,1,2
"36",1,1,2
"37",1,2,3
"38",1,1,3
"39",1,1,3
"40",1,1,2
"41",1,2,3
"42",1,2,2
"43",1,1,2
"44",1,1,1
"45",1,2,3
"46",1,1,2
"47",1,1,1
"48",1,1,3
"49",1,2,2
"50",1,1,3
"51",1,1,1
"52",1,1,1
"53",1,2,2
"54",1,2,2
"55",1,2,2
"56",1,2,2
"57",1,1,2
"58",1,1,3
"59",1,1,2
"60",1,2,2
"61",1,2,2
"62",1,2,3
"63",1,1,2
"64",1,1,2
"65",1,1,1
"66",1,2,2
"67",1,2,2
"68",1,1,2
"69",1,1,2
"70",1,2,2
"71",1,2,2
"72",1,1,2
"73",1,2,2
"74",1,1,2
"75",1,2,2
"76",1,1,1
"77",1,2,3
"78",1,1,2
"79",1,2,3
"80",1,2,3
"81",1,2,3
"82",1,1,2
"83",1,1,2
"84",1,1,2
"85",1,2,3
"86",1,2,2
"87",1,2,2
"88",1,2,2
"89",1,1,3
"90",1,2,3
"91",1,2,2
"92",1,1,3
"93",1,1,2
"94",1,1,3
"95",1,1,1
"96",1,1,1
"97",1,2,2
"98",1,2,1
"99",1,1,2
"100",1,1,2
"101",1,1,3
"102",1,1,3
"103",1,1,2
"104",1,1,2
"105",1,1,2
"106",1,1,2
"107",1,2,2
"108",1,1,2
"109",1,1,3
"110",1,1,3
"111",1,1,3
"112",1,1,2
"113",1,2,3
"114",1,1,2
"115",1,2,3
"116",1,1,2
"117",1,2,3
"118",1,1,2
"119",1,2,2
"120",1,2,2
"121",1,2,2
"122",1,2,2
"123",1,2,2
"124",1,1,2
"125",1,1,2
"126",1,2,2
"127",1,1,2
"128",1,1,2
"129",1,2,3
"130",1,2,3
"131",1,2,4
"132",1,2,4
"133",1,2,3
"134",1,2,1
"135",1,1,3
"136",1,1,3
"137",1,2,3
"138",1,1,3
"139",1,1,3
"140",1,2,4
"141",1,1,3
"142",1,1,4
"143",1,1,3
"144",1,1,3
"145",1,1,3
"146",1,1,1
"147",1,2,2
"148",1,1,1
"149",1,1,1
"150",1,2,2
"151",1,1,3
"152",1,1,2
"153",1,2,2
"154",1,2,1
"155",1,2,2
"156",1,2,1
"157",1,2,3
"158",1,2,1
"159",1,2,2
"160",1,1,2
"161",1,1,2
"162",1,1,2
"163",1,2,3
"164",1,1,2
"165",1,1,3
"166",1,1,2
"167",1,1,3
"168",1,1,4
"169",1,1,2
"170",1,1,2
"171",1,2,3
"172",1,2,3
"173",1,2,3
"174",1,2,2
"175",1,2,3
"176",1,2,2
"177",1,2,2
"178",1,1,2
"179",1,2,2
"180",1,2,2
"181",1,2,2
"182",1,2,4
"183",1,1,3
"184",1,1,4
"185",1,1,2
"186",1,1,2
"187",1,1,3
"188",1,1,3
"189",1,1,4
"190",1,2,2
"191",1,1,2
"192",1,1,4
"193",1,1,4
"194",1,1,2
"195",1,1,2
"196",1,2,1
"197",1,2,2
"198",1,1,1
"199",1,1,3
"200",1,1,2
"201",1,1,4
"202",1,1,4
"203",1,1,4
"204",1,2,4
"205",1,2,4
"206",1,2,4
"207",1,2,2
"208",1,1,2
"209",1,1,2
"210",1,1,2
"211",1,1,1
"212",1,1,1
"213",1,1,1
"214",1,2,1
"215",1,1,3
"216",1,1,4
"217",1,2,3
"218",1,2,4
"219",1,1,4
"220",1,1,1
"221",1,2,2
"222",1,1,2
"223",1,1,2
"224",1,1,2
"225",1,1,2
"226",1,2,1
"227",1,2,2
"228",1,1,2
"229",1,1,2
"230",1,2,3
"231",1,2,3
"232",1,2,2
"233",1,2,2
"234",1,1,1
"235",1,1,3
"236",1,1,1
"237",1,1,2
"238",1,1,1
"239",1,2,2
"240",1,1,2
"241",1,2,2
"242",1,2,1
"243",1,2,4
"244",1,2,1
"245",1,2,2
"246",1,2,2
"247",1,2,3
"248",1,1,2
"249",1,1,2
"250",1,2,2
"251",1,1,2
"252",1,1,3
"253",1,1,3
"254",1,1,1
"255",1,1,4
"256",1,2,4
"257",1,2,1
"258",1,1,3
"259",1,1,2
"260",1,1,3
"261",1,1,3
"262",1,2,2
"263",1,2,2
"264",1,1,4
"265",1,1,4
"266",1,1,1
"267",1,1,1
"268",1,1,1
"269",1,1,2
"270",1,2,3
"271",1,2,2
"272",1,2,2
"273",1,2,2
"274",1,1,3
"275",1,1,3
"276",1,2,3
"277",1,1,2
"278",1,1,3
"279",1,2,2
"280",1,2,2
"281",1,2,2
"282",1,1,2
"283",1,1,2
"284",1,1,2
"285",1,1,2
"286",1,2,2
"287",1,2,2
"288",1,1,3
"289",1,1,3
"290",1,1,2
"291",1,2,2
"292",1,2,2
"293",1,1,2
"294",1,1,2
"295",1,1,2
"296",1,2,2
"297",1,1,4
"298",1,1,4
"299",1,2,2
"300",1,1,3
"301",1,1,2
"302",1,1,2
"303",1,1,3
"304",1,1,3
"305",1,2,2
"306",1,2,2
"307",1,1,2
"308",1,2,1
"309",1,1,3
"310",1,1,3
"311",1,1,1
"312",1,1,2
"313",1,2,2
"314",1,1,2
"315",1,2,3
"316",1,1,2
"317",1,2,2
"318",1,1,2
"319",1,2,2
"320",1,1,3
"321",1,2,2
"322",1,1,2
"323",1,1,2
"324",1,1,2
"325",1,1,2
"326",1,1,2
"327",1,1,2
"328",1,1,2
"329",1,1,2
"330",1,2,2
"331",1,2,2
"332",1,1,2
"333",1,1,2
"334",1,2,3
"335",1,2,3
"336",1,2,2
"337",1,2,3
"338",1,1,2
"339",1,1,3
"340",1,2,2
"341",1,1,1
"342",1,2,1
"343",1,1,4
"344",1,1,3
"345",1,1,1
"346",1,2,1
"347",1,1,3
"348",1,2,2
"349",1,2,2
"350",1,1,2
"351",1,1,2
"352",1,1,2
"353",1,2,2
"354",1,1,1
"355",1,1,3
"356",1,1,3
"357",1,2,3
"358",1,2,3
"359",1,2,1
"360",1,1,2
"361",1,1,3
"362",1,1,3
"363",1,1,3
"364",1,1,3
"365",1,2,2
"366",1,2,2
"367",1,2,2
"368",1,2,2
"369",1,2,3
"370",1,1,2
"371",1,2,2
"372",1,1,3
"373",1,2,3
"374",1,1,3
"375",1,2,2
"376",1,1,3
"377",1,1,3
"378",1,2,3
"379",1,1,1
"380",1,2,2
"381",1,2,2
"382",1,1,2
"383",1,1,2
"384",1,2,3
"385",1,1,2
"386",1,2,3
"387",1,2,2
"388",1,2,2
"389",1,1,3
"390",1,1,3
"391",1,2,3
"392",1,2,3
"393",1,2,2
"394",1,1,2
"395",1,1,2
"396",1,2,2
"397",1,2,2
"398",1,2,1
"399",1,2,2
"400",1,1,3
"401",1,1,3
"402",1,2,1
"403",1,1,2
"404",1,2,3
"405",1,2,2
"406",1,1,2
"407",1,1,1
"408",1,1,1
"409",1,1,2
"410",1,1,2
"411",1,2,4
"412",1,2,3
"413",1,2,3
"414",1,2,4
"415",1,2,2
"416",1,2,2
"417",1,1,3
"418",1,2,2
"419",1,2,4
"420",1,1,3
"421",1,1,3
"422",1,2,3
"423",1,1,2
"424",1,2,2
"425",1,2,1
"426",1,1,2
"427",1,1,2
"428",1,1,3
"429",1,2,3
"430",1,1,3
"431",1,1,3
"432",1,1,2
"433",1,1,3
"434",1,2,3
"435",1,2,2
"436",1,1,3
"437",1,1,2
"438",1,2,2
"439",1,2,3
"440",1,2,3
"441",1,2,2
"442",1,1,3
"443",1,1,2
"444",1,1,3
"445",1,2,2
"446",1,1,3
"447",1,1,3
"448",1,1,3
"449",1,1,2
"450",1,2,2
"451",1,2,2
"452",1,2,3
"453",1,2,2
"454",1,1,2
"455",1,1,3
"456",1,1,2
"457",1,1,2
"458",1,1,2
"459",1,2,2
"460",1,2,2
"461",1,2,2
"462",1,2,2
"463",1,2,1
"464",1,2,3
"465",1,2,3
"466",1,1,2
"467",1,2,1
"468",1,1,2
"469",1,2,2
"470",1,1,3
"471",1,2,2
"472",1,2,3
"473",1,1,2
"474",1,1,2
"475",1,1,2
"476",1,2,3
"477",1,2,3
"478",1,1,2
"479",1,1,2
"480",1,2,1
"481",1,2,4
"482",1,1,2
"483",1,2,3
"484",1,2,3
"485",1,1,2
"486",1,2,3
"487",1,2,2
"488",1,1,2
"489",1,2,2
"490",1,1,2
"491",1,1,3
"492",1,2,1
"493",1,2,2
"494",1,1,1
"495",1,2,2
"496",1,1,1
"497",1,1,2
"498",1,2,2
"499",1,2,2
"500",1,1,2
"501",1,1,2
"502",1,2,2
"503",1,1,1
"504",1,2,2
"505",1,1,2
"506",1,1,2
"507",1,2,4
"508",1,1,2
"509",1,1,4
"510",1,1,2
"511",1,1,3
"512",1,1,3
"513",1,1,3
"514",1,2,3
"515",1,1,2
"516",1,1,2
"517",1,1,2
"518",1,1,2
"519",1,2,3
"520",1,2,3
"521",1,1,3
"522",1,1,2
"523",1,1,3
"524",1,2,2
"525",1,1,2
"526",1,1,3
"527",1,2,3
"528",1,2,2
"529",1,1,3
"530",1,2,4
"531",1,1,3
"532",1,2,3
"533",1,1,3
"534",1,2,3
"535",1,2,4
"536",1,1,3
"537",1,2,4
"538",1,2,3
"539",1,2,3
"540",1,1,2
"541",1,1,3
"542",1,2,3
"543",1,2,3
"544",1,1,2
"545",1,1,2
"546",1,1,2
"547",1,1,2
"548",1,1,2
"549",1,2,1
"550",1,1,3
"551",1,1,2
"552",1,1,4
"553",1,1,2
"554",1,2,2
"555",1,1,2
"556",1,1,1
"557",1,2,1
"558",1,1,2
"559",1,1,2
"560",1,2,4
"561",1,1,2
"562",1,1,2
"563",1,1,1
"564",1,2,3
"565",1,1,4
"566",1,2,4
"567",1,2,4
"568",1,1,1
"569",1,2,3
"570",1,2,2
"571",1,1,2
"572",1,1,3
"573",1,1,3
"574",1,2,3
"575",1,1,3
"576",1,2,3
"577",1,1,2
"578",1,1,2
"579",1,2,2
"580",1,1,2
"581",1,1,2
"582",1,2,2
"583",1,1,2
"584",1,2,4
"585",1,2,2
"586",1,2,1
"587",1,1,2
"588",1,1,3
"589",1,1,4
"590",1,1,3
"591",1,1,1
"592",1,1,2
"593",1,2,1
"594",1,2,2
"595",1,1,2
"596",1,1,2
"597",1,1,2
"598",1,2,2
"599",1,2,2
"600",1,2,2
"601",1,2,1
"602",1,2,4
"603",1,2,3
"604",1,1,2
"605",1,1,1
"606",1,2,3
"607",1,2,2
"608",1,1,2
"609",1,2,1
"610",1,2,2
"611",1,1,4
"612",1,1,2
"613",1,1,3
"614",1,2,2
"615",1,2,4
"616",1,2,3
"617",1,1,2
"618",1,2,1
"619",1,2,3
"620",1,2,2
"621",1,1,2
"622",1,1,2
"623",1,1,2
"624",1,2,3
"625",1,1,3
"626",1,1,2
"627",1,1,2
"628",1,2,2
"629",1,1,4
"630",1,1,1
"631",1,2,3
"632",1,2,2
"633",1,1,1
"634",1,2,3
"635",1,1,2
"636",1,1,2
"637",1,1,3
"638",1,1,4
"639",1,1,2
"640",1,2,2
"641",1,1,2
"642",1,2,3
"643",1,2,2
"644",1,1,1
"645",1,1,1
"646",1,2,1
"647",1,2,2
"648",1,2,3
"649",1,2,3
"650",1,2,2
"651",1,1,2
"652",1,1,3
"653",1,1,4
"654",1,1,4
"655",1,1,4
"656",1,1,1
"657",1,2,3
"658",1,2,3
"659",1,1,3
"660",1,2,3
"661",1,2,2
"662",1,2,2
"663",1,2,3
"664",1,1,3
"665",1,2,3
"666",1,2,3
"667",1,2,3
"668",1,1,2
"669",1,1,2
"670",1,1,2
"671",1,1,2
"672",1,1,2
"673",1,1,2
"674",1,2,1
"675",1,1,2
"676",1,2,2
"677",1,2,2
"678",1,2,2
"679",1,1,3
"680",1,2,2
"681",1,2,3
"682",1,2,2
"683",1,1,3
"684",1,1,3
"685",1,1,3
"686",1,2,2
"687",1,1,2
"688",1,2,2
"689",1,1,3
"690",1,2,2
"691",1,1,3
"692",1,1,3
"693",1,2,4
"694",1,1,3
"695",1,1,3
"696",1,1,2
"697",1,1,2
"698",1,1,2
"699",1,2,2
"700",1,2,2
"701",1,2,3
"702",1,2,3
"703",1,1,3
"704",1,2,3
"705",1,1,2
"706",1,2,3
"707",1,1,3
"708",1,2,3
"709",1,2,3
"710",1,2,3
"711",1,1,3
"712",1,2,4
"713",1,2,3
"714",1,2,3
"715",1,2,3
"716",1,1,3
"717",1,1,3
"718",1,2,3
"719",1,2,3
"720",1,1,3
"721",1,2,3
"722",1,2,2
"723",1,1,3
"724",1,1,2
"725",1,2,2
"726",1,1,3
"727",1,1,3
"728",1,1,3
"729",1,1,3
"730",1,2,4
"731",1,2,3
"732",1,2,3
"733",1,1,3
"734",1,1,3
"735",1,1,3
"736",1,1,3
"737",1,1,3
"738",1,1,3
"739",1,1,3
"740",1,2,2
"741",1,1,2
"742",1,2,3
"743",1,2,3
"744",1,1,2
"745",1,2,3
"746",1,1,2
"747",1,2,3
"748",1,2,2
"749",1,1,2
"750",1,1,2
"751",1,2,3
"752",1,1,2
"753",1,1,2
"754",1,2,3
"755",1,2,3
