"","Subj_idx","Response","Confidence"
"1",1,"R",1
"2",1,"L",1
"3",1,"L",1
"4",1,"R",1
"5",1,"R",4
"6",1,"L",4
"7",1,"R",4
"8",1,"R",4
"9",1,"R",1
"10",1,"L",4
"11",1,"R",1
"12",1,"L",1
"13",1,"L",4
"14",1,"L",4
"15",1,"L",4
"16",1,"R",4
"17",1,"L",4
"18",1,"L",4
"19",1,"L",4
"20",1,"L",4
"21",1,"L",4
"22",1,"R",1
"23",1,"R",1
"24",1,"L",1
"25",1,"L",4
"26",1,"R",4
"27",1,"L",1
"28",1,"R",1
"29",1,"R",4
"30",1,"R",1
"31",1,"L",4
"32",1,"R",4
"33",1,"L",1
"34",1,"L",1
"35",1,"L",4
"36",1,"R",4
"37",1,"R",1
"38",1,"R",4
"39",1,"R",4
"40",1,"R",4
"41",1,"L",1
"42",1,"R",4
"43",1,"R",4
"44",1,"R",4
"45",1,"R",1
"46",1,"L",4
"47",1,"R",4
"48",1,"L",4
"49",1,"L",4
"50",1,"R",1
"51",1,"L",4
"52",1,"L",4
"53",1,"L",4
"54",1,"L",4
"55",1,"L",1
"56",1,"L",4
"57",1,"R",1
"58",1,"R",4
"59",1,"R",4
"60",1,"R",4
"61",1,"L",4
"62",1,"R",4
"63",1,"R",4
"64",1,"L",4
"65",1,"R",1
"66",1,"L",1
"67",1,"R",1
"68",1,"R",1
"69",1,"R",4
"70",1,"L",1
"71",1,"R",4
"72",1,"R",4
"73",1,"R",4
"74",1,"L",4
"75",1,"L",4
"76",1,"R",4
"77",1,"L",1
"78",1,"R",4
"79",1,"R",4
"80",1,"L",1
"81",1,"L",4
"82",1,"R",4
"83",1,"L",4
"84",1,"L",4
"85",1,"R",1
"86",1,"L",4
"87",1,"R",4
"88",1,"R",1
"89",1,"L",1
"90",1,"R",4
"91",1,"R",4
"92",1,"L",4
"93",1,"L",4
"94",1,"R",4
"95",1,"L",4
"96",1,"L",4
"97",1,"L",4
"98",1,"R",1
"99",1,"L",2
"100",1,"L",4
"101",1,"L",4
"102",1,"R",4
"103",1,"L",1
"104",1,"R",4
"105",1,"L",4
"106",1,"R",1
"107",1,"R",1
"108",1,"R",4
"109",1,"R",4
"110",1,"R",4
"111",1,"L",4
"112",1,"R",4
"113",1,"L",4
"114",1,"R",4
"115",1,"R",4
"116",1,"R",4
"117",1,"R",4
"118",1,"R",4
"119",1,"R",1
"120",1,"L",4
"121",1,"L",1
"122",1,"L",4
"123",1,"R",1
"124",1,"L",4
"125",1,"R",1
"126",1,"R",1
"127",1,"R",1
"128",1,"R",4
"129",1,"L",4
"130",1,"R",4
"131",1,"R",4
"132",1,"L",1
"133",1,"L",4
"134",1,"R",1
"135",1,"R",4
"136",1,"L",1
"137",1,"L",4
"138",1,"L",4
"139",1,"R",1
"140",1,"R",4
"141",1,"L",4
"142",1,"R",4
"143",1,"R",4
"144",1,"L",4
"145",1,"L",4
"146",1,"R",4
"147",1,"R",4
"148",1,"L",4
"149",1,"L",4
"150",1,"R",4
"151",1,"L",1
"152",1,"L",1
"153",1,"L",1
"154",1,"L",1
"155",1,"R",1
"156",1,"L",1
"157",1,"L",4
"158",1,"R",1
"159",1,"L",1
"160",1,"R",4
"161",1,"R",4
"162",1,"L",4
"163",1,"R",4
"164",1,"R",4
"165",1,"L",4
"166",1,"L",1
"167",1,"L",4
"168",1,"L",4
"169",1,"R",4
"170",1,"R",1
"171",1,"L",4
"172",1,"L",4
"173",1,"R",4
"174",1,"L",1
"175",1,"R",4
"176",1,"L",1
"177",1,"R",1
"178",1,"L",1
"179",1,"L",1
"180",1,"R",4
"181",1,"R",4
"182",1,"R",4
"183",1,"L",4
"184",1,"R",4
"185",1,"R",4
"186",1,"R",4
"187",1,"R",4
"188",1,"R",4
"189",1,"L",4
"190",1,"L",1
"191",1,"R",4
"192",1,"L",4
"193",1,"L",4
"194",1,"L",1
"195",1,"L",1
"196",1,"R",1
"197",1,"L",1
"198",1,"R",4
"199",1,"L",4
"200",1,"R",1
"201",1,"L",1
"202",1,"R",1
"203",1,"R",4
"204",1,"R",4
"205",1,"L",4
"206",1,"L",4
"207",1,"L",4
"208",1,"R",1
"209",1,"L",1
"210",1,"L",1
"211",1,"R",4
"212",1,"R",4
"213",1,"R",4
"214",1,"R",4
"215",1,"R",4
"216",1,"R",1
"217",1,"R",4
"218",1,"L",4
"219",1,"L",4
"220",1,"L",4
"221",1,"R",4
"222",1,"R",4
"223",1,"R",1
"224",1,"R",4
"225",1,"L",4
"226",1,"L",4
"227",1,"R",1
"228",1,"R",4
"229",1,"L",4
"230",1,"L",4
"231",1,"L",1
"232",1,"R",4
"233",1,"L",4
"234",1,"R",4
"235",1,"L",4
"236",1,"L",4
"237",1,"L",4
"238",1,"L",4
"239",1,"L",4
"240",1,"R",4
"241",1,"L",4
"242",1,"L",4
"243",1,"R",4
"244",1,"L",4
"245",1,"R",1
"246",1,"R",4
"247",1,"R",4
"248",1,"L",4
"249",1,"R",4
"250",1,"L",4
"251",1,"L",1
"252",1,"L",1
"253",1,"L",4
"254",1,"R",4
"255",1,"R",4
"256",1,"L",4
"257",1,"L",4
"258",1,"R",1
"259",1,"R",4
"260",1,"R",4
"261",1,"L",4
"262",1,"R",4
"263",1,"R",1
"264",1,"R",4
"265",1,"R",4
"266",1,"R",4
"267",1,"L",1
"268",1,"L",1
"269",1,"R",1
"270",1,"R",4
"271",1,"L",1
"272",1,"R",4
"273",1,"R",4
"274",1,"R",1
"275",1,"R",4
"276",1,"L",4
"277",1,"R",1
"278",1,"L",4
"279",1,"R",1
"280",1,"L",4
"281",1,"R",4
"282",1,"L",1
"283",1,"R",1
"284",1,"L",1
"285",1,"L",4
"286",1,"L",1
"287",1,"L",4
"288",1,"R",1
"289",1,"R",4
"290",1,"R",4
"291",1,"L",1
"292",1,"R",4
"293",1,"L",4
"294",1,"R",1
"295",1,"R",1
"296",1,"L",1
"297",1,"R",4
"298",1,"L",1
"299",1,"R",1
"300",1,"R",4
"301",1,"L",4
"302",1,"R",4
"303",1,"R",1
"304",1,"L",1
"305",1,"L",4
"306",1,"L",4
"307",1,"R",4
"308",1,"R",1
"309",1,"R",1
"310",1,"R",4
"311",1,"R",1
"312",1,"R",1
"313",1,"L",1
"314",1,"L",4
"315",1,"R",1
"316",1,"R",4
"317",1,"L",4
"318",1,"L",1
"319",1,"L",1
"320",1,"L",1
"321",1,"R",4
"322",1,"R",4
"323",1,"L",4
"324",1,"R",4
"325",1,"R",4
"326",1,"R",1
"327",1,"L",1
"328",1,"L",4
"329",1,"R",4
"330",1,"L",1
"331",1,"L",1
"332",1,"L",4
"333",1,"R",1
"334",1,"R",4
"335",1,"R",4
"336",1,"R",4
"337",1,"R",4
"338",1,"L",1
"339",1,"L",4
"340",1,"L",4
"341",1,"R",1
"342",1,"L",4
"343",1,"R",1
"344",1,"R",1
"345",1,"L",4
"346",1,"L",4
"347",1,"L",4
"348",1,"R",1
"349",1,"R",4
"350",1,"L",4
"351",1,"R",4
"352",1,"R",4
"353",1,"L",1
"354",1,"R",1
"355",1,"R",4
"356",1,"R",4
"357",1,"L",1
"358",1,"R",4
"359",1,"R",4
"360",1,"L",1
"361",1,"L",1
"362",1,"L",1
"363",1,"R",4
"364",1,"R",4
"365",1,"L",1
"366",1,"L",1
"367",1,"L",4
"368",1,"R",1
"369",1,"L",1
"370",1,"L",1
"371",1,"L",1
"372",1,"R",1
"373",1,"L",4
"374",1,"L",4
"375",1,"R",1
"376",1,"R",4
"377",1,"R",4
"378",1,"R",4
"379",1,"R",1
"380",1,"L",4
"381",1,"R",4
"382",1,"L",1
"383",1,"R",1
"384",1,"L",4
"385",1,"R",1
"386",1,"R",4
"387",1,"R",4
"388",1,"R",4
"389",1,"R",1
"390",1,"L",1
"391",1,"R",1
"392",1,"L",1
"393",1,"R",1
"394",1,"L",1
"395",1,"R",1
"396",1,"R",4
"397",1,"R",4
"398",1,"L",1
"399",1,"L",1
"400",1,"R",4
"401",1,"R",4
"402",1,"R",4
"403",1,"R",4
"404",1,"R",4
"405",1,"L",1
"406",1,"L",1
"407",1,"R",1
"408",1,"L",1
"409",1,"R",4
"410",1,"L",4
"411",1,"L",4
"412",1,"R",4
"413",1,"L",4
"414",1,"R",1
"415",1,"L",4
"416",1,"L",4
"417",1,"R",4
"418",1,"R",4
"419",1,"L",4
"420",1,"R",1
"421",1,"L",4
"422",1,"L",1
"423",1,"R",4
"424",1,"L",4
"425",1,"L",4
"426",1,"R",4
"427",1,"L",4
"428",1,"L",4
"429",1,"R",1
"430",1,"R",4
"431",1,"R",4
"432",1,"L",1
"433",1,"L",1
"434",1,"R",1
"435",1,"R",1
"436",1,"R",1
"437",1,"L",4
"438",1,"R",4
"439",1,"L",4
"440",1,"R",1
"441",1,"R",4
"442",1,"R",4
"443",1,"L",4
"444",1,"L",4
"445",1,"R",4
"446",1,"R",4
"447",1,"R",4
"448",1,"L",4
"449",1,"R",4
"450",1,"L",1
"451",1,"L",1
"452",1,"L",1
"453",1,"L",1
"454",1,"R",4
"455",1,"R",4
"456",1,"L",4
"457",1,"R",4
