"","Subj_idx","Response","Confidence"
"1",1,0,34.314
"2",1,0,34.314
"3",1,1,33.66
"4",1,0,34.314
"5",1,1,33.66
"6",1,0,34.314
"7",1,0,34.314
"8",1,0,34.314
"9",1,0,34.314
"10",1,1,33.66
"11",1,0,34.314
"12",1,1,33.66
"13",1,1,33.66
"14",1,0,34.314
"15",1,0,34.314
"16",1,0,34.314
"17",1,0,34.314
"18",1,1,33.66
"19",1,0,34.314
"20",1,0,34.314
"21",1,1,33.66
"22",1,1,33.66
"23",1,0,34.314
"24",1,0,34.314
"25",1,1,33.66
"26",1,1,33.66
"27",1,0,34.314
"28",1,0,34.314
"29",1,0,34.314
"30",1,1,33.66
"31",1,0,34.314
"32",1,0,34.314
"33",1,0,34.314
"34",1,1,33.66
"35",1,1,33.66
"36",1,0,34.314
"37",1,1,33.66
"38",1,0,34.314
"39",1,0,34.314
"40",1,0,34.314
"41",1,1,33.66
"42",1,1,33.66
"43",1,0,34.314
"44",1,1,33.66
"45",1,1,33.66
"46",1,0,34.314
"47",1,0,34.314
"48",1,1,33.66
"49",1,1,33.66
"50",1,1,33.66
"51",1,0,34.314
"52",1,1,33.66
"53",1,1,33.66
"54",1,0,34.314
"55",1,1,33.66
"56",1,1,33.66
"57",1,0,34.314
"58",1,1,33.66
"59",1,0,34.314
"60",1,0,34.314
"61",1,1,33.66
"62",1,1,33.66
"63",1,0,34.314
"64",1,1,33.66
"65",1,0,38.235
"66",1,0,34.314
"67",1,0,38.235
"68",1,1,9.15
"69",1,1,15.2775
"70",1,1,31.6175
"71",1,1,45.915
"72",1,1,45.915
"73",1,0,14.706
"74",1,0,2.941
"75",1,0,36.275
"76",1,0,10.784
"77",1,1,27.5325
"78",1,1,11.1925
"79",1,0,18.627
"80",1,0,40.1961
"81",1,1,37.745
"82",1,0,16.667
"83",1,1,5.065
"84",1,0,38.235
"85",1,0,44.1176
"86",1,1,45.915
"87",1,0,50
"88",1,0,50
"89",1,0,14.706
"90",1,0,12.745
"91",1,1,19.3625
"92",1,0,26.471
"93",1,0,28.431
"94",1,0,12.745
"95",1,1,15.2775
"96",1,1,31.6175
"97",1,0,8.824
"98",1,0,14.706
"99",1,1,19.3625
"100",1,1,7.10749999999999
"101",1,0,12.745
"102",1,0,40.1961
"103",1,0,14.706
"104",1,1,19.3625
"105",1,1,9.15
"106",1,0,16.667
"107",1,0,28.431
"108",1,0,38.235
"109",1,0,50
"110",1,0,10.784
"111",1,0,12.745
"112",1,1,9.15
"113",1,0,28.431
"114",1,0,16.667
"115",1,0,12.745
"116",1,1,13.235
"117",1,0,50
"118",1,0,16.667
"119",1,0,26.471
"120",1,1,15.2775
"121",1,1,27.5325
"122",1,1,13.235
"123",1,0,50
"124",1,0,50
"125",1,0,50
"126",1,0,38.235
"127",1,1,23.4475
"128",1,0,34.314
"129",1,0,24.51
"130",1,0,40.1961
"131",1,1,19.3625
"132",1,0,34.314
"133",1,0,28.431
"134",1,1,13.235
"135",1,0,18.627
"136",1,1,19.3625
"137",1,0,18.627
"138",1,1,7.10749999999999
"139",1,0,34.314
"140",1,0,50
"141",1,1,11.1925
"142",1,0,14.706
"143",1,1,35.7025
"144",1,1,50
"145",1,1,43.8725
"146",1,0,50
"147",1,1,50
"148",1,0,50
"149",1,1,50
"150",1,0,10.784
"151",1,0,6.863
"152",1,0,28.431
"153",1,0,14.706
"154",1,0,36.275
"155",1,1,17.32
"156",1,1,31.6175
"157",1,1,15.2775
"158",1,1,9.15
"159",1,1,13.235
"160",1,1,15.2775
"161",1,0,50
"162",1,0,18.627
"163",1,0,14.706
"164",1,0,10.784
"165",1,1,21.405
"166",1,1,15.2775
"167",1,1,15.2775
"168",1,0,16.667
"169",1,0,36.275
"170",1,1,39.7875
"171",1,0,50
"172",1,0,12.745
"173",1,1,50
"174",1,0,50
"175",1,1,37.745
"176",1,0,34.314
"177",1,1,9.15
"178",1,1,19.3625
"179",1,1,33.66
"180",1,1,29.575
"181",1,1,47.9575
"182",1,1,11.1925
"183",1,1,7.10749999999999
"184",1,0,16.667
"185",1,1,25.49
