"","Subj_idx","Response","Confidence"
"1",1,0,5
"2",1,1,5
"3",1,0,5
"4",1,1,5
"5",1,1,5
"6",1,1,5
"7",1,0,5
"8",1,0,5
"9",1,0,5
"10",1,1,5
"11",1,1,5
"12",1,0,5
"13",1,0,5
"14",1,1,5
"15",1,0,5
"16",1,0,5
"17",1,0,5
"18",1,0,5
"19",1,1,5
"20",1,1,5
"21",1,0,5
"22",1,0,5
"23",1,1,5
"24",1,1,5
"25",1,0,5
"26",1,1,5
"27",1,0,5
"28",1,0,5
"29",1,1,5
"30",1,1,5
"31",1,0,5
"32",1,1,5
"33",1,1,5
"34",1,1,5
"35",1,0,5
"36",1,1,5
"37",1,0,5
"38",1,0,5
"39",1,1,5
"40",1,0,5
"41",1,0,5
"42",1,1,5
"43",1,0,5
"44",1,1,5
"45",1,0,5
"46",1,1,5
"47",1,1,5
"48",1,0,5
"49",1,0,5
"50",1,0,5
"51",1,1,5
"52",1,1,5
"53",1,0,5
"54",1,0,5
"55",1,1,5
"56",1,0,5
"57",1,1,5
"58",1,1,5
"59",1,0,5
"60",1,1,5
"61",1,1,5
"62",1,1,5
"63",1,0,5
"64",1,0,5
"65",1,1,5
"66",1,0,5
"67",1,1,5
"68",1,1,5
"69",1,0,5
"70",1,1,5
"71",1,1,5
"72",1,0,5
"73",1,0,5
"74",1,1,5
"75",1,0,5
"76",1,1,5
"77",1,0,5
"78",1,1,5
"79",1,1,5
"80",1,0,5
"81",1,0,5
"82",1,1,5
"83",1,0,5
"84",1,0,5
"85",1,1,5
"86",1,0,5
"87",1,1,5
"88",1,1,5
"89",1,0,5
"90",1,0,5
"91",1,0,5
"92",1,1,5
"93",1,1,5
"94",1,0,5
"95",1,1,5
"96",1,1,5
"97",1,0,5
"98",1,0,5
"99",1,0,5
"100",1,1,5
"101",1,0,5
"102",1,1,5
"103",1,1,5
"104",1,1,5
"105",1,0,5
"106",1,1,5
"107",1,0,5
"108",1,1,5
"109",1,1,5
"110",1,1,5
"111",1,0,5
"112",1,1,5
"113",1,0,5
"114",1,1,5
"115",1,1,5
"116",1,1,5
"117",1,0,5
"118",1,1,5
"119",1,0,6
"120",1,1,6
"121",1,1,5
"122",1,1,5
"123",1,0,6
"124",1,1,5
"125",1,0,5
"126",1,1,6
"127",1,0,6
"128",1,1,5
"129",1,1,4
"130",1,1,6
"131",1,1,6
"132",1,1,6
"133",1,0,6
"134",1,1,6
"135",1,0,5
"136",1,1,5
"137",1,0,5
"138",1,0,5
"139",1,0,5
"140",1,0,5
"141",1,0,4
"142",1,1,5
"143",1,0,5
"144",1,0,5
"145",1,0,5
"146",1,0,5
"147",1,0,6
"148",1,1,5
"149",1,1,4
"150",1,1,4
"151",1,0,5
"152",1,1,5
"153",1,0,6
"154",1,0,5
"155",1,0,6
"156",1,1,6
"157",1,0,6
"158",1,1,5
"159",1,1,5
"160",1,0,5
"161",1,1,6
"162",1,1,5
"163",1,1,6
"164",1,1,6
"165",1,0,6
"166",1,1,6
"167",1,1,5
"168",1,1,4
"169",1,0,4
"170",1,0,6
"171",1,1,6
"172",1,1,6
"173",1,0,6
"174",1,1,6
"175",1,0,6
"176",1,1,6
"177",1,1,6
"178",1,0,6
"179",1,1,6
"180",1,0,6
"181",1,0,4
"182",1,1,4
"183",1,1,5
"184",1,1,5
"185",1,0,5
"186",1,0,5
"187",1,1,5
"188",1,0,5
"189",1,0,5
"190",1,0,5
"191",1,1,5
"192",1,0,5
"193",1,0,5
"194",1,0,6
"195",1,1,6
"196",1,1,6
"197",1,0,6
"198",1,0,6
"199",1,0,6
"200",1,1,6
"201",1,1,6
"202",1,0,6
"203",1,1,6
"204",1,1,6
"205",1,1,6
"206",1,1,6
"207",1,1,6
"208",1,1,6
"209",1,0,6
"210",1,1,6
"211",1,0,6
"212",1,1,6
"213",1,1,6
"214",1,0,6
"215",1,1,6
"216",1,0,5
"217",1,0,5
"218",1,1,5
"219",1,1,5
"220",1,0,5
"221",1,1,5
"222",1,0,5
"223",1,0,6
"224",1,0,4
"225",1,0,6
"226",1,1,4
"227",1,1,5
"228",1,1,5
"229",1,0,6
"230",1,1,6
"231",1,1,4
"232",1,1,4
"233",1,0,6
"234",1,0,4
"235",1,0,5
"236",1,0,4
"237",1,1,6
"238",1,0,6
"239",1,1,6
"240",1,0,4
"241",1,1,4
"242",1,1,6
"243",1,1,6
"244",1,1,5
"245",1,1,4
"246",1,0,6
"247",1,0,6
"248",1,0,6
"249",1,0,6
"250",1,1,5
"251",1,1,5
"252",1,0,6
"253",1,1,5
"254",1,0,5
"255",1,0,6
"256",1,0,5
"257",1,1,5
"258",1,1,6
"259",1,1,6
"260",1,0,5
"261",1,1,5
"262",1,1,6
"263",1,0,6
"264",1,1,6
"265",1,1,6
"266",1,0,6
"267",1,0,6
"268",1,1,6
"269",1,0,6
"270",1,0,6
"271",1,1,5
"272",1,0,6
"273",1,1,5
"274",1,0,5
"275",1,1,6
"276",1,0,6
"277",1,1,5
"278",1,1,5
"279",1,0,5
"280",1,1,5
"281",1,1,6
"282",1,0,5
"283",1,1,6
"284",1,1,5
"285",1,1,5
"286",1,1,5
"287",1,1,6
"288",1,1,5
"289",1,1,6
"290",1,0,5
"291",1,1,5
"292",1,1,5
"293",1,1,6
