"","Subj_idx","Response","Confidence"
"1",1,1,4
"2",1,1,6
"3",1,1,3
"4",1,1,5
"5",1,1,2
"6",1,1,5
"7",1,0,4
"8",1,1,1
"9",1,1,5
"10",1,0,4
"11",1,1,6
"12",1,0,5
"13",1,1,4
"14",1,1,6
"15",1,1,4
"16",1,1,3
"17",1,1,4
"18",1,0,6
"19",1,0,4
"20",1,1,1
"21",1,1,1
"22",1,0,4
"23",1,1,2
"24",1,0,2
"25",1,0,6
"26",1,1,4
"27",1,1,3
"28",1,1,3
"29",1,1,3
"30",1,1,3
"31",1,1,3
"32",1,1,3
"33",1,1,3
"34",1,1,6
"35",1,1,4
"36",1,0,6
"37",1,1,4
"38",1,1,1
"39",1,1,3
"40",1,1,3
"41",1,1,2
"42",1,1,1
"43",1,1,1
"44",1,1,6
"45",1,1,1
"46",1,1,2
"47",1,1,1
"48",1,0,5
"49",1,1,3
"50",1,1,1
"51",1,1,6
"52",1,0,6
"53",1,0,1
"54",1,0,5
"55",1,0,4
"56",1,0,5
"57",1,1,4
"58",1,1,6
"59",1,1,3
"60",1,1,2
"61",1,1,5
"62",1,1,2
"63",1,1,6
"64",1,1,2
"65",1,1,2
"66",1,1,2
"67",1,0,5
"68",1,1,2
"69",1,1,2
"70",1,1,2
"71",1,1,3
"72",1,1,3
"73",1,1,3
"74",1,1,1
"75",1,1,2
"76",1,1,1
"77",1,0,4
"78",1,0,4
"79",1,1,3
"80",1,1,3
"81",1,1,3
"82",1,1,2
"83",1,0,6
"84",1,1,5
"85",1,1,2
"86",1,1,3
"87",1,1,3
"88",1,1,2
"89",1,1,2
"90",1,0,3
"91",1,1,1
"92",1,1,2
"93",1,1,2
"94",1,0,6
"95",1,0,6
"96",1,1,1
"97",1,0,6
"98",1,1,6
"99",1,1,6
"100",1,1,3
"101",1,1,3
"102",1,0,3
"103",1,1,3
"104",1,1,1
"105",1,1,3
"106",1,1,3
"107",1,0,3
"108",1,1,3
"109",1,1,3
"110",1,1,4
"111",1,1,3
"112",1,1,6
"113",1,1,6
"114",1,1,3
"115",1,1,3
"116",1,1,3
"117",1,1,3
"118",1,1,3
"119",1,1,2
"120",1,0,6
"121",1,1,3
"122",1,1,2
"123",1,1,2
"124",1,0,4
"125",1,1,5
"126",1,1,4
"127",1,1,3
"128",1,1,2
"129",1,1,2
"130",1,1,6
"131",1,1,2
"132",1,0,6
"133",1,1,3
"134",1,1,3
"135",1,1,3
"136",1,0,5
"137",1,1,6
"138",1,1,2
"139",1,0,3
"140",1,1,6
"141",1,1,2
"142",1,1,2
"143",1,1,3
"144",1,1,3
"145",1,1,3
"146",1,1,3
"147",1,1,3
"148",1,0,3
"149",1,1,3
"150",1,1,6
"151",1,1,3
"152",1,0,3
"153",1,0,3
"154",1,1,3
"155",1,1,5
"156",1,0,3
"157",1,1,3
"158",1,1,3
"159",1,1,6
"160",1,1,2
"161",1,1,2
"162",1,1,3
"163",1,1,3
"164",1,1,3
"165",1,1,3
"166",1,1,3
"167",1,1,3
"168",1,0,5
"169",1,0,6
"170",1,0,4
"171",1,1,5
"172",1,1,3
"173",1,1,2
"174",1,1,3
"175",1,0,3
"176",1,0,4
"177",1,0,5
"178",1,1,4
"179",1,1,4
"180",1,1,2
"181",1,0,4
"182",1,1,3
"183",1,1,2
"184",1,1,3
"185",1,1,3
"186",1,1,3
"187",1,1,6
"188",1,1,3
"189",1,0,3
"190",1,1,3
"191",1,1,6
"192",1,1,3
"193",1,1,3
"194",1,1,3
"195",1,1,5
"196",1,1,4
"197",1,1,3
"198",1,1,3
"199",1,1,3
"200",1,1,3
