"","Subj_idx","Response","Confidence"
"1",7627,1,70
"2",7627,0,68
"3",7627,0,50
"4",7627,0,46
"5",7627,1,51
"6",7627,1,82
"7",7627,1,42
"8",7627,0,66
"9",7627,1,65
"10",7627,0,71
"11",7627,1,50
"12",7627,1,71
"13",7627,0,82
"14",7627,0,66
"15",7627,1,50
"16",7627,1,50
"17",7627,1,46
"18",7627,0,61
"19",7627,0,50
"20",7627,0,65
"21",7627,1,64
"22",7627,0,58
"23",7627,1,73
"24",7627,0,50
"25",7627,0,62
"26",7627,0,84
"27",7627,0,72
"28",7627,0,53
"29",7627,1,71
"30",7627,1,70
"31",7627,1,74
"32",7627,0,41
"33",7627,1,57
"34",7627,0,15
"35",7627,0,56
"36",7627,0,68
"37",7627,1,72
"38",7627,1,73
"39",7627,0,86
"40",7627,0,72
"41",7627,1,81
"42",7627,0,67
"43",7627,0,50
"44",7627,1,70
"45",7627,1,74
"46",7627,1,69
"47",7627,1,73
"48",7627,1,75
"49",7627,1,72
"50",7627,1,67
"51",7627,1,71
"52",7627,0,70
"53",7627,0,76
"54",7627,0,73
"55",7627,1,77
"56",7627,0,71
"57",7627,1,72
"58",7627,1,73
"59",7627,0,74
"60",7627,1,78
"61",7627,0,83
"62",7627,0,73
"63",7627,0,78
"64",7627,0,79
"65",7627,1,82
"66",7627,0,73
"67",7627,1,47
"68",7627,1,28
"69",7627,0,58
"70",7627,1,70
"71",7627,0,68
"72",7627,1,71
"73",7627,1,50
"74",7627,1,70
"75",7627,0,63
"76",7627,0,74
"77",7627,1,70
"78",7627,0,68
"79",7627,1,71
"80",7627,0,68
"81",7627,1,66
"82",7627,1,69
"83",7627,0,48
"84",7627,0,82
"85",7627,0,40
"86",7627,1,50
"87",7627,0,61
"88",7627,1,70
"89",7627,0,77
"90",7627,1,76
"91",7627,0,74
"92",7627,0,84
"93",7627,0,77
"94",7627,0,75
"95",7627,0,76
"96",7627,0,83
"97",7627,1,35
"98",7627,1,44
"99",7627,1,40
"100",7627,1,57
