"","Subj_idx","Response","Confidence"
"1",1,0.95,100
"2",1,4.96,81.45
"3",1,7.94,60.82
"4",1,7.03,61.37
"5",1,2.97,90.62
"6",1,1.96,86.12
"7",1,3,84.93
"8",1,7.05,62.4
"9",1,1.01,95.21
"10",1,0.98,100
"11",1,0.97,96.55
"12",1,7.98,61.53
"13",1,4.98,71.81
"14",1,4.58,80.66
"15",1,7.9,80.98
"16",1,1.48,NA
"17",1,8,91.25
"18",1,8.01,100
"19",1,1.39,96.47
"20",1,0,100
"21",1,8.12,95.68
"22",1,0,100
"23",1,0,100
"24",1,4.04,98.92
"25",2,2.95,79.79
"26",2,3.98,97.42
"27",2,4.99,NA
"28",2,7.01,93.39
"29",2,1.93,100
"30",2,7.99,81.69
"31",2,1.9,100
"32",2,7.98,76.47
"33",2,4.08,100
"34",2,1.94,100
"35",2,1.04,100
"36",2,8.35,100
"37",2,5.03,100
"38",2,3.08,100
"39",2,8.49,98.68
"40",2,2.13,100
"41",2,4.93,100
"42",2,7.92,78.76
"43",2,4,100
"44",2,1.14,100
"45",2,7.09,100
"46",2,0.93,100
"47",2,1.02,100
"48",2,4,100
"49",3,1.08,0.58
"50",3,1.49,100
"51",3,2.2,100
"52",3,4.63,97.02
"53",3,1.69,100
"54",3,5,100
"55",3,2.5,100
"56",3,5.19,97.26
"57",3,2.99,100
"58",3,1.01,100
"59",3,1.88,100
"60",3,4.36,94.1
"61",3,4.36,100
"62",3,4,100
"63",3,3.58,100
"64",3,2.36,100
"65",3,3.6,100
"66",3,2.7,100
"67",3,3.91,100
"68",3,1.07,100
"69",3,3.74,100
"70",3,0.86,100
"71",3,2.23,NA
"72",3,3.47,NA
"73",4,1.07,100
"74",4,1.03,NA
"75",4,5.36,100
"76",4,6.43,100
"77",4,2.56,100
"78",4,7.98,100
"79",4,1.03,100
"80",4,8.28,NA
"81",4,4.03,100
"82",4,0,100
"83",4,0,100
"84",4,8.05,100
"85",4,5.35,100
"86",4,1.96,100
"87",4,10,100
"88",4,2.98,100
"89",4,6.98,100
"90",4,8.08,100
"91",4,5.4,100
"92",4,1.01,100
"93",4,8.05,100
"94",4,1,100
"95",4,6.97,100
"96",4,5.48,100
"97",5,1.39,90.86
"98",5,1.99,90.62
"99",5,6.4,83.43
"100",5,5.07,88.17
"101",5,1.23,NA
"102",5,7.97,100
"103",5,3.02,88.8
"104",5,8.1,100
"105",5,6.01,90.62
"106",5,1.06,90.7
"107",5,1.02,97.81
"108",5,8.11,100
"109",5,6.42,80.5
"110",5,2.01,100
"111",5,7.51,86.83
"112",5,2.45,89.2
"113",5,8.17,90.54
"114",5,6.52,91.33
"115",5,3.96,94.18
"116",5,1.44,100
"117",5,7.5,92.28
"118",5,1.71,89.91
"119",5,1.98,92.91
"120",5,4.6,91.96
"121",6,3,90.62
"122",6,5.43,100
"123",6,7.96,NA
"124",6,7.65,81.14
"125",6,5.01,100
"126",6,7.95,100
"127",6,5.88,90.54
"128",6,7.43,100
"129",6,3.99,100
"130",6,2.99,100
"131",6,2.42,100
"132",6,6.48,100
"133",6,4.03,100
"134",6,4.94,100
"135",6,7.93,100
"136",6,3.98,100
"137",6,6.43,100
"138",6,6.97,100
"139",6,4.97,100
"140",6,1.98,100
"141",6,7.97,88.88
"142",6,4.48,100
"143",6,2.93,100
"144",6,4.97,100
"145",7,1.9,98.76
"146",7,2.47,97.18
"147",7,7.96,95.92
"148",7,7.98,97.42
"149",7,1.98,100
"150",7,8.93,97.5
"151",7,7.88,97.1
"152",7,7.92,100
"153",7,7.99,97.42
"154",7,0.85,96.95
"155",7,7.94,97.26
"156",7,7.9,97.81
"157",7,7.98,97.89
"158",7,7.88,NA
"159",7,6.93,96.08
"160",7,7.88,98.76
"161",7,8.41,94.42
"162",7,8.41,95.92
"163",7,7.97,97.02
"164",7,7.93,94.49
"165",7,3.97,97.42
"166",7,7.93,96.23
"167",7,8.51,96.31
"168",7,7.94,96.15
"169",8,2.25,NA
"170",8,3.69,79.95
"171",8,6.29,61.69
"172",8,7.4,77.74
"173",8,4.73,70.86
"174",8,7.88,62.32
"175",8,4.97,85.25
"176",8,7.99,77.74
"177",8,6.95,90.23
"178",8,2.19,87.46
"179",8,4,76.55
"180",8,7.89,70.38
"181",8,3.04,95.68
"182",8,6.97,92.52
"183",8,7.93,89.83
"184",8,5.95,65.72
"185",8,7.48,54.18
"186",8,6.97,66.51
"187",8,7.53,40.98
"188",8,3.5,71.49
"189",8,7.97,55.52
"190",8,5.93,61.06
"191",8,4.98,90.38
"192",8,7.43,54.42
"193",9,0.94,89.99
"194",9,1.94,90.3
"195",9,7.96,NA
"196",9,6.92,70.54
"197",9,0.95,94.02
"198",9,7.95,89.91
"199",9,0.99,67.85
"200",9,8.92,91.02
"201",9,1.95,92.04
"202",9,0.93,91.96
"203",9,0.98,91.17
"204",9,7.97,NA
"205",9,1,89.75
"206",9,0.96,93.55
"207",9,1.93,92.36
"208",9,0.99,91.65
"209",9,2.95,89.36
"210",9,7,93.62
"211",9,7.97,92.44
"212",9,0.95,89.83
"213",9,6.85,92.6
"214",9,1,89.67
"215",9,1.02,94.73
"216",9,2.02,90.23
"217",10,1.01,0
"218",10,4,81.06
"219",10,6.98,90.7
"220",10,2.96,NA
"221",10,1.98,76.63
"222",10,7.46,90.78
"223",10,3,81.45
"224",10,7.95,95.84
"225",10,5.43,61.45
"226",10,1.46,81.29
"227",10,0,100
"228",10,8.09,81.06
"229",10,4.48,74.65
"230",10,4.96,81.45
"231",10,7.95,95.84
"232",10,3,81.29
"233",10,6.97,71.25
"234",10,7.43,90.38
"235",10,4.97,76.71
"236",10,0.98,86.19
"237",10,6.95,90.62
"238",10,1.92,81.21
"239",10,2.45,70.7
"240",10,3.97,81.14
"241",11,1,100
"242",11,2.43,95.76
"243",11,3.48,98.13
"244",11,4.5,95.68
"245",11,1.48,100
"246",11,6.96,100
"247",11,1.46,100
"248",11,6.99,100
"249",11,6.43,100
"250",11,1.48,100
"251",11,1.8,100
"252",11,7.41,100
"253",11,6.96,100
"254",11,3,100
"255",11,7.96,100
"256",11,1.83,100
"257",11,8.28,100
"258",11,7.93,100
"259",11,5.97,NA
"260",11,1.95,100
"261",11,8.19,100
"262",11,1.5,100
"263",11,1.78,100
"264",11,5.47,100
"265",12,1.36,90.94
"266",12,1.6,95.29
"267",12,2.6,75.92
"268",12,3.14,70.94
"269",12,1.66,88.33
"270",12,5,93.23
"271",12,2.61,96.71
"272",12,5.97,100
"273",12,1.98,92.52
"274",12,1.43,87.06
"275",12,1.78,93.62
"276",12,4.7,82.24
"277",12,2.97,86.59
"278",12,3.34,91.49
"279",12,4.96,62.64
"280",12,1.6,99
"281",12,4.98,90.7
"282",12,4.59,95.36
"283",12,3.97,86.83
"284",12,0.95,100
"285",12,2.82,100
"286",12,1.16,94.18
"287",12,2.77,98.76
"288",12,4,87.93
"289",13,1.89,90.78
"290",13,1.81,85.56
"291",13,2.72,84.61
"292",13,3.08,80.98
"293",13,1.73,81.77
"294",13,3.77,84.53
"295",13,1.83,80.11
"296",13,4.75,NA
"297",13,3.99,81.61
"298",13,1.74,91.02
"299",13,1.87,86.12
"300",13,3.15,80.9
"301",13,2.62,82.32
"302",13,0,100
"303",13,3.95,77.02
"304",13,0.38,70.54
"305",13,4,66.35
"306",13,4.47,84.85
"307",13,3.29,85.96
"308",13,0.98,95.52
"309",13,3.9,80.82
"310",13,1.03,100
"311",13,1.83,75.68
"312",13,4.08,NA
"313",14,1,100
"314",14,1,100
"315",14,0.99,NA
"316",14,1.02,100
"317",14,1,100
"318",14,1.01,100
"319",14,1,100
"320",14,1.97,100
"321",14,1.98,100
"322",14,1.47,100
"323",14,1.01,100
"324",14,1.98,100
"325",14,1.98,100
"326",14,0.33,100
"327",14,1.98,100
"328",14,1.48,100
"329",14,1.51,100
"330",14,1.53,100
"331",14,2.01,100
"332",14,1,100
"333",14,1.98,100
"334",14,0.99,100
"335",14,1.99,100
"336",14,2,100
"337",15,0.78,100
"338",15,4.07,NA
"339",15,6.01,100
"340",15,4.98,NA
"341",15,1.45,100
"342",15,8.19,100
"343",15,1.28,100
"344",15,7.83,100
"345",15,5.47,100
"346",15,1.13,100
"347",15,1.16,100
"348",15,6.97,100
"349",15,7.01,100
"350",15,5.52,100
"351",15,8.84,100
"352",15,1.5,100
"353",15,8.98,100
"354",15,8.98,100
"355",15,1.88,100
"356",15,1.17,100
"357",15,7.93,100
"358",15,1.34,100
"359",15,2.18,100
"360",15,2.83,100
"361",16,0,100
"362",16,1.03,90.07
"363",16,5.08,80.34
"364",16,7.25,NA
"365",16,6.21,77.1
"366",16,8.05,71.17
"367",16,6.2,80.03
"368",16,7.97,78.21
"369",16,5.82,72.6
"370",16,5.08,77.5
"371",16,5.46,75.05
"372",16,5.55,76.63
"373",16,5.93,75.68
"374",16,5.02,79
"375",16,7.19,80.34
"376",16,4.24,70.7
"377",16,7.27,70.46
"378",16,7.28,67.78
"379",16,6.57,79.79
"380",16,6.02,80.66
"381",16,8.02,79.08
"382",16,3.97,76.31
"383",16,5.13,80.58
"384",16,4.13,75.52
"385",17,0.43,100
"386",17,1.55,NA
"387",17,6,96.23
"388",17,5.98,100
"389",17,3.98,100
"390",17,7.52,NA
"391",17,5.43,96.87
"392",17,7.97,100
"393",17,5.41,100
"394",17,3.02,100
"395",17,3.04,100
"396",17,6.98,100
"397",17,3.92,100
"398",17,5.02,100
"399",17,7.98,100
"400",17,2,100
"401",17,7.97,100
"402",17,8.94,100
"403",17,4.43,100
"404",17,4.5,100
"405",17,7.37,100
