"","Subj_idx","Response","Confidence"
"1",1,"Option 6",80
"2",1,"Option 9",60
"3",1,"Option 4",80
"4",1,"Option 7",100
"5",1,"Option 9",60
"6",1,"Option 6",80
"7",1,"Option 2",60
"8",1,"Option 3",60
"9",1,"Option 7",40
"10",1,"Option 4",80
"11",1,"Option 5",40
"12",1,"Option 7",60
"13",1,"Option 3",0
"14",1,"Option 2",0
"15",1,"Option 7",20
"16",1,"Option 5",60
"17",1,"Option 9",20
"18",1,"Option 2",20
"19",1,"Option 4",40
"20",1,"Option 7",0
"21",2,"Option 6",80
"22",2,"Option 8",80
"23",2,"Option 4",100
"24",2,"Option 7",100
"25",2,"Option 9",100
"26",2,"Option 6",100
"27",2,"Option 3",80
"28",2,"Option 3",60
"29",2,"Option 4",40
"30",2,"Option 9",100
"31",2,"Option 9",60
"32",2,"Option 7",80
"33",2,"Option 2",40
"34",2,"Option 7",40
"35",2,"Option 6",60
"36",2,"Option 9",80
"37",2,"Option 2",20
"38",2,"Option 5",40
"39",2,"Option 9",40
"40",2,"Option 4",40
"41",3,"Option 6",40
"42",3,"Option 8",100
"43",3,"Option 7",60
"44",3,"Option 3",100
"45",3,"Option 9",100
"46",3,"Option 6",100
"47",3,"Option 3",100
"48",3,"Option 3",100
"49",3,"Option 7",80
"50",3,"Option 9",80
"51",3,"Option 9",100
"52",3,"Option 7",100
"53",3,"Option 6",40
"54",3,"Option 5",20
"55",3,"Option 8",40
"56",3,"Option 5",80
"57",3,"Option 2",80
"58",3,"Option 3",40
"59",3,"Option 4",80
"60",3,"Option 3",60
"61",4,"Option 6",100
"62",4,"Option 8",100
"63",4,"Option 4",80
"64",4,"Option 7",100
"65",4,"Option 9",80
"66",4,"Option 6",100
"67",4,"Option 6",80
"68",4,"Option 8",80
"69",4,"Option 7",80
"70",4,"Option 4",80
"71",4,"Option 9",100
"72",4,"Option 7",80
"73",4,"Option 8",100
"74",4,"Option 8",100
"75",4,"Option 7",80
"76",4,"Option 5",100
"77",4,"Option 4",0
"78",4,"Option 2",80
"79",4,"Option 4",80
"80",4,"Option 2",40
"81",5,"Option 6",80
"82",5,"Option 8",100
"83",5,"Option 4",100
"84",5,"Option 7",100
"85",5,"Option 6",80
"86",5,"Option 6",80
"87",5,"Option 6",100
"88",5,"Option 3",80
"89",5,"Option 7",100
"90",5,"Option 6",100
"91",5,"Option 5",60
"92",5,"Option 2",40
"93",5,"Option 9",80
"94",5,"Option 5",60
"95",5,"Option 6",80
"96",5,"Option 4",80
"97",5,"Option 8",80
"98",5,"Option 3",80
"99",5,"Option 4",80
"100",5,"Option 2",60
"101",6,"Option 6",100
"102",6,"Option 8",100
"103",6,"Option 4",100
"104",6,"Option 7",100
"105",6,"Option 9",100
"106",6,"Option 6",100
"107",6,"Option 3",100
"108",6,"Option 3",100
"109",6,"Option 7",80
"110",6,"Option 4",80
"111",6,"Option 9",100
"112",6,"Option 7",100
"113",6,"Option 8",100
"114",6,"Option 8",80
"115",6,"Option 3",60
"116",6,"Option 5",80
"117",6,"Option 8",80
"118",6,"Option 2",60
"119",6,"Option 4",100
"120",6,"Option 4",NA
"121",7,"Option 6",100
"122",7,"Option 8",100
"123",7,"Option 4",80
"124",7,"Option 3",80
"125",7,"Option 4",0
"126",7,"Option 6",60
"127",7,"Option 3",100
"128",7,"Option 3",80
"129",7,"Option 7",100
"130",7,"Option 4",100
"131",7,"Option 2",80
"132",7,"Option 6",0
"133",7,"Option 9",20
"134",7,"Option 8",0
"135",7,"Option 3",0
"136",7,"Option 9",80
"137",7,"Option 3",0
"138",7,"Option 9",0
"139",7,"Option 7",40
"140",7,"Option 8",0
"141",8,"Option 6",40
"142",8,"Option 8",40
"143",8,"Option 4",80
"144",8,"Option 7",80
"145",8,"Option 9",80
"146",8,"Option 6",60
"147",8,"Option 3",80
"148",8,"Option 3",80
"149",8,"Option 7",80
"150",8,"Option 4",80
"151",8,"Option 9",80
"152",8,"Option 7",80
"153",8,"Option 2",20
"154",8,"Option 2",40
"155",8,"Option 8",20
"156",8,"Option 7",20
"157",8,"Option 6",40
