"","Subj_idx","Response","Confidence"
"1",1,7,1
"2",1,6,3
"3",1,18,1
"4",1,11,1
"5",1,12,2
"6",1,16,2
"7",1,11,1
"8",1,8,3
"9",1,20,2
"10",1,21,1
"11",1,18,2
"12",1,14,2
"13",1,6,3
"14",1,7,3
"15",1,16,2
"16",1,9,3
"17",1,7,3
"18",1,18,1
"19",1,16,1
"20",1,10,2
"21",1,19,2
"22",1,9,3
"23",1,7,3
"24",1,11,2
"25",1,20,1
"26",1,12,3
"27",1,18,2
"28",1,16,1
"29",1,7,2
"30",1,15,2
"31",1,21,1
"32",1,5,3
"33",1,18,2
"34",1,7,3
"35",1,16,2
"36",1,4,3
"37",1,14,2
"38",1,12,2
"39",1,9,3
"40",1,9,3
"41",1,10,2
"42",1,6,3
"43",1,15,2
"44",1,8,2
"45",1,15,2
"46",1,8,3
"47",1,10,3
"48",1,4,3
"49",1,12,2
"50",1,17,2
"51",1,19,1
"52",1,16,1
"53",1,5,3
"54",1,15,3
"55",1,7,3
"56",1,11,3
"57",1,7,3
"58",1,9,3
"59",1,8,3
"60",1,11,1
"61",1,4,3
"62",1,14,2
"63",1,4,3
"64",1,7,3
"65",1,25,2
"66",1,8,3
"67",1,15,2
"68",1,16,1
"69",1,5,3
"70",1,9,3
"71",1,22,2
"72",1,16,2
"73",1,7,3
"74",1,11,3
"75",1,18,2
"76",1,6,3
"77",1,10,3
"78",1,14,2
"79",1,22,3
"80",1,4,3
"81",1,7,3
"82",1,4,3
"83",1,19,2
"84",1,18,2
"85",1,21,2
"86",1,4,3
"87",1,12,2
"88",1,23,1
"89",1,13,2
"90",1,5,3
"91",1,4,3
"92",1,16,2
"93",1,16,2
"94",1,14,2
"95",1,11,2
"96",1,4,3
"97",1,12,2
"98",1,6,3
"99",1,6,3
"100",1,5,3
"101",1,13,2
"102",1,10,2
"103",1,16,2
"104",1,4,3
"105",1,17,1
"106",1,22,1
"107",1,19,1
"108",1,18,1
"109",1,9,2
"110",1,17,1
"111",1,5,3
"112",1,4,3
"113",1,15,1
"114",1,20,1
"115",1,9,2
"116",1,7,2
"117",1,7,3
"118",1,15,1
"119",1,12,1
"120",1,6,3
"121",1,11,1
"122",1,7,3
"123",1,12,2
"124",1,10,2
"125",1,5,3
"126",1,19,1
"127",1,11,2
"128",1,20,1
"129",1,11,2
"130",1,9,3
"131",1,19,1
"132",1,16,1
"133",1,14,2
"134",1,21,2
"135",1,6,3
"136",1,4,3
"137",1,10,2
"138",1,4,3
"139",1,11,2
"140",1,16,1
"141",1,13,1
"142",1,16,1
"143",1,5,3
"144",1,17,1
"145",1,14,2
"146",1,6,3
"147",1,12,1
"148",1,16,1
"149",1,10,1
"150",1,9,2
"151",1,18,1
"152",1,5,3
"153",1,14,1
"154",1,6,3
"155",1,15,1
"156",1,18,2
"157",1,6,3
"158",1,4,3
"159",1,13,1
"160",1,16,2
"161",1,9,3
"162",1,11,3
"163",1,16,1
"164",1,13,1
"165",1,7,3
"166",1,6,3
"167",1,14,1
"168",1,16,2
"169",1,4,3
"170",1,12,2
"171",1,14,1
"172",1,15,1
"173",1,8,3
"174",1,9,3
"175",1,10,2
"176",1,11,3
"177",1,18,2
"178",1,7,3
"179",1,8,3
"180",1,20,2
"181",1,8,3
"182",1,16,2
"183",1,16,1
"184",1,20,1
"185",1,11,2
"186",1,9,2
"187",1,13,2
"188",1,12,2
"189",1,10,2
"190",1,9,2
"191",1,12,2
"192",1,12,2
"193",1,14,2
"194",1,13,2
"195",1,6,3
"196",1,7,3
"197",1,15,1
"198",1,11,2
"199",1,14,1
"200",1,7,3
"201",1,17,1
"202",1,15,1
"203",1,9,3
"204",1,13,2
"205",1,12,2
"206",1,13,1
"207",1,8,3
"208",1,12,1
"209",1,18,1
"210",1,6,3
"211",1,14,2
"212",1,10,3
"213",1,7,3
"214",1,12,2
"215",1,19,1
"216",1,15,2
"217",1,16,2
"218",1,21,2
"219",1,9,3
"220",1,13,3
"221",1,13,2
"222",1,14,1
"223",1,10,3
"224",1,12,1
"225",1,11,2
"226",1,14,2
"227",1,20,1
"228",1,18,1
"229",1,4,3
"230",1,10,2
"231",1,13,2
"232",1,14,2
"233",1,12,1
"234",1,9,3
"235",1,20,2
"236",1,8,3
"237",1,10,3
"238",1,20,1
"239",1,18,2
"240",1,9,3
"241",1,20,2
"242",1,18,1
"243",1,16,2
"244",1,15,1
"245",1,13,2
"246",1,24,2
"247",1,999,1
"248",1,11,2
"249",1,12,3
"250",1,20,2
"251",1,14,3
"252",1,14,1
"253",1,15,1
"254",1,16,1
"255",1,11,3
"256",1,4,3
"257",1,16,2
"258",1,9,3
"259",1,5,3
"260",1,19,2
"261",1,15,2
"262",1,10,3
"263",1,6,3
"264",1,13,3
"265",1,16,2
"266",1,17,1
"267",1,16,3
"268",1,4,3
"269",1,4,3
"270",1,13,3
"271",1,20,1
"272",1,7,3
"273",1,30,1
"274",1,16,1
"275",1,10,2
"276",1,10,3
"277",1,999,2
"278",1,6,3
"279",1,15,3
"280",1,19,3
"281",1,4,3
"282",1,25,2
"283",1,18,2
"284",1,15,1
"285",1,16,1
"286",1,16,2
"287",1,18,1
"288",1,15,3
"289",1,7,3
"290",1,10,3
"291",1,15,1
"292",1,12,1
"293",1,16,2
"294",1,12,3
"295",1,8,3
"296",1,7,3
"297",1,15,2
"298",1,14,2
"299",1,4,3
"300",1,5,3
"301",1,18,2
"302",1,7,3
"303",1,14,2
"304",1,15,2
"305",1,4,3
"306",1,16,2
"307",1,21,2
"308",1,11,3
"309",1,16,1
"310",1,18,2
"311",1,7,3
"312",1,17,2
"313",1,999,3
"314",1,999,1
"315",1,18,2
"316",1,9,3
"317",1,14,2
"318",1,18,1
"319",1,16,2
"320",1,10,3
"321",1,20,2
"322",1,4,3
"323",1,19,3
"324",1,5,3
"325",1,16,1
"326",1,20,2
"327",1,17,2
"328",1,13,2
"329",1,15,1
"330",1,16,1
"331",1,15,1
"332",1,12,2
"333",1,11,3
"334",1,14,2
"335",1,13,3
"336",1,9,3
"337",1,14,1
"338",1,14,1
"339",1,16,2
"340",1,15,2
"341",1,6,3
"342",1,20,2
"343",1,18,2
"344",1,17,2
"345",1,22,2
"346",1,18,2
"347",1,11,3
"348",1,18,1
"349",1,8,3
"350",1,16,2
"351",1,18,2
"352",1,13,2
"353",1,15,1
"354",1,18,1
"355",1,13,3
"356",1,17,2
"357",1,6,3
"358",1,17,3
"359",1,14,3
"360",1,12,3
"361",1,18,2
"362",1,5,3
"363",1,13,2
"364",1,18,2
"365",1,10,3
"366",1,10,3
"367",1,8,3
"368",1,19,2
"369",1,16,3
"370",1,18,1
"371",1,8,3
"372",1,11,2
"373",1,10,3
"374",1,13,3
"375",1,19,2
"376",1,18,2
"377",1,16,2
"378",1,13,2
"379",1,15,2
"380",1,14,1
"381",1,4,3
"382",1,18,2
"383",1,4,3
"384",1,10,3
"385",1,4,3
"386",1,11,2
"387",1,5,3
"388",1,16,2
"389",1,10,2
"390",1,7,3
"391",1,16,2
"392",1,18,2
"393",1,20,2
"394",1,18,2
"395",1,15,1
"396",1,12,2
"397",1,4,3
"398",1,15,1
"399",1,12,3
"400",1,7,3
"401",1,999,2
"402",1,20,2
"403",1,16,1
"404",1,5,3
"405",1,18,2
"406",1,4,3
"407",1,13,3
"408",1,15,2
"409",1,15,1
"410",1,4,3
"411",1,16,2
"412",1,15,2
"413",1,17,2
"414",1,15,2
"415",1,11,1
"416",1,16,2
"417",1,7,3
"418",1,11,2
"419",1,5,3
"420",1,14,2
"421",1,4,3
"422",1,13,2
"423",1,5,3
"424",1,14,2
"425",1,13,2
"426",1,11,2
"427",1,12,2
"428",1,4,3
"429",1,15,2
"430",1,8,3
"431",1,16,2
"432",1,8,3
"433",1,9,3
"434",1,4,3
"435",1,16,2
"436",1,21,2
"437",1,4,3
"438",1,18,2
"439",1,20,2
"440",1,19,2
"441",1,7,3
"442",1,15,2
"443",1,7,3
"444",1,15,2
"445",1,11,3
"446",1,18,2
"447",1,11,2
"448",1,17,2
"449",1,10,2
"450",1,999,2
"451",1,12,2
"452",1,10,2
"453",1,11,2
"454",1,7,3
"455",1,15,2
"456",1,18,2
"457",1,20,2
"458",1,14,2
"459",1,19,3
"460",1,16,3
"461",1,13,2
"462",1,4,3
"463",1,12,2
"464",1,9,3
"465",1,11,3
"466",1,4,3
"467",1,16,2
"468",1,20,2
"469",1,18,1
"470",1,11,3
"471",1,4,3
"472",1,14,2
"473",1,5,3
"474",1,8,3
"475",1,15,2
